id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
16,,Structural Design,Beam|Column|Slab|Wall|Footing,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,structural_design,structural_engineer,
1601,Chapter 16 Structural Design,General,,,,none,none,
1601.1,Section 1601 General,Scope,Wall|Beam|Column|Slab|Roof,Assembly (A)|Business (B)|Residential (R)|Educational (E)|Mercantile (M),sd|dd|cd,structural_design,structural_engineer,"The provisions of this chapter shall govern the structural design of buildings, structures and portions thereof regulated by this code.Exception: Buildings and structures located within the high-velocity hurricane zone shall comply with the provisions of Sections 1605, 1607, 1611, 1616 through 1626, and, as applicable in flood hazard areas, Section 1612."
1602,Chapter 16 Structural Design,Definitions and Notations,,,,,,
1602.1,Section 1602 Definitions and Notations,Definitions,,,,,,"The following terms are defined in Chapter 2:ALLOWABLE STRESS DESIGN.DEAD LOADS.DESIGN STRENGTH.DIAPHRAGM.Diaphragm, blocked.Diaphragm boundary.Diaphragm chord.ESSENTIAL FACILITIES.FABRIC PARTITION.FACTORED LOAD.HELIPAD.ICE-SENSITIVE STRUCTURE.IMPACT LOAD.LIMIT STATE.LIVE LOAD.LIVE LOAD (ROOF).LOAD AND RESISTANCE FACTOR DESIGN (LRFD).LOAD EFFECTS.LOAD FACTOR.LOADS.NOMINAL LOADS.OTHER STRUCTURES.PANEL (PART OF A STRUCTURE).RESISTANCE FACTOR.RISK CATEGORY.STRENGTH, NOMINAL.STRENGTH, REQUIRED.STRENGTH DESIGN.SUSCEPTIBLE BAY.VEHICLE BARRIER.NOTATIONS. D = Dead load. Di = Weight of ice in accordance with Chapter 10 of ASCE 7. F = Load due to fluids with well-defined pressures and maximum heights. Fa = Flood load in accordance with Chapter 5 of ASCE 7. H = Load due to lateral earth pressures, ground water pressure or pressure of bulk materials. L = Live load. Lr = Roof live load. R = Rain load. T = Cumulative effect of self-straining load forces and effects. Vasd = Nominal design wind speed (3-second gust), miles per hour (mph) (km/hr) where applicable. VT = Tornado speed, miles per hour (mph) (m/s) determined from Chapter 32 of ASCE 7. Vult = Ultimate design wind speed (3-second gust), miles per hour (mph) (km/hr) determined from Figure 1609.3(1), 1609.3(2), 1609.3(3) or 1609.3(4) or ASCE 7. W = Load due to wind pressure. Wi = Wind-on-ice in accordance with Chapter 10 of ASCE 7."
1603,Chapter 16 Structural Design,Construction Documents,,,,none,none,
1603.1,Section 1603 Construction Documents,General,Beam|Column|Footing|Slab|Wall,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,structural_design,structural_engineer,"Construction documents shall show the size, section and relative locations of structural members with floor levels, column centers and offsets dimensioned. The design loads and other information pertinent to the structural design required by Sections 1603.1.1 through 1603.1.9 shall be indicated on the construction documents."
1603.1.1,Section 1603 Construction Documents,Floor Live Load,Slab|Beam|Column,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,structural_design,structural_engineer,"The uniformly distributed, concentrated and impact floor live load used in the design shall be indicated for floor areas. Use of live load reduction in accordance with Section 1607.11 shall be indicated for each type of live load used in the design."
1603.1.2,Section 1603 Construction Documents,Roof Live Load,Roof|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,structural_design,structural_engineer,The roof live load used in the design shall be indicated for roof areas (Section 1607.13).
1603.1.3,Section 1603 Construction Documents,Roof Snow Load Data,Roof|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer,Reserved.
1603.1.4,Section 1603 Construction Documents,Wind Design Data,,,,,,"The following information related to wind loads shall be shown, regardless of whether wind loads govern the design of the lateral force-resisting system of the structure:Ultimate design wind speed, Vult, (3-second gust), miles per hour (km/hr), tornado speed, VT (mph) and nominal design wind speed, Vasd, (mph) as determined in accordance with Section 1609.3.1.Risk category.Effective plan area, Ae, for tornado design in accordance with Chapter 32 of ASCE 7.Wind exposure. Applicable wind direction if more than one wind exposure is utilized.Applicable internal pressure coefficients and applicable tornado internal pressure coefficients.Design wind pressures and their applicable zones with dimensions to be used for exterior component and cladding materials not specifically designed by the registered design professional responsible for the design of the structure, psf (kN/m2). Where design for tornado loads is required, the design pressures shown shall be the maximum of wind or tornado pressures."
1603.1.5,Section 1603 Construction Documents,Earthquake Design Data,Wall|Column|Beam|Slab|Footing,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,structural_design,structural_engineer,Reserved.
1603.1.6,Section 1603 Construction Documents,Geotechnical Information,Footing|Slab|DeepFoundation|EarthworksElement,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,structural_design,civil_engineer,The design load-bearing values of soils shall be shown on the construction documents.
1603.1.7,Section 1603 Construction Documents,Flood Design Data,Slab|Footing|Wall,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,site_planning,civil_engineer,"For buildings located in whole or in part in flood hazard areas as established in Section 1612.3, the documentation pertaining to design, if required in Section 1612.5, shall be included and the following information, referenced to the datum on the community's Flood Insurance Rate Map (FIRM), shall be shown, regardless of whether flood loads govern the design of the building:Flood design class assigned according to ASCE 24.In flood hazard areas other than coastal high hazard areas or coastal A zones, the elevation of the proposed lowest floor, including the basement.In flood hazard areas other than coastal high hazard areas or coastal A zones, the elevation to which any nonresidential building will be dry floodproofed.In coastal high hazard areas and coastal A zones, the proposed elevation of the bottom of the lowest horizontal structural member of the lowest floor, including the basement."
1603.1.8,Section 1603 Construction Documents,Special Loads,Slab|Roof|Beam|Column,Business (B)|Educational (E)|Assembly (A)|Factory and Industrial (F)|Storage (S),sd|dd|cd,structural_design,structural_engineer,"Special loads that are applicable to the design of the building, structure or portions thereof, including but not limited to the loads of machinery or equipment, that are of greater magnitude than the loads defined in the specified floor and roof loads shall be specified by their descriptions and locations."
1603.1.8.1,Section 1603 Construction Documents,Photovoltaic Panel Systems,Roof|Slab|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Utility and Miscellaneous (U),sd|dd|cd,structural_design,structural_engineer,"The dead load of rooftop-mounted photovoltaic panel systems, including rack support systems, shall be indicated on the construction documents."
1603.1.9,Section 1603 Construction Documents,Roof Rain Load Data,Roof|Slab|Drain|Covering,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer,"Design rainfall intensity, i (in./hr) (cm/hr), shall be shown regardless of whether rain loads govern the design."
1604,Chapter 16 Structural Design,General Design Requirements,,,,none,none,
1604.1,Section 1604 General Design Requirements,General,Wall|Beam|Column|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer,"Building, structures and parts thereof shall be designed and constructed in accordance with strength design, load and resistance factor design, allowable stress design, empirical design or conventional construction methods, as permitted by the applicable material chapters."
1604.2,Section 1604 General Design Requirements,Strength,Wall|Beam|Column|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Factory and Industrial (F),sd|dd|cd,structural_design,structural_engineer,"Buildings and other structures, and parts thereof, shall be designed and constructed to support safely the factored loads in load combinations defined in this code without exceeding the appropriate strength limit states for the materials of construction. Alternatively, buildings and other structures, and parts thereof, shall be designed and constructed to support safely the nominal loads in load combinations defined in this code without exceeding the appropriate specified allowable stresses for the materials of construction.Loads and forces for occupancies or uses not covered in this chapter shall be subject to the approval of the building official."
