id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
21,,Masonry,,,,,,
2101,Chapter 21 Masonry,General,,,,,,
2101.1,Section 2101 General,Scope,"This chapter shall govern the materials, design, construction and quality of masonry.Exception: Buildings and structures located within the high-velocity hurricane zone shall comply with the provisions of Sections 2103 through 2105, 2107, 2108, 2110, 2114 and Sections 2119 through 2122.",,,,,
2101.2,Section 2101 General,Design Methods,"Masonry shall comply with the provisions of TMS 402, TMS 403 or TMS 404 as well as applicable requirements of this chapter.",,,,,
2101.2.1,Section 2101 General,Masonry Veneer,Masonry veneer shall comply with the provisions of Chapter 14.,,,,,
2101.3,Section 2101 General,Special Inspection,Reserved.,,,,,
2102,Chapter 21 Masonry,Definitions and Notations,,,,,,
2102.1,Section 2102 Definitions and Notations,General,"The following terms are defined in Chapter 2:AAC MASONRY.ADOBE CONSTRUCTION.Adobe, stabilized.Adobe, unstabilized.AREA.Gross cross-sectional.Net cross-sectional.AUTOCLAVED AERATED CONCRETE (AAC).BED JOINT.BRICK.Calcium silicate (sand lime brick).Clay or shale.Concrete.CAST STONE.CELL.CHIMNEY.CHIMNEY TYPES.High-heat appliance type.Low-heat appliance type.Masonry type.Medium-heat appliance type.COLLAR JOINT.DIMENSIONS.Nominal.Specified.FIREPLACE.FIREPLACE THROAT.FOUNDATION PIER.HEAD JOINT.MASONRY.Glass unit masonry.Plain masonry.Reinforced masonry.Solid masonry.Unreinforced (plain) masonry.MASONRY UNIT.Hollow.Solid.MORTAR.MORTAR, SURFACE-BONDING.PRESTRESSED MASONRY.RUNNING BOND.SPECIFIED COMPRESSIVE STRENGTH OF MASONRY, f'm.STONE MASONRY.STRENGTH.Design strength.Nominal strength.Required strength.TIE, WALL.TILE, STRUCTURAL CLAY.WALL.Cavity wall.Dry-stacked, surface-bonded wall.Parapet wall.WYTHE.NOTATIONS. db = Diameter of reinforcement, inches (mm). Fs = Allowable tensile or compressive stress in reinforcement, psi (MPa). fr = Modulus of rupture, psi (MPa). f'AAC = Specified compressive strength of AAC masonry, the minimum compressive strength for a class of AAC masonry as specified in ASTM C1386, psi (MPa). f 'm = Specified compressive strength of masonry at age of 28 days, psi (MPa). f 'mi = Specified compressive strength of masonry at the time of prestress transfer, psi (MPa). K = The lesser of the masonry cover, clear spacing between adjacent reinforcement, or five times db, inches (mm). Ls = Distance between supports, inches (mm). ld = Required development length or lap length of reinforcement, inches (mm). P = The applied load at failure, pounds (N). St = Thickness of the test specimen measured parallel to the direction of load, inches (mm). Sw = Width of the test specimen measured parallel to the loading cylinder, inches (mm).",,,,,
2103,Chapter 21 Masonry,Masonry Construction Materials,,,,,,
2103.1,Section 2103 Masonry Construction Materials,Masonry Units,"Concrete masonry units, clay or shale masonry units, stone masonry units, glass unit masonry and AAC masonry units shall comply with Article 2.3 of TMS 602. Architectural cast stone shall conform to ASTM C1364 and TMS 504. Adhered manufactured stone masonry veneer units shall conform to ASTM C1670.Exception: Structural clay tile for nonstructural use in fireproofing of structural members and in wall furring shall not be required to meet the compressive strength specifications. The fire-resistance rating shall be determined in accordance with ASTM E119 or UL 263 and shall comply with the requirements of Table 705.5.",,,,,
2103.1.1,Section 2103 Masonry Construction Materials,Second-Hand Units,"Second-hand masonry units shall not be reused unless they conform to the requirements of new units. The units shall be of whole, sound materials and free from cracks and other defects that will interfere with proper laying or use. Old mortar shall be cleaned from the unit before reuse.",,,,,
2103.2,Section 2103 Masonry Construction Materials,Mortar,"Mortar for masonry construction shall comply with Section 2103.2.1, 2103.2.2, 2103.2.3 or 2103.2.4.",,,,,
2103.2.1,Section 2103 Masonry Construction Materials,Masonry Mortar,Mortar for use in masonry construction shall conform to Articles 2.1 and 2.6 A of TMS 602.,,,,,
2103.2.2,Section 2103 Masonry Construction Materials,Surface-Bonding Mortar,Surface-bonding mortar shall comply with ASTM C887. Surface bonding of concrete masonry units shall comply with ASTM C946.,,,,,
2103.2.3,Section 2103 Masonry Construction Materials,Mortars for Ceramic Wall and Floor Tile,"Portland cement mortars for installing ceramic wall and floor tile shall comply with ANSI A108.1A and ANSI A108.1B and be of the compositions indicated in Table 2103.2.3.TABLE 2103.2.3CERAMIC TILE MORTAR COMPOSITIONS LOCATION MORTAR COMPOSITION Walls Scratchcoat 1 cement;1/5 hydrated lime;4 dry or 5 damp sand Setting bed and leveling coat 1 cement;1/2 hydrated lime;5 damp sand to 1 cement1 hydrated lime, 7 damp sand Floors Setting bed 1 cement;1/10 hydrated lime;5 dry or 6 damp sand; or 1cement; 5 dry or 6 damp sand Ceilings Scratchcoat and sand bed 1 cement;1/2 hydrated lime;21/2 dry sand or 3 damp sand",,,,,
2103.2.3.1,Section 2103 Masonry Construction Materials,Dry-Set Portland Cement Mortars,"Premixed prepared Portland cement mortars, which require only the addition of water and are used in the installation of ceramic tile, shall comply with ANSI A118.1. The shear bond strength for tile set in such mortar shall be as required in accordance with ANSI A118.1. Tile set in dry-set Portland cement mortar shall be installed in accordance with ANSI A108.5.",,,,,
2103.2.3.2,Section 2103 Masonry Construction Materials,Latex-Modified Portland Cement Mortar,Latex-modified Portland cement thin-set mortars in which latex is added to dry-set mortar as a replacement for all or part of the gauging water that are used for the installation of ceramic tile shall comply with ANSI A118.4. Tile set in latex-modified Portland cement shall be installed in accordance with ANSI A108.5.,,,,,
2103.2.3.3,Section 2103 Masonry Construction Materials,Epoxy Mortar,Ceramic tile set and grouted with chemical-resistant epoxy shall comply with ANSI A118.3. Tile set and grouted with epoxy shall be installed in accordance with ANSI A108.6.,,,,,
2103.2.3.4,Section 2103 Masonry Construction Materials,Furan Mortar and Grout,Chemical-resistant furan mortar and grout that are used to install ceramic tile shall comply with ANSI A118.5. Tile set and grouted with furan shall be installed in accordance with ANSI A108.8.,,,,,
2103.2.3.5,Section 2103 Masonry Construction Materials,Modified Epoxy-Emulsion Mortar and Grout,Modified epoxy-emulsion mortar and grout that are used to install ceramic tile shall comply with ANSI A118.8. Tile set and grouted with modified epoxy-emulsion mortar and grout shall be installed in accordance with ANSI A108.9.,,,,,
