id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
23,,Wood,,,,,,
2301,Chapter 23 Wood,General,,,,,,
2301.1,Section 2301 General,Scope,"The provisions of this chapter shall govern the materials, design, construction and quality of wood members and their fasteners.Exception: Buildings and structures located within the high-velocity hurricane zone shall comply with the provisions of Sections 2302, 2303.1 through 2303.1.4, 2303.1.8, 2303.2, 2303.5, 2303.5.1, 2303.5.2, 2304.12, 2304.12.3 and Sections 2314 through 2330.",,,,,
2301.2,Section 2301 General,General Design Requirements,"The design of structural elements or systems, constructed partially or wholly of wood or wood-based products, shall be in accordance with one of the following methods:Allowable stress design in accordance with Sections 2304, 2305 and 2306.Load and resistance factor design in accordance with Sections 2304, 2305 and 2307.Conventional light-frame construction in accordance with Section 2304.AWC WFCM in accordance with Section 2309.The design and construction of log structures in accordance with the provisions of ICC 400.",,,,,
2301.3,Section 2301 General,Nominal Sizes,"For the purposes of this chapter, where dimensions of lumber are specified, they shall be deemed to be nominal dimensions unless specifically designated as actual dimensions (see Section 2304.2).",,,,,
2302,Chapter 23 Wood,Definitions,,,,,,
2302.1,Section 2302 Definitions,Definitions,"The following terms are defined in Chapter 2:ACCREDITATION BODY.BRACED WALL LINE.BRACED WALL PANEL.COLLECTOR.CONVENTIONAL LIGHT-FRAME CONSTRUCTION.CRIPPLE WALL.CROSS-LAMINATED TIMBER.DIAPHRAGM, UNBLOCKED.DRAG STRUT.ENGINEERED WOOD RIM BOARD.FIBERBOARD.GABLE.GRADE (LUMBER).HARDBOARD.NAILING, BOUNDARY.NAILING, EDGE.NAILING, FIELD.NOMINAL SIZE (LUMBER).PARTICLEBOARD.PERFORMANCE CATEGORY.PREFABRICATED WOOD I-JOIST.SHEAR WALL.Shear wall, perforated.Shear wall segment, perforated.STRUCTURAL COMPOSITE LUMBER.Laminated strand lumber (LSL).Laminated veneer lumber (LVL).Oriented strand lumber (OSL).Parallel strand lumber (PSL).STRUCTURAL GLUED-LAMINATED TIMBER.TIE-DOWN (HOLD-DOWN).TREATED WOOD.Fire-retardant-treated wood.Preservative-treated wood.WOOD SHEAR PANEL.WOOD STRUCTURAL PANEL.Composite panels.Oriented strand board (OSB).Plywood.",,,,,
2303,Chapter 23 Wood,Minimum Standards and Quality,,,,,,
2303.1,Section 2303 Minimum Standards and Quality,General,Structural sawn lumber; end-jointed lumber; prefabricated wood I-joists; structural glued-laminated timber; wood structural panels; fiberboard sheathing (when used structurally); hardboard siding (when used structurally); particleboard; preservative-treated wood; structural log members; structural composite lumber; round timber poles and piles; fire-retardant-treated wood; hardwood plywood; wood trusses; joist hangers; nails; and staples shall conform to the applicable provisions of this section.,,,,,
2303.1.1,Section 2303 Minimum Standards and Quality,Sawn Lumber,"Sawn lumber used for load-supporting purposes, including end-jointed or edge-glued lumber, machine stress-rated or machine-evaluated lumber, shall be identified by the grade mark of a lumber grading or inspection agency that has been approved by an accreditation body that complies with DOC PS 20 or equivalent. Grading practices and identification shall comply with rules published by an agency approved in accordance with the procedures of DOC PS 20 or equivalent procedures.",,,,,
2303.1.1.1,Section 2303 Minimum Standards and Quality,Certificate of Inspection,"In lieu of a grade mark on the material, a certificate of inspection as to species and grade issued by a lumber grading or inspection agency meeting the requirements of this section is permitted to be accepted for precut, remanufactured or rough-sawn lumber and for sizes larger than 3 inches (76 mm) nominal thickness.",,,,,
2303.1.1.2,Section 2303 Minimum Standards and Quality,End-Jointed Lumber,"Approved end-jointed lumber is permitted to be used interchangeably with solid-sawn members of the same species and grade. End-jointed lumber used in an assembly required to have a fire-resistance rating shall have the designation ""Heat Resistant Adhesive"" or ""HRA"" included in its grade mark.",,,,,
