id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
24,,Glass and Glazing,,,,,,
2401,Chapter 24 Glass and Glazing,General,,,,,,
2401.1,Section 2401 General,Scope,"The provisions of this chapter shall govern the materials, design, construction and quality of glass, light-transmitting ceramic and light-transmitting plastic panels for exterior and interior use in both vertical and sloped applications in buildings and structures. Light-transmitting plastic glazing shall also meet the applicable requirements of Chapter 26.Exception: Buildings and structures located within the high-velocity hurricane zone shall also comply with the provisions of Sections 2410 through 2415, excluding Section 2405.5.",,,,,
2401.2,Section 2401 General,Glazing Replacement,The installation of replacement glass shall be as required for new installations.,,,,,
2402,Chapter 24 Glass and Glazing,Definitions,,,,,,
2402.1,Section 2402 Definitions,Definitions,The following terms are defined in Chapter 2:DALLE GLASS.DECORATIVE GLASS.,,,,,
2403,Chapter 24 Glass and Glazing,General Requirements for Glass,,,,,,
2403.1,Section 2403 General Requirements for Glass,Identification,"Each pane shall bear the manufacturer's mark designating the type and thickness of the glass or glazing material. The identification shall not be omitted unless approved and an affidavit is furnished by the glazing contractor certifying that each light is glazed in accordance with approved construction documents that comply with the provisions of this chapter. Safety glazing shall be identified in accordance with Section 2406.3.Each pane of tempered glass, except tempered spandrel glass, shall be permanently identified by the manufacturer. The identification mark shall be acid etched, sand blasted, ceramic fired, laser etched, embossed or of a type that, once applied, cannot be removed without being destroyed.Tempered spandrel glass shall be provided with a removable paper marking by the manufacturer.",,,,,
2403.2,Section 2403 General Requirements for Glass,Glass Supports,"Where one or more sides of any pane of glass are not firmly supported, or are subjected to unusual load conditions, detailed construction documents, detailed shop drawings and analysis or test data ensuring safe performance for the specific installation shall be prepared by a registered design professional.",,,,,
2403.3,Section 2403 General Requirements for Glass,Glass Framing,"To be considered firmly supported, the framing members for each individual pane of glass shall be designed so that the deflection of the edge of the glass perpendicular to the glass pane does not exceed 1/175 of the glass edge length where the glass edge length is not more than 13 feet 6 inches (4115 mm) or 1/240 of the glass edge length + 1/4 inch (6.4 mm) where the glass edge length is greater than 13 feet 6 inches (4115 mm), when subjected to the larger of the positive or negative load where loads are combined as specified in Section 1605.",,,,,
2403.4,Section 2403 General Requirements for Glass,Interior Glazed Areas,"Where interior glazing is installed adjacent to a walking surface, the differential deflection of two adjacent unsupported edges shall be not greater than the thickness of the panels when a force of 50 pounds per linear foot (plf) (730 N/m) is applied horizontally to one panel at any point up to 42 inches (1067 mm) above the walking surface.",,,,,
2403.5,Section 2403 General Requirements for Glass,Louvered Windows or Jalousies,"Float, wired and patterned glass in louvered windows and jalousies shall be no thinner than nominal 3/16 inch (4.8 mm) and no longer than 48 inches (1219 mm). Exposed glass edges shall be smooth.Wired glass with wire exposed on longitudinal edges shall not be used in louvered windows or jalousies.Where other glass types are used, the design shall be submitted to the building official for approval.",,,,,
2404,Chapter 24 Glass and Glazing,Wind and Dead Loads on Glass,,,,,,
2404.1,Section 2404 Wind and Dead Loads on Glass,Vertical Glass,"Glass sloped 15 degrees (0.26 rad) or less from vertical in windows, curtain and window walls, doors and other exterior applications shall be designed to resist the wind loads due to ultimate design wind speed, Vult, in Section 1609 for components and cladding. The load resistance of glass under uniform load shall be determined in accordance with ASTM E1300. The design of vertical glazing shall be based on Equation 24-1. (Equation 24-1) where: Fgw = Wind load on the glass due to ultimate design wind speed, Vult, computed in accordance with Section 1609. Fga = Short duration load on the glass as determined in accordance with ASTM E1300.",,,,,
