id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
29,,Plumbing Systems,Slab|Wall|BuildingElementProxy|Door|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,plumbing_systems,architect,
2901,Chapter 29 Plumbing Systems,General,,,,none,none,
2901.1,Section 2901 General,Scope,Covering|Slab|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,plumbing_systems,architect,"The provisions of this chapter and the Florida Building Code, Plumbing shall govern the erection, installation, alteration, repairs, relocation, replacement, addition to, use or maintenance of plumbing equipment and systems. Toilet and bathing rooms shall be constructed in accordance with Section 1210. Plumbing systems and equipment shall be constructed, installed and maintained in accordance with the Florida Building Code, Plumbing. Private sewage disposal systems shall conform to Chapter 64E—6, Florida Administrative Code, for Onsite Sewage Treatment and Disposal Systems."
2902,Chapter 29 Plumbing Systems,Minimum Plumbing Facilities,,,,none,none,
2902.1,Section 2902 Minimum Plumbing Facilities,Minimum Number of Fixtures,BuildingElementProxy|Door|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Institutional (I),sd|dd|cd,plumbing_systems,architect,"Plumbing fixtures shall be provided in the minimum number as shown in Table 2902.1 based on the actual use of the building or space. Uses not shown in Table 2902.1 shall be considered individually by the code official. The number of occupants shall be determined by this code.[P] TABLE 2902.1MINIMUM NUMBER OF REQUIRED PLUMBING FIXTURESa (See Sections 2902.1.1 and 2902.2) No. CLASSIFICATION DESCRIPTION WATER CLOSETS (URINALS SEE SECTION 424.2 OF THE FLORIDA BUILDING CODE, PLUMBING) LAVATORIES BATHTUBS/SHOWERS DRINKING FOUNTAINS (SEE SECTION 410 OF THE FLORIDA BUILDING CODE, PLUMBING) OTHER Male Female Male Female 1 Assembly Theaters and other buildings for the performing arts and motion picturesd 1 per 125 1 per 65 1 per 200 — 1 per 500 1 service sink Nightclubs, bars, taverns, dance halls and buildings for similar purposesd 1 per 40 1 per 40 1 per 75 — 1 per 500 1 service sink Restaurants, banquet halls and food courtsd 1 per 75 1 per 75 1 per 200 — 1 per 500 1 service sink Casino gaming areas 1 per 100 for the first 400 and 1 per 250 for the remainder exceeding 400 1 per 50 for the first 400 and 1 per 150 for the remainder exceeding 400 1 per 250 for the first 750 and 1 per 500 for the remainder exceeding 750 — 1 per 1,000 1 service sink Auditoriums without permanent seating, art galleries, exhibition halls, museums, lecture halls, libraries, arcades and gymnasiumsd 1 per 125 1 per 65 1 per 200 — 1 per 500 1 service sink Passenger terminals and transportation facilitiesd 1 per 500 1 per 500 1 per 750 — 1 per 1,000 1 service sink Places of worship and other religious servicesd 1 per 150 1 per 75 1 per 200 — 1 per 1,000 1 service sink Coliseums, arenas, skating rinks, pools and tennis courts for indoor sporting events and activities 1 per 75 for the first 1,500 and 1 per 120 for the remainder exceeding 1,500 1 per 40 for the first 1,520 and 1 per 60 for the remainder exceeding 1,520 1 per 200 1 per 150 — 1 per 1,000 1 service sink Stadiums, amusement parks, bleachers and grandstands for outdoor sporting events and activitiesf 1 per 75 for the first 1,500 and 1 per 120 for the remainder exceeding 1,500 1 per 40 for the first 1,520 and 1 per 60 for the remainder exceeding 1,520 1 per 200 1 per 150 — 1 per 1,000 1 service sink 2 Business Buildings for the transaction of business, professional services, other services involving merchandise, office buildings, banks, light industrial, ambulatory care and similar uses 1 per 25 for the first 50 and 1 per 50 for the remainder exceeding 50 1 per 40 for the first 80 and 1 per 80 for the remainder exceeding 80 — 1 per 100 1 service sinke 3 Educational Educational facilities 1 per 50 1 per 50 — 1 per 100 1 service sink 4 Factory and industrial Structures in which occupants are engaged in work fabricating, assembly or processing of products or materials 1 per 100 1 per 100 — 1 per 400 1 service sink 5 Institutional Custodial care facilities 1 per 10 1 per 10 1 per 8 1 per 100 1 service sink Medical care recipients in hospitals and nursing homesb 1 per roomc 1 per roomc 1 per 15 1 per 100 1 service sink Employees in hospitals and nursing homesb 1 per 25 1 per 35 — 1 per 100 — Visitors in hospitals and nursing homes 1 per 75 1 per 100 — 1 per 500 — Prisonsb 1 per cell 1 per cell 1 per 15 1 per 100 1 service sink Reformatories, detention centers and correctional centersb 1 per 15 1 per 15 1 per 15 1 per 100 1 service sink Employees in reformitories, detention centers and correctional centersb 1 per 25 1 per 35 — 1 per 100 — Adult day care and child day care 1 per 15 1 per 15 1 1 per 100 1 service sink 6 Mercantile Retail stores, service stations, shops, salesrooms, markets and shopping centers 1 per 500 1 per 750 — 1 per 1,000 1 service sinke 7 Residential Hotels, motels, boarding houses (transient) 1 per sleeping unit 1 per sleeping unit 1 per sleeping unit — 1 service sink Dormitories, fraternities, sororities and boarding houses (not transient) 1 per 10 1 per 10 1 per 8 1 per 100 1 service sink Apartment house 1 per dwelling unit 1 per dwelling unit 1 per dwelling unit — 1 kitchen sink per dwelling unit; 1 automatic clothes washer connection per 20 dwelling units One- and two-family dwellings and lodging houses with five or fewer guestrooms 1 per dwelling unit 1 per 10 1 per dwelling unit — 1 kitchen sink per dwelling unit; 1 automatic clothes washer connection per dwelling unit Congregate living facilities with 16 or fewer persons 1 per 10 1 per 10 1 per 8 1 per 100 1 service sink 8 Storage Structures for the storage of goods, warehouses, storehouses and freight depots, low and moderate hazard 1 per 100 1 per 100 — 1 per 1,000 1 service sink The fixtures shown are based on one fixture being the minimum required for the number of persons indicated or any fraction of the number of persons indicated. The number of occupants shall be determined by this code.Toilet facilities for employees shall be separate from facilities for inmates or care recipients.A single-occupant toilet room with one water closet and one lavatory serving not more than two adjacent patient sleeping units shall be permitted, provided that each patient sleeping unit has direct access to the toilet room and provisions for privacy for the toilet room user are provided.The occupant load for seasonal outdoor seating and entertainment areas shall be included when determining the minimum number of facilities required.For business and mercantile classifications with an occupant load of 15 or fewer, a service sink shall not be required.The required number and type of plumbing fixtures for outdoor swimming pools shall be in accordance with Section 403.6 of the Florida Building Code, Plumbing."
2902.1.1,Section 2902 Minimum Plumbing Facilities,Fixture Calculations,Slab|Wall|Door,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,plumbing_systems,architect,"To determine the occupant load of each sex, the total occupant load shall be divided in half. To determine the required number of fixtures, the fixture ratio or ratios for each fixture type shall be applied to the occupant load of each sex in accordance with Table 2902.1. Fractional numbers resulting from applying the fixture ratios of Table 2902.1 shall be rounded up to the next whole number. For calculations involving multiple occupancies, such fractional numbers for each occupancy shall first be summed and then rounded up to the next whole number. Exceptions: The total occupant load shall not be required to be divided in half where approved statistical data indicate a distribution of the sexes of other than 50 percent of each sex. Where multi-user facilities are designed to serve all genders, the minimum fixture count shall be calculated 100 percent, based on total occupant load. In such multi-user user facilities, each fixture type shall be in accordance with Florida Building Code, Accessibility, and each urinal that is provided shall be located in a stall. Distribution of the sexes is not required where single-user water closets and bathing room fixtures are provided in accordance with Section 2902.1.2."
2902.1.2,Section 2902 Minimum Plumbing Facilities,Single-User Toilet and Bathing Room Fixtures,,,,,,"The plumbing fixtures located in single-user toilet and bathing rooms, including family or assisted-use toilet and bathing rooms that are required by Chapter 11, shall contribute toward the total number of required plumbing fixtures for a building or tenant space. Single-user toilet and bathing rooms and family or assisted-use toilet rooms and bathing rooms shall be identified as being available for use by all persons regardless of their sex.The total number of fixtures shall be permitted to be based on the required number of separate facilities or based on the aggregate of any combination of single-user or separate facilities."
2902.1.3,Section 2902 Minimum Plumbing Facilities,Lavatory Distribution,Slab|Covering|Wall|Door,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Mercantile (M),sd|dd|cd,plumbing_systems,architect,"Where two or more toilet rooms are provided for each sex, the required number of lavatories shall be distributed proportionately to the required number of water closets."
2902.2,Section 2902 Minimum Plumbing Facilities,Separate Facilities,Slab|Wall|Door,Business (B)|Mercantile (M)|Residential (R)|Assembly (A)|Institutional (I),sd|dd|cd,plumbing_systems,architect,"Where plumbing fixtures are required, separate facilities shall be provided for each sex.Exceptions:Separate facilities shall not be required for dwelling units and sleeping units.Separate facilities shall not be required in structures or tenant spaces with a total occupant load, including both employees and customers, of 15 or fewer.Separate facilities shall not be required in mercantile occupancies in which the maximum occupant load is 100 or fewer.Separate facilities shall not be required in business occupancies in which the maximum occupant load is 25 or fewer.Separate facilities shall not be required to be designated by sex where single-user toilet rooms are provided in accordance with Section 2902.1.2.Separate facilities shall not be required where rooms having both water closets and lavatory fixtures are designed for use by both sexes and privacy for water closets is provided in accordance with Section 405.3.4 of the Florida Building Code, Plumbing. Urinals shall be located in an area visually separated from the remainder of the facility or each urinal that is provided shall be located in a stall."
2902.2.1,Section 2902 Minimum Plumbing Facilities,Family or Assisted-Use Toilet Facilities Serving as Separate Facilities,,,,,,"Where a building or tenant space requires a separate toilet facility for each sex and each toilet facility is required to have only one water closet, two family or assisted-use toilet facilities shall be permitted to serve as the required separate facilities. Family or assisted-use toilet facilities shall not be required to be identified for exclusive use by either sex as required by Section 2902.4."
