id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
11,,Additions,,,,,,
1101,Chapter 11 Additions,General,,,,,,
1101.1,Section 1101 General,Scope,"An addition to a building or structure shall comply with the Florida Building Code as adopted for new construction without requiring the existing building or structure to comply with any requirements of those codes or of these provisions, except as required by this chapter. Where an addition impacts the existing building or structure, that portion shall comply with this code.",Wall|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,occupancy_classification,architect
1101.2,Section 1101 General,Creation or Extension of Nonconformity,"An addition shall not create or extend any nonconformity in the existing building to which the addition is being made with regard to accessibility, structural strength, fire safety, means of egress, or the capacity of mechanical, plumbing, or electrical systems.",Wall|Slab|Roof|Column|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,special_construction,architect
1101.3,Section 1101 General,Other Work,Any repair or alteration work within an existing building to which an addition is being made shall comply with the applicable requirements for the work as classified in Chapter 6.,,,,,
1101.4,Section 1101 General,Enhanced Classroom Acoustics,"In Group E occupancies, enhanced classroom acoustics shall be provided in all classrooms in the addition with a volume of 20,000 cubic feet (565 m3) or less. Enhanced classroom acoustics shall comply with the reverberation time in Section 808 of ICC A117.1.",,,,,
1102,Chapter 11 Additions,Heights and Areas,,,,,,
1102.1,Section 1102 Heights and Areas,Height Limitations,"No addition shall increase the height of an existing building beyond that permitted under the applicable provisions of Chapter 5 of the Florida Building Code, Building for new buildings.",Wall|Slab|Roof|Column|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,building_height_area_limits,architect
1102.2,Section 1102 Heights and Areas,Area Limitations,"No addition shall increase the area of an existing building beyond that permitted under the applicable provisions of Chapter 5 of the Florida Building Code, Building for new buildings unless fire separation as required by the Florida Building Code, Building is provided.Exception: In-filling of floor openings and nonoccupiable appendages such as elevator and exit stairway shafts shall be permitted beyond that permitted by the Florida Building Code, Building.",Wall|Slab|Stair|Elevator|CurtainWall,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,building_height_area_limits,architect
1102.3,Section 1102 Heights and Areas,Fire Protection Systems,"Existing fire areas increased by the addition shall comply with Chapter 9 of the Florida Building Code, Building.Exception: If an existing warehouse is expanded, the addition must comply with the requirements in Chapter 9 of the Florida Building Code, Building; however, the existing warehouse need not be updated to meet those requirements so long as it is in compliance with the Florida Building Code, 2001 edition, and with requirements concerning automatic sprinkler systems in Section 903 of the Florida Building Code, Building.",Wall|Stair|Elevator|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer
1103,Chapter 11 Additions,Structural,,,,,,
1103.1,Section 1103 Structural,"Compliance With the Florida Building Code, Building","Additions to existing buildings or structures are new construction and shall comply with the Florida Building Code, Building.",,,,,
1103.2,Section 1103 Structural,Additional Gravity Loads,"Existing structural elements supporting any additional gravity loads as a result of additions shall comply with the Florida Building Code, Building.Exceptions:Structural elements whose stress is not increased by more than 5 percent.Buildings of Group R occupancy with no more than five dwelling units or sleeping units used solely for residential purposes where the existing building and the addition comply with the conventional light-frame construction methods of the Florida Building Code, Building or the provisions of the Florida Building Code, Residential.",,,,,
