id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
12,,Historic Buildings,Wall|Roof|Slab|Door|Window,Assembly (A)|Business (B)|Residential (R)|Mercantile (M),sd|dd|cd,special_construction,architect,
1201,Chapter 12 Historic Buildings,General,,,,none,none,
1201.1,Section 1201 General,Intent and Purpose,,,,,,"It is the intent of this chapter to provide means for occupant safety, property conservation and use of designated historic buildings while protecting those elements, spaces and features that make these buildings historically or architecturally significant."
1201.2,Section 1201 General,Scope,,,,,,"The provisions of this code acknowledge the need to preserve the character of historic buildings and shall apply to the repair, alteration, restoration, change of occupancy, addition and relocation of historic buildings."
1201.3,Section 1201 General,Flood Hazard Areas,,,,,,"In flood hazard areas, if all proposed work, including repairs, work required because of a change of occupancy, and alterations, constitutes substantial improvement, then the building shall comply with Section 1612 of the Florida Building Code, Building, or Section R322 of the Florida Building Code, Residential, as applicable.Exception: If the program that designated the building as historic determines that it will continue to be an historic building after the proposed work is completed, then the proposed work is not considered to be substantial improvement. For the purposes of this exception, an historic building is:Individually listed in the National Register of Historic Places; orA contributing resource within a National Register of Historic Places listed district; orDesignated as historic property under an official municipal, county, special district or state designation, law, ordinance or resolution either individually or as a contributing property in a district, provided the local program making the designation is approved by the Department of the Interior (the Florida state historic preservation officer maintains a list of approved local programs); orDetermined eligible by the Florida State Historic Preservation Officer for listing in the National Register of Historic Places, either individually or as a contributing property in a district."
1201.4,Section 1201 General,Accessibility Requirements,,,,,,"For accessibility requirements, see the Florida Building Code, Accessibility."
1202,Chapter 12 Historic Buildings,Definitions,,,,,,"ADAPTIVE REUSE. The conversion of functional change of a building from the purpose or use for which it was originally constructed or designed.ADAPTIVE USE. A use for a building other than that for which it was originally designed or intended.HISTORIC BUILDING. For the purposes of this code and the referenced documents, an historic building is defined as a building or structure that is:Individually listed in the National Register of Historic Places; orA contributing property in a National Register of Historic Places listed district; orDesignated as historic property under an official municipal, county, special district or state designation, law, ordinance or resolution either individually or as a contributing property in a district; orDetermined eligible by the Florida State Historic Preservation Officer for listing in the National Register of Historic Places, either individually or as a contributing property in a district.HISTORIC CHARACTER. The essential quality of an historic building or space that provides its significance. The character might be determined by the historic background, including association with a significant event or person, the architecture of design, or the contents or elements and finishes of the building or space.HISTORIC FABRIC. Original or added building or construction materials, features and finishes that existed during the period that is deemed to be most architecturally or historically significant or both.HISTORIC PRESERVATION. A generic term that encompasses all aspects of the professional and public concern related to the maintenance of an historic structure, site or element in its current condition, as originally constructed, or with the additions and alterations determined to have acquired significance over time.HISTORIC SITE. A place, often with associated structures, having historic significance.HISTORIC STRUCTURE. A building, bridge, lighthouse, monument, pier, vessel or other construction that is designated or that is deemed eligible for such designation by a local, regional or national jurisdiction as having historical, architectural or cultural significance.PRESERVATION. The act or process of applying measures necessary to sustain the existing form, integrity and materials of an historic building or structure.REHABILITATION, HISTORIC BUILDING. The act or process of making possible a compatible use of a property through repair, alterations and additions while preserving those portions or features which convey its historical, cultural or architectural values.RESTORATION. The act or process of accurately depicting the form, features and character of a property as it appeared at a particular period of time by means of the removal of features, and repair or replacement of damaged or altered features from the restoration period."
1203,Chapter 12 Historic Buildings,Standards and Guidelines for Rehabilitating Historic Buildings,,,,,,
1203.1,Section 1203 Standards and Guidelines for Rehabilitating Historic Buildings,Historic Preservation Goal,,,,,,"The historic preservation goal of this code shall be to minimize damage to and loss of historic structures, their unique characteristics and their contents as follows:Maintain and preserve original space configurations of historic buildings.Minimize alteration, destruction or loss of historic fabric or design."
1203.2,Section 1203 Standards and Guidelines for Rehabilitating Historic Buildings,Historic Preservation Objectives,,,,,,"Preservation of the original qualities or character of a building, structure, site or environment shall be encouraged.Removal or alteration of any historic material or distinctive architectural features shall be minimized.Distinctive stylistic features or examples of skilled craftsmanship that characterize a building, structure or site shall be treated with sensitivity.A compatible use for a property that requires minimal alteration of the building, structure or site and its environment shall be encouraged.New additions or alterations shall be designed and constructed in such a manner that if such additions or alterations were to be removed in the future, the essential form and integrity of the structure would be unimpaired to the greatest degree possible.Repairs, alterations, restorations, changes of occupancy, additions and relocations shall be guided by the recommended approaches in rehabilitation set forth in the Secretary of the Interior's Standards for Rehabilitation and Guidelines for Rehabilitating Historic Buildings (Appendix B)."
1204,Chapter 12 Historic Buildings,Equivalency,,,,,,
1204.1,Section 1204 Equivalency,Equivalency,,,,,,"Nothing in this code shall be intended to prevent the use of systems, methods or devices of equivalent or superior quality, strength, fire resistance or effectiveness, provided that the following conditions are met:Technical documentation is submitted to the building official to document equivalency.The system, method or device is acceptable to the building official."
1205,Chapter 12 Historic Buildings,Compliance,,,,,,
1205.1,Section 1205 Compliance,Strict Compliance,,,,,,Historic structures or portions of such structures that do not strictly comply with this code shall be considered to be in compliance if it can be shown to the satisfaction of the building code official that equivalent protection has been provided or that no hazard will be created or continued through noncompliance.
1205.2,Section 1205 Compliance,Compliance Option,,,,,,"Life safety and property conservation shall be provided in accordance with one of the following options:Prescriptive-based provisions of this code.Compliance alternative-based provisions of this code.Performance-based provisions of NFPA 914, Code for Fire Protection of Historic Structures, Chapter 6, along with a structural evaluation as specified in Section 1401.4.1 of this code."
1205.3,Section 1205 Compliance,Conditions Specific to Compliance Options 2 and 3,,,,,,"Architect or engineer required. The evaluation of historic structures utilizing Compliance Options 2 or 3 shall be completed by a Florida-registered architect or engineer and submitted to the building code official for review.Documentation. Historic buildings that are determined to be code compliant through the use of Compliance Option 2 or 3 shall have copies of the architect or engineer's report kept on site and available for review by the building official.Change of report assumptions. Any remodeling, modification, renovation, change of use or change in the established assumptions of the report shall require a reevaluation and reapproval by the building code official.Construction safeguards. Construction safeguards consistent with Chapter 15 and NFPA 914, Code for Fire Protection of Historic Structures, shall be maintained during periods of repair, alteration, change of occupancy, addition and relocation of historic buildings.Maintenance. In addition to the requirements of Section 1204, historic buildings shall be maintained in accordance with Chapters 1, 2, 8, 9, 10 and 11 of NFPA 914, Code for Fire Protection of Historic Structures."
1206,Chapter 12 Historic Buildings,Investigation and Evaluation,,,,,,
1206.1,Section 1206 Investigation and Evaluation,Investigation and Evaluation Report,,,,,,"An historic building undergoing alteration or change of occupancy shall be investigated and evaluated. If it is intended that the building meet the requirements of this chapter, a written report shall be prepared and filed with the building official by a Florida-registered architect or engineer. Such report shall be in accordance with the provisions of Sections 4.3.1.2 through 4.3.2 of NFPA 914, Code for Fire Protection of Historic Structures and shall identify each required safety feature that is in compliance with this chapter and where compliance with this or other chapters would be damaging to the contributing historic features. In addition, the report shall describe each feature that is not in compliance and demonstrate how the intent of the provisions of this or other chapters are complied with in providing an equivalent level of safety."
1207,Chapter 12 Historic Buildings,Historic Cuban Tile,,,,,,
1207.1,Section 1207 Historic Cuban Tile,1207.1,,,,,,"Historic Cuban tile is a material with distinct architectural features and unity and with examples of skilled craftsmanship. In order to preserve its use and in accordance with Section 1203.2, Historic preservation objectives, its use shall be preserved for both existing and new construction with the following requirements."
