id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
5,,Prescriptive Compliance Method,Wall|Slab|Roof,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,building_height_area_limits,architect,
501,Chapter 5 Prescriptive Compliance Method,General,,,,none,none,
501.1,Section 501 General,Scope,Wall|Slab|Door,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,occupancy_classification,architect,"The provisions of this chapter shall control the alteration, repair, addition and change of occupancy or relocation of existing buildings and structures, including historic buildings and structures as referenced in Section 301.3.1."
501.1.1,Section 501 General,Compliance With Other Methods,Wall|Door|Slab,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,occupancy_classification,architect,"Alterations, additions and changes of occupancy to, or relocation of, existing buildings and structures shall comply with the provisions of this chapter or with one of the methods provided in Section 301.3."
501.2,Section 501 General,Fire-Resistance Ratings,Wall|Slab|Door,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),dd|cd,fire_resistance_smoke_protection,architect,"Where approved by the code official, buildings where an automatic sprinkler system installed in accordance with Section 903.3.1.1 or 903.3.1.2 of the Florida Building Code, Building has been added, and the building is now sprinklered throughout, the required fire-resistance ratings of building elements and materials shall be permitted to meet the requirements of the current building code. The building is required to meet the other applicable requirements of the Florida Building Code, Building. Plans, investigation and evaluation reports, and other data shall be submitted indicating which building elements and materials the applicant is requesting the code official to review and approve for determination of applying the current building code fire-resistance ratings. Any special construction features, including fire-resistance-rated assemblies and smoke-resistive assemblies, conditions of occupancy, means of egress conditions, fire code deficiencies, approved modifications or approved alternative materials, design and methods of construction, and equipment applying to the building that impact required fire-resistance ratings shall be identified in the evaluation reports submitted."
501.3,Section 501 General,New and Replacement Materials,,,,,,"Except as otherwise required or permitted by this code, materials permitted by the applicable code for new construction shall be used. Like materials shall be permitted for alterations, provided no hazard to life, health or property is created. Hazardous materials shall not be used where the code for new construction would not permit their use in buildings of similar occupancy, purpose and location."
501.4,Section 501 General,Dangerous Conditions,,,,,,The building official shall have the authority to require the elimination of conditions deemed dangerous.
502,Chapter 5 Prescriptive Compliance Method,Additions,,,,none,none,
502.1,Section 502 Additions,General,Wall|Slab|Roof|Stair|Elevator,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,building_height_area_limits,architect,"Additions to any building or structure shall comply with the requirements of the Florida Building Code, Building for new construction. Alterations to the existing building or structure shall be made to ensure that the existing building or structure together with the addition are no less conforming to the provisions of the Florida Building Code, Building than the existing building or structure was prior to the addition. An existing building together with its additions shall comply with the height and area provisions of Chapter 5 of the Florida Building Code, Building."
502.2,Section 502 Additions,Flood Hazard Areas,Footing|Slab|Wall|Column,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,site_planning,architect,"For buildings and structures in flood hazard areas established in Section 1612.3 of the Florida Building Code, Building, or Section R322 of the Florida Building Code, Residential, as applicable, any addition that constitutes substantial improvement of the existing structure shall comply with the flood design requirements for new construction, and all aspects of the existing structure shall be brought into compliance with the requirements for new construction for flood design. For new foundations, foundations raised or extended upward, and replacement foundations, the foundations shall be in compliance with the requirements for new construction for flood design.For buildings and structures in flood hazard areas established in Section 1612.3 of the Florida Building Code, Building, or Section R322 of the Florida Building Code, Residential, as applicable, any additions that do not constitute substantial improvement of the existing structure are not required to comply with the flood design requirements for new construction, provided that both of the following apply:The addition shall not create or extend a nonconformity of the existing building or structure with the flood resistant construction requirements than the existing building or structure was prior to the additionThe lowest floor of the addition shall be at or above the lower of the lowest floor of the existing building or structure or the lowest floor elevation required in Section 1612 of the Florida Building Code, Building or Section R322 of the Florida Building Code, Residential, as applicable."
502.3,Section 502 Additions,Existing Structural Elements Carrying Gravity Load,Beam|Column|Footing|Slab|Wall,Residential (R)|Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F),sd|dd|cd,structural_design,structural_engineer,"Any existing gravity load-carrying structural element for which an addition and its related alterations cause an increase in design gravity load of more than 5 percent shall be strengthened, supplemented, replaced or otherwise altered as needed to carry the increased gravity load required by the Florida Building Code, Building for new structures. Any existing gravity load-carrying structural element whose gravity load-carrying capacity is decreased shall be considered an altered element subject to the requirements of Section 503.3. Any existing element that will form part of the lateral load path for any part of the addition shall be considered an existing lateral load-carrying structural element subject to the requirements of Section 502.4."
502.3.1,Section 502 Additions,Design Live Load,,,,,,"Where the addition does not result in increased design live load, existing gravity load-carrying structural elements shall be permitted to be evaluated and designed for live loads approved prior to the addition. If the approved live load is less than that required by Section 1607 of the Florida Building Code, Building, the area designed for the nonconforming live load shall be posted with placards of approved design indicating the approved live load. Where the addition does result in increased design live load, the live load required by Section 1607 of the Florida Building Code, Building shall be used."
