id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
19,,"Special Appliances, Equipment and Systems",,,,,,
M1901,"Chapter 19 Special Appliances, Equipment and Systems",Ranges and Ovens,,,,,,
M1901.1,"Chapter 19 Special Appliances, Equipment and Systems",Clearances,Freestanding or built-in ranges shall have a vertical clearance above the cooking top of not less than 30 inches (762 mm) to unprotected combustible material. Reduced clearances are permitted in accordance with the listing and labeling of the range hoods or appliances. The installation of a listed and labeled cooking appliance or microwave oven over a listed and labeled cooking appliance shall be in accordance with Section M1504.1. The clearances for a domestic open-top broiler unit shall be in accordance with Section M1505.1.,,,,,
M1901.2,"Chapter 19 Special Appliances, Equipment and Systems",Cooking Appliances,Cooking appliances shall be listed and labeled for household use and shall be installed in accordance with the manufacturer's instructions. The installation shall not interfere with combustion air or access for operation and servicing. Electric cooking appliances shall comply with UL 1026 or UL 858. Solid-fuel-fired fireplace stoves shall comply with UL 737.,,,,,
M1902,"Chapter 19 Special Appliances, Equipment and Systems",Sauna Heaters,,,,,,
M1902.1,"Chapter 19 Special Appliances, Equipment and Systems",Locations and Protection,"Sauna heaters shall be protected from accidental contact by persons with a guard of material having a low thermal conductivity, such as wood. The guard shall not have a substantial effect on the transfer of heat from the heater to the room.",,,,,
M1902.2,"Chapter 19 Special Appliances, Equipment and Systems",Installation,Sauna heaters shall be installed in accordance with the manufacturer's instructions. Sauna heaters shall comply with UL 875.,,,,,
M1902.3,"Chapter 19 Special Appliances, Equipment and Systems",Combustion Air,"Combustion air and venting for a nondirect vent-type heater shall be provided in accordance with Chapters 17 and 18, respectively.",,,,,
M1902.4,"Chapter 19 Special Appliances, Equipment and Systems",Controls,"Sauna heaters shall be equipped with a thermostat that will limit room temperature to not greater than 194°F (90°C). Where the thermostat is not an integral part of the heater, the heat-sensing element shall be located within 6 inches (152 mm) of the ceiling.",,,,,
M1903,"Chapter 19 Special Appliances, Equipment and Systems",Section M1903,RESERVED,,,,,
M1904,"Chapter 19 Special Appliances, Equipment and Systems",Gaseous Hydrogen Systems,,,,,,
M1904.1,"Chapter 19 Special Appliances, Equipment and Systems",Installation,"Gaseous hydrogen systems shall be installed in accordance with the applicable requirements of Section M1307.4 and the Florida Building Code, Fuel Gas, the Florida Fire Prevention Code and the Florida Building Code, Building.",,,,,
M1905,"Chapter 19 Special Appliances, Equipment and Systems",Residential Permanently Installed Stand-by Generators,,,,,,
M1905.1,"Chapter 19 Special Appliances, Equipment and Systems",Listed and Labeled,Permanently installed stand-by generators regulated by this code shall be listed and labeled for the application in which they are installed and used.,,,,,
M1905.2,"Chapter 19 Special Appliances, Equipment and Systems",Installation,Installation of permanently installed stand-by generators shall comply with manufacturer's installation instructions and listing conditions.,,,,,
M1905.2.1,"Chapter 19 Special Appliances, Equipment and Systems",Electrical Installation,"Electrical installation of permanently installed stand-by generators shall comply with the applicable provisions of NFPA 70, National Electrical Code, manufacturer's installation instructions, and conditions of the listing.",,,,,
M1905.2.2,"Chapter 19 Special Appliances, Equipment and Systems",Flood Hazard,"In flood hazard areas as established by Table R301.2(1), permanently installed stand-by generators shall be located or installed in accordance with Section R322.1.6.",,,,,
M1905.2.3.1,"Chapter 19 Special Appliances, Equipment and Systems",Fuel Gas,Fuel gas installation for permanently installed stand-by generators shall comply with the applicable provisions of Chapter 24 of this code.,,,,,
M1905.2.3.2,"Chapter 19 Special Appliances, Equipment and Systems",Liquid Fuel,Liquid fuel installation for permanently installed stand-by generators shall comply with the applicable provisions of NFPA-30.,,,,,
M1905.2.4,"Chapter 19 Special Appliances, Equipment and Systems",Wind Resistance,Permanently installed standby generators that are exposed to wind shall be designed and installed to resist the wind pressures determined in accordance with this code.,,,,,
M1905.2.5,"Chapter 19 Special Appliances, Equipment and Systems",Exhaust Location,"Permanently installed residential standby generator's exhaust shall be located to not create a nuisance. Exhaust termination shall be a minimum of 10 feet (3048 mm) from any openings that could allow fumes into the building (doors, operable windows, eave vents, etc.) or air intakes.Exception:The generator exhaust can be located a minimum of 5 feet (1524 mm) from any such openings (doors, operable windows, eave vents, etc.) or in compliance with generator manufacturer installation requirements and listing, whichever is more restrictive, if all of the following are complied with:A carbon monoxide (CO) alarm(s) is installed in the residency within 10 feet (3048 mm) of each room used for sleeping purposes, or in accordance with the alarm's manufacturer installation requirements and listing, whichever is more restrictive.An additional carbon monoxide (CO) alarm is installed in the residency as close as possible to the building's exterior opening nearest to the generator exhaust.The carbon monoxide (CO) alarms mentioned above shall be of the types required by Sections R315.1.1 or R315.1.2 of this code.",,,,,
