id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
44,,High-Velocity Hurricane Zones,,,,,,
R4401,Chapter 44 High-Velocity Hurricane Zones,High-Velocity Hurricane Zones — Exterior Wall Covering,,,,,,
R4401.1,Chapter 44 High-Velocity Hurricane Zones,R4401.1,"Refer to Chapter 14 of the Florida Building Code, Building.",,,,,
R4402,Chapter 44 High-Velocity Hurricane Zones,High-Velocity Hurricane Zones — Roof Assemblies and Rooftop Structures,,,,,,
R4402.1,Chapter 44 High-Velocity Hurricane Zones,R4402.1,"Refer to Chapter 15 of the Florida Building Code, Building.",,,,,
R4403,Chapter 44 High-Velocity Hurricane Zones,High-Velocity Hurricane Zones — General,,,,,,
R4403.1,Chapter 44 High-Velocity Hurricane Zones,R4403.1,"Refer to Chapter 16 of the Florida Building Code, Building.",,,,,
R4404,Chapter 44 High-Velocity Hurricane Zones,High-Velocity Hurricane Zones — Foundations and Retaining Walls,,,,,,
R4404.1,Chapter 44 High-Velocity Hurricane Zones,R4404.1,"Refer to Chapter 18 of the Florida Building Code, Building.",,,,,
R4405,Chapter 44 High-Velocity Hurricane Zones,High-Velocity Hurricane Zones — Concrete,,,,,,
R4405.1,Chapter 44 High-Velocity Hurricane Zones,R4405.1,"Refer to Chapter 19 of the Florida Building Code, Building.",,,,,
4406,Chapter 44 High-Velocity Hurricane Zones,High-Velocity Hurricane Zones — Light Metal Alloys,,,,,,
R4406.1,Section 4406 High-Velocity Hurricane Zones — Light Metal Alloys,Aluminum,"Refer to Chapter 20 of the Florida Building Code, Building.",,,,,
4407,Chapter 44 High-Velocity Hurricane Zones,High-Velocity Hurricane Zones — Masonry,,,,,,
R4407.1,Section 4407 High-Velocity Hurricane Zones — Masonry,R4407.1,"Refer to Chapter 21 of the Florida Building Code, Building.",,,,,
4408,Chapter 44 High-Velocity Hurricane Zones,High-Velocity Hurricane Zones — Steel,,,,,,
R4408.1,Section 4408 High-Velocity Hurricane Zones — Steel,R4408.1,"Refer to Chapter 22 of the Florida Building Code, Building.",,,,,
4409,Chapter 44 High-Velocity Hurricane Zones,High-Velocity Hurricane Zones — Wood,,,,,,
R4409.1,Section 4409 High-Velocity Hurricane Zones — Wood,R4409.1,"Refer to Chapter 23 of the Florida Building Code, Building.",,,,,
R4410,Chapter 44 High-Velocity Hurricane Zones,High-Velocity Hurricane Zones — Glass and Glazing,,,,,,
R4410.1,Chapter 44 High-Velocity Hurricane Zones,R4410.1,"Refer to Chapter 24 of the Florida Building Code, Building.",,,,,
R4411,Chapter 44 High-Velocity Hurricane Zones,High-Velocity Hurricane Zones — Gypsum Board and Plaster,,,,,,
R4411.1,Chapter 44 High-Velocity Hurricane Zones,R4411.1,"Refer to Chapter 25 of the Florida Building Code, Building.",,,,,
R4412,Chapter 44 High-Velocity Hurricane Zones,High-Velocity Hurricane Zones — Plastics,,,,,,
R4412.1,Chapter 44 High-Velocity Hurricane Zones,R4412.1,"Refer to Chapter 26 of the Florida Building Code, Building.",,,,,
