id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
5,,Floors,,Slab|Beam|Member,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer
R501,Chapter 5 Floors,General,,,,,none,none
R501.1,Chapter 5 Floors,Application,"The provisions of this chapter shall control the design and construction of the floors for buildings, including the floors of attic spaces used to house mechanical or plumbing fixtures and equipment.Exception: Buildings and structures located within the High-Velocity Hurricane Zone shall comply with the provisions of Chapter 44.",Slab|Covering,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,assemblies_envelope,architect
R501.2,Chapter 5 Floors,Requirements,Floor construction shall be capable of accommodating all loads in accordance with Section R301 and of transmitting the resulting loads to the supporting structural elements.,Slab|Beam|Joist|Footing|Column,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,structural_design,structural_engineer
R502,Chapter 5 Floors,Wood Floor Framing,,,,,none,none
R502.1,Chapter 5 Floors,General,Wood and wood-based products used for load-supporting purposes shall conform to the applicable provisions of this section.,Beam|Column|Slab|Wall|Roof,Assembly (A)|Business (B)|Residential (R)|Educational (E)|Institutional (I),sd|dd|cd,structural_design,structural_engineer
R502.1.1,Chapter 5 Floors,Sawn Lumber,"Sawn lumber shall be identified by a grade mark of an accredited lumber grading or inspection agency and have design values certified by an accreditation body that complies with DOC PS 20. In lieu of a grade mark, a certificate of inspection issued by a lumber grading or inspection agency meeting the requirements of this section shall be accepted.",Beam|Column|Slab|Wall,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,finishes_materials,architect
R502.1.1.1,Chapter 5 Floors,Preservative-Treated Lumber,Preservative treated dimension lumber shall also be identified as required by Section R317.2.,Wall|Beam|Slab|Column,Residential (R)|Business (B),sd|dd|cd,finishes_materials,architect
R502.1.1.2,Chapter 5 Floors,End-Jointed Lumber,"Approved end-jointed lumber identified by a grade mark conforming to Section R502.1.1 shall be permitted to be used interchangeably with solid-sawn members of the same species and grade. End-jointed lumber used in an assembly required elsewhere in this code to have a fire-resistance rating shall have the designation ""Heat-Resistant Adhesive"" or ""HRA"" included in its grade mark.",Beam|Column|Slab|Plate|Wall,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,fire_resistance_smoke_protection,architect
R502.1.2,Chapter 5 Floors,Prefabricated Wood I-Joists,Structural capacities and design provisions for prefabricated wood I-joists shall be established and monitored in accordance with ASTM D5055.,Beam|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,structural_design,structural_engineer
R502.1.3,Chapter 5 Floors,Structural Glued Laminated Timbers,"Glued laminated timbers shall be manufactured and identified as required in ANSI A190.1, ANSI 117 and ASTM D3737.",,,,,
R502.1.4,Chapter 5 Floors,Structural Log Members,Structural log members shall comply with the provisions of ICC-400.,Wall|Beam|Column,Residential (R)|Assembly (A)|Business (B),sd|dd|cd,structural_design,structural_engineer
R502.1.5,Chapter 5 Floors,Structural Composite Lumber,Structural capacities for structural composite lumber shall be established and monitored in accordance with ASTM D5456.,Beam|Column|Member|Slab|Wall,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,structural_design,structural_engineer
R502.1.6,Chapter 5 Floors,Cross-Laminated Timber,Cross-laminated timber shall be manufactured and identified as required by ANSI/APA PRG 320.,Slab|Wall|Roof,Assembly (A)|Business (B)|Residential (R)|Educational (E)|Mercantile (M),sd|dd|cd,construction_type_ratings,architect
R502.1.7,Chapter 5 Floors,Engineered Wood Rim Board,Engineered wood rim boards shall conform to ANSI/APA PRR 410 or shall be evaluated in accordance with ASTM D7672. Structural capacities shall be in accordance with ANSI/APA PRR 410 or established in accordance with ASTM D7672. Rim boards conforming to ANSI/APA PRR 410 shall be marked in accordance with that standard.,Slab|Beam|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer
R502.2,Chapter 5 Floors,Design and Construction,Floors shall be designed in accordance with Sections R301.2.1.1 or ANSI AWC NDS.Figure R502.2 Floor Construction. Reserved.,Slab|Beam|Member,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,structural_design,structural_engineer
R502.2.1,Chapter 5 Floors,Framing at Braced Wall Lines,Reserved.,Wall|Slab|Beam|Column|BuildingElementProxy,Residential (R)|Assembly (A)|Business (B)|Educational (E)|Institutional (I),sd|dd|cd,structural_design,structural_engineer
R502.2.2,Chapter 5 Floors,Blocking and Subflooring,Reserved.,Slab|Beam|Member,Residential (R)|Assembly (A)|Business (B),sd|dd|cd,finishes_materials,architect
R502.3,Chapter 5 Floors,Allowable Joist Spans,Reserved.,Beam|Slab,Residential (R)|Assembly (A)|Business (B)|Educational (E),sd|dd|cd,structural_design,structural_engineer
R502.3.1,Chapter 5 Floors,Sleeping Areas and Attic Joists,Reserved.Table R502.3.1(1) Floor Joist Spans for Common Lumber Species. Reserved.Table R502.3.1(2) Floor Joist Spans for Common Lumber Species. Reserved.,Slab|Beam|Member,Residential (R),sd|dd|cd,structural_design,structural_engineer
R502.3.2,Chapter 5 Floors,Other Floor Joists,Reserved.,Beam|Slab,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,structural_design,structural_engineer
R502.3.3,Chapter 5 Floors,Floor Cantilevers,Reserved.Table R502.3.3(1) Cantilever Spans for Floor Joists Supporting Light-Frame Exterior Bearing Wall and Roof Only. Reserved.Table R502.3.3(2) Cantilever Spans for Floor Joists Supporting Exterior Balcony. Reserved.,Slab|Beam|Wall|Footing,Residential (R)|Assembly (A)|Business (B),sd|dd|cd,structural_design,structural_engineer
R502.4,Chapter 5 Floors,Joists Under Bearing Partitions,Reserved.,Joist|Bearing|Wall|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer
R502.5,Chapter 5 Floors,Allowable Girder and Header Spans,Reserved.,Beam|Bearing|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer
R502.6,Chapter 5 Floors,Bearing,Reserved.,Beam|Bearing|BuildingElementProxy|Footing,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer
R502.6.1,Chapter 5 Floors,Floor Systems,Reserved.,Beam|Bearing|Member|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer
R502.6.2,Chapter 5 Floors,Joist Framing,Reserved.,Beam|Joist|Member,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer
R502.7,Chapter 5 Floors,Lateral Restraint at Supports,Reserved.,Beam|Member|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R),sd|dd|cd,structural_design,structural_engineer
R502.7.1,Chapter 5 Floors,Bridging,Reserved.,Beam|Slab|Member,Residential (R)|Assembly (A)|Business (B)|Educational (E),sd|dd|cd,structural_design,structural_engineer
R502.8,Chapter 5 Floors,"Cutting, Drilling and Notching","Reserved.Figure R502.8 Cutting, Notching and Drilling. Reserved.",Beam|Slab|Plate,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer
R502.8.1,Chapter 5 Floors,Sawn Lumber,Reserved.,Beam|Member,Assembly (A)|Business (B)|Residential (R)|Educational (E)|Mercantile (M),sd|dd|cd,structural_design,structural_engineer
R502.8.2,Chapter 5 Floors,Engineered Wood Products,Reserved.,Beam|Slab|Column,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,structural_design,structural_engineer
R502.9,Chapter 5 Floors,Fastening,Reserved.,Beam|Slab|Column|BuildingElementProxy,Residential (R)|Assembly (A)|Business (B),sd|dd|cd,structural_design,structural_engineer
R502.10,Chapter 5 Floors,Framing of Openings,Reserved.,Slab|Beam|Member,Residential (R)|Assembly (A)|Business (B),sd|dd|cd,structural_design,structural_engineer
R502.11.1,Chapter 5 Floors,Design,Wood trusses shall be designed in accordance with approved engineering practice. The design and manufacture of metal-plate-connected wood trusses shall comply with ANSI/TPI 1. The truss design drawings shall be prepared by a registered professional where required by the Florida Statutes.,,,,,
R502.11.2,Chapter 5 Floors,Bracing,"Trusses shall be braced to prevent rotation and provide lateral stability in accordance with the requirements specified in the construction documents for the building and on the individual truss design drawings. In the absence of specific bracing requirements, trusses shall be braced in accordance with accepted industry practices, such as the SBCA Building Component Safety Information (BCSI) Guide to Good Practice for Handling, Installing &amp; Bracing of Metal Plate Connected Wood Trusses.",,,,,
R502.11.3,Chapter 5 Floors,Alterations to Trusses,"Truss members and components shall not be cut, notched, spliced or otherwise altered in any way without the approval of a registered design professional. Alterations resulting in the addition of load that exceed the design load for the truss, shall not be permitted without verification that the truss is capable of supporting the additional loading.",,,,,
R502.11.4,Chapter 5 Floors,Truss Design Drawings,"Truss design drawings, prepared in compliance with Section R502.11.1, shall be submitted to the building official and approved prior to installation. Truss design drawings shall be provided with the shipment of trusses delivered to the job site. Truss design drawings shall include, at a minimum, the information specified as follows: Slope or depth, span and spacing. Location of all joints. Required bearing widths. Design loads as applicable: Top chord live load. Top chord dead load. Bottom chord live load. Bottom chord dead load. Concentrated loads and their points of application. Controlling wind loads. Adjustments to lumber and joint connector design values for conditions of use. Each reaction force and direction. Joint connector type and description, such as size, thickness or gage, and the dimensioned location of each joint connector except where symmetrically located relative to the joint interface. Lumber size, species and grade for each member. Connection requirements for: Truss-to-girder-truss. Truss ply-to-ply. Field splices. Calculated deflection ratio and/or maximum description for live and total load. Maximum axial compression forces in the truss members to enable the building designer to design the size, connections and anchorage of the permanent continuous lateral bracing. Forces shall be shown on the truss drawing or on supplemental documents. Required permanent truss member bracing location.",,,,,
R502.12,Chapter 5 Floors,Draftstopping Required,Draftstopping shall be provided in accordance with Section R302.12.,,,,,
R502.13,Chapter 5 Floors,Fireblocking Required,Fireblocking shall be provided in accordance with Section R302.11.,,,,,
R503,Chapter 5 Floors,Floor Sheathing,,,,,none,none
R503.1,Chapter 5 Floors,Design and Construction,Floor sheathing shall be in accordance with Section R301.2.1.1 or ANSI AWC NDS.Table R503.1 Minimum Thickness of Lumber Floor Sheathing. Reserved.,,,,,
R503.2,Chapter 5 Floors,Wood Structural Panel Sheathing,Reserved.,,,,,
R503.2.1,Chapter 5 Floors,Identification and Grade,Reserved.,Slab|Wall|Roof,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,finishes_materials,architect
R503.2.1.1,Chapter 5 Floors,Subfloor and Combined Subfloor Underlayment,Reserved.Table R503.2.1.1(1) Allowable Spans and Loads for Wood Structural Panels for Roof and Subfloor Sheathing and Combination Subfloor Underlayment. Reserved.Table R503.2.1.1(2) Allowable Spans for Sanded Plywood Combination Subfloor Underlayment. Reserved.,Slab|Covering,Residential (R)|Business (B)|Educational (E)|Assembly (A),sd|dd|cd,assemblies_envelope,architect
R503.2.2,Chapter 5 Floors,Allowable Spans,Reserved.,Slab,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,structural_design,structural_engineer
R503.2.3,Chapter 5 Floors,Installation,Reserved.,Slab,Residential (R)|Business (B)|Assembly (A)|Educational (E)|Mercantile (M),sd|dd|cd,assemblies_envelope,architect
R503.3,Chapter 5 Floors,Particleboard,Reserved.,,,,,
R503.3.1,Chapter 5 Floors,Identification and Grade,Reserved.,Slab|Wall|Roof|Covering,Business (B)|Residential (R)|Educational (E)|Assembly (A)|Mercantile (M),sd|dd|cd,finishes_materials,architect
R503.3.2,Chapter 5 Floors,Floor Underlayment,Reserved.,Slab|Covering,Residential (R)|Business (B)|Educational (E)|Assembly (A)|Mercantile (M),sd|dd|cd,finishes_materials,architect
R503.3.3,Chapter 5 Floors,Installation,Reserved.,Slab|Covering,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),cd|ca,finishes_materials,architect
R504,Chapter 5 Floors,Pressure Preservative-Treated Wood Floors (On Ground),,,,,none,none
R504.1,Chapter 5 Floors,General,Pressure preservative treated-wood basement floors and floors on ground shall be designed to withstand axial forces and bending moments resulting from lateral soil pressures at the base of the exterior walls and floor live and dead loads. Floor framing shall be designed to meet joist deflection requirements in accordance with Section R301.,Slab|Beam|Floor|Wall,Residential (R),sd|dd|cd,structural_design,structural_engineer
R504.1.1,Chapter 5 Floors,Unbalanced Soil Loads,"Unless special provision is made to resist sliding caused by unbalanced lateral soil loads, wood basement floors shall be limited to applications where the differential depth of fill on opposite exterior foundation walls is 2 feet (610 mm) or less.",Slab|Footing|Wall,Residential (R),sd|dd|cd,structural_design,structural_engineer
R504.1.2,Chapter 5 Floors,Construction,Joists in wood basement floors shall bear tightly against the narrow face of studs in the foundation wall or directly against a band joist that bears on the studs. Plywood subfloor shall be continuous over lapped joists or over butt joints between in-line joists. Sufficient blocking shall be provided between joists to transfer lateral forces at the base of the end walls into the floor system.,Slab|Beam|Wall|Member,Residential (R),sd|dd|cd,structural_design,structural_engineer
R504.1.3,Chapter 5 Floors,Uplift and Buckling,"Where required, resistance to uplift or restraint against buckling shall be provided by interior bearing walls or properly designed stub walls anchored in the supporting soil below.",Wall|Bearing|BuildingElementProxy|Footing,Residential (R)|Assembly (A)|Business (B),sd|dd|cd,structural_design,structural_engineer
R504.2,Chapter 5 Floors,Site Preparation,"The area within the foundation walls shall have all vegetation, topsoil and foreign material removed, and any fill material that is added shall be free of vegetation and foreign material. The fill shall be compacted to ensure uniform support of the pressure preservative-treated wood floor sleepers.",Slab|Footing|EarthworksElement,Residential (R),sd|dd|cd,site_planning,civil_engineer
