id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
32,,Encroachments Into the Public Right-of-Way,Wall|Slab|Roof|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,site_planning,architect,User notes:About this chapter: From time to time it is necessary or appropriate for a portion of a building to encroach onto an adjoining public right-of-way. Chapter 32 establishes parameters for such encroachments not only at grade but also above and below grade.Code development reminder: Code change proposals to sections in this chapter will be considered by one of the code development committees meeting during the 2025 (Group B) Code Development Cycle.
3201,Chapter 32 Encroachments Into the Public Right-of-Way,General,,,,none,none,
3201.1,Section 3201 General,Scope,Wall|Balcony|Roof|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Mercantile (M),sd|dd|cd,site_planning,architect,The provisions of this chapter shall govern the encroachment of structures into the public right-of-way.
3201.2,Section 3201 General,Measurement,Wall|Roof|Window,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,site_planning,architect,The projection of any structure or portion thereof shall be the distance measured horizontally from the lot line to the outermost point of the projection.
3201.3,Section 3201 General,Other Laws,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Institutional (I),concept|sd|dd|cd,site_planning,architect,The provisions of this chapter shall not be construed to permit the violation of other laws or ordinances regulating the use and occupancy of public property.
3201.4,Section 3201 General,Drainage,Roof|Covering|Slab,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,plumbing_systems,architect,"Drainage water collected from a roof, awning, canopy or marquee, and condensate from mechanical equipment shall not flow over a public walking surface."
3202,Chapter 32 Encroachments Into the Public Right-of-Way,Encroachments,,,,none,none,
3202.1,Section 3202 Encroachments,Encroachments Below Grade,Wall|Slab|Footing|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,site_planning,architect,Encroachments below grade shall comply with Sections 3202.1.1 through 3202.1.3.
3202.1.1,Section 3202 Encroachments,Structural Support,Footing|Wall,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,site_planning,architect,"A part of a building erected below grade that is necessary for structural support of the building or structure shall not project beyond the lot lines, except that the footings of street walls or their supports that are located not less than 8 feet (2438 mm) below grade shall not project more than 12 inches (305 mm) beyond the street lot line."
3202.1.2,Section 3202 Encroachments,Vaults and Other Enclosed Spaces,Slab|Wall|BuildingElementProxy,Business (B)|Residential (R)|Assembly (A),sd|dd|cd,site_planning,architect,The construction and utilization of vaults and other enclosed spaces below grade shall be subject to the terms and conditions of the applicable governing authority.
3202.1.3,Section 3202 Encroachments,Areaways,Covering|Railing|Slab,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,accessibility,architect,"Areaways shall be protected by grates, guards or other approved means."
3202.2,Section 3202 Encroachments,Encroachments Above Grade and Below 8 Feet in Height,Door|Window|Wall|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,site_planning,architect,Encroachments into the public right-of-way above grade and below 8 feet (2438 mm) in height shall be prohibited except as provided for in Sections 3202.2.1 through 3202.2.3. Doors and windows shall not open or project into the public right-of-way.
3202.2.1,Section 3202 Encroachments,Steps,Stair|StairFlight|Railing|Column,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,means_of_egress,architect,"Steps shall not project more than 12 inches (305 mm) and shall be guarded by approved devices not less than 3 feet (914 mm) in height, or shall be located between columns or pilasters."
3202.2.2,Section 3202 Encroachments,Architectural Features,Column|Wall|BuildingElementProxy|Covering,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,assemblies_envelope,architect,"Columns or pilasters, including bases and moldings, shall not project more than 12 inches (305 mm). Belt courses, lintels, sills, architraves, pediments and similar architectural features shall not project more than 4 inches (102 mm)."
3202.2.3,Section 3202 Encroachments,Awnings,ShadingDevice,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Institutional (I),sd|dd|cd,site_planning,architect,"The vertical clearance from the public right-of-way to the lowest part of any awning, including valances, shall be not less than 7 feet (2134 mm)."
3202.3,Section 3202 Encroachments,Encroachments 8 Feet or More Above Grade,Wall|Covering|ShadingDevice|Roof|CurtainWall,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,site_planning,architect,Encroachments 8 feet (2438 mm) or more above grade shall comply with Sections 3202.3.1 through 3202.3.4.
3202.3.1,Section 3202 Encroachments,"Awnings, Canopies, Marquees and Signs",ShadingDevice|Covering|Column|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,site_planning,architect,"Awnings, canopies, marquees and signs shall be constructed so as to support applicable loads as specified in Chapter 16. Awnings, canopies, marquees and signs with less than 15 feet (4572 mm) of clearance above the sidewalk shall not extend into or occupy more than two-thirds the width of the sidewalk measured from the building. Stanchions or columns that support awnings, canopies, marquees and signs shall be located not less than 2 feet (610 mm) in from the curb line."
3202.3.2,Section 3202 Encroachments,"Windows, Balconies, Architectural Features and Mechanical Equipment",Window|Slab|Roof|Covering,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,site_planning,architect,"Where the vertical clearance above grade to projecting windows, balconies, architectural features or mechanical equipment is more than 8 feet (2438 mm), 1 inch (25 mm) of encroachment is permitted for each additional 1 inch (25 mm) of clearance above 8 feet (2438 mm), but the maximum encroachment shall be 4 feet (1219 mm)."
3202.3.3,Section 3202 Encroachments,Encroachments 15 Feet or More Above Grade,ShadingDevice|Roof|Balcony|CurtainWall,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,site_planning,architect,Encroachments 15 feet (4572 mm) or more above grade shall not be limited.
3202.3.4,Section 3202 Encroachments,Pedestrian Walkways,Ramp|BuildingElementProxy|Slab,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,site_planning,architect,The installation of a pedestrian walkway over a public right-of-way shall be subject to the approval of the applicable governing authority. The vertical clearance from the public right-of-way to the lowest part of a pedestrian walkway shall be not less than 15 feet (4572 mm).
3202.4,Section 3202 Encroachments,Temporary Encroachments,Covering|ShadingDevice|BuildingElementProxy,Assembly (A)|Business (B)|Mercantile (M)|Residential (R),sd|dd|cd,site_planning,architect,"Where allowed by the applicable governing authority, vestibules and storm enclosures shall not be erected for a period of time exceeding 7 months in any 1 year and shall not encroach more than 3 feet (914 mm) nor more than one-fourth of the width of the sidewalk beyond the street lot line. Temporary entrance awnings shall be erected with a clearance of not less than 7 feet (2134 mm) to the lowest portion of the hood or awning where supported on removable steel or other approved noncombustible support."
