id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
2,,Definitions,"User notes:About this chapter: Codes, by their very nature, are technical documents. Every word, term and punctuation mark can add to or change the meaning of a technical requirement. It is necessary to maintain a consensus on the specific meaning of each term contained in the code. Chapter 2 performs this function by stating clearly what specific terms mean for the purposes of the code.Code development reminder: Code change proposals to sections preceded by the designation [A], [BG] or [BS] will be considered by one of the code development committees meeting during the 2025 (Group B) Code Development Cycle.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect
201,Chapter 2 Definitions,General,,,,,none,none
201.1,Section 201 General,Scope,"Unless otherwise expressly stated, the following words and terms shall, for the purposes of this code, have the meanings shown in this chapter.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),concept|sd|dd|cd|ca,occupancy_classification,architect
201.2,Section 201 General,Interchangeability,"Words used in the present tense include the future; words stated in the masculine gender include the feminine and neuter; the singular number includes the plural and the plural, the singular.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd,occupancy_classification,architect
201.3,Section 201 General,Terms Defined in Other Codes,"Where terms are not defined in this code and are defined in the International Energy Conservation Code, International Fuel Gas Code, International Fire Code, International Mechanical Code or International Plumbing Code, such terms shall have the meanings ascribed to them as in those codes.",Wall,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),cd,occupancy_classification,architect
201.4,Section 201 General,Terms Not Defined,"Where terms are not defined through the methods authorized by this section, such terms shall have ordinarily accepted meanings such as the context implies.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,occupancy_classification,architect
202,Chapter 2 Definitions,Definitions,,,,,none,none
24_hour_basis_,Section 202 Definitions,24-Hour Basis,The actual time that a person is an occupant within a facility for the purpose of receiving care. It shall not include a facility that is open for 24 hours and is capable of providing care to someone visiting the facility during any segment of the 24 hours.,BuildingElementProxy,Institutional (I),concept|sd|dd|cd,occupancy_classification,architect
aac_masonry_,Section 202 Definitions,AAC Masonry,"Masonry made of autoclaved aerated concrete (AAC) units, manufactured without internal reinforcement and bonded together using thin- or thick-bed mortar.",Wall|Slab,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,finishes_materials,architect
accessible_,Section 202 Definitions,Accessible,"A site, building, facility or portion thereof that complies with Chapter 11.",Door|Ramp|Stair|Slab|RampFlight,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,accessibility,architect
accessible_means_of_egress_,Section 202 Definitions,Accessible Means of Egress,A continuous and unobstructed way of egress travel from any accessible point in a building or facility to a public way.,Door|Ramp|Stair|RampFlight|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,accessibility,architect
accessible_route_,Section 202 Definitions,Accessible Route,"A continuous, unobstructed path that complies with Chapter 11.",Door|Ramp|RampFlight|Stair|Slab,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,accessibility,architect
accessible_unit_,Section 202 Definitions,Accessible Unit,A dwelling unit or sleeping unit that complies with this code and the provisions for Accessible units in ICC A117.1.,Door|Ramp|Stair|Slab|Window,Residential (R)|Institutional (I),sd|dd|cd,accessibility,architect
accreditation_body_,Section 202 Definitions,Accreditation Body,"An approved, third-party organization that is independent of the grading and inspection agencies, and the lumber mills, and that initially accredits and subsequently monitors, on a continuing basis, the competency and performance of a grading or inspection agency related to carrying out specific tasks.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,finishes_materials,architect
addition_,Section 202 Definitions,Addition,"An extension or increase in floor area, number of stories or height of a building or structure.",Wall|Slab|Roof|Column|Stair,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),concept|sd|dd|cd,building_height_area_limits,architect
adhered_masonry_veneer_,Section 202 Definitions,Adhered Masonry Veneer,Veneer secured and supported through the adhesion of an approved bonding material applied to an approved backing.,Wall|Covering|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,finishes_materials,architect
adobe_construction_,Section 202 Definitions,Adobe Construction,"Construction in which the exterior load-bearing and nonload-bearing walls and partitions are of unfired clay masonry units, and floors, roofs and interior framing are wholly or partly of wood or other approved materials.",Wall|Slab|Roof|Column,Residential (R)|Assembly (A)|Business (B)|Educational (E)|Utility and Miscellaneous (U),sd|dd|cd,construction_type_ratings,architect
adobe_stabilized_,Section 202 Definitions,"Adobe, Stabilized","Unfired clay masonry units to which admixtures, such as emulsified asphalt, are added during the manufacturing process to limit the units' water absorption so as to increase their durability.",Wall|Slab,Residential (R)|Business (B)|Assembly (A),sd|dd|cd,finishes_materials,architect
adobe_unstabilized_,Section 202 Definitions,"Adobe, Unstabilized","Unfired clay masonry units that do not meet the definition of ""Adobe, stabilized.""",Wall|Slab|Bearing,Residential (R)|Assembly (A)|Business (B)|Educational (E),sd|dd|cd,assemblies_envelope,architect
aerosol_container_,Section 202 Definitions,Aerosol Container,"A metal can or plastic container up to a maximum size of 33.8 fluid ounces (1000 ml), or a glass bottle up to a maximum size of 4 fluid ounces (118 ml), designed and intended to dispense an aerosol.",BuildingElementProxy,Factory and Industrial (F)|High Hazard (H)|Storage (S)|Mercantile (M),sd|dd|cd,hazardous_materials,fire_protection_engineer
aerosol_product_,Section 202 Definitions,Aerosol Product,"A combination of a container, a propellant and a material that is dispensed. Aerosol products shall be classified by means of the calculation of their chemical heats of combustion and shall be designated Level 1, Level 2 or Level 3.",BuildingElementProxy,High Hazard (H)|Factory and Industrial (F)|Storage (S),sd|dd|cd,hazardous_materials,fire_protection_engineer
level_1_aerosol_products_,Section 202 Definitions,Level 1 Aerosol Products,"Those with a total chemical heat of combustion that is less than or equal to 8,600 British thermal units per pound (Btu/lb) (20 kJ/g).",Wall|Door|Slab,Storage (S)|Factory and Industrial (F)|Mercantile (M),sd|dd|cd,hazardous_materials,architect
level_2_aerosol_products_,Section 202 Definitions,Level 2 Aerosol Products,"Those with a total chemical heat of combustion that is greater than 8,600 Btu/lb (20 kJ/g), but less than or equal to 13,000 Btu/lb (30 kJ/g).",Wall|Door|Window,High Hazard (H),sd|dd|cd,hazardous_materials,architect
level_3_aerosol_products_,Section 202 Definitions,Level 3 Aerosol Products,"Those with a total chemical heat of combustion that is greater than 13,000 Btu/lb (30 kJ/g).",Wall|Slab|Door,Storage (S)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,hazardous_materials,fire_protection_engineer
aggregate_,Section 202 Definitions,Aggregate,"In roofing, crushed stone, crushed slag or water-worn gravel used for surfacing for roof coverings.",Roof|Slab|Covering,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,finishes_materials,architect
agricultural_building_,Section 202 Definitions,Agricultural Building,"A structure designed and constructed to house farm implements, hay, grain, poultry, livestock or other horticultural products. This structure shall not be a place of human habitation or a place of employment where agricultural products are processed, treated or packaged, nor shall it be a place used by the public.",Wall|Roof|Slab|Door|Window,Utility and Miscellaneous (U),concept|sd|dd,occupancy_classification,architect
air_impermeable_insulation_,Section 202 Definitions,Air-Impermeable Insulation,An insulation having an air permeance equal to or less than 0.02 l/s × m2 at 75 pa pressure differential tested in accordance with ASTM E283 or ASTM E2178.,Wall|Roof|Slab|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,assemblies_envelope,architect
