id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
29,,Plumbing Systems,"User note:About this chapter: Plumbing systems are another key element of any building. Chapter 29 provides the necessary number of plumbing fixtures, including water closets, lavatories, bathtubs and showers. The quality and design of each fixture must be in accordance with the Uniform Plumbing Code®.UpCodes note: This modifications to the International Building Code according to Rule 24.301.146 is, ""applicable to both the department's building code enforcement program and local government building code enforcement programs"".",Slab|Wall|BuildingElementProxy|Door|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,plumbing_systems,architect
2901,Chapter 29 Plumbing Systems,General,,,,,none,none
2901.1,Section 2901 General,Scope,"The provisions of this chapter and the Uniform Plumbing Code shall govern the design, construction, erection and installation of plumbing components, appliances, equipment and systems used in buildings and structures covered by this code. Toilet and bathing rooms shall be constructed in accordance with Section 1210. The International Fire Code, and the Uniform Plumbing Code shall govern the use and maintenance of plumbing components, appliances, equipment and systems. The International Existing Building Code and the Uniform Plumbing Code shall govern the alteration, repair, relocation, replacement and addition of plumbing components, appliances, equipment and systems. UpCodes note: This modifications to the International Building Code according to Rule 24.301.146 is, ""applicable to both the department's building code enforcement program and local government building code enforcement programs"".",Covering|Slab|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,plumbing_systems,architect
2902,Chapter 29 Plumbing Systems,Minimum Plumbing Facilities,,,,,none,none
2902.1,Section 2902 Minimum Plumbing Facilities,Minimum Number of Fixtures,"Plumbing fixtures shall be provided as established in ARM 24.301.351. UpCodes note: We are showing the ARM 24.301.351, Minimum Required Plumbing Fixtures below for reference because according to Montana Rule 24.301.146, MODIFICATIONS TO THE INTERNATIONAL BUILDING CODE APPLICABLE TO BOTH THE DEPARTMENT'S AND LOCAL GOVERNMENT CODE ENFORCEMENT PROGRAMS: ""(25) Table 2902.1, MINIMUM NUMBER OF PLUMBING FIXTURES, is modified by deleting and replacing with ARM 24.301.351."" 24.301.351 MINIMUM REQUIRED PLUMBING FIXTURES The department adopts Table 2902.1 of the 2021 version of the International Building Code to determine the minimum number of required plumbing fixtures to be installed in new buildings. Table 2902.1 is available on the department's website, or by contacting the bureau to request a copy. The department explains and amends Table 2902.1 as follows: Minimum Number of Required Plumbing Fixturesa, i, j, l, m, n, o, p, q, r Classification Description Water Closets (Urinals - seefootnotes f, g and o) Lavatories Bathtubs/Showers Drinking Fountainsr Other Male Female Male Female Assembly Theaters and other buildings for theperforming arts and motion picturesj 1 per 125 1 per 65 1 per 200 - 1 per 500 1 service sink Nightclubs, bars, taverns, dance halls and buildings for similar purposesf, g, h, j 1 per 40 1 per 40 1 per 75 - 1 per 500 1 service sink Restaurants, banquet halls and food courtsf, g, h, j 1 per 75 1 per 75 1 per 200 - 1 per 500 1 service sink Casino gaming areas 1 per 100 for thefirst 400 and 1per 250 for theremainderexceeding 400 1 per 50 for thefirst 400 and 1per 150 for theremainderexceeding 400 1 per 250 for the first 750and 1 per 500 for theremainder exceeding 750 - 1 per 1000 1 service sink Auditoriums without permanent seating,art galleries, exhibition halls, museums,lecture halls, libraries, arcades and gymnasiumsj 1 per 125 1 per 65 1 per 200 - 1 per 500 1 service sink Passenger terminals and transportation facilitiesj 1 per 500 1 per 500 1 per 750 - 1 per 1000 1 service sink Places of worship and other religious servicesb, j 1 per 150 1 per 75 1 per 200 - 1 per 1000 1 service sink Coliseums, arenas, skating rinks, pools and tennis courts for indoor sporting events and activitiesl 1 per 75 for the first 1500 and 1 per 120 for the remainder exceeding 1500 1 per 40 for the first 1520 and 1 per 60 for the remainder exceeding 1520 1 per 200 1 per 150 - 1 per 1000 1 service sink Stadiums, amusement parks, bleachers andgrandstands for outdoor sporting eventsand activitiesl 1 per 75 for the first 1500 and 1 per 120 for the remainder exceeding 1500 1 per 40 for the first 1520 and 1 per 60 for the remainder exceeding 1520 1 per 200 1 per 150 - 1 per 1000 1 service sink Business Buildings for the transaction of business,professional services, other servicesinvolving merchandise, office buildings,banks, light industrial, ambulatory care and similar usesi, k, m, n, q 1 per 25 for the first 50 and 1 per 50for the remainder exceeding 50 1 per 40 for the first 80 and1 per 80 for the remainder exceeding 80 - 1 per 100 1 service sinkk Educational Educational facilities 1 per 50 1 per 50 - 1 per 100 1 service sink Factory and industrial Structures in which occupants are engagedin work fabricating, assembly or processingof products or materialsi 1 per 100 1 per 100 - 1 per 400 1 service sink Institutional Custodial care facilities 1 per 10 1 per 10 1 per 8 1 per 100 1 service sink Medical care recipients in hospitals and nursing homesc 1 per roomd 1 per roomd 1 per 15 1 per 100 1 service sink Employees in hospitals and nursing homesc 1 per 25 1 per 35 - 1 per 100 - Visitors in hospitals and nursing homes 1 per 75 1 per 100 - 1 per 500 - Prisonsc 1 per cell 1 per cell 1 per 15 1 per 100 1 service sink Reformatories, detention centers and correctional centersc 1 per 15 1 per 15 1 per 15 1 per 100 1 service sink Employees in reformatories, detentioncenters and correctional centersc 1 per 25 1 per 35 - 1 per 100 - Adult day care and child day care 1 per 15 1 per 15 1 per 15e 1 per 100 1 service sink Mercantile Retail stores, service stations, shops, salesrooms, markets and shopping centersi, k, m, n, q 1 per 500 1 per 750 - 1 per 1000 1 service sinkk Residential Hotels, motels, boarding houses (transient) 1 per sleeping unit 1 per sleeping unit 1 per sleeping unit - 1 service sink Dormitories, fraternities, sororitiesand boarding houses (not transient) 1 per 10 1 per 10 1 per 8 1 per 100 1 service sink Apartment house 1 per dwelling unit 1 per dwelling unit 1 per dwelling unit - 1 kitchen sinkper dwelling unit; 1 automaticclothes washerconnection per20 dwelling units One- and two-family dwellings and lodging houses with five or fewer guestrooms 1 per dwelling unit 1 per 10 1 per dwelling unit - 1 kitchen sinkper dwelling unit; 1 automaticclothes washerconnection perdwelling unit Congregate living facilities with 16 or fewer persons 1 per 10 1 per 10 1 per 8 1 per 100 1 service sink The fixtures shown in Table 2902.1 are based on one fixture being the minimum required for the number of persons indicated or any fraction of the number of persons indicated. The number of occupants shall be determined by the building code. Fixtures located in adjacent buildings under the ownership or control of the church shall be made available during periods the church is occupied. Toilet facilities for employees shall be separate from facilities of inmates or patients. A single-occupant toilet room with one water closet and one lavatory serving not more than two adjacent patient rooms shall be permitted where such room is provided with direct access from each patient room and with provisions for privacy. For child day care one bathtub or shower shall be required. Food service establishments or any establishment that sells alcoholic beverages for on-site consumption requires at least one urinal. Contact the Department of Public Health and Human Services for additional requirements for food service establishments. At the discretion of the building official, certain nonassembly buildings where food and beverages are not consumed on the premises, may be allowed to furnish only one unisex public toilet if it is accessible in accordance with ICC A117.1. At the discretion of the building official, business and mercantile classifications intended for quick transactions, including takeout, pickup and drop off businesses having a floor area less than 1200 sq. ft. may utilize facilities located in another building within 500 feet provided the building is open and available during business hours and is accessible in accordance with ICC A117.1. For business and mercantile classifications with an occupant load of 15 or fewer, a service sink shall not be required. Keyed toilets under employee control of the type available at service stations are permitted. Where urinals are provided, notwithstanding the required urinal in footnote g. above, one water closet less than the number specified may be provided for each urinal installed, except the number of water closets in such cases shall not be reduced to less than one-half of the minimum specified. Where single-user unisex facilities are present, the aggregate fixture count shall be equal to the required number of separate facilities. Where single-user unisex toilet rooms or bathing rooms are clustered at a single location, at least 50 percent but not less than one room for each user at each cluster shall be accessible. Riding arenas as defined in ARM 24.301.146(11) are required to provide separate male and female accessible restrooms which contain a minimum of one water closet and one lavatory. See ARM 24.301.903 for additional requirements and provisions concerning building accessibility. If a specific occupancy is not shown in the table, the building official shall determine on an individual case-by-case basis the requirements for that occupancy. On an individual case-by-case basis the building official may approve an alternative source of potable drinking water, such as, but not limited to, a bottled water cooler, in lieu of a drinking fountain. Drinking fountains shall not be required in buildings with an occupant load of 30 or less. Beauty salons must have a sink in accordance with ARM 24.121.1507. UpCodes note: This modifications to the International Building Code according to Rule 24.301.146 is, ""applicable to both the department's building code enforcement program and local government building code enforcement programs"".",BuildingElementProxy|Door|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Institutional (I),sd|dd|cd,plumbing_systems,architect
2902.1.1,Section 2902 Minimum Plumbing Facilities,Fixture Calculations,"To determine the occupant load of each sex, the total occupant load shall be divided in half. To determine the required number of fixtures, the fixture ratio or ratios for each fixture type shall be applied to the occupant load of each sex in accordance with Table 2902.1. Fractional numbers resulting from applying the fixture ratios of Table 2902.1 shall be rounded up to the next whole number. For calculations involving multiple occupancies, such fractional numbers for each occupancy shall first be summed and then rounded up to the next whole number.Exceptions: The total occupant load shall not be required to be divided in half where approved statistical data indicates a distribution of the sexes of other than 50 percent of each sex.Where multiple-user facilities are designed to serve all genders, the minimum fixture count shall be calculated 100 percent, based on total occupant load. In such multiple-user user facilities, each fixture type shall be in accordance with ICC A117.1 and each urinal that is provided shall be located in a stall.Distribution of the sexes is not required where single-user water closets and bathing room fixtures are provided in accordance with Section 2902.1.2.",Slab|Wall|Door,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,plumbing_systems,architect
2902.1.2,Section 2902 Minimum Plumbing Facilities,Single-User Toilet and Bathing Room Fixtures,"The plumbing fixtures located in single-user toilet and bathing rooms, including family or assisted-use toilet and bathing rooms that are required by Section 1110.2.1, shall contribute toward the total number of required plumbing fixtures for a building or tenant space. Single-user toilet and bathing rooms, and family or assisted-use toilet rooms and bathing rooms shall be identified as being available for use by all persons regardless of their sex.The total number of fixtures shall be permitted to be based on the required number of separate facilities or based on the aggregate of any combination of single-user or separate facilities.",,,,,
2902.1.3,Section 2902 Minimum Plumbing Facilities,Lavatory Distribution,"Where two or more toilet rooms are provided for each sex, the required number of lavatories shall be distributed proportionately to the required number of water closets.",Slab|Covering|Wall|Door,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Mercantile (M),sd|dd|cd,plumbing_systems,architect
2902.2,Section 2902 Minimum Plumbing Facilities,Separate Facilities,"Where plumbing fixtures are required, separate facilities shall be provided for each sex.Exceptions: Separate facilities shall not be required for dwelling units and sleeping units.Separate facilities shall not be required in structures or tenant spaces with a total occupant load, including both employees and customers, of 15 or fewer.Separate facilities shall not be required in mercantile occupancies in which the maximum occupant load is 100 or fewer.Separate facilities shall not be required in business occupancies in which the maximum occupant load is 25 or fewer.Separate facilities shall not be required to be designated by sex where single-user toilets rooms are provided in accordance with Section 2902.1.2.Separate facilities shall not be required where rooms having both water closets and lavatory fixtures are designed for use by both sexes and privacy for water closets are installed in accordance with Section 405.3.4 of the Uniform Plumbing Code. Urinals shall be located in an area visually separated from the remainder of the facility or each urinal that is provided shall be located in a stall. UpCodes note: This modifications to the International Building Code according to Rule 24.301.146 is, ""applicable to both the department's building code enforcement program and local government building code enforcement programs"".",Slab|Wall|Door,Business (B)|Mercantile (M)|Residential (R)|Assembly (A)|Institutional (I),sd|dd|cd,plumbing_systems,architect
2902.2.1,Section 2902 Minimum Plumbing Facilities,Family or Assisted-Use Toilet Facilities Serving as Separate Facilities,"Where a building or tenant space requires a separate toilet facility for each sex and each toilet facility is required to have only one water closet, two family or assisted-use toilet facilities shall be permitted to serve as the required separate facilities. Family or assisted-use toilet facilities shall not be required to be identified for exclusive use by either sex as required by Section 2902.4.",,,,,
