id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
16,,Structural Design,Beam|Column|Slab|Wall|Footing,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,structural_design,structural_engineer,"User notes: About this chapter: Chapter 16 establishes minimum design requirements so that the structural components of buildings are proportioned to resist the loads that are likely to be encountered. In addition, this chapter assigns buildings and structures to risk categories that are indicative of their intended use. The loads specified herein along with the required load combinations have been established through research and service performance of buildings and structures. The application of these loads and adherence to the serviceability criteria enhance the protection of life and property. Code development reminder: Code change proposals to this chapter will be considered by the IBC—Structural Code Development Committee during the 2022 (Group B) Code Development Cycle."
1601,Chapter 16 Structural Design,General,,,,none,none,
1601.1,Section 1601 General,Scope,Wall|Beam|Column|Slab|Roof,Assembly (A)|Business (B)|Residential (R)|Educational (E)|Mercantile (M),sd|dd|cd,structural_design,structural_engineer,"The provisions of this chapter shall govern the structural design of buildings, structures and portions thereof regulated by this code."
1602,Chapter 16 Structural Design,Notations,,,,none,none,
1602.1,Section 1602 Notations,Notations,Slab|Roof|Wall|Column|Footing,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer,"The following notations are used in this chapter:D=Dead load.Di=Weight of ice in accordance with Chapter 10 of ASCE 7.E=Combined effect of horizontal and vertical earthquake induced forces as defined in Section 12.4 of ASCE 7.F=Load due to fluids with well-defined pressures and maximum heights.Fa=Flood load in accordance with Chapter 5 of ASCE 7.H=Load due to lateral earth pressures, ground water pressure or pressure of bulk materials.L=Live load.Lr=Roof live load.R=Rain load.S=Snow load.T=Cumulative effects of self-straining load forces and effects.Vasd=Allowable stress design wind speed, miles per hour (mph) (km/hr) where applicable.V=Basic design wind speeds, miles per hour (mph) (km/hr) determined from Figures 1609.3(1) through 1609.3(12) or ASCE 7.W=Load due to wind pressure.Wi=Wind-on-ice in accordance with Chapter 10 of ASCE 7."
1603,Chapter 16 Structural Design,Construction Documents,,,,none,none,
1603.1,Section 1603 Construction Documents,General,Beam|Column|Footing|Slab|Wall,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,structural_design,structural_engineer,"Construction documents shall show the size, section and relative locations of structural members with floor levels, column centers and offsets dimensioned. The design loads and other information pertinent to the structural design required by Sections 1603.1.1 through 1603.1.9 shall be indicated on the construction documents.Exception: Construction documents for buildings constructed in accordance with the conventional light-frame construction provisions of Section 2308 shall indicate the following structural design information:Floor and roof dead and live loads.Ground snow load, pg.Basic design wind speed, V, miles per hour (mph) (km/hr) and allowable stress design wind speed, Vasd, as determined in accordance with Section 1609.3.1 and wind exposure.Seismic design category and site class.Flood design data, if located in flood hazard areas established in Section 1612.3.Design load-bearing values of soils.Rain load data."
1603.1.1,Section 1603 Construction Documents,Floor Live Load,Slab|Beam|Column,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,structural_design,structural_engineer,"The uniformly distributed, concentrated and impact floor live load used in the design shall be indicated for floor areas. Use of live load reduction in accordance with Section 1607.12 shall be indicated for each type of live load used in the design."
1603.1.2,Section 1603 Construction Documents,Roof Live Load,Roof|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,structural_design,structural_engineer,The roof live load used in the design shall be indicated for roof areas (Section 1607.14).
1603.1.3,Section 1603 Construction Documents,Roof Snow Load Data,Roof|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer,"The ground snow load, pg, shall be indicated. In areas where the ground snow load, pg, exceeds 10 pounds per square foot (psf) (0.479 kN/m2), the following additional information shall also be provided, regardless of whether snow loads govern the design of the roof: Flat-roof snow load, pf. Snow exposure factor, Ce. Snow load importance factor, Is. Thermal factor, Ct. Slope factor(s), Cs. Drift surcharge load(s), pd, where the sum of pd and pf exceeds 20 psf (0.96 kN/m2). Width of snow drift(s), w."
