id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
36,,Services,"Electrical requirements under the scope of this subcode shall be regulated by the electrical subcode, N.J.A.C. 5:23-3.16.",,,,,
E3601,Chapter 36 Services,General Services,,,,,,
E3602,Chapter 36 Services,Service Size and Rating,,,,,,
E3603,Chapter 36 Services,"Service, Feeder and Grounding Electrode Conductor Sizing",,,,,,
E3604,Chapter 36 Services,Overhead Service and Service-Entrance Conductor Installation,,,,,,
E3605,Chapter 36 Services,Service-Entrance Conductors,,,,,,
E3606,Chapter 36 Services,Service Equipment—General,,,,,,
E3607,Chapter 36 Services,System Grounding,,,,,,
E3608,Chapter 36 Services,Grounding Electrode System,,,,,,
E3609,Chapter 36 Services,Bonding,,,,,,
E3610,Chapter 36 Services,Grounding Electrode Conductors,,,,,,
E3611,Chapter 36 Services,Grounding Electrode Conductor Connection to the Grounding Electrodes,,,,,,
