id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
33,,Safeguards During Construction,"User notes: About this chapter: While the balance of the chapters in this code specify how a building is to be designed and constructed in order to be in compliance with the code, Chapter 33 looks to the actual construction process. Parameters are provided for demolition and for protecting adjacent property during demolition and construction. Issues such as how to provide egress while the building is growing, the timing of standpipe and sprinkler installation, and protection of pedestrians are addressed. Code development reminder: Code change proposals to sections preceded by the designation [BS] will be considered by the IBC—Structural Code Development Committee during the 2019 (Group B) Code Development Cycle. See explanation on page iv.",Wall|Slab|Door|Stair|Ramp,Assembly (A)|Business (B)|Residential (R)|Educational (E)|Mercantile (M),cd|ca,special_construction,architect
3301,Chapter 33 Safeguards During Construction,General,,,,,none,none
3301.1,Section 3301 General,Scope,The provisions of this chapter shall govern safety during construction and the protection of adjacent public and private properties.,Wall|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),cd|ca,special_construction,architect
3301.2,Section 3301 General,Storage and Placement,"Construction equipment and materials shall be stored and placed so as not to endanger the public, the workers or adjoining property for the duration of the construction project.",,,,,
3302,Chapter 33 Safeguards During Construction,Construction Safeguards,,,,,,
3302.1,Section 3302 Construction Safeguards,"Alterations, Repairs and Additions","Required exits, existing structural elements, fire protection devices and sanitary safeguards shall be maintained at all times during alterations, repairs or additions to any building or structure.Exceptions:Where such required elements or devices are being altered or repaired, adequate substitute provisions shall be made.Maintenance of such elements and devices is not required where the existing building is not occupied.",,,,,
3302.2,Section 3302 Construction Safeguards,Manner of Removal,"Waste materials shall be removed in a manner that prevents injury or damage to persons, adjoining properties and public rights-of-way.",,,,,
3302.3,Section 3302 Construction Safeguards,Fire Safety During Construction,Fire safety during construction shall comply with the applicable requirements of this code and the applicable provisions of Chapter 33 of the Fire Code of New York State.,,,,,
3303,Chapter 33 Safeguards During Construction,Demolition,,,,,none,none
3303.1,Section 3303 Demolition,Construction Documents,"Construction documents and a schedule for demolition shall be submitted where required by the building official. Where such information is required, work shall not be done until such construction documents or schedule, or both, are approved.",Wall|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,special_construction,architect
3303.2,Section 3303 Demolition,Pedestrian Protection,The work of demolishing any building shall not be commenced until pedestrian protection is in place as required by this chapter.,Wall|BuildingElementProxy|Covering,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,site_planning,architect
3303.3,Section 3303 Demolition,Means of Egress,A horizontal exit shall not be destroyed unless and until a substitute means of egress has been provided and approved.,Wall|Door|Slab,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,means_of_egress,architect
3303.4,Section 3303 Demolition,Vacant Lot,"Where a structure has been demolished or removed, the vacant lot shall be filled and maintained to the existing grade or in accordance with the ordinances of the jurisdiction having authority.",EarthworksElement|Slab,Utility and Miscellaneous (U),cd|ca,site_planning,civil_engineer
3303.5,Section 3303 Demolition,Water Accumulation,Provision shall be made to prevent the accumulation of water or damage to any foundations on the premises or the adjoining property.,Footing|Slab|EarthworksElement|Wall,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,site_planning,civil_engineer
3303.6,Section 3303 Demolition,Utility Connections,Service utility connections shall be discontinued and capped in accordance with the approved rules and the requirements of the applicable governing authority.,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),cd|ca,plumbing_systems,mechanical_engineer
3303.7,Section 3303 Demolition,Fire Safety During Demolition,Fire safety during demolition shall comply with the applicable requirements of this code and the applicable provisions of Chapter 33 of the Fire Code of New York State.,Wall|Slab|Column,Assembly (A)|Business (B)|Residential (R)|Mercantile (M)|Storage (S),cd|ca,fire_protection_alarm_systems,fire_protection_engineer
3304,Chapter 33 Safeguards During Construction,Site Work,,,,,none,none
3304.1,Section 3304 Site Work,Excavation and Fill,"Excavation and fill for buildings and structures shall be constructed or protected so as not to endanger life or property. Stumps and roots shall be removed from the soil to a depth of not less than 12 inches (305 mm) below the surface of the ground in the area to be occupied by the building. Wood forms that have been used in placing concrete, if within the ground or between foundation sills and the ground, shall be removed before a building is occupied or used for any purpose. Before completion, loose or casual wood shall be removed from direct contact with the ground under the building.",Footing|Slab|Wall,Assembly (A)|Business (B)|Residential (R)|Storage (S)|Educational (E),sd|dd|cd,site_planning,civil_engineer
3304.1.1,Section 3304 Site Work,Slope Limits,Slopes for permanent fill shall be not steeper than one unit vertical in two units horizontal (50-percent slope). Cut slopes for permanent excavations shall be not steeper than one unit vertical in two units horizontal (50-percent slope). Deviation from the foregoing limitations for cut slopes shall be permitted only upon the presentation of a soil investigation report acceptable to the building official.,EarthworksElement|Slab|Footing,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,site_planning,civil_engineer
3304.1.2,Section 3304 Site Work,Surcharge,Fill or other surcharge loads shall not be placed adjacent to any building or structure unless such building or structure is capable of withstanding the additional loads caused by the fill or surcharge. Existing footings or foundations that can be affected by any excavation shall be underpinned adequately or otherwise protected against settlement and shall be protected against lateral movement.,Footing|Slab|Wall,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer
3304.1.3,Section 3304 Site Work,Footings on Adjacent Slopes,"For footings on adjacent slopes, see Chapter 18.",Footing,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,structural_design,structural_engineer
3304.1.4,Section 3304 Site Work,Fill Supporting Foundations,Fill to be used to support the foundations of any building or structure shall comply with Section 1804.6. Special inspections of compacted fill shall be in accordance with Section 1705.6.,Footing|Slab|Foundation|EarthworksElement,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,structural_design,structural_engineer
3305,Chapter 33 Safeguards During Construction,Sanitary,,,,,none,none
3305.1,Section 3305 Sanitary,Facilities Required,"Sanitary facilities shall be provided during construction, remodeling or demolition activities in accordance with the Plumbing Code of New York State.",BuildingElementProxy,Utility and Miscellaneous (U),cd|ca,plumbing_systems,architect
3306,Chapter 33 Safeguards During Construction,Protection of Pedestrians,,,,,none,none
3306.1,Section 3306 Protection of Pedestrians,Protection Required,"Pedestrians shall be protected during construction, remodeling and demolition activities as required by this chapter and Table 3306.1. Signs shall be provided to direct pedestrian traffic. TABLE 3306.1 PROTECTION OF PEDESTRIANS HEIGHT OF CONSTRUCTION DISTANCE FROM CONSTRUCTION TO LOT LINE TYPE OF PROTECTION REQUIRED 8 feet or less Less than 5 feet Construction railings 5 feet or more None More than 8 feet Less than 5 feet Barrier and covered walkway 5 feet or more, but not more than one-fourth the height of construction Barrier and covered walkway 5 feet or more, but between one-fourth and one-half the height of construction Barrier 5 feet or more, but exceeding one-half the height of construction None For SI: 1 foot = 304.8 mm.",Railing|Barrier|Covering,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,site_planning,architect
3306.2,Section 3306 Protection of Pedestrians,Walkways,"A walkway shall be provided for pedestrian travel in front of every construction and demolition site unless the applicable governing authority authorizes the sidewalk to be fenced or closed. A walkway shall be provided for pedestrian travel that leads from a building entrance or exit of an occupied structure to a public way. Walkways shall be of sufficient width to accommodate the pedestrian traffic, but shall be not less than 4 feet (1219 mm) in width. Walkways shall be provided with a durable walking surface. Walkways shall be accessible in accordance with Chapter 11 and shall be designed to support all imposed loads, and the design live load shall be not less than 150 pounds per square foot (psf) (7.2 kN/m2).",Slab|Pavement|Ramp,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,site_planning,architect
3306.3,Section 3306 Protection of Pedestrians,Directional Barricades,Pedestrian traffic shall be protected by a directional barricade where the walkway extends into the street. The directional barricade shall be of sufficient size and construction to direct vehicular traffic away from the pedestrian path.,BuildingElementProxy|Railing,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,site_planning,architect
3306.4,Section 3306 Protection of Pedestrians,Construction Railings,Construction railings shall be not less than 42 inches (1067 mm) in height and shall be sufficient to direct pedestrians around construction areas.,Railing,Utility and Miscellaneous (U),cd|ca,special_construction,architect
3306.5,Section 3306 Protection of Pedestrians,Barriers,Barriers shall be not less than 8 feet (2438 mm) in height and shall be placed on the side of the walkway nearest the construction. Barriers shall extend the entire length of the construction site. Openings in such barriers shall be protected by doors that are normally kept closed.,Wall|Door,Utility and Miscellaneous (U),cd|ca,site_planning,architect
3306.6,Section 3306 Protection of Pedestrians,Barrier Design,Barriers shall be designed to resist loads required in Chapter 16 unless constructed as follows:Barriers shall be provided with 2-inch by 4-inch (51 mm by 102 mm) top and bottom plates.The barrier material shall be boards not less than 3/4-inch (19.1 mm) thick or wood structural panels not less than 1/4-inch (6.4 mm) thick.Wood structural use panels shall be bonded with an adhesive identical to that for exterior wood structural use panels.Wood structural use panels 1/4 inch (6.4 mm) or 5/16 inch (23.8 mm) in thickness shall have studs spaced not more than 2 feet (610 mm) on center.Wood structural use panels 3/8 inch (9.5 mm) or 1/2 inch (12.7 mm) in thickness shall have studs spaced not more than 4 feet (1219 mm) on center provided that a 2-inch by 4-inch (51 mm by 102 mm) stiffener is placed horizontally at mid-height where the stud spacing is greater than 2 feet (610 mm) on center.Wood structural use panels 5/8 inch (15.9 mm) or thicker shall not span over 8 feet (2438 mm).,Wall|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,special_construction,architect
3306.7,Section 3306 Protection of Pedestrians,Covered Walkways,"Covered walkways shall have a clear height of not less than 8 feet (2438 mm) as measured from the floor surface to the canopy overhead. Adequate lighting shall be provided at all times. Covered walkways shall be designed to support all imposed loads. The design live load shall be not less than 150 psf (7.2 kN/m2) for the entire structure.Exception: Roofs and supporting structures of covered walkways for new, light-frame construction not exceeding two stories above grade plane are permitted to be designed for a live load of 75 psf (3.6kN/m2) or the loads imposed on them, whichever is greater. In lieu of such designs, the roof and supporting structure of a covered walkway are permitted to be constructed as follows:Footings shall be continuous 2-inch by 6-inch (51 mm by 152 mm) members.Posts not less than 4 inches by 6 inches (102 mm by 152 mm) shall be provided on both sides of the roof and spaced not more than 12 feet (3658 mm) on center.Stringers not less than 4 inches by 12 inches (102 mm by 305 mm) shall be placed on edge upon the posts.Joists resting on the stringers shall be not less than 2 inches by 8 inches (51 mm by 203 mm) and shall be spaced not more than 2 feet (610 mm) on center.The deck shall be planks not less than 2 inches (51 mm) thick or wood structural panels with an exterior exposure durability classification not less than 23/32 inch (18.3 mm) thick nailed to the joists.Each post shall be knee braced to joists and stringers by members not less than 2 inches by 4 inches (51 mm by 102 mm); 4 feet (1219 mm) in length.A curb that is not less than 2 inches by 4 inches (51 mm by 102 mm) shall be set on edge along the outside edge of the deck.",Roof|Slab|Column|Footing|Beam,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,special_construction,architect
3306.8,Section 3306 Protection of Pedestrians,"Repair, Maintenance and Removal","Pedestrian protection required by this chapter shall be maintained in place and kept in good order for the entire length of time pedestrians are subject to being endangered. The owner or the owner's authorized agent, on completion of the construction activity, shall immediately remove walkways, debris and other obstructions and leave such public property in as good a condition as it was before such work was commenced.",Ramp|RampFlight|Stair|Slab|Covering,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),cd|ca,site_planning,owner
3306.9,Section 3306 Protection of Pedestrians,Adjacent to Excavations,"Every excavation on a site located 5 feet (1524 mm) or less from the street lot line shall be enclosed with a barrier not less than 6 feet (1829 mm) in height. Where located more than 5 feet (1524 mm) from the street lot line, a barrier shall be erected where required by the building official. Barriers shall be of adequate strength to resist wind pressure as specified in Chapter 16.",Wall|BuildingElementProxy,Business (B)|Assembly (A)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,site_planning,civil_engineer
3307,Chapter 33 Safeguards During Construction,Protection of Adjoining Property,,,,,,
3307.1,Section 3307 Protection of Adjoining Property,Protection Required,"Adjoining public and private property shall be protected from damage during construction, remodeling and demolition work. Protection shall be provided for footings, foundations, party walls, chimneys, skylights and roofs. Provisions shall be made to control water runoff and erosion during construction or demolition activities. The person making or causing an excavation to be made shall provide written notice to the owners of adjoining buildings advising them that the excavation is to be made and that the adjoining buildings should be protected. Said notification shall be delivered not less than 10 days prior to the scheduled starting date of the excavation.",Footing|Foundation|Wall|Chimney|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,site_planning,architect
3308,Chapter 33 Safeguards During Construction,"Temporary Use of Streets, Alleys and Public Property",,,,,none,none
