id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
1,,Scope and Administration,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),concept|sd|dd|cd,occupancy_classification,architect,"User notes:About this chapter: Chapter 1 establishes the limits of applicability of the code and describes how the code is to be applied and enforced. A building code, like any other code, is intended to be adopted as a legally enforceable document and it cannot be effective without adequate provisions for its administration and enforcement.Code development reminder: Code change proposals to this chapter will be considered by the Administrative Code Development Committee during the 2025 (Group B) Code Development Cycle.Section 104 was revised for the 2024 edition. For complete information, see the Relocations table in the Preface of this code.QR code use: A QR code is placed at the beginning of any section that has undergone technical revision. To see those revisions, scan the QR code with a smart device or enter the 7-digit code beneath the QR code at the end of the following URL: qr.iccsafe.org/ (see Formatting Changes to the 2024 International Codes for more information)."
divider_1_1,Chapter 1 Scope and Administration,Scope and Application,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd,occupancy_classification,architect,
101,Chapter 1 Scope and Administration,Scope and General Requirements,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),concept|sd|dd|cd,occupancy_classification,architect,
101.1,Section 101 Scope and General Requirements,Title,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),concept|sd|dd|cd,occupancy_classification,architect,"This publication shall be known as the 2025 edition of the Building Code of New York State and is hereinafter referred to as ""this code."" This code is part of the New York State Uniform Fire Prevention and Building Code (the ""Uniform Code"")."
new_101.1.1,Section 101 Scope and General Requirements,Amendments of New York State Code Books,,,,,,"In Chapter 1, the term ""New York State code books"" shall include the Residential Code of New York State, the Building Code of New York State (i.e., this publication), the Plumbing Code of New York State, the Mechanical Code of New York State, the Fuel Gas Code of New York State, the Fire Code of New York State, the Property Maintenance Code of New York State, the Existing Building Code of New York State, Uniform Code Provisions for Rail Stations, and the Energy Conservation Construction Code of New York State. Provisions in any one or more of the New York State code books may be amended from time to time by provisions in 19 NYCRR Parts 1220 to 1229 or 19 NYCRR Part 1240, as currently in effect and as hereafter amended from time to time. If this publication is now or hereafter so amended, references in this publication to ""this code"" shall be deemed to be references to this publication as so amended. If any other New York State code book is now or hereafter so amended, references in this code to such other New York State code book shall be deemed to be references to such New York State code book as so amended."
101.2,Section 101 Scope and General Requirements,Scope,Wall|Roof|Slab|Door|Window,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect,"The provisions of this code shall apply to the construction, alteration, relocation, enlargement, replacement, repair, equipment, use and occupancy, location, maintenance, removal and demolition of every building or structure or any appurtenances connected or attached to such buildings or structures. Exceptions: Application of the provisions of the Residential Code of New York State to the construction, alteration, movement, enlargement, replacement, repair, equipment, use and occupancy, location, removal and demolition of the following buildings and structures, provided that such building or structure is not more than three stories above grade plane in height, and their accessory structures not more than three stories above grade plane in height: Detached one-family dwellings, Detached two-family dwellings, in which each dwelling unit has a separate means of egress, Townhouses, Bed and breakfast dwellings, Live/work units that (1) are located in townhouses, and (2) comply with the requirements of Section 508.5 of this code; Owner-occupied lodging houses that (1) have five or fewer guestrooms and (2) are provided with an automatic sprinkler system complying with Section P2904 of the Residential Code of New York State; and Manufactured homes used as dwelling units. Agricultural buildings, including barns, sheds, poultry houses and other buildings and equipment on the premises that are used directly and solely for agricultural purposes, shall not be subject to the construction-related provisions of this code. Construction trailers that are used as temporary offices for the purpose of monitoring construction at a construction site shall not be subject to this code. Structures such as radio and television transmission, communication and wind generation towers, and ground-mounted photovoltaic arrays that are neither a building appurtenance nor are attached to a building shall not be subject to this code. Standards for construction of sleeping quarters in a children's overnight camp as defined in Public Health Law Section 1392(1) shall be governed by Public Health Law Section 1394(1) and the regulations promulgated by the Public Health Council. See Executive Law Section 378(1). As of the date of this publication, the Public Health Council's regulations for children's overnight camps are found in 10 NYCRR Subpart 7-2 (""Children's Camps"")."
101.2.1,Section 101 Scope and General Requirements,Appendices,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),cd,occupancy_classification,architect,"Provisions in the following appendices have been adopted and are part of this code: Appendix E Supplemental Accessibility Requirements Appendix F Rodent Proofing Appendix I Patio Covers Appendix Q Assistive Listening Systems Performance Standards Appendix R Diaper Changing Stations In addition, the following appendices are included for informational purposes only: Appendix A Employee Qualifications Appendix C Group U- Agricultural Buildings Appendix D Fire Districts Appendix G Flood-Resistant Construction Appendix H Signs Appendix J Grading Appendix K Administrative Provisions Appendix L Earthquake Recording Instrumentation Appendix M Tsunami-Generated Flood Hazard Appendix N Replicable Buildings Appendix P Sleeping Lofts Appendix S Enhanced Classroom Acoustics"
new_101.2.2,Section 101 Scope and General Requirements,Facilities Regulated by New York State Departments and Agencies,,,,,,"Where a building or premises under the custody, licensure, supervision, or jurisdiction of a department or agency of the State of New York is regulated as a one- or two-family dwelling or multiple single-family dwelling (townhouse), in accordance with established laws or regulations of that department or agency, said buildings or premises, such as a community residence or hospice residence, and their accessory structures shall comply with this code or the Residential Code of New York State provided that such building or structure is not more than three stories above grade plane in height, and their accessory structures are not more than three stories above grade plane in height."
101.3,Section 101 Scope and General Requirements,Purpose,Wall|Door|Slab|Window|Roof,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),concept|sd|dd|cd,occupancy_classification,architect,"The purpose of this code is to establish the minimum requirements to provide a reasonable level of safety, health and general welfare through structural strength, means of egress, stability, sanitation, light and ventilation, energy conservation, and for providing a reasonable level of life safety and property protection from the hazards of fire, explosion or dangerous conditions, and to provide a reasonable level of safety to fire fighters and emergency responders during emergency operations."
101.4,Section 101 Scope and General Requirements,Referenced Codes,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect,The other codes specified in Sections 101.4.1 through 101.4.7 and referenced elsewhere in this code shall be considered to be part of the requirements of this code to the prescribed extent of each such reference.
101.4.1,Section 101 Scope and General Requirements,Gas,BuildingElementProxy,Residential (R)|Business (B)|Mercantile (M),sd|dd|cd,mechanical_systems,mechanical_engineer,"The provisions of the Fuel Gas Code of New York State and the other publications incorporated by reference in 19 NYCRR Part 1224 shall apply to the design, installation, maintenance, alteration, and inspection of fuel gas piping and equipment, fuel gas-fired appliances, and fuel gas-fired appliance venting systems, that are permanently installed and specifically addressed in the Fuel Gas Code of New York State. These requirements apply to gas piping systems extending from the point of delivery to the inlet connections of appliances and the installation and operation of residential and commercial gas appliances and related accessories, and gaseous hydrogen systems."
101.4.2,Section 101 Scope and General Requirements,Mechanical,BuildingElementProxy|Covering|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer,"The provisions of the Mechanical Code of New York State and the other publications incorporated by reference in 19 NYCRR Part 1223 shall apply to the design, installation, alterations and inspection of mechanical systems that are permanently installed and utilized to provide control of environmental conditions and related processes within buildings. The Mechanical Code of New York State also regulates those mechanical systems, system components, equipment, and appliances specifically addressed therein."
101.4.3,Section 101 Scope and General Requirements,Plumbing,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,plumbing_systems,mechanical_engineer,"The provisions of the Plumbing Code of New York State and the other publications incorporated by reference in 19 NYCRR Part 1222 shall apply to the design, installation, alteration, repair and replacement, addition to, use or maintenance of plumbing systems within the jurisdiction. The Plumbing Code of New York State also regulates nonflammable medical gas, inhalation anesthetic, vacuum piping, nonmedical oxygen systems and sanitary and condensate vacuum collection systems."
101.4.4,Section 101 Scope and General Requirements,Property Maintenance,Wall|Roof|Door|Window|Slab,Assembly (A)|Business (B)|Residential (R)|Mercantile (M)|Storage (S),ca,interior_environment,owner,"The provisions of the Property Maintenance Code of New York State and the other publications incorporated by reference in 19 NYCRR Part 1226 shall apply to all existing residential and nonresidential structures and all existing premises and constitute minimum requirements and standards for premises, structures, equipment, and facilities for light, ventilation, space, heating, sanitation, protection from the elements, a reasonable level of safety from fire and other hazards, and for a reasonable level of sanitary maintenance; the responsibility of owners, an owner's authorized agent, operators and occupants; the occupancy of existing structures and premises, and for administration, enforcement and penalties."
101.4.5,Section 101 Scope and General Requirements,Fire Prevention,Wall|Slab|Roof|Door|BuildingElementProxy,Assembly (A)|Business (B)|Residential (R)|Institutional (I)|Storage (S),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer,"The provisions of the Fire Code of New York State and the other publications incorporated by reference in 19 NYCRR Part 1225 shall apply to matters relating to structures, processes and premises and safeguards regarding all of the following: The hazard of fire and explosion arising from the storage, handling or use of structures, materials or devices. Conditions hazardous to life, property or public welfare in the occupancy of structures or premises. Fire hazards in the structure or on the premises from occupancy or operation. Matters related to the construction, extension, repair, alteration or removal of fire suppression or alarm systems. Conditions affecting the safety of fire fighters and emergency responders during emergency operations."
101.4.6,Section 101 Scope and General Requirements,Energy,Wall|Roof|Slab|Window|Door,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,assemblies_envelope,architect,The provisions of the Energy Conservation Construction Code of New York State and the other publications incorporated by reference in 19 NYCRR Part 1240 shall apply to all matters governing the design and construction of buildings for energy efficiency.
