id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
7,,Fire and Smoke Protection Features,"User notes:About this chapter: Chapter 7 provides detailed requirements for fire-resistance-rated construction, including structural members, walls, partitions and horizontal assemblies. Other portions of the code describe where certain fire-resistance-rated elements are required. This chapter specifies how these elements are constructed, how openings in walls and partitions are protected and how penetrations of such elements are protected.",Wall|Slab|Column|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect
701,Chapter 7 Fire and Smoke Protection Features,General,,,,,none,none
701.1,Section 701 General,Scope,"The provisions of this chapter shall govern the materials, systems and assemblies used for structural fire resistance and fire-resistance-rated construction separation of adjacent spaces to safeguard against the spread of fire and smoke within a building and the spread of fire to or from buildings.",Wall|Slab|Door|CurtainWall|Roof,Assembly (A)|Business (B)|Residential (R)|Educational (E)|Institutional (I),sd|dd|cd,fire_resistance_smoke_protection,architect
702,Chapter 7 Fire and Smoke Protection Features,Multiple-Use Fire Assemblies,,,,,none,none
702.1,Section 702 Multiple-Use Fire Assemblies,Multiple-Use Fire Assemblies,Fire assemblies that serve multiple purposes in a building shall comply with all of the requirements that are applicable for each of the individual fire assemblies.,Wall|Slab|Door|Window|Roof,Assembly (A)|Business (B)|Residential (R)|Educational (E)|Institutional (I),sd|dd|cd,fire_resistance_smoke_protection,architect
703,Chapter 7 Fire and Smoke Protection Features,Fire-Resistance Ratings and Fire Tests,,,,,none,none
703.1,Section 703 Fire-Resistance Ratings and Fire Tests,Scope,Materials prescribed herein for fire resistance shall conform to the requirements of this chapter.,Wall|Slab|Column,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,fire_resistance_smoke_protection,architect
703.2,Section 703 Fire-Resistance Ratings and Fire Tests,Fire Resistance,"The fire-resistance rating of building elements, components or assemblies shall be determined in accordance with Section 703.2.1 or 703.2.2 without the use of automatic sprinklers or any other fire suppression system being incorporated, or in accordance with Section 703.2.3.",Wall|Slab|Roof|Column|Door,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,fire_resistance_smoke_protection,architect
703.2.1,Section 703 Fire-Resistance Ratings and Fire Tests,Tested Assemblies,"A fire-resistance rating of building elements, components or assemblies shall be determined by the test procedures set forth in ASTM E119 or UL 263. The fire-resistance rating of penetrations and fire-resistant joint systems shall be determined in accordance with Sections 714 and 715, respectively.",Wall|Slab|Roof|Door|Window,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,fire_resistance_smoke_protection,architect
703.2.1.1,Section 703 Fire-Resistance Ratings and Fire Tests,Nonsymmetrical Wall Construction,"Interior walls and partitions of nonsymmetrical construction shall be tested with both faces exposed to the furnace, and the assigned fire-resistance rating shall be the shortest duration obtained from the two tests conducted in compliance with ASTM E119 or UL 263. Where evidence is furnished to show that the wall was tested with the least fire-resistant side exposed to the furnace, subject to acceptance of the building official, the wall need not be subjected to tests from the opposite side (see Section 705.5 for exterior walls).",Wall|Partition,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect
