id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
14,,Relocated or Moved Buildings,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,special_construction,architect,"User notes: About this chapter: Chapter 14 is applicable to any building that is moved or relocated. The relocation of a building will automatically cause an inspection and evaluation process that enables the jurisdiction to determine the level of compliance with the Fire Code of New York State and the Property Maintenance Code of New York State. These two codes, by their scope, are applicable to existing buildings. This is the case regardless of any repair, remodeling, alteration work or change of occupancy occurring (see the Fire Code of New York State and Property Maintenance Code of New York State)."
1401,Chapter 14 Relocated or Moved Buildings,General,,,,none,none,
1401.1,Section 1401 General,Scope,BuildingElementProxy,Business (B)|Educational (E)|Residential (R)|Assembly (A)|Mercantile (M),sd|dd|cd,special_construction,architect,"This chapter provides requirements for relocated or moved structures, including relocatable buildings as defined in Chapter 2."
1401.1.1,Section 1401 General,"Bleachers, Folding and Telescopic Seating and Grandstands",BuildingElementProxy,Assembly (A),sd|dd|cd,special_construction,architect,"Relocated or moved bleachers, folding and telescopic seating and grandstands shall comply with ICC 300."
1401.2,Section 1401 General,Conformance,Wall|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,occupancy_classification,architect,"The building shall be safe for human occupancy as determined by the Fire Code of New York State and the Property Maintenance Code of New York State. Any repair, alteration or change of occupancy undertaken within the moved structure shall comply with the requirements of this code applicable to the work being performed. Any field-fabricated elements shall comply with the requirements of the Building Code of New York State or the Residential Code of New York State, as applicable."
1402,Chapter 14 Relocated or Moved Buildings,Requirements,,,,none,none,
1402.1,Section 1402 Requirements,Location on the Lot,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd,site_planning,architect,"The building shall be located on the lot in accordance with the requirements of the Building Code of New York State or the Residential Code of New York State, as applicable."
1402.2,Section 1402 Requirements,Foundation,Footing|DeepFoundation|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer,"The foundation system of relocated buildings shall comply with the Building Code of New York State or the Residential Code of New York State, as applicable."
1402.2.1,Section 1402 Requirements,Connection to the Foundation,Footing|Wall|Column|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer,"The connection of the relocated building to the foundation shall comply with the Building Code of New York State or the Residential Code of New York State, as applicable."
1402.3,Section 1402 Requirements,Wind Loads,Wall|Roof|Slab|Column|Beam,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer,"Buildings shall comply with Building Code of New York State or Residential Code of New York State wind provisions, as applicable. Exceptions: Detached one- and two-family dwellings and Group U occupancies where wind loads at the new location are not higher than those at the previous location. Structural elements whose stress is not increased by more than 10 percent."
1402.4,Section 1402 Requirements,Seismic Loads,Wall|Column|Beam|Footing|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,structural_design,structural_engineer,"Buildings shall comply with Building Code of New York State or Residential Code of New York State seismic provisions at the new location, as applicable. Exceptions: Structures in Seismic Design Categories A and B and detached one- and two-family dwellings in Seismic Design Categories A, B and C where the seismic loads at the new location are not higher than those at the previous location. Structural elements whose stress is not increased by more than 10 percent."
1402.5,Section 1402 Requirements,Snow Loads,Roof|Slab|Beam|Column|Footing,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer,"Structures shall comply with Building Code of New York State or Residential Code of New York State snow loads, as applicable, where snow loads at the new location are higher than those at the previous location. Exception: Structural elements whose stress is not increased by more than 5 percent."
1402.6,Section 1402 Requirements,Flood Hazard Areas,BuildingElementProxy|Slab|Wall|Footing,Business (B)|Educational (E)|Factory and Industrial (F)|Institutional (I)|Residential (R),sd|dd|cd,site_planning,architect,"If relocated or moved into a flood hazard area, structures shall comply with Section 1612 of the Building Code of New York State, or Section R306 of the Residential Code of New York State, as applicable."
1402.7,Section 1402 Requirements,Required Inspection and Repairs,Wall|Beam|Column|Footing|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),cd|ca,structural_design,structural_engineer,"The code official shall be authorized to inspect, or to require approved professionals to inspect at the expense of the owner, the various structural parts of a relocated building to verify that structural components and connections have not sustained structural damage. Any repairs required by the code official as a result of such inspection shall be made prior to the final approval."
