id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
2,,Definitions,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd|ca,occupancy_classification,architect,"User notes:About this chapter: Codes, by their very nature, are technical documents. Every word, term and punctuation mark can add to or change the meaning of a technical requirement. It is necessary to maintain a consensus on the specific meaning of each term contained in the code. Chapter 2 performs this function by stating clearly what specific terms mean for the purpose of the code."
201,Chapter 2 Definitions,General,,,,none,none,
201.1,Section 201 General,Scope,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect,"Unless otherwise expressly stated, the words and terms provided in italics shall, for the purposes of this code, have the meanings indicated in this chapter or as defined within the chapter or appendix where the word or term is found, except as provided in Sections 201.3 and 201.4."
201.2,Section 201 General,Interchangeability,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect,"Words and terms used in the present tense include the future; words and terms stated in the masculine gender include the feminine and neuter; the singular number includes the plural and the plural, the singular."
201.3,Section 201 General,Words and Terms Defined in Other Codes,,,,,,"Where italicized words and terms are not defined in this code and are defined in the Building Code of New York State, Energy Conservation Construction Code of New York State, Fire Code of New York State, Fuel Gas Code of New York State, Mechanical Code of New York State, or Plumbing Code of New York State, such terms shall have the meanings ascribed to them in those codes."
201.4,Section 201 General,Words and Terms Not Defined,,,,,,"Where words and terms are not italicized or are italicized but not defined through the methods authorized by this chapter, such words and terms shall have the meanings defined in applicable referenced standards, statutes, or regulations or ordinarily accepted meanings such as the context implies."
202,Chapter 2 Definitions,General Definitions,,,,none,none,
addition_,Section 202 General Definitions,Addition,Wall|Slab|Column|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,building_height_area_limits,architect,"An extension or increase in floor area, number of stories, or height of a building or structure."
new_agricultural_building_,Section 202 General Definitions,Agricultural Building,,,,,,"A structure designed and constructed to house farm equipment, farm implements, poultry, livestock, hay, grain, or other horticultural products. This structure shall not be a place of human habitation or a place of employment where agricultural products are processed, treated or packaged, nor shall it be a place used by the public."
alteration_,Section 202 General Definitions,Alteration,Wall|Slab|Door|Window|Roof,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,occupancy_classification,architect,Any construction or renovation to an existing structure other than a repair or addition.
ambulatory_care_facility_,Section 202 General Definitions,Ambulatory Care Facility,Wall|Door|Slab,Institutional (I),concept|sd|dd|cd,occupancy_classification,architect,"Buildings or portions thereof used to provide medical, surgical, psychiatric, nursing or similar care on a less than 24-hour basis to persons who are rendered incapable of self-preservation by the services provided or staff has accepted responsibility for care recipients already incapable."
approved_,Section 202 General Definitions,Approved,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,special_construction,architect,Acceptable to the code official.
approved_agency_,Section 202 General Definitions,Approved Agency,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,special_construction,architect,"An established and recognized organization that is regularly engaged in conducting tests, furnishing inspection services or furnishing product evaluation or certification where such organization has been approved by the code official."
new_authority_having_jurisdiction_,Section 202 General Definitions,Authority Having Jurisdiction,,,,,,The governmental unit or agency responsible for administration and enforcement of this code.
BUILDING_,Section 202 General Definitions,Building,Wall|Roof|Slab|Column|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),concept|sd|dd|cd,occupancy_classification,architect,Any structure utilized or intended for supporting or sheltering any occupancy.
new_building_code_of_york_state_,Section 202 General Definitions,Building Code of New York State,,,,,,"The 2025 edition of the publication entitled ""Building Code of New York State,"" published by the International Code Council, Inc. (publication date July 2025)."
new_building_official_,Section 202 General Definitions,Building Official,,,,,,"See ""Code official."""
change_of_occupancy_,Section 202 General Definitions,Change of Occupancy,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,occupancy_classification,architect,"Any of the following shall be considered as a change of occupancy where the current Building Code of New York State requires a greater degree of safety, accessibility, structural strength, fire protection, means of egress, ventilation or sanitation than is existing in the current building or structure: Any change in the occupancy classification of a building or structure. Any change in the purpose of, or a change in the level of activity within, a building or structure. A change of use."
change_of_use_,Section 202 General Definitions,Change of Use,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,occupancy_classification,architect,"A change in the use of a building or a portion of a building, within the same group classification, for which there is a change in application of the code requirements."
new_code_enforcement_program_,Section 202 General Definitions,Code Enforcement Program,,,,,,"The program under which an authority having jurisdiction administers and enforces this code, as such program is currently in effect and as such program may hereafter be amended from time to time."
code_official_,Section 202 General Definitions,Code Official,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,occupancy_classification,owner,"The officer or other designated authority charged with the administration and enforcement of this code, or a duly authorized representative."
dangerous_,Section 202 General Definitions,Dangerous,Wall|Column|Roof|Slab|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd|ca,structural_design,structural_engineer,"Any building, structure or portion thereof that meets any of the conditions described below shall be deemed dangerous: The building or structure has collapsed, has partially collapsed, has moved off its foundation or lacks the necessary support of the ground. There exists a significant risk of collapse, detachment or dislodgement of any portion, member, appurtenance or ornamentation of the building or structure under permanent, routine or frequent loads; under actual loads already in effect; or under snow, wind, rain, flood, earthquake aftershock or other environmental loads when such loads are imminent."
deferred_submittal_,Section 202 General Definitions,Deferred Submittal,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,special_construction,architect,Those portions of the design that are not submitted at the time of the application and that are to be submitted to the code official within a specified period.
disproportionate_earthquake_damage_,Section 202 General Definitions,Disproportionate Earthquake Damage,Column|Wall|Beam,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,structural_design,structural_engineer,"A condition of earthquake-related damage where both of the following occur: The 0.3-second spectral acceleration at the building site for the earthquake in question, as estimated by one of the following, is less than 30 percent of the mapped acceleration parameter SS: The United States Geological Survey's algorithm for the data point closest to the site. As determined from peer-reviewed seismograph records from the site or from locations closer to the site than the algorithm-provided data points. The vertical elements of the lateral force-resisting system have suffered damage such that the lateral load-carrying capacity of any story in any horizontal direction has been reduced by more than 10 percent from its pre-earthquake condition."
emergency_escape_and_rescue_opening_,Section 202 General Definitions,Emergency Escape and Rescue Opening,Window|Door|Wall,Residential (R)|Institutional (I)|Educational (E),sd|dd|cd,means_of_egress,architect,"An operable exterior window, door or other similar device that provides for a means of escape and access for rescue in the event of an emergency."
new_energy_code_,Section 202 General Definitions,Energy Code,,,,,,"The New York State Energy Conservation Construction Code, adopted pursuant to Article 11 of the New York State Energy Law."
new_energy_conservation_construction_code_of_york_state_,Section 202 General Definitions,Energy Conservation Construction Code of New York State,,,,,,"The 2025 edition of the publication entitled ""Energy Conservation Construction Code of New York State,"" published by the International Code Council, Inc. (publication date July 2025)."
new_energy_storage_system_,Section 202 General Definitions,Energy Storage System,,,,,,"One or more devices, assembled together, capable of storing energy in order to supply electrical energy at a future time, not to include a stand-alone 12-volt car battery or an electric motor vehicle."
equipment_or_fixture_,Section 202 General Definitions,Equipment or Fixture,BuildingElementProxy|Elevator,Business (B)|Factory and Industrial (F)|Institutional (I)|Mercantile (M)|Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer,"Any plumbing, heating, electrical, ventilating, air conditioning, refrigerating and fire protection equipment; and elevators, dumbwaiters, escalators, boilers, pressure vessels and other mechanical facilities; or installations that are related to building services. Equipment or fixture shall not include manufacturing, production or process equipment, but shall include connections from building service to process equipment."
existing_building_,Section 202 General Definitions,Existing Building,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect,"A building that is legally occupied and/or for which a certificate of occupancy authorizing its use(s) has been issued, without regard to the date on which such legal occupancy began or the date on which such certificate of occupancy was issued."
existing_structure_,Section 202 General Definitions,Existing Structure,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),concept|sd|dd|cd,occupancy_classification,architect,"A structure that is legally occupied and/or for which a certificate of occupancy authorizing its use(s) has been issued, without regard to the date on which such legal occupancy began or the date on which such certificate of occupancy was issued."
exterior_wall_covering_,Section 202 General Definitions,Exterior Wall Covering,Covering|Wall,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,assemblies_envelope,architect,"A material or assembly of materials applied on the exterior side of exterior walls for the purpose of providing a weather-resisting barrier, insulation or for aesthetics, including but not limited to, veneers, siding, exterior insulation and finish systems, architectural trim and embellishments, such as cornices, soffits, facias, gutters and leaders."
exterior_wall_envelope_,Section 202 General Definitions,Exterior Wall Envelope,Wall|Slab|Roof|Covering|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,assemblies_envelope,architect,"A system or assembly of exterior wall components, including exterior wall finish materials, that provides protection of the building structural members, including framing and sheathing materials, and conditioned interior space from the detrimental effects of the exterior environment."
facility_,Section 202 General Definitions,Facility,BuildingElementProxy|Wall|Door|Ramp|Slab,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),concept|sd|dd|cd,accessibility,architect,"All or any portion of buildings, structures, site improvements, elements and pedestrian or vehicular routes located on a site."
new_fire_code_of_york_state_,Section 202 General Definitions,Fire Code of New York State,,,,,,"The 2025 edition of the publication entitled ""Fire Code of New York State,"" published by the International Code Council, Inc. (publication date July 2025)."
