id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
11,,[RE] Energy Efficiency [NY] Reserved,,,,,,
N1101,Chapter 11 [RE] Energy Efficiency [NY] Reserved,General,,,,,none,none
N1102,Chapter 11 [RE] Energy Efficiency [NY] Reserved,(R402) Building Thermal Envelope,,,,,none,none
N1103,Chapter 11 [RE] Energy Efficiency [NY] Reserved,(R403) Systems,,,,,none,none
N1104,Chapter 11 [RE] Energy Efficiency [NY] Reserved,"(R404) Electrical Power, Lighting and Renewable Energy Systems",,,,,none,none
N1105,Chapter 11 [RE] Energy Efficiency [NY] Reserved,(R405) Simulated Building Performance,,,,,none,none
N1106,Chapter 11 [RE] Energy Efficiency [NY] Reserved,(R406) Energy Rating Index Compliance Alternative,,,,,none,none
N1107,Chapter 11 [RE] Energy Efficiency [NY] Reserved,(R407) Tropical Climate Region Compliance Path,,,,,none,none
N1108,Chapter 11 [RE] Energy Efficiency [NY] Reserved,(R408) Additional Efficiency Requirements,,,,,none,none
N1109,Chapter 11 [RE] Energy Efficiency [NY] Reserved,(R501) Existing Buildings—General,,,,,none,none
N1110,Chapter 11 [RE] Energy Efficiency [NY] Reserved,(R502) Additions,,,,,none,none
N1111,Chapter 11 [RE] Energy Efficiency [NY] Reserved,(R503) Alterations,,,,,none,none
N1112,Chapter 11 [RE] Energy Efficiency [NY] Reserved,(R504) Repairs,,,,,none,none
N1113,Chapter 11 [RE] Energy Efficiency [NY] Reserved,(R505) Change of Occupancy or Use,,,,,none,none
