id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
3,,Occupancy Classification and Use,Wall|Slab|Door,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),concept|sd|dd,occupancy_classification,architect,"User note:About this chapter: Chapter 3 provides the criteria by which buildings and structures are classified into use groups and occupancies. Through the balance of the code, occupancy classification is fundamental in the setting of features of construction; occupant safety requirements, especially building limitations; means of egress; fire protection systems; and interior finishes."
301,Chapter 3 Occupancy Classification and Use,Scope,,,,none,none,
301.1,Section 301 Scope,General,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,occupancy_classification,architect,The provisions of this chapter shall control the classification of all buildings and structures as to occupancy and use. Different classifications of occupancy and use represent varying levels of hazard and risk to building occupants and adjacent properties.
302,Chapter 3 Occupancy Classification and Use,Occupancy Classification and Use Designation,,,,none,none,
302.1,Section 302 Occupancy Classification and Use Designation,Occupancy Classification,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,occupancy_classification,architect,"Occupancy classification is the formal designation of the primary purpose of the building, structure or portion thereof. Structures shall be classified into one or more of the occupancy groups specified in this section based on the nature of the hazards and risks to building occupants generally associated with the intended purpose of the building or structure. An area, room or space that is intended to be occupied at different times for different purposes shall comply with all applicable requirements associated with such potential multipurpose. Structures containing multiple occupancy groups shall comply with Section 508. Where a structure is proposed for a purpose that is not specified in this section, such structure shall be classified in the occupancy it most nearly resembles based on the fire safety and relative hazard. Occupied roofs shall be classified in the group that the occupancy most nearly resembles, according to the fire safety and relative hazard, and shall comply with Section 503.1.4 . Assembly (see Section 303): Groups A-1, A-2, A-3, A-4 and A-5. Business (see Section 304): Group B. Educational (see Section 305): Group E. Factory and Industrial (see Section 306): Groups F-1 and F-2. High Hazard (see Section 307): Groups H-1, H-2, H-3, H-4 and H-5. Institutional (see Section 308): Groups I-1, I-2, I-3 and I-4. Mercantile (see Section 309): Group M. Residential (see Section 310): Groups R-1, R-2, R-3 and R-4. Storage (see Section 311): Groups S-1 and S-2. Utility and Miscellaneous (see Section 312): Group U."
302.2,Section 302 Occupancy Classification and Use Designation,Use Designation,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),concept|sd|dd,occupancy_classification,architect,"Occupancy groups contain subordinate uses having similar hazards and risks to building occupants. Uses include, but are not limited to, those functional designations specified within the occupancy group descriptions in Section 302.1. Certain uses require specific limitations and controls in accordance with the provisions of Chapter 4 and elsewhere in this code."
303,Chapter 3 Occupancy Classification and Use,Assembly Group A,,,,none,none,
303.1,Section 303 Assembly Group A,Assembly Group A,Wall|Door|Stair|Slab,Assembly (A),concept|sd|dd|cd,occupancy_classification,architect,"Assembly Group A occupancy includes, among others, the use of a building or structure, or a portion thereof, for the gathering of persons for purposes such as civic, social or religious functions; recreation, food or drink consumption or awaiting transportation."
303.1.1,Section 303 Assembly Group A,Small Buildings and Tenant Spaces,Wall|Door|Slab,Assembly (A)|Business (B),sd|dd|cd,occupancy_classification,architect,A building or tenant space used for assembly purposes with an occupant load of less than 50 persons shall be classified as a Group B occupancy.
303.1.2,Section 303 Assembly Group A,Small Assembly Spaces,Wall|Door|Slab,Assembly (A)|Business (B),sd|dd|cd,occupancy_classification,architect,The following rooms and spaces shall not be classified as Assembly occupancies:A room or space used for assembly purposes with an occupant load of less than 50 persons and accessory to another occupancy shall be classified as a Group B occupancy or as part of that occupancy.A room or space used for assembly purposes that is less than 750 square feet (70 m2) in area and accessory to another occupancy shall be classified as a Group B occupancy or as part of that occupancy.
303.1.3,Section 303 Assembly Group A,Associated With Group E Occupancies,Wall|Door|Slab,Educational (E)|Assembly (A),concept|sd|dd|cd,occupancy_classification,architect,A room or space used for assembly purposes that is associated with a Group E occupancy is not considered a separate occupancy.
303.1.4,Section 303 Assembly Group A,Accessory to Places of Religious Worship,Wall|Door|Slab,Assembly (A)|Educational (E),sd|dd|cd,occupancy_classification,architect,Accessory religious educational rooms and religious auditoriums with occupant loads of less than 100 per room or space are not considered separate occupancies.
303.1.5,Section 303 Assembly Group A,Special Amusement Areas,Wall|Door|Window|Slab,Assembly (A),sd|dd|cd,occupancy_classification,architect,Special amusement areas shall comply with Section 411.
303.2,Section 303 Assembly Group A,Assembly Group A-1,Wall|Door|Slab|Stair|Roof,Assembly (A),concept|sd|dd|cd,occupancy_classification,architect,"Group A-1 occupancy includes assembly uses, usually with fixed seating, intended for the production and viewing of the performing arts or motion pictures including, but not limited to:Motion picture theatersSymphony and concert hallsTelevision and radio studios admitting an audienceTheaters"
303.3,Section 303 Assembly Group A,Assembly Group A-2,Wall|Door|Slab|Window|BuildingElementProxy,Assembly (A),concept|sd|dd|cd,occupancy_classification,architect,"Group A-2 occupancy includes assembly uses intended for food and/or drink consumption including, but not limited to:Banquet hallsCasinos (gaming areas)NightclubsRestaurants, cafeterias and similar dining facilities (including associated commercial kitchens)Taverns and bars"
303.4,Section 303 Assembly Group A,Assembly Group A-3,Wall|Slab|Door|Window,Assembly (A),concept|sd|dd|cd,occupancy_classification,architect,"Group A-3 occupancy includes assembly uses intended for worship, recreation or amusement and other assembly uses not classified elsewhere in Group A including, but not limited to:Amusement arcadesArt galleriesBowling alleysCommunity hallsCourtroomsDance halls (not including food or drink consumption)Exhibition hallsFuneral parlorsGreenhouses for the conservation and exhibition of plants that provide public accessGymnasiums (without spectator seating)Indoor swimming pools (without spectator seating)Indoor tennis courts (without spectator seating)Lecture hallsLibrariesMuseumsPlaces of religious worshipPool and billiard parlorsWaiting areas in transportation terminals"
303.5,Section 303 Assembly Group A,Assembly Group A-4,Slab|Railing|Stair|Door|Wall,Assembly (A),concept|sd|dd|cd,occupancy_classification,architect,"Group A-4 occupancy includes assembly uses intended for viewing of indoor sporting events and activities with spectator seating including, but not limited to:ArenasSkating rinksSwimming poolsTennis courts"
303.6,Section 303 Assembly Group A,Assembly Group A-5,Slab|Stair|Railing|Roof|Beam,Assembly (A),concept|sd|dd|cd,occupancy_classification,architect,"Group A-5 occupancy includes assembly uses intended for participation in or viewing outdoor activities including, but not limited to:Amusement park structuresBleachersGrandstandsStadiums"
304,Chapter 3 Occupancy Classification and Use,Business Group B,,,,none,none,
304.1,Section 304 Business Group B,Business Group B,Wall|Slab|Door,Business (B),concept|sd|dd|cd,occupancy_classification,architect,"Business Group B occupancy includes, among others, the use of a building or structure, or a portion thereof, for office, professional or service-type transactions, including storage of records and accounts. Business occupancies shall include, but not be limited to, the following: Airport traffic control towers Ambulatory care facilities Animal hospitals, kennels and pounds Banks Barber and beauty shops Car wash Civic administration Clinic, outpatient Dry cleaning and laundries: pick-up and delivery stations and self-service Educational occupancies for high school students participating in Cooperative Innovative High School Programs taught at colleges, community colleges or universities Educational occupancies for students above the 12th grade including higher education laboratories Electronic data processing Food processing establishments and commercial kitchens not associated with restaurants, cafeterias and similar dining facilities not more than 2,500 square feet (232 m2) in area Laboratories: testing and research Motor vehicle showrooms, including vehicle service check-in areas Post offices Print shops Professional services (architects, attorneys, dentists, physicians, engineers, etc.) Radio and television stations Telephone exchanges Training and skill development not in a school or academic program (this shall include, but not be limited to, tutoring centers, martial arts studios, gymnastics and similar uses regardless of the ages served, and where not classified as a Group A occupancy)"
304.2,Section 304 Business Group B,Airport Traffic Control Towers,BuildingElementProxy|Slab|Stair|Wall|Window,Business (B),sd|dd|cd,occupancy_classification,architect,Airport traffic control towers shall comply with Section 412.2.
304.3,Section 304 Business Group B,Ambulatory Care Facilities,BuildingElementProxy,Business (B),concept|sd|dd|cd,occupancy_classification,architect,Ambulatory care facilities shall comply with Section 422.
304.4,Section 304 Business Group B,Higher Education Laboratories,Wall|Door|Window|Slab,Educational (E),sd|dd|cd,occupancy_classification,architect,Higher education laboratories shall comply with Section 428.
305,Chapter 3 Occupancy Classification and Use,Educational Group E,,,,none,none,
305.1,Section 305 Educational Group E,Educational Group E,Wall|Door|Slab,Educational (E),concept|sd|dd|cd,occupancy_classification,architect,"Educational Group E occupancy includes, among others, the use of a building or structure, or a portion thereof, by six or more persons at any one time for educational purposes through the 12th grade."
305.1.1,Section 305 Educational Group E,Accessory to Places of Religious Worship,Wall|Door|Slab,Assembly (A)|Educational (E),sd|dd|cd,occupancy_classification,architect,"Religious educational rooms and religious auditoriums, which are accessory to places of religious worship in accordance with Section 303.1.4 and have occupant loads of less than 100 per room or space, shall be classified as Group A-3 occupancies."
new_305.1.2,Section 305 Educational Group E,Cooperative Innovative High School Programs,,,,,,"Educational occupancies for high school students participating in Cooperative Innovative High School Programs taught at colleges, community colleges or universities shall be classified as Group B occupancies."
new_305.1.3,Section 305 Educational Group E,Drop-in/Short-Term Child Care,,,,,,Drop-in/short-term childcare facility as defined in North Carolina G.S. 110-86(2)(d) &amp; (d1) shall be classified as Group E.
305.2,Section 305 Educational Group E,"Group E, Day Care Facilities",Wall|Door|Window,Educational (E),concept|sd|dd|cd,occupancy_classification,architect,"This group includes buildings and structures or portions thereof occupied by more than five children older than 21/2 years of age who receive educational, supervision or personal care services for fewer than 24 hours per day."
305.2.1,Section 305 Educational Group E,Within Places of Religious Worship,Wall|Door|Slab,Assembly (A)|Educational (E),concept|sd|dd|cd,occupancy_classification,architect,Rooms and spaces within places of religious worship providing such day care during religious functions shall be classified as part of the primary occupancy.
305.2.2,Section 305 Educational Group E,Five or Fewer Children,BuildingElementProxy,Educational (E)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect,A facility having five or fewer children receiving such day care shall be classified as part of the primary occupancy.
305.2.3,Section 305 Educational Group E,Five or Fewer Children in a Dwelling Unit,Wall|Door|Window,Residential (R),sd|dd|cd,occupancy_classification,architect,A facility such as the above within a dwelling unit and having five or fewer children receiving such day care shall be classified as a Group R-3 occupancy or shall comply with the International Residential Code.
305.3,Section 305 Educational Group E,Storm Shelters in Group E Occupancies,Wall|Slab|Door|Roof,Educational (E),sd|dd|cd,special_construction,architect,Storm shelters shall be provided for Group E occupancies where required by Section 423.5.
306,Chapter 3 Occupancy Classification and Use,Factory Group F,,,,none,none,
306.1,Section 306 Factory Group F,Factory Industrial Group F,BuildingElementProxy|Slab|Wall,Factory and Industrial (F),concept|sd|dd|cd,occupancy_classification,architect,"Factory Industrial Group F occupancy includes, among others, the use of a building or structure, or a portion thereof, for assembling, disassembling, fabricating, finishing, manufacturing, packaging, repair or processing operations that are not classified as a Group H hazardous or Group S storage occupancy."
306.2,Section 306 Factory Group F,"Moderate-Hazard Factory Industrial, Group F-1",Wall|Slab|Roof,Factory and Industrial (F),concept|sd|dd,occupancy_classification,architect,"Factory industrial uses that are not classified as Factory Industrial F-2 Low Hazard shall be classified as F-1 Moderate Hazard and shall include, but not be limited to, the following: Aircraft (manufacturing, not to include repair) Appliances Athletic equipment Automobiles and other motor vehicles Bakeries Beverages: over 16-percent alcohol content Bicycles Boats Brooms or brushes Business machines Cameras and photo equipment Canvas or similar fabric Carpets and rugs (includes cleaning) Clothing Construction and agricultural machinery Disinfectants Dry cleaning and dyeing Electric generation plants Electronics Energy storage systems (ESS) in dedicated use buildings Engines (including rebuilding) Food processing establishments and commercial kitchens not associated with restaurants, cafeterias and similar dining facilities more than 2,500 square feet (232 m2) in area Furniture Hemp products Jute products Laundries Leather products Machinery Metals Millwork (sash and door) Motion pictures and television filming (without spectators) not exempt by N.C.G.S. 143-138(b20) Musical instruments Optical goods Paper mills or products Photographic film Plastic products Printing or publishing Processing and extraction facilities Recreational vehicles Refuse incineration Shoes Soaps and detergents Textiles Tobacco Trailers Upholstering Water/sewer treatment facilities Wood; distillation Woodworking (cabinet)"
306.2.1,Section 306 Factory Group F,Aircraft Manufacturing Facilities,BuildingElementProxy|Slab|Wall,Factory and Industrial (F),sd|dd|cd,occupancy_classification,architect,Aircraft manufacturing facilities shall comply with Section 412.6.
new_306.2.2,Section 306 Factory Group F,Processing and Extraction Facilities,,,,,,Processing and extraction facilities shall comply with Chapter 39 of the International Fire Code.
306.3,Section 306 Factory Group F,"Low-Hazard Factory Industrial, Group F-2",Wall|Slab|Column|Roof|Door,Factory and Industrial (F),concept|sd|dd|cd,occupancy_classification,architect,"Factory industrial uses that involve the fabrication or manufacturing of noncombustible materials that during finishing, packing or processing do not involve a significant fire hazard shall be classified as F-2 occupancies and shall include, but not be limited to, the following:Beverages: up to and including 16-percent alcohol contentBrick and masonryCeramic productsFoundriesGlass productsGypsumIceMetal products (fabrication and assembly)"
307,Chapter 3 Occupancy Classification and Use,High-Hazard Group H,,,,none,none,
