id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
30,,Elevators and Conveying Systems,User note: About this chapter: Chapter 30 contains the provisions that regulate vertical and horizontal transportation and material-handling systems installed in buildings. This chapter also provides several elements that protect occupants and assist emergency responders during fires.,Elevator|Ramp|Stair|RampFlight|Door,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,elevators_conveying_systems,elevator_consultant
3001,Chapter 30 Elevators and Conveying Systems,General,,,,,none,none
3001.1,Section 3001 General,Scope,"This chapter governs the design, construction, installation, alteration and repair of elevators and conveying systems and their components.",Elevator|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,elevators_conveying_systems,elevator_consultant
3001.2,Section 3001 General,"Emergency Elevator Communication Systems for the Deaf, Hard of Hearing and Speech Impaired","An emergency two-way communication system shall be provided. The system shall provide visible text and audible modes that meet all of the following requirements:When operating in each mode, include a live interactive system that allows back and forth conversation between the elevator occupants and emergency personnel.Is operational when the elevator is operational.Allows elevator occupants to select the text-based or audible mode depending on their communication needs to interact with emergency personnel.",,,,,
3001.3,Section 3001 General,Referenced Standards,"Except as otherwise provided for in this code, the design, construction, installation, alteration, repair and maintenance of elevators and conveying systems and their components shall conform to the applicable standard specified in Table 3001.3 and ASCE 24 for construction in flood hazard areas established in Section 1612.3. TABLE 3001.3ELEVATORS AND CONVEYING SYSTEMS AND COMPONENTS TYPE STANDARD Automotive lifts ALI ALCTV Belt manlifts ASME A90.1 Conveyors and related equipment ASME B20.1 Elevators, escalators, dumbwaiters, moving walks, material lifts ASME A17.1/CSA B44, ASME A17.7/CSA B44.7 Industrial scissor lifts ANSI MH29.1 Platform lifts, stairway chairlifts, wheelchair lifts ASME A18.1",ElevatorsConveyingSystems|Stair|Ramp,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,elevators_conveying_systems,elevator_consultant
3001.4,Section 3001 General,Accessibility,Passenger elevators required to be accessible or to serve as part of an accessible means of egress shall comply with Sections 1009 and 1110.8.,Elevator|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,accessibility,architect
3001.5,Section 3001 General,Change in Use,"A change in use of an elevator from freight to passenger, passenger to freight, or from one freight class to another freight class shall comply with Section 8.7 of ASME A17.1/CSA B44.",Elevator|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Institutional (I),sd|dd|cd,elevators_conveying_systems,elevator_consultant
3002,Chapter 30 Elevators and Conveying Systems,Hoistway Enclosures,,,,,none,none
3002.1,Section 3002 Hoistway Enclosures,Hoistway Enclosure Protection,"Elevator, dumbwaiter and other hoistway enclosures shall be shaft enclosures complying with Sections 712 and 713.",,,,,
3002.1.1,Section 3002 Hoistway Enclosures,Opening Protectives,Openings in hoistway enclosures shall be protected as required in Chapter 7.Exception: The elevator car doors and the associated hoistway enclosure doors at the floor level designated for recall in accordance with Section 3003.2 shall be permitted to remain open during Phase I Emergency Recall Operation.,Door|Wall,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,fire_resistance_smoke_protection,architect
