id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
2,,Definitions,"User notes: About this chapter: Codes, by their very nature, are technical documents. Every word, term and punctuation mark can add to or change the meaning of a technical requirement. It is necessary to maintain a consensus on the specific meaning of each term contained in the code. Chapter 2 performs this function by stating clearly what specific terms mean for the purpose of the code. Code development reminder: Code change proposals to definitions in this chapter preceded by a bracketed letter are considered by the IRC—Building Code Development Committee [RB], the IRC—Mechanical/Plumbing Code Development Committee [MP] or the IECC—Residential Code Development Committee [RE] during the Group B (2022) Code Development Cycle.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect
R201,Chapter 2 Definitions,General,,,,,none,none
R201.1,Chapter 2 Definitions,Scope,"Unless otherwise expressly stated, the following words and terms shall, for the purposes of this code, have the meanings indicated in this chapter.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),concept|sd|dd|cd|ca,occupancy_classification,architect
R201.2,Chapter 2 Definitions,Interchangeability,"Words used in the present tense include the future; words in the masculine gender include the feminine and neuter; the singular number includes the plural and the plural, the singular.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd,occupancy_classification,architect
R201.3,Chapter 2 Definitions,Terms Defined in Other Codes,Where terms are not defined in this code such terms shall have the meanings ascribed in other code publications of the International Code Council.,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect
R201.4,Chapter 2 Definitions,Terms Not Defined,"Where terms are not defined through the methods authorized by this section, such terms shall have ordinarily accepted meanings such as the context implies.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd,occupancy_classification,architect
R202,Chapter 2 Definitions,Definitions,,Wall|Roof|Slab|Chimney|Door,Residential (R)|Business (B)|Assembly (A),sd|dd|cd,occupancy_classification,architect
above_grade_wall_,Chapter 2 Definitions,Above-Grade Wall,"A wall more than 50 percent above grade and enclosing conditioned space. This includes between-floor spandrels, peripheral edges of floors, roof and basement knee walls, dormer walls, gable end walls, walls enclosing a mansard roof and skylight shafts.",,,,,
new_accepted_engineering_practice_,Chapter 2 Definitions,Accepted Engineering Practice,"Practice that conforms to accepted principles, tests or standards of nationally recognized technical or scientific authorities.",,,,,
new_access_cover_,Chapter 2 Definitions,Access Cover,"A removable plate, usually secured by bolts or screws, to permit access to a pipe or pipe fitting for the purposes of inspection, repair or cleaning.",,,,,
access_to_,Chapter 2 Definitions,Access (To),"That which enables a device, an appliance or equipment to be reached by ready access or by a means that first requires the removal or movement of a panel, door or similar obstruction.",,,,,
new_accessible_,Chapter 2 Definitions,Accessible,"Signifies access that requires the removal of an access panel or similar removable obstruction. For energy purposes, accessible means admitting close approach as a result of not being guarded by locked doors, elevation or other effective means (see ""accessible, readily"").",,,,,
new_accessory_building_,Chapter 2 Definitions,Accessory Building,"A building that does not contain a sleeping room, the use of which is appurtenant to that of the dwelling, that is detached and located on the same lot as the dwelling and is roofed over with more than 50 percent of its exterior walls enclosed.",,,,,
