id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
28,,Water Heaters,"User notes: About this chapter: Chapter 28 contains regulations concerning the safety of water heating units and hot water storage tanks. Heated potable water is needed for plumbing fixtures that are associated with washing, bathing and kitchen activities. Heated water is commonly stored in pressurized storage tanks that must be protected against explosion by pressure and temperature relief valves specified in this chapter. This chapter also covers the access requirements to water heaters and hot water storage tanks to allow for the maintenance and replacement of that equipment. Code development reminder: Code change proposals to this chapter will be considered by the IRC—Mechanical/Plumbing Code Development Committee during the 2021 (Group A) Code Development Cycle. The text of this chapter is extracted from the 2024 edition of the North Carolina Plumbing Code and has been modified where necessary to conform to the scope of application of the North Carolina Residential Code for One- and Two-Family Dwellings.",,,,,
P2801,Chapter 28 Water Heaters,General,,,,,,
P2801.1,Chapter 28 Water Heaters,Required,"Hot water shall be supplied to plumbing fixtures and plumbing appliances intended for bathing, washing or culinary purposes.",,,,,
P2801.2,Chapter 28 Water Heaters,Drain Valves,Drain valves for emptying shall be installed at the bottom of each tank-type water heater and hot water storage tank. Drain valves shall conform to ASSE 1005. The drain valve inlet shall be not less than 3/4-inch (19.1 mm) nominal iron pipe size and the outlet shall be provided with a male hose thread.,,,,,
P2801.3,Chapter 28 Water Heaters,Installation,Water heaters shall be installed in accordance with this chapter and Chapters 20 and 24.,,,,,
P2801.4,Chapter 28 Water Heaters,Location,"Water heaters and storage tanks shall be installed in accordance with Section M1305 and shall be located and connected to provide access for observation, maintenance, servicing and replacement.",,,,,
P2801.5,Chapter 28 Water Heaters,Prohibited Locations,"Water heaters shall be located in accordance with Chapter 20, Section 2005.2 and as elsewhere required in this code.",,,,,
P2801.6,Chapter 28 Water Heaters,Required Pan,"Where a storage tank-type water heater or a hot water storage tank is installed in: (a) remote locations such as a suspended ceiling, (b) attics, (c) above occupied spaces, (d) above crawl spaces or (e) in unventilated crawl spaces, a location where water leakage from the tank will cause damage to primary structural framing, the tank or water heater shall be installed in a galvanized steel or aluminum pan constructed of one of the following: Galvanized steel or aluminum of not less than 0.0236 inch (0.6010 mm) in thickness. Plastic not less than 0.036 inch (0.9 mm) in thickness. Other approved materials. A plastic pan beneath a gas-fired water heater shall be constructed of material having a flame spread index of 25 or less and a smoke-developed index of 450 or less when tested in accordance with ASTM E84 or UL 723. Exception: Water heater(s) installed on concrete slab construction and located on the lowest floor or in a private garage.",,,,,
P2801.6.1,Chapter 28 Water Heaters,Pan Size and Drain,"The pan shall be not less than 11/2 inches (38 mm) deep and shall be of sufficient size and shape to receive dripping or condensate from the tank or water heater. The pan shall be drained by an indirect waste pipe of not less than 3/4 inch (19 mm) diameter. Piping for safety pan drains shall be of those materials indicated in Table P2906.5. Where a pan drain was not previously required, a pan drain shall not be required for a replacement water heater installation.",,,,,
new_P2801.6.1.1,Chapter 28 Water Heaters,Water Heater Located in a Pan,"Where Water Heater(s) are subject to water damage when drain pans fill, that portion of the Water Heater shall be installed above the rim of the pan. Supports located inside of the pan to support the appliance or equipment shall be water resistant and approved.",,,,,
