id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
18,,Soils and Foundations,Footing|DeepFoundation|Slab|EarthworksElement,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer,"User notes:About this chapter: Chapter 18 provides criteria for geotechnical and structural considerations in the selection, design and installation of foundation systems to support the loads imposed by the structure above. This chapter includes requirements for soils investigation and site preparation for receiving a foundation, including the load-bearing values for soils and protection for the foundation from frost and water intrusion. Section 1808 addresses the basic requirements for all foundation types while subsequent sections address foundation requirements that are specific to shallow foundations and deep foundations.Code development reminder: Code change proposals to this chapter will be considered by the IBC—Structural Code Development Committee during the 2025 (Group B) Code Development Cycle."
1801,Chapter 18 Soils and Foundations,General,,,,none,none,
1801.1,Section 1801 General,Scope,Wall|Footing|Slab|Column,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer,The provisions of this chapter shall apply to building and foundation systems. There shall be a concrete encased rebar stubbed out near the electrical service for grounding of the electrical system located within the footing or foundation as per the requirements of the most recently adopted version of the National Electrical Code and the North Dakota State Wiring Standards. Coordinate with the Electrical Contractor.
1802,Chapter 18 Soils and Foundations,Design Basis,,,,none,none,
1802.1,Section 1802 Design Basis,General,Footing|DeepFoundation|EarthworksElement,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer,"Allowable bearing pressures, allowable stresses and design formulas provided in this chapter shall be used with the allowable stress design load combinations specified in ASCE 7, Section 2.4 or the alternative allowable stress design load combinations of Section 1605.2. The quality and design of materials used structurally in excavations and foundations shall comply with the requirements specified in Chapters 16, 19, 21, 22 and 23. Excavations and fills shall comply with Chapter 33."
1803,Chapter 18 Soils and Foundations,Geotechnical Investigations,,,,none,none,
1803.1,Section 1803 Geotechnical Investigations,General,Footing|Slab|DeepFoundation|EarthworksElement,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,site_planning,civil_engineer,"Geotechnical investigations shall be conducted in accordance with Section 1803.2 and reported in accordance with Section 1803.6. Where required by the building official or where geotechnical investigations involve in-situ testing, laboratory testing or engineering calculations, such investigations shall be conducted by a registered design professional."
1803.2,Section 1803 Geotechnical Investigations,Investigations Required,Footing|DeepFoundation|Slab|Wall,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,civil_engineer,Geotechnical investigations shall be conducted in accordance with Sections 1803.3 through 1803.5.Exception: The building official shall be permitted to waive the requirement for a geotechnical investigation where satisfactory data from adjacent areas is available that demonstrates an investigation is not necessary for any of the conditions in Sections 1803.5.1 through 1803.5.6 and Sections 1803.5.10 and 1803.5.11.
1803.3,Section 1803 Geotechnical Investigations,Basis of Investigation,Footing|Slab|DeepFoundation|EarthworksElement,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,civil_engineer,"Soil classification shall be based on observation and any necessary tests of the materials disclosed by borings, test pits or other subsurface exploration made in appropriate locations. Additional studies shall be made as necessary to evaluate slope stability, soil strength, position and adequacy of load-bearing soils, the effect of moisture variation on soil-bearing capacity, compressibility, liquefaction and expansiveness."
1803.3.1,Section 1803 Geotechnical Investigations,Scope of Investigation,Footing|DeepFoundation|EarthworksElement,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,site_planning,civil_engineer,"The scope of the geotechnical investigation including the number and types of borings or soundings, the equipment used to drill or sample, the in-situ testing equipment and the laboratory testing program shall be determined by a registered design professional."
1803.4,Section 1803 Geotechnical Investigations,Qualified Representative,EarthworksElement|Footing|DeepFoundation,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,structural_design,civil_engineer,The investigation procedure and apparatus shall be in accordance with generally accepted engineering practice. The registered design professional shall have a fully qualified representative on site during all boring or sampling operations.
1803.5,Section 1803 Geotechnical Investigations,Investigated Conditions,Footing|DeepFoundation|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,site_planning,civil_engineer,Geotechnical investigations shall be conducted as indicated in Sections 1803.5.1 through 1803.5.12.
1803.5.1,Section 1803 Geotechnical Investigations,Classification,EarthworksElement|Footing|DeepFoundation,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,site_planning,civil_engineer,Soil materials shall be classified in accordance with ASTM D2487. Rock shall be classified in accordance with ASTM D5878.
1803.5.2,Section 1803 Geotechnical Investigations,Questionable Soil and Rock,Footing|DeepFoundation|Slab,Assembly (A)|Business (B)|Residential (R)|Educational (E)|Storage (S),sd|dd|cd,site_planning,civil_engineer,"Where the classification, strength, moisture sensitivity or compressibility of the soil or rock is in doubt or where a load-bearing value superior to that specified in this code is claimed, the building official shall be permitted to require that a geotechnical investigation be conducted."
1803.5.3,Section 1803 Geotechnical Investigations,Expansive Soil,Footing|Slab|Wall,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,structural_design,structural_engineer,"In areas likely to have expansive soil, the building official shall require soil tests to determine where such soils do exist.Soils meeting all four of the following provisions shall be considered to be expansive, except that tests to show compliance with Items 1, 2 and 3 shall not be required if the test prescribed in Item 4 is conducted:Plasticity index (PI) of 15 or greater, determined in accordance with ASTM D4318.More than 10 percent of the soil particles pass a No.200 sieve (75 µm), determined in accordance with ASTM D6913.More than 10 percent of the soil particles are less than 5 micrometers in size, determined in accordance with ASTM D6913.Expansion index greater than 20, determined in accordance with ASTM D4829."
1803.5.4,Section 1803 Geotechnical Investigations,Groundwater,Slab|Footing|Wall,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,site_planning,civil_engineer,A geotechnical investigation shall be performed to determine if: Groundwater is above or within 5 feet (1524 mm) below the elevation of the lowest floor level where such floor is located below the finished ground level adjacent to the foundation.The groundwater depth will affect the design and construction of buildings and structures.
1803.5.5,Section 1803 Geotechnical Investigations,Deep Foundations,DeepFoundation|Footing,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer,"Where deep foundations will be used, a geotechnical investigation shall be conducted and shall include all of the following, unless sufficient data on which to base the design and installation is otherwise available:Recommended deep foundation types and installed capacities.Recommended center-to-center spacing of deep foundation elements.Driving criteria.Installation procedures.Field inspection and reporting procedures (to include procedures for verification of the installed bearing capacity where required).Load test requirements.Suitability of deep foundation materials for the intended environment.Designation of bearing stratum or strata.Reductions for group action, where necessary."
1803.5.6,Section 1803 Geotechnical Investigations,Rock Strata,Footing|DeepFoundation|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer,"Where foundations are to be constructed on or in rock, the geotechnical investigation shall assess variations in rock strata depth, competency and load-bearing capacity."
1803.5.7,Section 1803 Geotechnical Investigations,Excavation Near Foundations,Footing|Wall|Slab|DeepFoundation|EarthworksElement,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer,"Where excavation will reduce support from any foundation, a registered design professional shall prepare an assessment of the structure as determined from examination of the structure, available design documents, available subsurface data, and, if necessary, excavation of test pits. The registered design professional shall determine the requirements for support and protection of any existing foundation and prepare site-specific plans, details and sequence of work for submission. Such support shall be provided by under-pinning, bracing, excavation retention systems or by other means acceptable to the building official."
1803.5.8,Section 1803 Geotechnical Investigations,Compacted Fill Material,Footing|Slab|Wall,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,site_planning,civil_engineer,"Where shallow foundations will bear on compacted fill material more than 12 inches (305 mm) in depth, a geotechnical investigation shall be conducted and shall include all of the following:Specifications for the preparation of the site prior to placement of compacted fill material.Specifications for material to be used as compacted fill.Test methods to be used to determine the maximum dry density and optimum moisture content of the material to be used as compacted fill.Maximum allowable thickness of each lift of compacted fill material.Field test method for determining the in-place dry density of the compacted fill.Minimum acceptable in-place dry density expressed as a percentage of the maximum dry density determined in accordance with Item 3.Number and frequency of field tests required to determine compliance with Item 6."
1803.5.9,Section 1803 Geotechnical Investigations,Controlled Low-Strength Material (CLSM),Footing|Slab|EarthworksElement,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer,"Where shallow foundations will bear on controlled low-strength material (CLSM), a geotechnical investigation shall be conducted and shall include all of the following:Specifications for the preparation of the site prior to placement of the CLSM.Specifications for the CLSM.Laboratory or field test method(s) to be used to determine the compressive strength or bearing capacity of the CLSM.Test methods for determining the acceptance of the CLSM in the field.Number and frequency of field tests required to determine compliance with Item 4."
1803.5.10,Section 1803 Geotechnical Investigations,Alternate Setback and Clearance,Footing|Slab|Wall|EarthworksElement,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,structural_design,structural_engineer,"Where setbacks or clearances other than those required in Section 1808.7 are desired, the building official shall be permitted to require a geotechnical investigation by a registered design professional to demonstrate that the intent of Section 1808.7 would be satisfied. Such an investigation shall include consideration of material, height of slope, slope gradient, load intensity and erosion characteristics of slope material."
1803.5.11,Section 1803 Geotechnical Investigations,Seismic Design Categories C Through F,Footing|Slab|DeepFoundation,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,structural_design,structural_engineer,"For structures assigned to Seismic Design Category C, D, E or F, a geotechnical investigation shall be conducted, and shall include an evaluation of all of the following potential geologic and seismic hazards:Slope instability.Liquefaction.Total and differential settlement.Surface displacement due to faulting or seismically induced lateral spreading or lateral flow."
1803.5.12,Section 1803 Geotechnical Investigations,Seismic Design Categories D Through F,Footing|DeepFoundation|Wall|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,structural_design,structural_engineer,"For structures assigned to Seismic Design Category D, E or F, the geotechnical investigation required by Section 1803.5.11 shall include all of the following as applicable: The determination of dynamic seismic lateral earth pressures on foundation walls and retaining walls supporting more than 6 feet (1.83 m) of backfill height due to design earthquake ground motions. The potential for liquefaction and soil strength loss evaluated for site peak ground acceleration, earthquake magnitude and source characteristics consistent with the maximum considered earthquake ground motions. Peak ground acceleration shall be determined based on one of the following:A site-specific study in accordance with Chapter 21 of ASCE 7.In accordance with Section 11.8.3 of ASCE 7.An assessment of potential consequences of liquefaction and soil strength loss including, but not limited to, the following:Estimation of total and differential settlement.Lateral soil movement.Lateral soil loads on foundations.Reduction in foundation soil-bearing capacity and lateral soil reaction.Soil downdrag and reduction in axial and lateral soil reaction for pile foundations.Increases in soil lateral pressures on retaining walls.Flotation of buried structures.Discussion of mitigation measures such as, but not limited to, the following:Selection of appropriate foundation type and depths.Selection of appropriate structural systems to accommodate anticipated displacements and forces.Ground stabilization.Any combination of these measures and how they shall be considered in the design of the structure."
