id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
10,,Change of Occupancy,"User notes:About this chapter: The purpose of this chapter is to provide regulations for the circumstances where an existing building is subject to a change of occupancy or a change of occupancy classification. A change of occupancy is not to be confused with a change of occupancy classification. The International Building Code®defines different occupancy classifications in Chapter 3 and special occupancy requirements in Chapter 4. Within specific occupancy classifications there can be many different types of actual activities that can take place. For instance, a Group A-3 occupancy classification deals with a wide variation of different types of activities, including bowling alleys and courtrooms, indoor tennis courts and dance halls. When a facility changes use from, for example, a bowling alley to a dance hall, the occupancy classification remains A-3, but the different uses could lead to drastically different code requirements. Therefore, this chapter deals with the special circumstances that are associated with a change in the use of a building within the same occupancy classification as well as a change of occupancy classification.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,occupancy_classification,architect
1001,Chapter 10 Change of Occupancy,General,,,,,none,none
1001.1,Section 1001 General,Scope,"The provisions of this chapter shall apply where a change of occupancy occurs, as defined in Section 202.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,occupancy_classification,architect
1001.2,Section 1001 General,Certificate of Occupancy,A change of occupancy or a change of occupancy within a space where there is a different fire protection system threshold requirement in Chapter 9 of the current International Building Code than exists in the current building or space shall not be made to any structure without the approval of the code official. A certificate of occupancy shall be issued where it has been determined that the requirements for the change of occupancy have been met.,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,occupancy_classification,architect
1001.2.1,Section 1001 General,Change of Use,Any work undertaken in connection with a change in use shall conform to the applicable requirements for the work as classified in Chapter 6 and to the requirements of Sections 1002 through 1010.Exception: As modified in Section 1204 for historic buildings.,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,occupancy_classification,architect
1001.2.2,Section 1001 General,Change of Occupancy Classification,"Where a building undergoes a change of occupancy classification, the provisions of Sections 1002 through 1011 shall apply.",Wall|Door|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,occupancy_classification,architect
1001.2.2.1,Section 1001 General,Partial Change of Occupancy,"Where a portion of an existing building undergoes a change of occupancy classification, Section 1011 shall apply.",Wall|Door|Stair|Ramp|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,occupancy_classification,architect
1001.3,Section 1001 General,Certificate of Occupancy Required,A certificate of occupancy shall be issued where a change of occupancy occurs that results in a different occupancy classification as determined by the International Building Code.,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),cd|ca,occupancy_classification,architect
1002,Chapter 10 Change of Occupancy,Special Use and Occupancy,,,,,none,none
1002.1,Section 1002 Special Use and Occupancy,Compliance With the Building Code,"Where an existing building or part of an existing building undergoes a change of occupancy to one of the special use or occupancy categories as described in Chapter 4 in the International Building Code, the building shall comply with all of the requirements of Chapter 4 of the International Building Code applicable to the special use or occupancy.",BuildingElementProxy,Assembly (A)|Educational (E)|Institutional (I),sd|dd|cd,occupancy_classification,architect
