id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
2,,Definitions,"User notes:About this chapter: Codes, by their very nature, are technical documents. Every word, term and punctuation mark can add to or change the meaning of a technical requirement. It is necessary to maintain a consensus on the specific meaning of each term contained in the code. Chapter 2 performs this function by stating clearly what specific terms mean for the purpose of the code.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd|ca,occupancy_classification,architect
201,Chapter 2 Definitions,General,,,,,none,none
201.1,Section 201 General,Scope,"Unless otherwise expressly stated, the following words and terms shall, for the purposes of this code, have the meanings shown in this chapter.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect
201.2,Section 201 General,Interchangeability,"Words used in the present tense include the future; words stated in the masculine gender include the feminine and neuter; the singular number includes the plural and the plural, the singular.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect
201.3,Section 201 General,Terms Defined in Other Codes,"Where terms are not defined in this code and are defined in the other International Codes, such terms shall have the meanings ascribed to them in those codes. Whenever electrical or plumbing codes are referenced by the International Code Council (ICC) in the International Building Code, International Residential Code, International Mechanical Code, International Fuel Gas Code, International Energy Conservation Code, International Existing Building Code, it shall mean the most recent versions of the National Electrical Code and the North Dakota State Wiring Standards adopted by the North Dakota State Electrical Board and the most recent versions of the Uniform Plumbing Code and the Laws, Rules and Plumbing Installation Standards of North Dakota adopted by the North Dakota State Plumbing Board.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),cd,occupancy_classification,architect
201.4,Section 201 General,Terms Not Defined,"Where terms are not defined through the methods authorized by this chapter, such terms shall have ordinarily accepted meanings such as the context implies.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect
202,Chapter 2 Definitions,General Definitions,,,,,none,none
addition_,Section 202 General Definitions,Addition,"An extension or increase in floor area, number of stories, or height of a building or structure.",Wall|Slab|Column|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,building_height_area_limits,architect
alteration_,Section 202 General Definitions,Alteration,Any construction or renovation to an existing structure other than a repair or addition.,Wall|Slab|Door|Window|Roof,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,occupancy_classification,architect
ambulatory_care_facility_,Section 202 General Definitions,Ambulatory Care Facility,"Buildings or portions thereof used to provide medical, surgical, psychiatric, nursing or similar care on a less than 24-hour basis to persons who are rendered incapable of self-preservation by the services provided or staff has accepted responsibility for care recipients already incapable.",Wall|Door|Slab,Institutional (I),concept|sd|dd|cd,occupancy_classification,architect
approved_,Section 202 General Definitions,Approved,Acceptable to the code official.,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,special_construction,architect
approved_agency_,Section 202 General Definitions,Approved Agency,"An established and recognized organization that is regularly engaged in conducting tests, furnishing inspection services or furnishing product evaluation or certification where such organization has been approved by the code official.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,special_construction,architect
BUILDING_,Section 202 General Definitions,Building,Any structure utilized or intended for supporting or sheltering any occupancy.,Wall|Roof|Slab|Column|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),concept|sd|dd|cd,occupancy_classification,architect
change_of_occupancy_,Section 202 General Definitions,Change of Occupancy,"Any of the following shall be considered as a change of occupancy where the current International Building Code requires a greater degree of safety, accessibility, structural strength, fire protection, means of egress, ventilation or sanitation than is existing in the current building or structure: Any change in the occupancy classification of a building or structure. Any change in the purpose of, or a change in the level of activity within, a building or structure. A change of use.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,occupancy_classification,architect
change_of_use_,Section 202 General Definitions,Change of Use,"A change in the use of a building or a portion of a building, within the same group classification, for which there is a change in application of the code requirements.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,occupancy_classification,architect
code_official_,Section 202 General Definitions,Code Official,The officer or other designated authority charged with the administration and enforcement of this code.,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,occupancy_classification,owner
dangerous_,Section 202 General Definitions,Dangerous,"Any building, structure or portion thereof that meets any of the conditions described below shall be deemed dangerous: The building or structure has collapsed, has partially collapsed, has moved off its foundation or lacks the necessary support of the ground. There exists a significant risk of collapse, detachment or dislodgement of any portion, member, appurtenance or ornamentation of the building or structure under permanent, routine or frequent loads; under actual loads already in effect; or under snow, wind, rain, flood, earthquake aftershock or other environmental loads when such loads are imminent.",Wall|Column|Roof|Slab|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd|ca,structural_design,structural_engineer
deferred_submittal_,Section 202 General Definitions,Deferred Submittal,Those portions of the design that are not submitted at the time of the application and that are to be submitted to the code official within a specified period.,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,special_construction,architect
disproportionate_earthquake_damage_,Section 202 General Definitions,Disproportionate Earthquake Damage,"A condition of earthquake-related damage where both of the following occur: The 0.3-second spectral acceleration at the building site for the earthquake in question, as estimated by one of the following, is less than 30 percent of the mapped acceleration parameter SS: The United States Geological Survey's algorithm for the data point closest to the site. As determined from peer-reviewed seismograph records from the site or from locations closer to the site than the algorithm-provided data points. The vertical elements of the lateral force-resisting system have suffered damage such that the lateral load-carrying capacity of any story in any horizontal direction has been reduced by more than 10 percent from its pre-earthquake condition.",Column|Wall|Beam,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,structural_design,structural_engineer
emergency_escape_and_rescue_opening_,Section 202 General Definitions,Emergency Escape and Rescue Opening,"An operable exterior window, door or other similar device that provides for a means of escape and access for rescue in the event of an emergency.",Window|Door|Wall,Residential (R)|Institutional (I)|Educational (E),sd|dd|cd,means_of_egress,architect
equipment_or_fixture_,Section 202 General Definitions,Equipment or Fixture,"Any plumbing, heating, electrical, ventilating, air conditioning, refrigerating and fire protection equipment; and elevators, dumbwaiters, escalators, boilers, pressure vessels and other mechanical facilities; or installations that are related to building services. Equipment or fixture shall not include manufacturing, production or process equipment, but shall include connections from building service to process equipment.",BuildingElementProxy|Elevator,Business (B)|Factory and Industrial (F)|Institutional (I)|Mercantile (M)|Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer
existing_building_,Section 202 General Definitions,Existing Building,"A building erected prior to the date of adoption of the appropriate code, or one for which a legal building permit has been issued.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect
existing_structure_,Section 202 General Definitions,Existing Structure,"A structure erected prior to the date of adoption of the appropriate code, or one for which a legal building permit has been issued.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),concept|sd|dd|cd,occupancy_classification,architect
exterior_wall_covering_,Section 202 General Definitions,Exterior Wall Covering,"A material or assembly of materials applied on the exterior side of exterior walls for the purpose of providing a weather-resisting barrier, insulation or for aesthetics, including but not limited to, veneers, siding, exterior insulation and finish systems, architectural trim and embellishments, such as cornices, soffits, facias, gutters and leaders.",Covering|Wall,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,assemblies_envelope,architect
exterior_wall_envelope_,Section 202 General Definitions,Exterior Wall Envelope,"A system or assembly of exterior wall components, including exterior wall finish materials, that provides protection of the building structural members, including framing and sheathing materials, and conditioned interior space from the detrimental effects of the exterior environment.",Wall|Slab|Roof|Covering|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,assemblies_envelope,architect
facility_,Section 202 General Definitions,Facility,"All or any portion of buildings, structures, site improvements, elements and pedestrian or vehicular routes located on a site.",BuildingElementProxy|Wall|Door|Ramp|Slab,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),concept|sd|dd|cd,accessibility,architect
