id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
43,,"Class 2 Remote-Control, Signaling and Power-Limited Circuits","ICC user notes:About this chapter: Chapter 43 covers low-voltage power-limited circuits such as alarm, doorbell, remote control and signaling circuits.",,,,,
E4301,"Chapter 43 Class 2 Remote-Control, Signaling and Power-Limited Circuits",General,,,,,,
E4301.1,"Chapter 43 Class 2 Remote-Control, Signaling and Power-Limited Circuits",Scope,"This chapter contains requirements for power supplies and wiring methods associated with Class 2 remote-control, signaling, and power-limited circuits that are not an integral part of a device or appliance. Other classes of remote-control, signaling and power-limited conductors shall comply with Article 725 of NFPA 70. (725.1)",,,,,
E4302,"Chapter 43 Class 2 Remote-Control, Signaling and Power-Limited Circuits",Power Sources,,,,,,
E4302.1,"Chapter 43 Class 2 Remote-Control, Signaling and Power-Limited Circuits",Power Sources for Class 2 Circuits,The power source for a Class 2 circuit shall be one of the following:A listed Class 2 transformer.A listed Class 2 power supply.Other listed equipment marked to identify the Class 2 power source.Listed audio/video information technology (computer) communications and industrial equipment limited power circuits.A battery source or battery source system that is listed and identified as Class 2. [725.60 (A)],,,,,
E4302.2,"Chapter 43 Class 2 Remote-Control, Signaling and Power-Limited Circuits",Interconnection of Power Sources,A Class 2 power source shall not have its output connections paralleled or otherwise interconnected with another Class 2 power source except where listed for such interconnection. [725.60 (B)],,,,,
E4303,"Chapter 43 Class 2 Remote-Control, Signaling and Power-Limited Circuits",Wiring Methods,,,,,,
E4303.1,"Chapter 43 Class 2 Remote-Control, Signaling and Power-Limited Circuits",Wiring Methods on Supply Side of Class 2 Power Source,"Conductors and equipment on the supply side of the power source shall be installed in accordance with the appropriate requirements of Chapters 34 through 41. Transformers or other devices supplied from electric light or power circuits shall be protected by an over-current device rated at not over 20 amperes. The input leads of a transformer or other power source supplying Class 2 circuits shall be permitted to be smaller than 14 AWG, if not over 12 inches (305 mm) long and if the conductor insulation is rated at not less than 600 volts. In no case shall such leads be smaller than 18 AWG. (725.127 and 725.127 Exception)",,,,,
E4303.2,"Chapter 43 Class 2 Remote-Control, Signaling and Power-Limited Circuits",Wiring Methods and Materials on Load Side of the Class 2 Power Source,"Class 2 cables installed as wiring within buildings shall be listed as being resistant to the spread of fire and listed as meeting the criteria specified in Sections E4303.2.1 through E4303.2.4. Cables shall be marked in accordance with Section E4303.2.5. Cable substitutions as described in Table E4303.2 and wiring methods covered in Chapter 38 shall also be permitted. [725.130(B); 722.135(A), (B) and (E); Table 722.135(B); Table 722.135(E); and 722.179] TABLE E4303.2CABLE USES AND PERMITTED SUBSTITUTIONS [Figure 725.154(A)] CABLE TYPE USE PERMITTED SUBSTITUTIONSa CL2P Class 2 Plenum Cable CMP, CL3P CL2R Class 2 Plenum Cable CMP, CL3P, CL2P, CMR, CL3R CL2 Class 2 Cable CMP, CL3P, CL2P, CMR, CL3R, CL2R, CMG, CM, CL3 CL2X Class 2 Cable, Limited Use CMP, CL3P CL2P, CMR, CL3R, CL2R, CMG, CM, CL3, CL2, CMX, CL3X For identification of cables other than Class 2 cables, see NFPA 70.",,,,,
E4303.2.1,"Chapter 43 Class 2 Remote-Control, Signaling and Power-Limited Circuits",Type CL2P Cables,"Cables installed in ducts, plenums and other spaces for environmental air shall be Type CL2P cables listed as suitable for the use and listed as having adequate fire-resistant and low smoke-producing characteristics. [Table 722.135(B) and 722 .179(A)(1)]",,,,,
