id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
10,,Means of Egress,Stair|Ramp|Door|Wall|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,means_of_egress,architect,"User notes: About this chapter: Chapter 10 provides the general criteria for designing the means of egress established as the primary method for protection of people in buildings by allowing timely relocation or evacuation of building occupants. Both prescriptive and performance language is utilized in this chapter to provide for a basic approach in the determination of a safe exiting system for all occupancies. It addresses all portions of the egress system (exit access, exits and exit discharge) and includes design requirements as well as provisions regulating individual components. The requirements detail the size, arrangement, number and protection of means of egress components. Functional and operational characteristics that will permit the safe use of components without special knowledge or effort are specified. The means of egress protection requirements work in coordination with other sections of the code, such as protection of vertical openings (see Chapter 7), interior finish (see Chapter 8), fire suppression and detection systems (see Chapter 9) and numerous others, all having an impact on life safety. Chapter 10 is subdivided into four main sections: general (Sections 1003—1015), exit access (Sections 1016—1021), exit (Sections 1022—1027) and exit discharge (Sections 1028—1029). Special allowances for the unique requirements for assembly spaces (Section 1030) and emergency escape and rescue openings (Section 1031) complete the chapter. Chapter 10 of this code is duplicated in Chapter 10 of the International Fire Code®; however, the International Fire Code contains one additional section on maintenance of the means of egress system in existing buildings. Section 1010 was extensively reorganized for the 2021 edition. For complete information, see the moved sections table in the preface information for the International Building Code."
1001,Chapter 10 Means of Egress,Administration,,,,none,none,
1001.1,Section 1001 Administration,General,Door|Stair|Ramp|RampFlight|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,means_of_egress,architect,"Buildings or portions thereof shall be provided with a means of egress system as required by this chapter. The provisions of this chapter shall control the design, construction and arrangement of means of egress components required to provide an approved means of egress from structures and portions thereof. Where Chapter 11 and this chapter have provisions relating to the same content, both chapters apply."
1001.2,Section 1001 Administration,Minimum Requirements,Door|Stair|Ramp|Slab|Wall,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,means_of_egress,architect,It shall be unlawful to alter a building or structure in a manner that will reduce the number of exits or the minimum width or required capacity of the means of egress to less than required by this code.
1002,Chapter 10 Means of Egress,Maintenance and Plans,,,,none,none,
1002.1,[F] Section 1002 Maintenance and Plans,Maintenance,Door|Stair|Ramp|RampFlight|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,means_of_egress,architect,Means of egress shall be maintained in accordance with the International Fire Code.
1002.2,[F] Section 1002 Maintenance and Plans,Fire Safety and Evacuation Plans,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,fire_protection_alarm_systems,fire_protection_engineer,Fire safety and evacuation plans shall be provided for all occupancies and buildings where required by the International Fire Code. Such fire safety and evacuation plans shall comply with the applicable provisions of Sections 401.2 and 404 of the International Fire Code.
1003,Chapter 10 Means of Egress,General Means of Egress,,,,none,none,
1003.1,Section 1003 General Means of Egress,Applicability,Door|Stair|Ramp|Wall|Slab,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,means_of_egress,architect,"The general requirements specified in Sections 1003 through 1015 shall apply to all three elements of the means of egress system, in addition to those specific requirements for the exit access, the exit and the exit discharge detailed elsewhere in this chapter."
1003.2,Section 1003 General Means of Egress,Ceiling Height,Roof|Slab|Stair|Ramp|Door,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,means_of_egress,architect,The means of egress shall have a ceiling height of not less than 7 feet 6 inches (2286 mm) above the finished floor.Exceptions: Sloped ceilings in accordance with Section 1208.2.Ceilings of dwelling units and sleeping units within residential occupancies in accordance with Section 1208.2.Allowable projections in accordance with Section 1003.3.Stair headroom in accordance with Section 1011.3.Door height in accordance with Section 1010.1.1.Ramp headroom in accordance with Section 1012.5.2.The clear height of floor levels in vehicular and pedestrian traffic areas of public and private parking garages in accordance with Section 406.2.2.Areas above and below mezzanine floors in accordance with Section 505.2.
1003.3,Section 1003 General Means of Egress,Protruding Objects,Wall|Column|Beam|Door|Railing,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,accessibility,architect,Protruding objects on circulation paths shall comply with the requirements of Sections 1003.3.1 through 1003.3.4.
1003.3.1,Section 1003 General Means of Egress,Headroom,Wall|Door|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,means_of_egress,architect,"Protruding objects are permitted to extend below the minimum ceiling height required by Section 1003.2 where a minimum headroom of 80 inches (2032 mm) is provided over any circulation paths, including walks, corridors, aisles and passageways. Not more than 50 percent of the ceiling area of a means of egress shall be reduced in height by protruding objects.Exception: Door closers and stops shall not reduce headroom to less than 78 inches (1981 mm).A barrier shall be provided where the vertical clearance above a circulation path is less than 80 inches (2032 mm) high above the finished floor. The leading edge of such a barrier shall be located 27 inches (686 mm) maximum above the finished floor."
1003.3.2,Section 1003 General Means of Egress,Post-Mounted Objects,Railing|Sign|Ramp|Stair,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,accessibility,architect,"A free-standing object mounted on a post or pylon shall not overhang that post or pylon more than 4 inches (102 mm) where the lowest point of the leading edge is more than 27 inches (686 mm) and less than 80 inches (2032 mm) above the finished floor. Where a sign or other obstruction is mounted between posts or pylons and the clear distance between the posts or pylons is greater than 12 inches (305 mm), the lowest edge of such sign or obstruction shall be 27 inches (686 mm) maximum or 80 inches (2032 mm) minimum above the finished floor or ground.Exception: These requirements shall not apply to sloping portions of handrails between the top and bottom riser of stairs and above the ramp run."
1003.3.3,Section 1003 General Means of Egress,Horizontal Projections,Wall|Railing|Stair|Ramp|Door,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,accessibility,architect,Objects with leading edges more than 27 inches (685 mm) and not more than 80 inches (2030 mm) above the finished floor shall not project horizontally more than 4 inches (102 mm) into the circulation path.Exception: Handrails are permitted to protrude 41/2 inches (114 mm) from the wall or guard.
1003.3.4,Section 1003 General Means of Egress,Clear Width,Wall|Column|Beam|Railing,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,accessibility,architect,Protruding objects shall not reduce the minimum clear width of accessible routes.
1003.4,Section 1003 General Means of Egress,Slip-Resistant Surface,Slab|Stair|Ramp|StairFlight|RampFlight,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,means_of_egress,architect,Circulation paths of the means of egress shall have a slip-resistant surface and be securely attached.
1003.5,Section 1003 General Means of Egress,Elevation Change,Ramp|Stair|Slab|Railing|Covering,Assembly (A)|Business (B)|Institutional (I)|Residential (R)|Mercantile (M),sd|dd|cd,means_of_egress,architect,"Where changes in elevation of less than 12 inches (305 mm) exist in the means of egress, sloped surfaces shall be used. Where the slope is greater than one unit vertical in 20 units horizontal (5-percent slope), ramps complying with Section 1012 shall be used. Where the difference in elevation is 6 inches (152 mm) or less, the ramp shall be equipped with either handrails or floor finish materials that contrast with adjacent floor finish materials.Exceptions: Steps at exterior doors complying with Section 1010.1.4.A stair with a single riser or with two risers and a tread is permitted at locations not required to be accessible by Chapter 11 where the risers and treads comply with Section 1011.5, the minimum depth of the tread is 13 inches (330 mm) and not less than one handrail complying with Section 1014 is provided within 30 inches (762 mm) of the centerline of the normal path of egress travel on the stair.A step is permitted in aisles serving seating that has a difference in elevation less than 12 inches (305 mm) at locations not required to be accessible by Chapter 11, provided that the risers and treads comply with Section 1030.14 and the aisle is provided with a handrail complying with Section 1030.16.Throughout a story in a Group I-2 occupancy, any change in elevation in portions of the means of egress that serve nonambulatory persons shall be by means of a ramp or sloped walkway."
1003.6,Section 1003 General Means of Egress,Means of Egress Continuity,Wall|Door|Stair|Ramp|Slab,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,means_of_egress,architect,The path of egress travel along a means of egress shall not be interrupted by a building element other than a means of egress component as specified in this chapter. Obstructions shall not be placed in the minimum width or required capacity of a means of egress component except projections permitted by this chapter. The minimum width or required capacity of a means of egress system shall not be diminished along the path of egress travel.
1003.7,Section 1003 General Means of Egress,"Elevators, Escalators and Moving Walks",Elevators|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,means_of_egress,architect,"Elevators, escalators and moving walks shall not be used as a component of a required means of egress from any other part of the building.Exception: Elevators used as an accessible means of egress in accordance with Section 1009.4."
1004,Chapter 10 Means of Egress,Occupant Load,,,,none,none,
1004.1,Section 1004 Occupant Load,Design Occupant Load,Door|Stair|Ramp|RampFlight|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,means_of_egress,architect,"In determining means of egress requirements, the number of occupants for whom means of egress facilities are provided shall be determined in accordance with this section."
