id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
8,,Interior Finishes,Wall|Ceiling|Slab|Covering|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,finishes_materials,architect,User notes:About this chapter: Chapter 8 contains the performance requirements for controlling fire growth and smoke propagation within buildings by restricting interior finish and decorative materials. The provisions of this chapter require materials used as interior finishes and decorations to meet certain flame spread index or flame propagation criteria and smoke development criteria based on the relative fire hazard associated with the occupancy. The performance of the material is evaluated based on test standards.
801,Chapter 8 Interior Finishes,Scope,,,,none,none,
801.1,Section 801 Scope,Scope,Covering|Wall|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,finishes_materials,architect,"The provisions of this chapter shall govern the use of materials used as interior finishes, trim and decorative materials."
802,Chapter 8 Interior Finishes,General,,,,none,none,
802.1,Section 802 General,Interior Wall and Ceiling Finish,Wall|Slab|Covering,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,finishes_materials,architect,The provisions of Section 803 shall limit the allowable fire performance and smoke development of interior wall and ceiling finish materials based on occupancy classification.
802.2,Section 802 General,Interior Floor Finish,Slab|Covering,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,finishes_materials,architect,The provisions of Section 804 shall limit the allowable fire performance of interior floor finish materials based on occupancy classification.
802.3,Section 802 General,Decorative Materials and Trim,Wall|Covering|Roof,Assembly (A)|Business (B)|Educational (E)|Institutional (I),sd|dd|cd,finishes_materials,architect,"Decorative materials and trim shall be restricted by combustibility, fire performance or flame propagation performance criteria in accordance with Section 806."
802.4,Section 802 General,Applicability,Wall|Covering|Slab|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,finishes_materials,architect,"For buildings in flood hazard areas as established in Section 1612.3, interior finishes, trim and decorative materials below the elevation required by Section 1612 shall be flood-damage-resistant materials."
802.5,Section 802 General,Application,Wall|Slab|Roof|Covering|Ceiling,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,finishes_materials,architect,"Combustible materials shall be permitted to be used as finish for walls, ceilings, floors and other interior surfaces of buildings."
802.6,Section 802 General,Windows,Window|Wall,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,finishes_materials,architect,Show windows in the exterior walls of the first story above grade plane shall be permitted to be of wood or of unprotected metal framing.
802.7,Section 802 General,Foam Plastics,Wall|Covering|Slab|Ceiling|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,finishes_materials,architect,Foam plastics shall not be used as interior finish except as provided in Section 803.4. Foam plastics shall not be used as interior trim except as provided in Section 806.5 or 2604.2. This section shall apply both to exposed foam plastics and to foam plastics used in conjunction with a textile or vinyl facing or cover.
803,Chapter 8 Interior Finishes,Wall and Ceiling Finishes,,,,none,none,
