id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
12,,Historic Buildings,"User note:About this chapter: Chapter 12 provides some exceptions from code requirements when the building in question has historic value. The most important criterion for application of this chapter is that the building must be essentially accredited as being of historic significance by a state or local authority after careful review of the historical value of the building. Most, if not all, states have such authorities, as do many local jurisdictions. The agencies with such authority can be located at the state or local government level or through the local chapter of the American Institute of Architects (AIA). Other considerations include the structural condition of the building (i.e., is the building structurally sound), its proposed use, its impact on life safety and how the intent of the code, if not the letter, will be achieved.",Wall|Roof|Slab|Door|Window,Assembly (A)|Business (B)|Residential (R)|Mercantile (M),sd|dd|cd,special_construction,architect
1201,Chapter 12 Historic Buildings,General,,,,,none,none
1201.1,Section 1201 General,Scope,"This chapter is intended to provide means for the preservation of historic buildings. Historic buildings shall comply with the provisions of this chapter relating to their repair, alteration, relocation and change of occupancy.",Wall|Roof|Door,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,special_construction,architect
1201.2,Section 1201 General,Report,"A historic building undergoing alteration or change of occupancy shall be investigated and evaluated. If it is intended that the building meet the requirements of this chapter, a written report shall be prepared and filed with the code official by a registered design professional where such a report is necessary in the opinion of the code official. Such report shall be in accordance with Chapter 1 and shall identify each required safety feature that is in compliance with this chapter and where compliance with other chapters of these provisions would be damaging to the contributing historic features. For buildings assigned to Seismic Design Category D, E or F, a structural evaluation describing, at a minimum, the vertical and horizontal elements of the lateral force-resisting system and any strengths or weaknesses therein shall be prepared. Additionally, the report shall describe each feature that is not in compliance with these provisions and shall demonstrate how the intent of these provisions is complied with in providing an equivalent level of safety.",Wall|Column|Slab,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,structural_design,structural_engineer
1201.3,Section 1201 General,Special Occupancy Exceptions—Museums,"Where a building in Group R-3 is used for Group A, B or M purposes such as museum tours, exhibits and other public assembly activities, or for museums less than 3,000 square feet (279 m2), the code official is authorized to determine that the occupancy is Group B where life safety conditions can be demonstrated in accordance with Section 1201.2. Adequate means of egress in such buildings, including, but not limited to, a means of maintaining doors in an open position to permit egress, a limit on building occupancy to an occupant load permitted by the means of egress capacity, a limit on occupancy of certain areas or floors, or supervision by a person knowledgeable in the emergency exiting procedures, shall be provided.",Door|Stair|Ramp|Slab,Assembly (A)|Business (B)|Residential (R)|Mercantile (M),sd|dd|cd,occupancy_classification,architect
1201.4,Section 1201 General,Flood Hazard Areas,"In flood hazard areas, if all proposed work, including repairs, work required because of a change of occupancy, and alterations, constitutes substantial improvement, then the existing building shall comply with Section 1612 of the International Building Code, or Section R322 of the International Residential Code, as applicable.Exception: If a historic building will continue to be a historic building after the proposed work is completed, then the proposed work is not considered a substantial improvement. For the purposes of this exception, a historic building is any of the following:Listed or preliminarily determined to be eligible for listing in the National Register of Historic Places.Determined by the Secretary of the US Department of Interior to contribute to the historical significance of a registered historic district or a district preliminarily determined to qualify as a historic district.Designated as historic under a state or local historic preservation program that is approved by the Department of Interior.",Wall|Slab|Footing,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,site_planning,architect
1201.5,Section 1201 General,Unsafe Conditions,Conditions determined by the code official to be unsafe shall be remedied. Work shall not be required beyond what is required to remedy the unsafe conditions.,Wall|Roof|Slab|Column|Stair,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),cd|ca,fire_resistance_smoke_protection,architect
1202,Chapter 12 Historic Buildings,Repairs,,,,,none,none
1202.1,Section 1202 Repairs,General,"Repairs to any portion of a historic building or structure shall be permitted with original or like materials and original methods of construction, subject to the provisions of this chapter. Hazardous materials, such as asbestos and lead-based paint, shall not be used where the code for new construction would not permit their use in buildings of similar occupancy, purpose and location.",Wall|Roof|Slab|Door|Window,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,finishes_materials,architect
1202.2,Section 1202 Repairs,Replacement,"Replacement of existing or missing features using original materials shall be permitted. Partial replacement for repairs that match the original in configuration, height and size shall be permitted.Replacement glazing in hazardous locations shall comply with the safety glazing requirements of Chapter 24 of the International Building Code.Exception: Glass block walls, louvered windows and jalousies repaired with like materials.",Wall|Window|Door|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,finishes_materials,architect
