id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
2,,Definitions,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd|ca,occupancy_classification,architect,"User note:About this chapter: Codes, by their very nature, are technical documents. Every word, term and punctuation mark can add to or change the meaning of a technical requirement. It is necessary to maintain a consensus on the specific meaning of each term contained in the code. Chapter 2 performs this function by stating clearly what specific terms mean for the purpose of the code."
201,Chapter 2 Definitions,General,,,,none,none,
201.1,Section 201 General,Scope,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect,"Unless otherwise expressly stated, the following words and terms shall, for the purposes of this code, have the meanings shown in this chapter."
201.2,Section 201 General,Interchangeability,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect,"Words used in the present tense include the future; words stated in the masculine gender include the feminine and neuter; the singular number includes the plural and the plural, the singular."
201.3,Section 201 General,Terms Defined in Other Codes,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),cd,occupancy_classification,architect,"Where terms are not defined in this code and are defined in the other International Codes, such terms shall have the meanings ascribed to them in those codes."
201.4,Section 201 General,Terms Not Defined,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect,"Where terms are not defined through the methods authorized by this chapter, such terms shall have ordinarily accepted meanings such as the context implies."
202,Chapter 2 Definitions,General Definitions,,,,none,none,
ADDITION_,Section 202 General Definitions,Addition,,,,,,"An extension or increase in floor area, number of stories, or height of a building or structure."
alteration_,Section 202 General Definitions,Alteration,Wall|Slab|Door|Window|Roof,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,occupancy_classification,architect,Any construction or renovation to an existing structure other than a repair or addition.
approved_,Section 202 General Definitions,Approved,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,special_construction,architect,Determined to be in compliance by the authority having jurisdiction in accordance with the rules of the board.
new_area_building_,Section 202 General Definitions,"Area, Building",,,,,,"The area included within surrounding exterior walls, or exterior walls and fire walls, exclusive of vent shafts and courts. Areas of the building not provided with surrounding walls shall be included in the building area if such areas are included within the horizontal projection of the roof or floor above."
new_area_aggregate_building_,Section 202 General Definitions,"Area, Aggregate Building",,,,,,The sum total of building area included within all stories and occupied roofs of the same building that is not separated from the other building areas with fire walls.
building_,Section 202 General Definitions,Building,,,,,,"Any structure utilized or intended for supporting or sheltering any occupancy, function, or activity. This includes, but is not limited to, structures built or used for the shelter, occupancy, enclosure or support of persons, animals, or chattels. For the purposes of this code, the term ""building"" is to be construed as followed by the words ""or portion thereof."""
new_building_department_,Section 202 General Definitions,Building Department,,,,,,"An agency, department or division of the state or of the government of a municipal corporation, township, or county, which has been created and authorized in conformity with law for the purpose of enforcing construction code provisions of the board's rules applicable to structures specified in section 3781.06 of the Revised Code."
new_building_official_,Section 202 General Definitions,Building Official,,,,,,"The superintendent of the division of industrial compliance of the Ohio department of commerce or the person appointed by the superintendent to enforce this code in that division, or the designated authority charged with the administration and enforcement of this code, approved by the board in accordance with section 103 of this code, in a municipal corporation, township or county having a building department, certified by the board pursuant to section 3781.10 of the Revised Code, or the health commissioner or his authorized representative in health districts, whichever one has jurisdiction."
change_of_occupancy_,Section 202 General Definitions,Change of Occupancy,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,occupancy_classification,architect,"A change in the purpose or level of activity within a building that involves a change in application of the requirements of the code. Such a change could be to an entire building or a portion of a building. A change of occupancy includes any change of occupancy classification, any change from one group to another group within an occupancy classification, any change in use within a group for a specific occupancy classification or any change that causes an increase in risk."
new_code_building_,Section 202 General Definitions,"Code, Building",,,,,,The rules of the board adopted under Ohio Administrative Code 4101:1-1-01 through 4101:1-35-01.
new_code_mechanical_,Section 202 General Definitions,"Code, Mechanical",,,,,,The rules of the board adopted under Ohio Administrative Code 4101:2-1-01 through 4101:2-15-01.
new_code_plumbing_,Section 202 General Definitions,"Code, Plumbing",,,,,,The rules of the board adopted under Ohio Administrative Code 4101:3-1-01 through 4101:3-15-01.
change_of_use_,Section 202 General Definitions,Change of Use,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,occupancy_classification,architect,"A change in the use of a building or a portion of a building, within the same group classification, for which there is a change in application of the code requirements."
code_official_,Section 202 General Definitions,Code Official,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,occupancy_classification,owner,Deleted.
dangerous_,Section 202 General Definitions,Dangerous,Wall|Column|Roof|Slab|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd|ca,structural_design,structural_engineer,"Any building, structure or portion thereof that meets any of the conditions described below shall be deemed dangerous: The building or structure has collapsed, has partially collapsed, has moved off its foundation or lacks the necessary support of the ground. There exists a significant risk of collapse, detachment or dislodgement of any portion, member, appurtenance or ornamentation of the building or structure under permanent, routine or frequent loads; under actual loads already in effect; or under snow, wind, rain, flood, earthquake or other environmental loads when such loads are imminent."
deferred_submittal_,Section 202 General Definitions,Deferred Submittal,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,special_construction,architect,Deleted.
