id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
5,,Prescriptive Compliance Method,"User note:About this chapter: Chapter 5 provides details for the prescriptive compliance method—one of the three main options of compliance available in this code for buildings and structures undergoing alteration, addition or change of occupancy.",Wall|Slab|Roof,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,building_height_area_limits,architect
501,Chapter 5 Prescriptive Compliance Method,General,,,,,none,none
501.1,Section 501 General,Scope,"The provisions of this chapter shall control the alteration, addition and change of occupancy of existing buildings and structures, including historic buildings and structures as referenced in Section 301.3.1.",Wall|Slab|Door,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,occupancy_classification,architect
501.1.1,Section 501 General,Compliance With Other Methods,"Alterations, additions and changes of occupancy to existing buildings and structures shall comply with the provisions of this chapter or with one of the methods provided in Section 301.3.",Wall|Door|Slab,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,occupancy_classification,architect
new_501.1.2,Section 501 General,General Provisions,"When using the prescriptive compliance method, existing buildings in which there is work involving additions, alterations or changes of occupancy are to conform to the requirements of this chapter and the general provisions of this code found in Sections 302 through 309.",,,,,
501.2,Section 501 General,Fire-Resistance Ratings,Deleted.,Wall|Slab|Door,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),dd|cd,fire_resistance_smoke_protection,architect
501.3,Section 501 General,Health Care Facilities,"In Group I-2 facilities, ambulatory care facilities and outpatient clinics, any altered or added portion of an existing electrical or medical gas systems shall be required to meet installation and equipment requirements in NFPA 99.",BuildingElementProxy,Institutional (I),sd|dd|cd,mechanical_systems,mechanical_engineer
502,Chapter 5 Prescriptive Compliance Method,Additions,,,,,none,none
502.1,Section 502 Additions,General,"Additions to any building or structure shall comply with the requirements of the International Building Code for new construction. Alterations to the existing building or structure shall be made to ensure that the existing building or structure together with the addition are not less complying with the provisions of the International Building Code than the existing building or structure was prior to the addition. The height, area, type of construction, separation and fire protection features of an existing building together with its additions are to comply with the requirements of Section 502.1.1 or Section 502.1.2 depending on the occupancy of the building.",Wall|Slab|Roof|Stair|Elevator,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,building_height_area_limits,architect
new_502.1.1,Section 502 Additions,Additions to Buildings of Groups R and I Occupancies,"The combined height and area of the existing building and the addition are not to exceed the height and area allowed by Chapter 5 of the building code. Where a fire wall that complies with Section 706 of the building code is provided between the addition and the existing building, the addition is permitted to be considered a separate building.",,,,,
new_502.1.2,Section 502 Additions,Additions to Buildings of Groups Other Than R and I Occupancies,"In other than Group R and Group I occupancies, additions are to comply with Section 502.1.2.1 or Section 502.1.2.2 of this code.",,,,,
new_502.1.2.1,Section 502 Additions,Exceeding Allowable Height or Area,"When the combined height or area of the existing building and the addition exceeds the height or area allowed by Chapter 5 of the building code, including any allowable area and height increases, a fire wall or a fire barrier is to be installed between the existing building and the addition. The following stipulations apply: When a fire wall that complies with Section 706 of the building code is constructed between the existing building and the addition, the addition is permitted to be considered a separate building. When a fire barrier that complies with Section 707 of the building code is constructed between the existing building and the addition, all of the following stipulations apply: The combined height and area of the existing building and the addition is to be used to determine the construction type and the fire protection requirements for the addition. The construction type of the existing building and the addition may differ. When the addition is equipped throughout with an automatic sprinkler system installed in accordance with Section 903.3.1.1 of the building code, the following is permitted: The tabular values in Chapter 5 of the building code corresponding to a building equipped throughout with an automatic sprinkler system installed in accordance with Section 903.3.1.1 of the building code may be used, whether or not the existing building is equipped throughout with an automatic sprinkler system in accordance with Section 903.3.1.1 of the building code. The addition is eligible for all applicable code alternatives, exceptions, trade-offs or reductions, whether or not the existing building is equipped throughout with an automatic sprinkler system in accordance with Section 903.3.1.1 of the building code. A new fire protection system is not required to be installed in the existing building. Existing fire protection systems are, however, required to be maintained. Exception: A new fire protection system is to be installed where required by Section 506.",,,,,
new_502.1.2.2,Section 502 Additions,Not Exceeding Allowable Height and Area,"When the combined height and area of the existing building and the addition does not exceed the height and area allowed by Chapter 5 of the building code, but the area of the existing building plus the new addition creates a fire area greater than the threshold limits of Chapter 9 of the building code, the limit of the fire protection system installation is to be determined in accordance with one of the following: When a fire wall that complies with Section 706 of the building code is constructed between the existing building and the addition, a fire protection system is to be installed in the addition where required by Chapter 9 of the building code in the addition only; or When a fire barrier that complies with Section 707 of the building code is constructed between the existing building and the addition, a fire protection system is to be installed where required by Chapter 9 of the building code in the addition only; or When a fire wall or a fire barrier is not constructed between the existing building and the addition, a fire protection system is to be installed where required by Chapter 9 of the building code in the addition. The fire protection system is to extend into the existing building to a barrier or a partition.",,,,,
502.2,Section 502 Additions,Disproportionate Earthquake Damage,"A building assigned to Seismic Design Category D, E or F that has sustained disproportionate earthquake damage shall be subject to the requirements for buildings with substantial structural damage to vertical elements of the lateral force-resisting system.",,,,,
502.3,Section 502 Additions,Flood Hazard Areas,"For buildings and structures in flood hazard areas established in Section 1612.3 of the International Building Code, or Section R322 of the International Residential Code, as applicable, any addition that constitutes substantial improvement of the existing structure shall comply with the flood design requirements for new construction, and all aspects of the existing structure shall be brought into compliance with the requirements for new construction for flood design.For buildings and structures in flood hazard areas established in Section 1612.3 of the International Building Code, or Section R322 of the International Residential Code, as applicable, any additions that do not constitute substantial improvement of the existing structure are not required to comply with the flood design requirements for new construction.",,,,,
502.4,Section 502 Additions,Existing Structural Elements Carrying Gravity Load,"Any existing gravity load-carrying structural element for which an addition and its related alterations cause an increase in design dead, live or snow load, including snow drift effects, of more than 5 percent shall be replaced or altered as needed to carry the gravity loads required by the International Building Code for new structures. Any existing gravity load-carrying structural element whose vertical load-carrying capacity is decreased as part of the addition and its related alterations shall be considered to be an altered element subject to the requirements of Section 503.3. Any existing element that will form part of the lateral load path for any part of the addition shall be considered to be an existing lateral load-carrying structural element subject to the requirements of Section 502.5.Exception: Buildings of Group R occupancy with not more than five dwelling or sleeping units used solely for residential purposes where the existing building and the addition together comply with the conventional light-frame construction methods of the International Building Code or the provisions of the International Residential Code.",,,,,
502.5,Section 502 Additions,Existing Structural Elements Carrying Lateral Load,"Where the addition is structurally independent of the existing structure, existing lateral load-carrying structural elements shall be permitted to remain unaltered. Where the addition is not structurally independent of the existing structure, the existing structure and its addition acting together as a single structure shall be shown to meet the requirements of Sections 1609 and 1613 of the International Building Code using full seismic forces.Exceptions: Any existing lateral load-carrying structural element whose demand-capacity ratio with the addition considered is not more than 10 percent greater than its demand-capacity ratio with the addition ignored shall be permitted to remain unaltered. For purposes of calculating demand-capacity ratios, the demand shall consider applicable load combinations with design lateral loads or forces in accordance with Sections 1609 and 1613 of the International Building Code. For purposes of this exception, comparisons of demand-capacity ratios and calculation of design lateral loads, forces and capacities shall account for the cumulative effects of additions and alterations since original construction.Buildings of Group R occupancy with not more than five dwelling or sleeping units used solely for residential purposes where the existing building and the addition together comply with the conventional light-frame construction methods of the International Building Code or the provisions of the International Residential Code.",,,,,
502.6,Section 502 Additions,Enhanced Classroom Acoustics,"In Group E occupancies, enhanced classroom acoustics shall be provided in all classrooms in the addition with a volume of 20,000 cubic feet (565 m3) or less. Enhanced classroom acoustics shall comply with the reverberation time in Section 808 of ICC A117.1.",Wall|Slab|Roof,Educational (E),sd|dd|cd,interior_environment,architect
new_502.7,Section 502 Additions,"Storm Shelters for Additions to 911 Call Stations, Emergency Operation Centers, and Fire, Emergency Medical Service and Police Stations","In areas where the wind speed for tornados is 250 MPH as determined by Figure 304.2(1) of ICC 500, storm shelters are to be provided for 911 call stations, emergency operation centers, and fire, emergency medical service and police stations in accordance with this section and ICC 500. Exception: Buildings meeting the requirements for shelter design in ICC 500.",,,,,
new_502.7.1,Section 502 Additions,Required Occupant Capacity,"The minimum required occupant capacity of storm shelters serving a 911 call station, emergency operation center, or a fire, emergency medical service and police station addition is to be based on the design occupant load of only the sleeping rooms, meeting rooms, and offices located in the addition.",,,,,
503,Chapter 5 Prescriptive Compliance Method,Alterations,,,,,none,none
