id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
18,,Chimneys and Vents,"User notes: About this chapter: Chapter 18 addresses chimneys and vents that serve oil- and solid fuel-fired appliances, including wood pellet appliances. Gas-fired appliances are vented in accordance with Chapter 24. Chapter 10 addresses chimneys for fireplaces and masonry and factory-built chimneys in general. Note that chimneys and vents are distinct. Code development reminder: Code change proposals to this chapter will be considered by the IRC—Plumbing/Mechanical Code Development Committee during the 2018 (Group A) Code Development Cycle. See explanation on page iv.",,,,,
M1801,Chapter 18 Chimneys and Vents,General,,,,,,
M1801.1,Chapter 18 Chimneys and Vents,Venting Required,"Fuel-burning appliances shall be vented to the outdoors in accordance with their listing and label and manufacturer's installation instructions except appliances listed and labeled for unvented use. Venting systems shall consist of approved chimneys or vents, or venting assemblies that are integral parts of labeled appliances. Gas-fired appliances shall be vented in accordance with Chapter 24. This section should not be construed as permitting the installation of portable unvented heaters in locations otherwise prohibited by section 3701.82 of the Revised Code or rules adopted by the state fire marshal pursuant to 3701.82 of the Revised Code.",,,,,
M1801.2,Chapter 18 Chimneys and Vents,Draft Requirements,"A venting system shall satisfy the draft requirements of the appliance in accordance with the manufacturer's installation instructions, and shall be constructed and installed to develop a positive flow to convey combustion products to the outside atmosphere.",,,,,
M1801.3,Chapter 18 Chimneys and Vents,Existing Chimneys and Vents,"Where an appliance is permanently disconnected from an existing chimney or vent, or where an appliance is connected to an existing chimney or vent during the process of a new installation, the chimney or vent shall comply with Sections 1801.3.1 through 1801.3.4.",,,,,
M1801.3.1,Chapter 18 Chimneys and Vents,Size,"The chimney or vent shall be resized as necessary to control flue gas condensation in the interior of the chimney or vent and to provide the appliance, or appliances served, with the required draft. For the venting of oil-fired appliances to masonry chimneys, the resizing shall be done in accordance with NFPA 31.",,,,,
M1801.3.2,Chapter 18 Chimneys and Vents,Flue Passageways,"The flue gas passageway shall be free of obstructions and combustible deposits and shall be cleaned if previously used for venting a solid or liquid fuel-burning appliance or fireplace. The flue liner, chimney inner wall or vent inner wall shall be continuous and free of cracks, gaps, perforations, or other damage or deterioration that would allow the escape of combustion products, including gases, moisture and creosote.",,,,,
M1801.3.3,Chapter 18 Chimneys and Vents,Cleanout,Masonry chimneys shall be provided with a cleanout opening complying with Section 1003.17.,,,,,
M1801.3.4,Chapter 18 Chimneys and Vents,Clearances,"Chimneys and vents shall have airspace clearance to combustibles in accordance with this code and the chimney or vent manufacturer's installation instructions.Exception: Masonry chimneys equipped with a chimney lining system tested and listed for installation in chimneys in contact with combustibles in accordance with UL 1777, and installed in accordance with the manufacturer's instructions, shall not be required to have a clearance between combustible materials and exterior surfaces of the masonry chimney. Noncombustible firestopping shall be provided in accordance with this code.",,,,,
M1801.4,Chapter 18 Chimneys and Vents,Space Around Lining,The space surrounding a flue lining system or other vent installed within a masonry chimney shall not be used to vent any other appliance. This shall not prevent the installation of a separate flue lining in accordance with the manufacturer's installation instructions and this code.,,,,,
M1801.5,Chapter 18 Chimneys and Vents,Mechanical Draft Systems,A mechanical draft system shall be used only with appliances listed and labeled for such use. Provisions shall be made to prevent the flow of fuel to the equipment when the draft system is not operating. Forced draft systems and portions of induced draft systems under positive pressure during operation shall be designed and installed to prevent leakage of flue gases into a building.,,,,,
M1801.6,Chapter 18 Chimneys and Vents,Direct-Vent Appliances,Direct-vent appliances shall be installed in accordance with the manufacturer's instructions.,,,,,
M1801.7,Chapter 18 Chimneys and Vents,Support,Venting systems shall be adequately supported for the weight of the material used.,,,,,
M1801.8,Chapter 18 Chimneys and Vents,Duct Penetrations,"Chimneys, vents and vent connectors shall not extend into or through supply and return air ducts or plenums.",,,,,
M1801.9,Chapter 18 Chimneys and Vents,Fireblocking,Vent and chimney installations shall be fireblocked in accordance with Section 602.8.,,,,,
M1801.10,Chapter 18 Chimneys and Vents,Unused Openings,Unused openings in any venting system shall be closed or capped.,,,,,
M1801.11,Chapter 18 Chimneys and Vents,Multiple-Appliance Venting Systems,Two or more listed and labeled appliances connected to a common natural draft venting system shall comply with the following requirements:Appliances that are connected to common venting systems shall be located on the same floor of the dwelling.Exception: Engineered systems as provided for in Section 2427.Inlets to common venting systems shall be offset such that no portion of an inlet is opposite another inlet.Connectors serving appliances operating under a natural draft shall not be connected to any portion of a mechanical draft system operating under positive pressure.,,,,,
M1801.12,Chapter 18 Chimneys and Vents,Multiple Solid Fuel Prohibited,A solid fuel-burning appliance or fireplace shall not connect to a chimney passageway venting another appliance.,,,,,
M1802,Chapter 18 Chimneys and Vents,Vent Components,,,,,,
M1802.1,Chapter 18 Chimneys and Vents,Draft Hoods,Draft hoods shall be located in the same room or space as the combustion air openings for the appliances.,,,,,
M1802.2,Chapter 18 Chimneys and Vents,Vent Dampers,Vent dampers shall comply with Sections 1802.2.1 and 1802.2.2.,,,,,
M1802.2.1,Chapter 18 Chimneys and Vents,Manually Operated,Manually operated dampers shall not be installed except in connectors or chimneys serving solid fuel-burning appliances.,,,,,
M1802.2.2,Chapter 18 Chimneys and Vents,Automatically Operated,Automatically operated dampers shall conform to UL 17 and be installed in accordance with the terms of their listing and label. The installation shall prevent firing of the burner when the damper is not opened to a safe position.,,,,,
M1802.3,Chapter 18 Chimneys and Vents,Draft Regulators,Draft regulators shall be provided for oil-fired appliances that must be connected to a chimney. Draft regulators provided for solid fuel-burning appliances to reduce draft intensity shall be installed and set in accordance with the manufacturer's installation instructions.,,,,,
M1802.3.1,Chapter 18 Chimneys and Vents,Location,"Where required, draft regulators shall be installed in the same room or enclosure as the appliance so that a difference in pressure will not exist between the air at the regulator and the combustion air supply.",,,,,
M1803,Chapter 18 Chimneys and Vents,Chimney and Vent Connectors,,,,,,
M1803.1,Chapter 18 Chimneys and Vents,General,Connectors shall be used to connect fuel-burning appliances to a vertical chimney or vent except where the chimney or vent is attached directly to the appliance.,,,,,
M1803.2,Chapter 18 Chimneys and Vents,Connectors for Oil and Solid Fuel-Burning Appliances,"Connectors for oil and solid fuel-burning appliances shall be constructed of factory-built chimney material, Type L vent material or single-wall metal pipe having resistance to corrosion and heat and thickness not less than that of galvanized steel as specified in Table 1803.2.TABLE 1803.2THICKNESS FOR SINGLE-WALL METAL PIPE CONNECTORSDIAMETER OF CONNECTOR (inches)GALVANIZED SHEET METAL GAGE NUMBERMINIMUM THICKNESS (inch)Less than 6260.0196 to 10240.024Over 10 through 16220.029For SI: 1 inch = 25.4 mm.",,,,,
M1803.3,Chapter 18 Chimneys and Vents,Installation,Vent and chimney connectors shall be installed in accordance with the manufacturer's instructions and within the space where the appliance is located. Appliances shall be located as close as practical to the vent or chimney. Connectors shall be as short and straight as possible and installed with a slope of not less than 1/4 inch (6 mm) rise per foot of run. Connectors shall be securely supported and joints shall be fastened with sheet metal screws or rivets. Devices that obstruct the flow of flue gases shall not be installed in a connector unless listed and labeled or approved for such installation.,,,,,
M1803.3.1,Chapter 18 Chimneys and Vents,"Floor, Ceiling and Wall Penetrations","A chimney connector or vent connector shall not pass through any floor or ceiling. A chimney connector or vent connector shall not pass through a wall or partition unless the connector is listed and labeled for wall pass-through, or is routed through a device listed and labeled for wall pass-through and is installed in accordance with the conditions of its listing and label. Connectors for oil-fired appliances listed and labeled for Type L vents, passing through walls or partitions shall be in accordance with the following:Type L vent material for oil appliances shall be installed with not less than listed and labeled clearances to combustible material.Single-wall metal pipe shall be guarded by a ventilated metal thimble not less than 4 inches (102 mm) larger in diameter than the vent connector. Not less than 6 inches (152 mm) of clearance shall be maintained between the thimble and combustibles.",,,,,
M1803.3.2,Chapter 18 Chimneys and Vents,Length,The horizontal run of an uninsulated connector to a natural draft chimney shall not exceed 75 percent of the height of the vertical portion of the chimney above the connector. The horizontal run of a listed connector to a natural draft chimney shall not exceed 100 percent of the height of the vertical portion of the chimney above the connector.,,,,,
M1803.3.3,Chapter 18 Chimneys and Vents,Size,A connector shall not be smaller than the flue collar of the appliance.Exception: Where installed in accordance with the appliance manufacturer's instructions.,,,,,
M1803.3.4,Chapter 18 Chimneys and Vents,Clearance,"Connectors shall be installed with clearance to combustibles as set forth in Table 1803.3.4. Reduced clearances to combustible materials shall be in accordance with Table 1306.2 and Figure 1306.1. TABLE 1803.3.4 CHIMNEY AND VENT CONNECTOR CLEARANCES TO COMBUSTIBLE MATERIALSa TYPE OF CONNECTOR MINIMUMCLEARANCE(inches) Single-wall metal pipe connectors: Oil and solid-fuel appliances 18 Oil appliances listed for use with Type L vents 9 Type L vent piping connectors: Oil and solid-fuel appliances 9 Oil appliances listed for use with Type L vents 3b For SI: 1 inch = 25.4 mm. These minimum clearances apply to unlisted single-wall chimney and vent connectors. Reduction of required clearances is permitted as in Table 1306.2. Where listed Type L vent piping is used, the clearance shall be in accordance with the vent listing.",,,,,
M1803.3.5,Chapter 18 Chimneys and Vents,Access,"The entire length of a connector shall allow access for inspection, cleaning and replacement.",,,,,
M1803.4,Chapter 18 Chimneys and Vents,Connection to Fireplace Flue,Connection of appliances to chimney flues serving fireplaces shall comply with Sections 1803.4.1 through 1803.4.4.,,,,,
M1803.4.1,Chapter 18 Chimneys and Vents,Closure and Accessibility,A noncombustible seal shall be provided below the point of connection to prevent entry of room air into the flue. Means shall be provided for access to the flue for inspection and cleaning.,,,,,
M1803.4.2,Chapter 18 Chimneys and Vents,Connection to Factory-Built Fireplace Flue,A different appliance shall not be connected to a flue serving a factory-built fireplace unless the appliance is specifically listed for such an installation. The connection shall be made in compliance with the appliance manufacturer's instructions.,,,,,
M1803.4.3,Chapter 18 Chimneys and Vents,Connection to Masonry Fireplace Flue,A connector shall extend from the appliance to the flue serving a masonry fireplace to convey the flue gases directly into the flue. The connector shall be provided with access or shall be removable for inspection and cleaning of both the connector and the flue. Listed direct-connection devices shall be installed in accordance with their listing.,,,,,
M1803.4.4,Chapter 18 Chimneys and Vents,Size of Flue,The size of the fireplace flue shall be in accordance with Section 1805.3.1.,,,,,
M1804,Chapter 18 Chimneys and Vents,Vents,,,,,,
