id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
27,,Electrical,"User note:About this chapter: Electrical systems and components are integral to most structures; therefore, it is necessary for the code to address their installation and protection. Structures depend on electricity for the operation of many life safety systems including fire alarm, smoke control and exhaust, fire suppression, fire command and communication systems. Since power supply to these systems is essential, Chapter 27 addresses where standby and emergency power must be provided.",,,,,
2701,Chapter 27 Electrical,General,,,,,,
2701.1,Section 2701 General,Scope,"The provisions of this chapter and the Electrical Code shall govern the design, construction, erection and installation of the electrical components, appliances, equipment and systems used in buildings and structures covered by this code. The Electrical Code shall govern the design, installation, alteration, repair, relocation, replacement and addition of electrical components, appliances, or equipment and systems.",,,,,
2702,Chapter 27 Electrical,Emergency and Standby Power Systems,,,,,,
2702.1,Section 2702 Emergency and Standby Power Systems,General,Emergency power systems and standby power systems shall comply with Sections 2702.1.1 through 2702.1.8.,,,,,
2702.1.1,Section 2702 Emergency and Standby Power Systems,Stationary Generators,Stationary emergency and standby power generators required by this code shall be listed in accordance with UL 2200.,,,,,
2702.1.2,Section 2702 Emergency and Standby Power Systems,Fuel-Line Piping Protection,"Fuel lines supplying a generator set inside a high-rise building shall be separated from areas of the building other than the room the generator is located in by one of the following methods:A fire-resistant pipe-protection system that has been tested in accordance with UL 1489. The system shall be installed as tested and in accordance with the manufacturer's installation instructions, and shall have a rating of not less than 2 hours. Where the building is protected throughout with an automatic sprinkler system installed in accordance with Section 903.3.1.1, the required rating shall be reduced to 1 hour.An assembly that has a fire-resistance rating of not less than 2 hours. Where the building is protected throughout with an automatic sprinkler system installed in accordance with Section 903.3.1.1, the required fire-resistance rating shall be reduced to 1 hour.Other approved methods.",,,,,
2702.1.3,Section 2702 Emergency and Standby Power Systems,Installation,"Emergency power systems and standby power systems required by this code shall be installed in accordance with this code, the Electrical Code, NFPA 70, NFPA 110 and NFPA 111.",,,,,
2702.1.4,Section 2702 Emergency and Standby Power Systems,Load Transfer,"Emergency power systems shall automatically provide secondary power within 10 seconds after primary power is lost, unless specified otherwise in this code. Standby power systems shall automatically provide secondary power within 60 seconds after primary power is lost, unless specified otherwise in this code.",,,,,
2702.1.5,Section 2702 Emergency and Standby Power Systems,Load Duration,"Emergency power systems and standby power systems shall be designed to provide the required power for a minimum duration of 2 hours without being refueled or recharged, unless specified otherwise in this code.",,,,,
2702.1.6,Section 2702 Emergency and Standby Power Systems,Uninterruptable Power Source,"An uninterrupted source of power shall be provided for equipment where required by the manufacturer's instructions, the listing, this code or applicable referenced standards.",,,,,
2702.1.7,Section 2702 Emergency and Standby Power Systems,Interchangeability,Emergency power systems shall be an acceptable alternative for installations that require standby power systems.,,,,,
2702.1.8,Section 2702 Emergency and Standby Power Systems,Group I-2 Occupancies,"In Group I-2 occupancies located in flood hazard areas established by the flood plain administrator in accordance with Section 1612.3, where new essential electrical systems are installed, and where new essential electrical system generators are installed, the systems and generators shall be located and installed in accordance with ASCE 24. Where connections for hookup of temporary generators are provided, the connections shall be located at or above the elevation required in ASCE 24.",,,,,
2702.2,Section 2702 Emergency and Standby Power Systems,Where Required,Emergency and standby power systems shall be provided where required by Sections 2702.2.1 through 2702.2.19.,,,,,
2702.2.1,Section 2702 Emergency and Standby Power Systems,Ambulatory Care Facilities,Essential electrical systems for ambulatory care facilities shall comply with Section 422.6.,,,,,
2702.2.2,Section 2702 Emergency and Standby Power Systems,Elevators and Platform Lifts,"Standby power shall be provided for elevators and platform lifts as required in Sections 1009.4.1, 1009.5, 3003.1, 3007.8 and 3008.8.",,,,,
2702.2.3,Section 2702 Emergency and Standby Power Systems,Emergency Responder Communication Coverage Systems,Standby power shall be provided for in-building 2-way emergency responder communication coverage systems required in Section 918. The standby power supply shall be capable of operating the in-building 2-way emergency responder communication coverage system at 100-percent system operation capacity for a duration of not less than 12 hours.,,,,,
