id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
12,,Historic Buildings,"User notes:About this chapter: Chapter 12 provides some exceptions from code requirements when the building in question has historic value. The most important criterion for application of this chapter is that the building must be essentially accredited as being of historic significance by a state or local authority after careful review of the historical value of the building. Most, if not all, states have such authorities, as do many local jurisdictions. The agencies with such authority can be located at the state or local government level or through the local chapter of the American Institute of Architects (AIA). Other considerations include the structural condition of the building (i.e., is the building structurally sound), its proposed use, its impact on life safety and how the intent of the code, if not the letter, will be achieved.",Wall|Roof|Slab|Door|Window,Assembly (A)|Business (B)|Residential (R)|Mercantile (M),sd|dd|cd,special_construction,architect
1201,Chapter 12 Historic Buildings,General,,,,,none,none
1201.1,Section 1201 General,Scope,"This chapter is intended to provide means for the preservation of historic buildings. Historic buildings shall comply with the provisions of this chapter relating to their repair, alteration and change of occupancy.",Wall|Roof|Door,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,special_construction,architect
new_1201.2,Section 1201 General,"Preservation, Restoration, Rehabilitation or Continued Use","Alterations and additions necessary for the preservation, restoration, rehabilitation or continued use of a building or structure may be made without conformance to all the requirements of this code when authorized by the building official, provided that: The building or structure has been designated by official action of the legally constituted authority of the municipality as having special historical or architectural significance. Any unsafe conditions are corrected. The restored building or structure will be no more hazardous based on life safety, fire safety and sanitation than the existing building. The building official seeks the advice of the State of Oregon historic preservation officer. In case of appeals related to historic buildings, the local appeals board or the appropriate state appeals board shall seek the advice of the State of Oregon historic preservation officer.",,,,,
1201.3,Section 1201 General,Special Occupancy Exceptions—Museums,"Where a building in Group R-3 is used for Group A, B or M purposes including exhibits and other public assembly activities, or for museums less than 3,000 square feet (279 m2) per floor and a maximum of three stories, the occupancy shall be classified as Group B where life safety conditions are approved by the building official in accordance with Section 1201.2. Adequate means of egress in such buildings, including, but not limited to, a means of maintaining doors in an unlocked position to permit egress, a limit on building occupancy to an occupant load permitted by the means of egress capacity, a limit on occupancy of certain areas or floors, or supervision by a person knowledgeable in the emergency exiting procedures, shall be provided.",Door|Stair|Ramp|Slab,Assembly (A)|Business (B)|Residential (R)|Mercantile (M),sd|dd|cd,occupancy_classification,architect
1201.4,Section 1201 General,Flood Hazard Areas,"In flood hazard areas established by the flood plain administrator, if all proposed work, including repairs, work required because of a change of occupancy, and alterations, constitutes substantial improvement, then the existing building shall comply with Section 1612. Exception: If a historic building will continue to be a historic building after the proposed work is completed, then the proposed work is not considered a substantial improvement. For the purposes of this exception, a historic building is any of the following: Listed or preliminarily determined to be eligible for listing in the National Register of Historic Places. Determined by the Secretary of the US Department of the Interior to contribute to the historical significance of a registered historic district or a district preliminarily determined to qualify as a historic district. Designated as historic under a state or local historic preservation program that is approved by the Department of the Interior. Designated by official action of the legally constituted authority of the municipality as having special historical or architectural significance.",Wall|Slab|Footing,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,site_planning,architect
1202,Chapter 12 Historic Buildings,Repairs,,,,,none,none
1202.1,Section 1202 Repairs,General,"Repairs to any portion of a historic building or structure shall be permitted with original or like materials and original methods of construction, subject to the provisions of this section. Where it becomes necessary to repair all or a portion of a legally existing historic building that has been damaged by a cause outside of the control of the building owner including but not limited to fire, wind, flood, earthquake and other similar damage where, prior to the damage, the legally existing building did not contain unsafe conditions, the building may be reconstructed exactly as it existed prior to the damage, where the requirements of this subsection are met. Hazardous materials, such as asbestos and lead-based paint, shall not be used where their use in buildings of similar occupancy, purpose and location would not be permitted in the new construction provisions of this code.",Wall|Roof|Slab|Door|Window,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,finishes_materials,architect
1202.2,Section 1202 Repairs,Replacement,"Replacement of existing or missing features using original materials shall be permitted. Partial replacement for repairs that match the original in configuration, height and size shall be permitted. Replacement glazing in hazardous locations shall comply with the safety glazing requirements of Chapter 24. Exception: Glass block walls, louvered windows and jalousies repaired with like materials.",Wall|Window|Door|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,finishes_materials,architect
new_1202.3,Section 1202 Repairs,Substantial Structural Damage,Repair of substantial structural damage shall be in accordance with Section 405.2.1.,,,,,
1203,Chapter 12 Historic Buildings,Fire Safety,,,,,none,none
