id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
4,,Repairs,Wall|Slab|Roof,Assembly (A)|Business (B)|Residential (R),cd|ca,special_construction,architect,User notes:About this chapter: Chapter 4 provides requirements for repairs of existing buildings. The provisions define conditions under which repairs may be made using materials and methods like those of the original construction or the extent to which repairs must comply with requirements for new buildings.
401,Chapter 4 Repairs,General,,,,none,none,
401.1,Section 401 General,Scope,Wall|Roof|Door|Window|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,special_construction,architect,Repairs shall comply with the requirements of this section. Repairs to historic buildings need only comply with Chapter 12.
401.1.1,Section 401 General,"Bleachers, Folding and Telescopic Seating and Grandstands",BuildingElementProxy|Stair|Railing|Slab,Assembly (A),sd|dd|cd,special_construction,architect,"Repairs to existing bleachers, folding and telescopic seating and grandstands shall comply with ICC 300. ICC 300 Sections 501.2, 502, 503 and 504 are not adopted."
401.2,Section 401 General,Compliance,Wall|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd|ca,special_construction,architect,"The work shall not make the building less complying than it was before the repair was undertaken. Work on nondamaged components that is necessary for the required repair of damaged components shall be considered part of the repair and shall not be subject to requirements for alterations. Devices or safeguards required by this code shall be repaired in accordance with the edition of code under which the device or safeguard was installed. To determine compliance with this subsection, the building official shall have the authority to require a building or structure to be reinspected. Work on nondamaged components necessary for the required repair of damaged components shall be considered a part of the repair and shall not be subject to the requirements for alterations. Repairs exempt from permit in accordance with Section 105.2 or Chapter 1 are not required to comply with Chapter 4. Where it becomes necessary to repair all or a portion of a legally existing building that has been damaged by a cause outside of the control of the building owner, including but not limited to fire, wind, flood, earthquake and other similar damage where, prior to the damage, the legally existing building did not contain unsafe conditions, the building may be reconstructed exactly as it existed prior to the damage, where the requirements of this subsection are met. Structural repairs shall comply with the requirements of Section 405. Where unsafe conditions existed prior to the damage occurring, the building may be reconstructed as it existed prior to the damage provided the unsafe conditions are corrected, as determined by the building official. The absence of fire-resistance-rated construction, related building components, automatic sprinkler systems and other life safety features shall not be deemed to be an unsafe condition where such systems and construction methods were not required at the time the building was originally constructed or modified through permit."
401.3,Section 401 General,Flood Hazard Areas,Wall|Slab|Footing,Residential (R)|Business (B)|Assembly (A),sd|dd|cd,site_planning,architect,"In flood hazard areas established by the flood plain administrator, repairs that constitute substantial improvement shall require that the building comply with Section 1612."
402,Chapter 4 Repairs,Building Elements and Materials,,,,none,none,
402.1,Section 402 Building Elements and Materials,Glazing in Hazardous Locations,Window|Door|Wall,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,finishes_materials,architect,"Replacement glazing in hazardous locations shall comply with the safety glazing requirements of this code for new construction. Exception: Glass block walls, louvered windows and jalousies repaired with like materials."
403,Chapter 4 Repairs,Fire Protection,,,,none,none,
403.1,Section 403 Fire Protection,General,Wall|Slab|Door,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),cd|ca,fire_resistance_smoke_protection,architect,Repairs shall be done in a manner that maintains the level of fire protection provided.
new_403.2,Section 403 Fire Protection,Substantial Damage of Group R-2 Apartment Houses,,,,,,Fire protection shall be provided in Group R-2 apartment houses with substantial damage in accordance with Section 309.
