id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
1,,Scope and Administration,"User note:About this chapter: Chapter 1 establishes the limits of applicability of this code and describes how the code is to be applied and enforced. Chapter 1 is in two parts: Part 1—Scope and Application (Sections R101—R102) and Part 2—Administration and Enforcement (Sections R103—R114). Section R101 identifies which buildings and structures come under its purview and references other I-Codes as applicable. Standards and codes are scoped to the extent referenced (see Section R102.4).The one- and two-family dwelling code is intended to be adopted as a legally enforceable document, and it cannot be effective without adequate provisions for its administration and enforcement. The provisions of Chapter 1 establish the authority and duties of the building official appointed by the authority having jurisdiction and also establish the rights and privileges of the design professional, contractor and property owner.",BuildingElementProxy,Residential (R),concept|sd|dd|cd|ca,occupancy_classification,architect
divider_1_1,Chapter 1 Scope and Administration,Scope and Application,,,,,none,none
R101,Chapter 1 Scope and Administration,Scope and General Requirements,,,,,none,none
R101.1,Chapter 1 Scope and Administration,Title,"These provisions shall be known as the Oregon Residential Specialty Code and shall be cited as such and will be referred to herein as ""this code.""",BuildingElementProxy,Residential (R),concept|sd|dd|cd,occupancy_classification,architect
R101.2,Chapter 1 Scope and Administration,Scope,"The Oregon Residential Specialty Code, as adopted by the State of Oregon, Building Codes Division, includes portions of the International Residential Code and the International Fire Code pertaining to any construction, reconstruction, alteration, repair and installation of materials and equipment in or part of buildings and structures covered under the state building code.",Wall|Roof|Slab|Door|Window,Residential (R)|Business (B)|Institutional (I)|Assembly (A),concept|sd|dd|cd,occupancy_classification,architect
new_R101.2.1,Chapter 1 Scope and Administration,Application,"The provisions of this code shall apply to the construction, alteration, movement, enlargement, replacement, repair, equipment, use, occupancy and location of the following: Detached one- and two-family dwellings and townhouses classified as Group R-3, not more than three stories above grade plane in height, and their accessory structures. Detached owner-occupied lodging houses containing not more than five guestrooms. Residential aircraft hangars as defined in Section R202. Live/work units located in detached one- and two-family dwellings and townhouses and complying with the requirements of Section 508.5 of the Building Code. Exception: Dwelling units that include an office that is less than 10 percent of the area of the dwelling unit are not required to comply with the requirements of Section 508.5 of the Building Code. The following uses shall comply with the Building Code: New registered or certified family child care facilities as defined in ORS 329A, new adult foster homes as defined in ORS 443.705 and new residential training homes as defined in ORS 443.400, located within a detached one-family dwelling and classified as Group R-3 occupancies. Congregate living facilities. In accordance with ORS 455.616, dwellings 400 square feet (37.16 m2) in area or less shall comply with the Small Home Specialty Code.",,,,,
new_R101.2.2,Chapter 1 Scope and Administration,Optional Local Adoption to Require a Building Permit,"In addition to the work exempt from building permits in Section R105, the following items are exempt from building permits unless specifically required by a municipality's local ordinance. If a municipality adopts an ordinance to require a permit for any of these items, the construction standards of this code shall be applicable: Fences, other than required swimming pool barriers, constructed of wood, wire mesh or chain link. Statewide, fences serving as a swimming pool barrier, or as a portion of a swimming pool barrier, shall require a building permit. A municipality may adopt an ordinance to regulate the construction of other fences constructed of wood, wire mesh or chain link, provided that the threshold established for requiring a building permit does not include fences that are 7 feet (2134 mm) or less in height. A municipality may adopt an ordinance to regulate fences constructed of materials other than wood, wire mesh or chain link, regardless of height. A local height threshold greater than 7 feet (2134 mm) is allowed, regardless of which materials are used. Retaining walls. Statewide, retaining walls that provide safeguards for the users of the buildings, support a regulated building or retain material that, if not restrained, could impact a regulated building shall require a building permit. A municipality may adopt an ordinance to regulate other retaining walls, provided that the threshold established for requiring a permit does not include retaining walls 4 feet (1219 mm) or less in height, when measured from the bottom of the footing to the top of the wall, except where the retaining wall supports ascending slopes exceeding 3:1 or where the retaining wall supports a nonsoil surcharge. A local height threshold greater than 4 feet (1219 mm) is allowed. Freestanding radio, television and other telecommunication antennae and towers not attached to or supported by a regulated building. A local municipality may adopt an ordinance to require a building permit for these structures. Ground-mounted photovoltaic systems. A local municipality may adopt an ordinance requiring a building permit for these structures, provided that a permit is not required where these structures are 10 feet (3048 mm) or less in height, measured to the highest point of the installation, and no public access is permitted beneath the structures. A local height threshold greater than 10 feet (3048 mm) is allowed. Tanks that are located exterior to and not attached to or supported by a regulated building. Fixed docks not supporting a superstructure. The design and construction of in-ground swimming pools accessory to detached one- and two-family dwellings, and individual townhouse dwelling units.",,,,,
new_R101.2.3,Chapter 1 Scope and Administration,Matters Not Available for Local Regulation Under the Statutory Authority of This Code,"While the following matters may be included in the published national model code, they may not be regulated by the local municipality under the authority of this code. Any references to these matters in this code have been retained for the reader's convenience.",,,,,
new_R101.2.3.1,Chapter 1 Scope and Administration,Matters Outside the Statutory Authority of This Code,"The following matters are outside the statutory authority of this code. Local municipalities may not regulate these matters under the authority of this code. A municipality may have additional authority outside of this code to regulate these matters locally, where not preempted: Post-occupancy lease or rental arrangements, short-term rentals, vacation rentals and similar uses. Public utility facilities owned and maintained by the serving utility. Abatement of nuisances and dangerous buildings. Demolition. Floating structures. Floating docks. Transitional housing accommodations. Administration and implementation of a National Flood Insurance Program (NFIP). Mechanical equipment not specifically regulated in this code.",,,,,
new_R101.2.3.2,Chapter 1 Scope and Administration,Matters Preempted by the State Building Code,"The following matters are not adopted, are preempted by the state building code and may not be adopted by a local municipality: Appendix AA (Sizing and Capacities of Gas Piping). Appendix AB (Sizing of Venting Systems Serving Appliances Equipped with Draft Hoods, Category I Appliances and Appliances Listed for Use with Type B Vents). Appendix AC (Reserved). Appendix AD (Recommended Procedure for Safety Inspection of an Existing Appliance Installation). Appendix AG (Piping Standards for Various Applications). Appendix AI (Private Sewage Disposal). Appendix AJ (Existing Buildings and Structures). Appendix AL (Permit Fees). Appendix AM (Home Day Care—R-3 Occupancy). Appendix AN (Venting Methods). Appendix AO (Automatic Vehicular Gates). Appendix AP (Sizing of Water Piping System). Appendix AQ (Tiny Houses). Appendix AT (Solar-ready Provisions—Detached One- and Two-family Dwellings and Townhouses). Appendix AV (Board of Appeals). Appendix AX (Zero Energy Residential Building Provisions)",,,,,
