id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
19,,"Special Appliances, Equipment and Systems","User notes:About this chapter: Chapter 19 is specific to appliances and systems that are not related to HVAC, including cooking appliances, sauna heaters, fuel cells and hydrogen systems. Chapter 24 also applies to cooking appliances and sauna heaters.Code development reminder: Code change proposals to this chapter will be considered by the IRC—Plumbing/Mechanical Code Development Committee during the 2021 (Group A) Code Development Cycle.",,,,,
M1901,"Chapter 19 Special Appliances, Equipment and Systems",Ranges and Ovens,,,,,,
M1901.1,"Chapter 19 Special Appliances, Equipment and Systems",Clearances,Freestanding or built-in ranges shall have a vertical clearance above the cooking top of not less than 30 inches (762 mm) to unprotected combustible material. Reduced clearances are permitted in accordance with the listing and labeling of the range hoods or ovens with integral exhaust.,,,,,
M1901.2,"Chapter 19 Special Appliances, Equipment and Systems",Cooking Appliances,Cooking appliances shall be listed and labeled for household use and shall be installed in accordance with the manufacturer's instructions. The installation shall not interfere with combustion air or access for operation and servicing. Electric cooking appliances shall comply with UL 858 or UL 1026. Solid-fuel-fired fireplace stoves shall comply with UL 737. Microwave ovens shall comply with UL 923.,,,,,
M1902,"Chapter 19 Special Appliances, Equipment and Systems",Sauna Heaters,,,,,,
M1902.1,"Chapter 19 Special Appliances, Equipment and Systems",Locations and Protection,"Sauna heaters shall be protected from accidental contact by persons with a guard of material having a low thermal conductivity, such as wood. The guard shall not have a substantial effect on the transfer of heat from the heater to the room.",,,,,
M1902.2,"Chapter 19 Special Appliances, Equipment and Systems",Installation,Sauna heaters shall be installed in accordance with the manufacturer's instructions. Sauna heaters shall comply with UL 875.,,,,,
M1902.3,"Chapter 19 Special Appliances, Equipment and Systems",Combustion Air,"Combustion air and venting for a nondirect vent-type heater shall be provided in accordance with Chapters 17 and 18, respectively.",,,,,
M1902.4,"Chapter 19 Special Appliances, Equipment and Systems",Controls,"Sauna heaters shall be equipped with a thermostat that will limit room temperature to not greater than 194°F (90°C). Where the thermostat is not an integral part of the heater, the heat-sensing element shall be located within 6 inches (152 mm) of the ceiling.",,,,,
M1903,"Chapter 19 Special Appliances, Equipment and Systems",Stationary Fuel Cell Power PlantsEngine and Gas Turbine-Powered Equipment,,,,,,
M1903.1,"Chapter 19 Special Appliances, Equipment and Systems",GeneralPowered Equipment,Permanently installed equipment powered by internal combustion engines and turbines shall be listed and labeled and shall be installed in accordance with the manufacturer's installation instructions.,,,,,
M1904,"Chapter 19 Special Appliances, Equipment and Systems",Gaseous Hydrogen SystemsSmall Ceramic Kilns,,,,,,
M1904.1,"Chapter 19 Special Appliances, Equipment and Systems",InstallationGeneral,The provisions of this section apply to unlisted kilns used for ceramics that have a maximum interior volume of 20 cubic feet (0.57 m3).,,,,,
new_M1904.2,"Chapter 19 Special Appliances, Equipment and Systems",Fuel-Gas Controls,Standing pilots shall not be used with gas-fired kilns.,,,,,
new_M1904.3,"Chapter 19 Special Appliances, Equipment and Systems",Electric Equipment,"All electric equipment used as part of, or in connection with, the installation of a kiln shall be in accordance with the Electrical Code.",,,,,
new_M1904.4,"Chapter 19 Special Appliances, Equipment and Systems",Installation Inside Building,"In addition to other requirements specified in this section, interior installation shall meet the requirements of Sections M1904.4.1 through M1904.4.5.",,,,,
new_M1904.4.1,"Chapter 19 Special Appliances, Equipment and Systems",Kiln Clearance,"The sides and tops of kilns shall be located a minimum of 18 inches (457 mm) from any noncombustible wall surface and 3 feet (914 mm) from any combustible wall surface. Kilns shall be installed on noncombustible flooring consisting of at least 2 inches (51 mm) of solid masonry or concrete extending at least 12 inches (305mm) beyond the base or supporting members of the kiln. Exception: These clearances may be reduced, provided the kiln is installed in accordance with its listing or to acceptable conclusions of testing reports submitted to the building official. In no case shall the clearance on the gas or electrical control side of a kiln be reduced to less than 30 inches (762 mm).",,,,,
new_M1904.4.2,"Chapter 19 Special Appliances, Equipment and Systems",Hoods,A canopy-type hood shall be installed directly above each kiln. The face-opening area of the hood shall be equal to or greater than the top horizontal surface area of the kiln. The hood shall be constructed of not less than 0.024-inch (0.61 mm) (No. 24 US gage) galvanized steel or equivalent and be supported at a height of between 12 inches (305 mm) and 30 inches (762 mm) above the kiln by noncombustible supports. Exception: Electric kilns installed with listed exhaust blowers may be used where marked as being suitable for the kiln and installed in accordance with the manufacturer's instructions.,,,,,
new_M1904.4.3,"Chapter 19 Special Appliances, Equipment and Systems",Gravity Ventilation Ducts,"Each hood shall be connected to a gravity ventilation duct extending in a vertical direction to outside the building. This duct shall be of the same construction as the hood and shall have a minimum cross-sectional area of not less than one-fifteenth of the face opening area of the hood. The duct shall terminate a minimum of 12 inches (305 mm) above any portion of a building within 4 feet (1219 mm) and terminate not less than 4 feet (1219 mm) from any openable windows or other openings into the building or adjacent property line. The duct opening to the outside shall be shielded, without reduction of duct area, to prevent entrance of rain into the duct. The duct shall be supported at each section by noncombustible supports.",,,,,
new_M1904.4.4,"Chapter 19 Special Appliances, Equipment and Systems",Makeup Air,Provisions shall be made for air to enter the room in which a kiln is installed at a rate at least equal to the air being removed through the kiln hood.,,,,,
new_M1904.4.5,"Chapter 19 Special Appliances, Equipment and Systems",Hood and Duct Clearances,Every hood and duct serving a fuel-burning kiln shall have a clearance from combustible construction of at least 18 inches (457 mm). This clearance may be reduced in accordance with Figure M1306.1 and Table M1306.2.,,,,,
new_M1904.5,"Chapter 19 Special Appliances, Equipment and Systems",Exterior Installation,"Kilns shall be installed with minimum clearances as specified in Section M1904.4.1. Wherever a kiln is located under a roofed area and is partially enclosed by more than two vertical wall surfaces, a hood and gravity ventilation duct shall be installed to comply with Sections M1904.4.2, M1904.4.3 and M1904.4.5.",,,,,
new_M1905,"Chapter 19 Special Appliances, Equipment and Systems",Stationary Fuel Cell Power Plants,,,,,,
new_M1905.1,"Chapter 19 Special Appliances, Equipment and Systems",General,"Stationary fuel cell power plants having a power output not exceeding 1,000 kW shall comply with ANSI/CSA America FC 1 and shall be installed in accordance with the manufacturer's instructions and NFPA 853.",,,,,
new_M1906,"Chapter 19 Special Appliances, Equipment and Systems",Gaseous Hydrogen Systems,,,,,,
new_M1906.1,"Chapter 19 Special Appliances, Equipment and Systems",Installation,Gaseous hydrogen systems shall be installed in accordance with the applicable requirements of the Building Code and the Mechanical Code.,,,,,
