id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
2,,Definitions,"User notes: About this chapter: Codes, by their very nature, are technical documents. Every word, term and punctuation mark can add to or change the meaning of a technical requirement. It is necessary to maintain a consensus on the specific meaning of each term contained in the code. Chapter 2 performs this function by stating clearly what specific terms mean for the purpose of the code. Code development reminder: Code change proposals to definitions in this chapter preceded by a bracketed letter are considered by the IRC—Building Code Development Committee [RB], the IRC—Mechanical/Plumbing Code Development Committee [MP] or the IECC—Residential Code Development Committee [RE] during the Group B (2022) Code Development Cycle.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect
R201,Chapter 2 Definitions,General,,,,,none,none
R201.1,Chapter 2 Definitions,Scope,"Unless otherwise expressly stated, the following words and terms shall, for the purposes of this code, have the meanings indicated in this chapter.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),concept|sd|dd|cd|ca,occupancy_classification,architect
R201.2,Chapter 2 Definitions,Interchangeability,"Words used in the present tense include the future; words in the masculine gender include the feminine and neuter; the singular number includes the plural and the plural, the singular.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd,occupancy_classification,architect
R201.3,Chapter 2 Definitions,Terms Defined in Other Codes,"Where terms are not defined in this code and are defined in the Electrical Code, Building Code, Mechanical Code or Plumbing Code, such terms shall have the meanings ascribed in those codes.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect
R201.4,Chapter 2 Definitions,Terms Not Defined,"Where terms are not defined through the methods authorized by this section, such terms shall have ordinarily accepted meanings such as the context implies. Words of common usage are given their plain, natural and ordinary meanings. Words that have well-defined legal meanings are given those meanings.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd,occupancy_classification,architect
R202,Chapter 2 Definitions,Definitions,,Wall|Roof|Slab|Chimney|Door,Residential (R)|Business (B)|Assembly (A),sd|dd|cd,occupancy_classification,architect
access_to_,Chapter 2 Definitions,Access (To),"That which enables a device, an appliance or equipment to be reached by ready access or by a means that first requires the removal or movement of a panel, door or similar obstruction.",,,,,
accessory_structure_,Chapter 2 Definitions,Accessory Structure,"A habitable or nonhabitable structure that is accessory to and incidental to that of the dwelling(s) and that is located on the same lot. Nonhabitable accessory structures include, but are not limited to, garages, carports, storage sheds, tool sheds and garden structures.",,,,,
addition_,Chapter 2 Definitions,Addition,"An extension or increase in floor area, number of stories or height of a building or structure.",,,,,
adhered_stone_or_masonry_veneer_,Chapter 2 Definitions,Adhered Stone or Masonry Veneer,Stone or masonry veneer secured and supported through the adhesion of an approved bonding material applied to an approved backing.,,,,,
new_adjacent_roof_plane_,Chapter 2 Definitions,Adjacent Roof Plane,"For the purposes of firefighter access and escape pathway provisions, the solar roof plane is contrasted with the adjacent roof plane. To be considered an adjacent roof plane, the roof plane adjacent to the photovoltaic array installation must be free of photovoltaic panels. In typical gable roof construction, the south-facing roof will generally be the preferred place for the installation of photovoltaic panels and it will become the solar roof plane. Where the north-facing roof plane does not contain any photovoltaic panels, it would be considered the adjacent roof plane.",,,,,
