id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
16,,Duct Systems,"User notes:About this chapter: Chapter 16 addresses duct construction for HVAC and most exhaust systems. This chapter covers duct materials, duct construction, duct installation, duct insulation properties, duct sealing, above-ground and underground ducts, return air intake locations and air plenums.Code development reminder: Code change proposals to this chapter will be considered by the IRC—Plumbing/Mechanical Code Development Committee during the 2021 (Group A) Code Development Cycle.",,,,,
M1601,Chapter 16 Duct Systems,Duct Construction,,,,,,
M1601.1,Chapter 16 Duct Systems,Duct Design,"Duct systems serving heating, cooling and ventilation equipment shall be installed in accordance with the provisions of this section and ACCA Manual D, the appliance manufacturer's installation instructions or other approved methods.",,,,,
M1601.1.1,Chapter 16 Duct Systems,Above-Ground Duct Systems,"Above-ground duct systems shall conform to the following: Equipment connected to duct systems shall be designed to limit discharge air temperature to not greater than 250°F (121°C). Factory-made ducts shall be listed and labeled in accordance with UL 181 and installed in accordance with the manufacturer's instructions. Fibrous glass duct construction shall conform to the SMACNA Fibrous Glass Duct Construction Standards or NAIMA Fibrous Glass Duct Construction Standards. Field-fabricated and shop-fabricated metal and flexible duct constructions shall conform to the SMACNA HVAC Duct Construction Standards—Metal and Flexible except as allowed by Table M1601.1.1. Galvanized steel shall conform to ASTM A653. The use of gypsum products to construct return air ducts or plenums is permitted, provided that the air temperature does not exceed 125°F (52°C) and exposed surfaces are not subject to condensation. Duct systems shall be constructed of materials having a flame spread index of not greater than 200. Stud wall cavities and the spaces between solid floor joists to be used as air plenums shall comply with the following conditions: These cavities or spaces shall not be used as a plenum for supply air. These cavities or spaces shall not be part of a required fire-resistance-rated assembly. Stud wall cavities shall not convey air from more than one floor level. Stud wall cavities and joist-space plenums shall be isolated from adjacent concealed spaces by tight-fitting fireblocking in accordance with Section R302.11. Fireblocking materials used for isolation shall comply with Section R302.11.1. Stud wall cavities in the outside walls of building envelope assemblies shall not be utilized as air plenums. Building cavities used as plenums shall be sealed. Volume dampers, equipment and other means of supply, return and exhaust air adjustment used in system balancing shall be provided with access. TABLE M1601.1.1 DUCT CONSTRUCTION MINIMUM SHEET METAL THICKNESS FOR SINGLE DWELLING UNITSa ROUND DUCT DIAMETER (inches) STATIC PRESSURE 1/2-inch water gauge 1-inch water gauge Thickness (inches) Thickness (inches) Galvanized Aluminum Galvanized Aluminum &lt; 12 0.013 0.018 0.013 0.018 12 to 14 0.013 0.018 0.016 0.023 15 to 17 0.016 0.023 0.019 0.027 18 0.016 0.023 0.024 0.034 19 to 20 0.019 0.027 0.024 0.034 RECTANGULAR DUCT DIMENSION (inches) STATIC PRESSURE 1/2-inch water gauge 1-inch water gauge Thickness (inches) Thickness (inches) Galvanized Aluminum Galvanized Aluminum ≤ 8 0.013 0.018 0.013 0.018 9 to 10 0.013 0.018 0.016 0.023 11 to 12 0.016 0.023 0.019 0.027 13 to 16 0.019 0.027 0.019 0.027 17 to 18 0.019 0.027 0.024 0.034 19 to 20 0.024 0.034 0.024 0.034 For SI: 1 inch = 25.4 mm, 1 inch water gage = 249 Pa. Ductwork that exceeds 20 inches by dimension or exceeds a pressure of 1 inch water gauge shall be constructed in accordance with SMACNA HVAC Duct Construction Standards—Metal and Flexible.",,,,,
M1601.1.2,Chapter 16 Duct Systems,Underground Duct Systems,"Underground duct systems shall be constructed of approved concrete, clay, metal or plastic. The maximum design temperature for systems utilizing plastic duct and fittings shall be 150°F (66°C). Metal ducts shall be protected from corrosion in an approved manner or shall be completely encased in concrete not less than 2 inches (51 mm) thick. Nonmetallic ducts shall be installed in accordance with the manufacturer's instructions. Plastic pipe and fitting materials shall conform to cell classification 12454-B of ASTM D1248 or ASTM D1784 and external loading properties of ASTM D2412. Ducts shall slope to a drainage point that has access. Ducts shall be sealed, secured and tested prior to encasing the ducts in concrete or direct burial. Duct tightness shall be verified as required by Section N1103.3. Metallic ducts having an approved protective coating and nonmetallic ducts shall be installed in accordance with the manufacturer's instructions.",,,,,
M1601.2,Chapter 16 Duct Systems,Vibration Isolators,Vibration isolators installed between mechanical equipment and metal ducts shall be fabricated from approved materials and shall not exceed 10 inches (254 mm) in length.,,,,,
M1601.3,Chapter 16 Duct Systems,Duct Insulation Materials,"Duct insulation materials shall conform to the following requirements: Duct coverings and linings, including adhesives where used, shall have a flame spread index not higher than 25, and a smoke-developed index not over 50 when tested in accordance with ASTM E84 or UL 723, using the specimen preparation and mounting procedures of ASTM E2231. Exception: Spray application of polyurethane foam to the exterior of ducts in attics and crawl spaces shall be permitted subject to all of the following: The flame spread index is not greater than 25 and the smoke-developed index is not greater than 450 at the specified installed thickness. The foam plastic is protected in accordance with the ignition barrier requirements of Sections R316.5.3 and R316.5.4. The foam plastic complies with the requirements of Section R316. Duct coverings and linings shall not flame, glow, smolder or smoke when tested in accordance with ASTM C411 at the temperature to which they are exposed in service. The test temperature shall not fall below 250°F (121°C). Coverings and linings shall be listed and labeled. External reflective duct insulation shall be legibly printed or identified at intervals not greater than 36 inches (914 mm) with the name of the manufacturer, the product R-value at the specified installed thickness and the flame spread and smoke-developed indices. The installed thickness of the external duct insulation shall include the enclosed airspace(s). The product R-value for external reflective duct insulation shall be determined in accordance with ASTM C1668. External duct insulation and factory-insulated flexible ducts shall be legibly printed or identified at intervals not longer than 36 inches (914 mm) with the name of the manufacturer, the thermal resistance R-value at the specified installed thickness and the flame spread and smoke-developed indices of the composite materials. Spray polyurethane foam manufacturers shall provide the same product information and properties, at the nominal installed thickness, to the customer in writing at the time of foam application. Nonreflective duct insulation product R-values shall be based on insulation only, excluding air films, vapor retarders or other duct components, and shall be based on tested C-values at 75°F (24°C) mean temperature at the installed thickness, in accordance with recognized industry procedures. The installed thickness of duct insulation used to determine its R-value shall be determined as follows: 4.1. For duct board, duct liner and factory-made rigid ducts not normally subjected to compression, the nominal insulation thickness shall be used. 4.2. For ductwrap, the installed thickness shall be assumed to be 75 percent (25-percent compression) of nominal thickness. 4.3. For factory-made flexible air ducts, The installed thickness shall be determined by dividing the difference between the actual outside diameter and nominal inside diameter by two. 4.4. For spray polyurethane foam, the aged R-value per inch measured in accordance with recognized industry standards shall be provided to the customer in writing at the time of foam application. In addition, the total R-value for the nominal application thickness shall be provided.",,,,,
M1601.4,Chapter 16 Duct Systems,Installation,Duct installation shall comply with Sections M1601.4.1 through M1601.4.10.,,,,,
M1601.4.1,Chapter 16 Duct Systems,"Joints, Seams and Connections","Longitudinal and transverse joints, seams and connections in metallic and nonmetallic ducts shall be constructed as specified in SMACNA HVAC Duct Construction Standards—Metal and Flexible and NAIMA Fibrous Glass Duct Construction Standards. Joints, longitudinal and transverse seams, and connections in ductwork shall be securely fastened and sealed with welds, gaskets, mastics (adhesives), mastic plus-embedded-fabric systems, liquid sealants or tapes. Tapes and mastics used to seal fibrous glass ductwork shall be listed and labeled in accordance with UL 181A and shall be marked ""181A-P"" for pressure sensitive tape, ""181 A-M"" for mastic or ""181 A-H"" for heat-sensitive tape. Tapes and mastics used to seal metallic and flexible air ducts and flexible air connectors shall comply with UL 181B and shall be marked ""181 B-FX"" for pressure-sensitive tape or ""181 BM"" for mastic. Duct connections to flanges of air distribution system equipment shall be sealed and mechanically fastened. Mechanical fasteners for use with flexible nonmetallic air ducts shall comply with UL 181B and shall be marked 181B-C. Crimp joints for round metallic ducts shall have a contact lap of not less than 1 inch (25 mm) and shall be mechanically fastened by means of not less than three sheet-metal screws or rivets equally spaced around the joint. Closure systems used to seal all ductwork shall be installed in accordance with the manufacturers' instructions. Exceptions: Spray polyurethane foam shall be permitted to be applied without additional joint seals. Where a duct connection is made that is partially without access, three screws or rivets shall be equally spaced on the exposed portion of the joint so as to prevent a hinge effect. For ducts having a static pressure classification of less than 2 inches of water column (500 Pa), additional closure systems shall not be required for continuously welded joints and seams and locking-type joints and seams.",,,,,
M1601.4.2,Chapter 16 Duct Systems,Duct Lap,Crimp joints for round and oval metal ducts shall be lapped not less than 1 inch (25 mm) and the male end of the duct shall extend into the adjoining duct in the direction of airflow.,,,,,
