section,reference,display_title,depth,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
,15,Chapter 15 Construction Safeguards,0,Wall|Slab|Roof|Stair|Covering,Assembly (A)|Business (B)|Mercantile (M)|Residential (R)|Institutional (I),cd|ca,special_construction,architect,"User notes:About this chapter: Chapter 15 looks to the construction process. Parameters are provided for demolition and for protecting adjacent property during demolition and construction. Issues such as how to provide egress and adequate water supply while the building is growing, the timing of standpipe and sprinkler installation, and protection of pedestrians are addressed. Note that this chapter is consistent with Chapter 33 of the International Building Code and Chapter 33 of the International Fire Code."
Chapter 15 Construction Safeguards,1501,Section 1501 General,1,,,,none,none,
Section 1501 General,1501.1,[BG] 1501.1 Scope,2,Wall|Slab|Roof,Assembly (A)|Business (B)|Residential (R),cd|ca,special_construction,architect,The provisions of this chapter shall govern safety during construction and the protection of adjacent public and private properties. Fire safety during construction shall also comply with the applicable provisions of Chapter 33 of the International Fire Code.
Section 1501 General,1501.2,[BG] 1501.2 Storage and Placement of Construction Equipment and Materials,2,BuildingElementProxy,Utility and Miscellaneous (U),cd|ca,site_planning,architect,"Construction equipment and materials shall be stored and placed so as not to endanger the public, the workers or adjoining property for the duration of the construction project."
Section 1501 General,1501.3,[BS] 1501.3 Roof Loads,2,Roof|Slab|Beam,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,structural_design,structural_engineer,Structural roof components shall be capable of supporting the roof-covering system and the material and equipment loads that will be encountered during installation of the system.
Section 1501 General,1501.4,"[BG] 1501.4 Maintenance of Exits, Existing Structural Elements, Fire Protection Devices and Sanitary Safeguards",2,Stair|Door|Wall|Slab|FireProtectionDevice,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,means_of_egress,architect,"Required exits, existing structural elements, fire protection devices and sanitary safeguards shall be maintained at all times during alterations, repairs or additions to any building or structure.Exceptions:Where such required elements or devices are being altered or repaired, adequate substitute provisions shall be made.Maintenance of such elements and devices is not required where the existing building is not occupied."
Section 1501 General,1501.5,[BG] 1501.5 Removal of Waste Materials,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,site_planning,architect,"Waste materials shall be removed in a manner that prevents injury or damage to persons, adjoining properties and public rights-of-way."
Chapter 15 Construction Safeguards,1502,Section 1502 Owner's Responsibility for Fire Protection,1,,,,none,none,
Section 1502 Owner's Responsibility for Fire Protection,1502.1,[F] 1502.1 Site Safety Plan,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,fire_protection_alarm_systems,owner,"The owner or owner's authorized agent shall be responsible for the development, implementation and maintenance of an approved, written site safety plan establishing a fire prevention program at the project site applicable throughout all phases of the construction, repair, alteration or demolition work. The plan shall be submitted and approved before a building permit is issued, Any changes to the plan shall address the requirements of this chapter and other applicable portions of the International Fire Code, the duties of staff and staff training requirements. The plan shall be submitted for approval in accordance with the International Fire Code."
Section 1502 Owner's Responsibility for Fire Protection,1502.1.1,[F] 1502.1.1 Components of Site Safety Plans,3,BuildingElementProxy,Assembly (A)|Business (B)|Factory and Industrial (F)|High Hazard (H)|Residential (R),cd|ca,fire_protection_alarm_systems,fire_protection_engineer,"Site safety plans shall include the following as applicable: Name and contact information of site safety director.Documentation of the training of the site safety director and fire watch personnel.Procedures for reporting emergencies.Fire department vehicle access routes.Location of fire protection equipment, including portable fire extinguishers, standpipes, fire department connections and fire hydrants.Smoking and cooking policies, designated areas to be used where approved and signage locations in accordance with the International Fire Code.Location and safety considerations for temporary heating equipment.Hot work permit plan.Plans for control of combustible waste material.Locations and methods for storage and use of flammable and combustible liquids and other hazardous materials.Provisions for site security and, where required, for a fire watch.Changes that affect this plan.Other site-specific information required by the International Fire Code."
