section,reference,display_title,depth,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
,4,Chapter 4 Repairs,0,Wall|Roof|Slab,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,special_construction,architect,User notes:About this chapter: Chapter 4 provides requirements for repairs of existing buildings. The provisions define conditions under which repairs may be made using materials and methods like those of the original construction or the extent to which repairs must comply with requirements for new buildings.
Chapter 4 Repairs,401,Section 401 General,1,,,,none,none,
Section 401 General,401.1,401.1 Scope,2,Wall|Roof|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,special_construction,architect,Repairs shall comply with the requirements of this chapter. Repairs to historic buildings need only comply with Chapter 12.
Section 401 General,401.1.1,"401.1.1 Bleachers, Folding and Telescopic Seating and Grandstands",3,Stair|Slab|Beam|Railing,Assembly (A),sd|dd|cd,special_construction,architect,"Repairs to existing bleachers, folding and telescopic seating and grandstands shall comply with ICC 300."
Section 401 General,401.2,401.2 Compliance,2,Wall|Slab|Roof|Door|Window,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,special_construction,architect,The work shall not make the building less complying than it was before the repair was undertaken. Work on nondamaged components that is necessary for the required repair of damaged components shall be considered part of the repair and shall not be subject to requirements for alterations.
Section 401 General,401.3,[BS] 401.3 Flood Hazard Areas,2,Wall|Slab|Roof|Footing|Column,Assembly (A)|Business (B)|Residential (R)|Mercantile (M)|Storage (S),sd|dd|cd,site_planning,architect,"In flood hazard areas, repairs that constitute substantial improvement shall require that the building comply with Section 1612 of the International Building Code, or Section R306 of the International Residential Code, as applicable."
Chapter 4 Repairs,402,Section 402 Building Elements and Materials,1,,,,none,none,
Section 402 Building Elements and Materials,402.1,402.1 Glazing in Hazardous Locations,2,Window|Wall|Door,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),cd|ca,finishes_materials,architect,"Replacement glazing in hazardous locations shall comply with the safety glazing requirements of the International Building Code or International Residential Code as applicable.Exception: Glass block walls, louvered windows and jalousies repaired with like materials."
Chapter 4 Repairs,403,Section 403 Fire Protection,1,,,,none,none,
Section 403 Fire Protection,403.1,403.1 General,2,Wall|Door|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),cd|ca,fire_resistance_smoke_protection,architect,Repairs shall be done in a manner that maintains the level of fire protection provided.
Chapter 4 Repairs,404,Section 404 Means of Egress,1,,,,none,none,
Section 404 Means of Egress,404.1,404.1 General,2,Wall|Door|Slab|Stair|Railing,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,means_of_egress,architect,Repairs shall be done in a manner that maintains the level of protection provided for the means of egress.
Chapter 4 Repairs,405,Section 405 Structural,1,,,,none,none,
Section 405 Structural,405.1,[BS] 405.1 General,2,Wall|Beam|Column|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,structural_design,structural_engineer,Structural damage shall be repaired in compliance with this section and Section 401.2.
Section 405 Structural,405.1.1,405.1.1 Structural Concrete,3,Slab|Beam|Column|Wall|Footing,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd,structural_design,structural_engineer,"Repair of structural concrete shall be permitted to comply with ACI 562 Section 1.7, except where Section 405.2.2, 405.2.3 or 405.2.4.1 requires compliance with Section 304.3."
Section 405 Structural,405.2,[BS] 405.2 Repairs to Damaged Buildings,2,Wall|Slab|Roof,Business (B)|Residential (R)|Mercantile (M),sd|dd|cd,special_construction,architect,Repairs to damaged buildings shall comply with this section.
