section,reference,display_title,depth,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
,6,Chapter 6 Classification of Work,0,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,occupancy_classification,architect,"User notes:About this chapter: Chapter 6 provides an overview of the Work Area Method available as an option for rehabilitation of a building. The chapter defines the different classifications of alterations and provides general requirements for alterations, change of occupancy, additions and historic buildings. Detailed requirements for all of these are given in Chapters 7 through 12."
Chapter 6 Classification of Work,601,Section 601 General,1,,,,none,none,
Section 601 General,601.1,601.1 Scope,2,Wall|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,occupancy_classification,architect,"The provisions of this chapter shall be used in conjunction with Chapters 7 through 12 and shall apply to the alteration, addition and change of occupancy of existing structures, including historic structures, as referenced in Section 301.3.2. The work performed on an existing building shall be classified in accordance with this chapter."
Section 601 General,601.1.1,601.1.1 Compliance With Other Alternatives,3,Wall|Door|Roof,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,occupancy_classification,architect,"Alterations, additions and changes of occupancy to existing structures shall comply with the provisions of Chapters 7 through 12 or with one of the alternatives provided in Section 301.3."
Section 601 General,601.2,601.2 Work Area,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,site_planning,architect,"The work area, as defined in Chapter 2, shall be identified on the construction documents."
Chapter 6 Classification of Work,602,Section 602 Alteration—Level 1,1,,,,none,none,
Section 602 Alteration—Level 1,602.1,602.1 Scope,2,Wall|Door|Window|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,finishes_materials,architect,"Level 1 alterations include the removal and replacement or the covering of existing materials, elements, equipment or fixtures using new materials, elements, equipment or fixtures that serve the same purpose."
Section 602 Alteration—Level 1,602.2,602.2 Application,2,Wall|Door|Window,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect,Level 1 alterations shall comply with the provisions of Chapter 7.
Chapter 6 Classification of Work,603,Section 603 Alteration—Level 2,1,,,,none,none,
Section 603 Alteration—Level 2,603.1,603.1 Scope,2,Door|Window|Wall,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,special_construction,architect,"Level 2 alterations include the addition or elimination of any door or window, the reconfiguration or extension of any system, or the installation of any additional equipment, and shall apply where the work area is equal to or less than 50 percent of the building area.Exception: The movement or addition of nonfixed and movable fixtures, cases, racks, counters and partitions not over 5 feet 9 inches (1753 mm) in height shall not be considered a Level 2 alteration."
Section 603 Alteration—Level 2,603.2,603.2 Application,2,Wall|Door|Slab,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,special_construction,architect,Level 2 alterations shall comply with the provisions of Chapter 7 for Level 1 alterations as well as the provisions of Chapter 8.
Chapter 6 Classification of Work,604,Section 604 Alteration—Level 3,1,,,,none,none,
Section 604 Alteration—Level 3,604.1,604.1 Scope,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,occupancy_classification,architect,Level 3 alterations apply where the work area exceeds 50 percent of the building area.
Section 604 Alteration—Level 3,604.2,604.2 Application,2,Wall|Slab|Door|Window,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,special_construction,architect,"Level 3 alterations shall comply with the provisions of Chapters 7 and 8 for Level 1 and 2 alterations, respectively, as well as the provisions of Chapter 9."
Chapter 6 Classification of Work,605,Section 605 Change of Occupancy,1,,,,none,none,
Section 605 Change of Occupancy,605.1,605.1 Scope,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,occupancy_classification,architect,Change of occupancy provisions apply where the activity is classified as a change of occupancy as defined in Chapter 2.
Section 605 Change of Occupancy,605.2,605.2 Application,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,occupancy_classification,architect,Changes of occupancy shall comply with the provisions of Chapter 10.
Chapter 6 Classification of Work,606,Section 606 Additions,1,,,,none,none,
Section 606 Additions,606.1,606.1 Scope,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,occupancy_classification,architect,Provisions for additions shall apply where work is classified as an addition as defined in Chapter 2.
Section 606 Additions,606.2,606.2 Application,2,Wall|Door|Window|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,accessibility,architect,Additions to existing buildings shall comply with the provisions of Chapter 11.
Chapter 6 Classification of Work,607,Section 607 Historic Buildings,1,,,,none,none,
Section 607 Historic Buildings,607.1,607.1 Scope,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),concept|sd|dd,occupancy_classification,architect,Historic building provisions shall apply to buildings classified as historic as defined in Chapter 2.
Section 607 Historic Buildings,607.2,607.2 Application,2,Wall|Door|Window|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,special_construction,architect,"Except as specifically provided for in Chapter 12, historic buildings shall comply with applicable provisions of this code for the type of work being performed."
