id,section,title,body
3,,Provisions for All Compliance Methods,"User notes:About this chapter: Chapter 3 explains the three compliance options for alterations and additions available in the code. In addition, this chapter also lays out the methods to be used for seismic design and evaluation throughout this code. Finally, this chapter clarifies that provisions in other I-Codes®related to repairs, alterations, additions, relocation and changes of occupancy must also be addressed unless they conflict with this code. In that case, this code takes precedence."
301,Chapter 3 Provisions for All Compliance Methods,Administration,
301.1,Section 301 Administration,Applicability,"The repair, alteration, change of occupancy, addition or relocation of all existing buildings shall comply with Section 301.2, 301.3 or 301.4. The provisions of Sections 302 through 309 shall apply to all alterations, repairs, additions, relocation of structures and changes of occupancy regardless of compliance method."
301.1.1,Section 301 Administration,"Bleachers, Folding and Telescopic Seating and Grandstands","Existing bleachers, folding and telescopic seating and grandstands shall comply with ICC 300."
301.2,Section 301 Administration,Repairs,Repairs shall comply with the requirements of Chapter 4.
301.3,Section 301 Administration,"Alteration, Addition or Change of Occupancy","The alteration, addition or change of occupancy of all existing buildings shall comply with one of the methods listed in Section 301.3.1, 301.3.2 or 301.3.3 as selected by the applicant. Sections 301.3.1 through 301.3.3 shall not be applied in combination with each other.Exception: Subject to the approval of the code official, alterations complying with the laws in existence at the time the building or the affected portion of the building was built shall be considered in compliance with the provisions of this code. New structural members added as part of the alteration shall comply with the International Building Code. This exception shall not apply to the following:Alterations for accessibility required by Section 306.Alterations that constitute substantial improvement in flood hazard areas, which shall comply with Sections 503.2, 701.3 or 1303.1.3.Structural provisions of Section 304, Chapter 5 or to the structural provisions of Sections 706, 805 and 906."
301.3.1,Section 301 Administration,Prescriptive Compliance Method,"Alterations, additions and changes of occupancy complying with Chapter 5 of this code in buildings complying with the International Fire Code shall be considered in compliance with the provisions of this code."
301.3.2,Section 301 Administration,Work Area Compliance Method,"Alterations, additions and changes of occupancy complying with the applicable requirements of Chapters 6 through 12 of this code shall be considered in compliance with the provisions of this code."
301.3.3,Section 301 Administration,Performance Compliance Method,"Alterations, additions and changes of occupancy complying with Chapter 13 of this code shall be considered in compliance with the provisions of this code."
301.4,Section 301 Administration,Relocated Buildings,Relocated buildings shall comply with the requirements of Chapter 14.
302,Chapter 3 Provisions for All Compliance Methods,General Provisions,
302.1,Section 302 General Provisions,Dangerous Conditions,The code official shall have the authority to require the elimination of conditions deemed dangerous.
302.2,Section 302 General Provisions,Additional Codes,"Alterations, repairs, additions and changes of occupancy to, or relocation of, existing buildings and structures shall comply with the provisions for alterations, repairs, additions and changes of occupancy or relocation, respectively, in this code and the International Energy Conservation Code, International Fire Code, International Fuel Gas Code, International Mechanical Code, International Plumbing Code, International Private Sewage Disposal Code, International Property Maintenance Code, International Residential Code and NFPA 70. Where provisions of the other codes conflict with provisions of this code, the provisions of this code shall take precedence."
302.2.1,Section 302 General Provisions,Additional Codes in Health Care,"In existing Group I-2 occupancies, ambulatory health care facilities, outpatient clinics and hyperbaric facilities, alterations, repairs, additions and changes of occupancy to, or relocation of, existing buildings and structures shall also comply with NFPA 99."
302.3,Section 302 General Provisions,Existing Materials,Materials already in use in a building in compliance with requirements or approvals in effect at the time of their erection or installation shall be permitted to remain in use unless determined by the code official to be unsafe.
302.4,Section 302 General Provisions,New and Replacement Materials,"Except as otherwise required or permitted by this code, materials permitted by the applicable code for new construction shall be used. Like materials shall be permitted for repairs and alterations, provided that unsafe conditions are not created. Hazardous materials shall not be used where the code for new construction would not permit their use in buildings of similar occupancy, purpose and location."
302.4.1,Section 302 General Provisions,New Structural Members and Connections,"New structural members and connections shall comply with the detailing provisions of the International Building Code for new buildings of similar structure, purpose and location.Exception: Where alternative design criteria are specifically permitted."
302.5,Section 302 General Provisions,Occupancy and Use,"Where determining the appropriate application of the referenced sections of this code, the occupancy and use of a building shall be determined in accordance with Chapter 3 of the International Building Code."
303,Chapter 3 Provisions for All Compliance Methods,Storm Shelters,
303.1,Section 303 Storm Shelters,General,"This section applies to the design and construction of storm shelters for the purpose of providing protection during tornados,hurricanes and other severe windstorms."
303.1.1,Section 303 Storm Shelters,Construction,"Storm shelters shall be constructed in accordance with Section 423 of the International Building Code and ICC 500 and shall be designated as hurricane shelters, tornado shelters or combined hurricane and tornado shelters. Exception: Storm shelters added to critical emergency operations facilities or Group E occupancies are not required to comply with the travel distance in Section 423.4.2 or 423.5.2 of the International Building Code."
303.2,Section 303 Storm Shelters,Addition to a Group E Occupancy,"Where an addition is added to an existing Group E occupancy located in an area where the shelter design wind speed for tornados is 250 mph (402.3 km/h) in accordance with Figure 304.2(1) of ICC 500 and the occupant load in the addition is 50 or more, the addition shall have a storm shelter constructed in accordance with ICC 500.Exceptions: Group E day care facilities.Group E occupancies accessory to places of religious worship.Additions meeting the requirements for shelter design in ICC 500."
303.2.1,Section 303 Storm Shelters,Design Occupant Capacity,"The required design occupant capacity of the storm shelter shall include all buildings on the site, and shall be the total occupant load of the classrooms, vocational rooms and offices in the Group E occupancy. Exceptions: Where an addition is being added on an existing Group E site, and where the addition is not of sufficient size to accommodate the required design occupant capacity of the storm shelter for all of the buildings on-site, the storm shelter shall at a minimum accommodate the required capacity for the addition. Where approved by the code official, the required design occupant capacity of the shelter shall be permitted to be reduced by the design occupant capacity of any existing storm shelters on the site."
303.3,Section 303 Storm Shelters,Occupancy Classification,The occupancy classification for storm shelters shall be determined in accordance with Section 423.3 of the International Building Code.
304,Chapter 3 Provisions for All Compliance Methods,Structural Design Loads and Evaluation and Design Procedures,
304.1,Section 304 Structural Design Loads and Evaluation and Design Procedures,Live Loads,"Where an addition or alteration does not result in increased design live load, existing gravity load-carrying structural elements shall be permitted to be evaluated and designed for live loads approved prior to the addition or alteration. If the approved live load is less than that required by Section 1607 of the International Building Code, the area designated for the nonconforming live load shall be posted with placards of approved design indicating the approved live load. Where the addition or alteration results in increased design live load, the live load required by Section 1607 of the International Building Code shall be used."
304.2,Section 304 Structural Design Loads and Evaluation and Design Procedures,Snow Loads on Adjacent Buildings,"Where an alteration or addition changes the potential snow drift effects on an adjacent building, the code official is authorized to enforce Section 7.12 of ASCE 7."
304.3,Section 304 Structural Design Loads and Evaluation and Design Procedures,Seismic Evaluation and Design Procedures,"Where required, seismic evaluation or design shall comply with the procedures and criteria in this section, regardless of which compliance method is used. The scope of the required evaluation or design shall be as indicated in applicable provisions of Chapters 4 through 12."
304.3.1,Section 304 Structural Design Loads and Evaluation and Design Procedures,Full Seismic Criteria,"Where required, seismic evaluation or design shall comply with one of the following methodologies, which shall not be applied in combination with each other: Section 1613 of the International Building Code. Where the existing seismic force-resisting system is a type that can be designated as ""Ordinary,"" values of R, Ω0 and Cd used for analysis in accordance with Chapter 16 of the International Building Code shall be those specified for structural systems classified as ""Ordinary"" in accordance with Table 12.2-1 of ASCE 7, unless it can be demonstrated that the structural system will provide performance equivalent to that of a ""Detailed,"" ""Intermediate"" or ""Special"" system. ASCE 41, using a Tier 3 procedure and both levels of the two-level performance objective in Table 304.3.1 for the applicable risk category. [BS] TABLE 304.3.1 PERFORMANCE OBJECTIVES FOR USE IN ASCE 41 FOR COMPLIANCE WITH FULL SEISMIC CRITERIA RISK CATEGORY (Based on IBC Table 1604.5) STRUCTURAL PERFORMANCE LEVEL FOR USE WITH BSE-1N EARTHQUAKE HAZARD LEVEL STRUCTURAL PERFORMANCE LEVEL FOR USE WITH BSE-2N EARTHQUAKE HAZARD LEVEL I Life Safety (S-3) Collapse Prevention (S-5) II Life Safety (S-3) Collapse Prevention (S-5) III Damage Control (S-2) Limited Safety (S-4) IV Immediate Occupancy (S-1) Life Safety (S-3)"
304.3.2,Section 304 Structural Design Loads and Evaluation and Design Procedures,Reduced Seismic Criteria,"Where required, seismic evaluation or design shall comply with one of the following methodologies, which shall not be applied in combination with each other: Section 1613 of the International Building Code using 75 percent of the prescribed forces. Values of R, Ω0 and Cd used for analysis shall be as specified in Section 304.3.1 of this code. Applicable chapters of Appendix A of this code, for structures or portions of structures specified in Items 2.1 through 2.4 subject to the limitations of the respective chapter. Chapter A1 for unreinforced masonry bearing wall buildings assigned to Risk Category I or II. Chapter A2 for the wall anchorage system in reinforced concrete and reinforced masonry wall buildings with flexible diaphragms assigned to Risk Category I or II. Chapter A3 for cripple walls and sill plate anchorage in residential buildings of light-frame wood construction assigned to Risk Category I or II. Chapter A4 for soft, weak&amp; or open-front wall conditions in multiple-unit residential buildings of wood construction assigned to Risk Category I or II. ASCE 41, using the performance objective in Table 304.3.2 for the applicable risk category. [BS] TABLE 304.3.2 PERFORMANCE OBJECTIVES FOR USE IN ASCE 41 FOR COMPLIANCE WITH REDUCED CRITERIA FORCES RISK CATEGORY (Based on IBC Table 1604.5) STRUCTURAL PERFORMANCE LEVEL FOR USE WITH BSE-1E EARTHQUAKE HAZARD LEVEL STRUCTURAL PERFORMANCE LEVEL FOR USE WITH BSE-2E EARTHQUAKE HAZARD LEVEL I Life Safety (S-3).See Note a Collapse Prevention (S-5) II Life Safety (S-3).See Note a Collapse Prevention (S-5) III Damage Control (S-2).See Note a Limited Safety (S-4).See Note b IV Immediate Occupancy (S-1) Life Safety (S-3).See Note c For Risk Categories I, II and III, the Tier 1 and Tier 2 procedures need not be considered for the BSE-1E earthquake hazard level. For Risk Category III, the Tier 1 screening checklists shall be based on the Collapse Prevention, except that checklist statements using the Quick Check provisions shall be based on MS-factors that are the average of the values for Collapse Prevention and Life Safety. For Risk Category IV, the Tier 1 screening checklists shall be based on Collapse Prevention, except that checklist statements using the Quick Check provisions shall be based on MS-factors for Life Safety."
305,Chapter 3 Provisions for All Compliance Methods,In-Situ Load Tests,
305.1,Section 305 In-Situ Load Tests,General,"Where used, in-situ load tests shall be conducted in accordance with Section 1708 of the International Building Code."
306,Chapter 3 Provisions for All Compliance Methods,Accessibility for Existing Buildings,
306.1,Section 306 Accessibility for Existing Buildings,Scope,"The provisions of Sections 306.1 through 306.7.16 apply to maintenance and repair, change of occupancy, additions and alterations to existing buildings, including those identified as historic buildings."
306.2,Section 306 Accessibility for Existing Buildings,General,"A facility that is constructed or altered to be accessible shall be maintained accessible during occupancy. Required accessible means of egress shall be maintained during construction, demolition, remodeling or alterations and additions to any occupied building.Exception: Existing means of egress need not be maintained where approved temporary means of egress and accessible means of egress systems and facilities are provided."
306.2.1,Section 306 Accessibility for Existing Buildings,Prohibited Reduction in Accessibility,"An alteration or addition that decreases or has the effect of decreasing accessibility of a building, facility or element thereof, below the requirements for new construction at the time of the alteration or addition is prohibited. The number of accessible elements need not exceed that required for new construction at the time of alteration or addition."
306.3,Section 306 Accessibility for Existing Buildings,Design,"Buildings and facilities shall be designed and constructed to be accessible in accordance with this code and the alteration and existing building provisions in ICC A117.1, as applicable."
306.4,Section 306 Accessibility for Existing Buildings,Extent of Application,An alteration of an existing facility shall not impose a requirement for greater accessibility than that which would be required for new construction.
306.5,Section 306 Accessibility for Existing Buildings,Change of Occupancy,"Where an existing building undergoes a change of occupancy that includes alterations, such alterations shall comply with Section 306.7."
306.6,Section 306 Accessibility for Existing Buildings,Additions,"Where additions contain dwelling or sleeping units, the accessibility requirements shall apply only to the quantity of the dwelling or sleeping units in the addition. Provisions for new construction shall apply to additions. An addition that affects the accessibility to, or contains an area of, a primary function shall comply with the requirements in Section 306.7.1."
306.6.1,Section 306 Accessibility for Existing Buildings,Accessible Means of Egress,"Not fewer than one accessible means of egress from the addition shall be provided where required by Section 1009.1 of the International Building Code. An additional accessible means of egress shall be provided where an additional means of egress is required due to the addition. Where an accessible means of egress serving the addition is within the existing building, the following are required: An accessible route from the addition to the existing building shall be provided.The accessible means of egress in the existing building shall comply with Section 306.7.1."
306.6.1.1,Section 306 Accessibility for Existing Buildings,Additions for Elevators,"Where an addition is being constructed exclusively to accommodate the installation of an elevator or elevators to improve accessibility, an accessible means of egress in accordance with Section 1009.1 of the International Building Code is not required where all of the following conditions are provided: Two-way communication is provided at all elevator landings that are part of the addition in accordance with Section 1009.8 of the International Building Code.Each elevator landing is on floor level with access to a horizontal exit or to a stairway with a width of not less than 36 inches (914 mm).The elevator does not serve a required accessible floor or occupied roof more than four stories above or below the level of exit discharge."
306.7,Section 306 Accessibility for Existing Buildings,Alterations,"A facility that is altered shall comply with the applicable provisions in Chapter 11 of the International Building Code, ICC A117.1 and the provisions of Sections 306.7.1 through 306.7.18, unless technically infeasible. Where compliance with this section is technically infeasible, the alteration shall provide access to the maximum extent technically feasible."
306.7.1,Section 306 Accessibility for Existing Buildings,Alterations Affecting an Area Containing a Primary Function,"Where an alteration affects the accessibility to, or contains an area of, primary function, the route to the primary function area shall be accessible. Toilet facilities and drinking fountains serving the area of primary function, including the route from the area of primary function to these facilities, shall be accessible. Priority shall be given to the improvements affecting the accessible route to the primary function area. Exceptions: The cumulative costs of providing the accessible route, toilet facilities and drinking fountains are not required to exceed 20 percent of the costs of the alterations affecting the area of primary function. This provision does not apply to alterations limited solely to windows, hardware, operating controls, electrical outlets and signs. This provision does not apply to alterations limited solely to mechanical systems, electrical systems, installation or alteration of fire protection systems and abatement of hazardous materials. This provision does not apply to alterations undertaken for the primary purpose of increasing the accessibility of a facility. This provision does not apply to altered areas limited to Type B dwelling and sleeping units."
306.7.2,Section 306 Accessibility for Existing Buildings,Accessible Means of Egress,Accessible means of egress required by Chapter 10 of the International Building Code are not required to be added in existing facilities.
306.7.3,Section 306 Accessibility for Existing Buildings,Alteration of Type A Units,The alteration to Type A individually owned dwelling units within a Group R-2 occupancy shall be permitted to meet the provision for a Type B dwelling unit.
306.7.4,Section 306 Accessibility for Existing Buildings,Type B Units,Type B dwelling or sleeping units required by Section 1108 of the International Building Code are not required to be provided in existing buildings and facilities undergoing alterations where the work area is 50 percent or less of the aggregate area of the building.
306.7.5,Section 306 Accessibility for Existing Buildings,Entrances,"Where an alteration includes alterations to an entrance that is not accessible, and the facility has an accessible entrance, the altered entrance is not required to be accessible unless required by Section 306.7.1. Signs complying with Section 1112 of the International Building Code shall be provided."
306.7.6,Section 306 Accessibility for Existing Buildings,Accessible Route,"Exterior accessible routes, including curb ramps, shall be not less than 36 inches (914 mm) minimum in width."
306.7.7,Section 306 Accessibility for Existing Buildings,Elevators,"Altered elements of existing elevators shall comply with ASME A17.1. Where the elevator emergency communication system is altered or replaced, that system shall comply with Section 3001.2 of the International Building Code. Such elements shall also be altered in elevators programmed to respond to the same hall call control as the altered elevator."
306.7.8,Section 306 Accessibility for Existing Buildings,Limited-Use/Limited-Application Elevators,Limited-use/limited-application elevators installed in accordance with ASME A17.1 shall be permitted as a component of an accessible route.
306.7.9,Section 306 Accessibility for Existing Buildings,Platform Lifts,Vertical and inclined platform (wheelchair) lifts installed in accordance with ASME A18.1 shall be permitted as a component of an accessible route.
306.7.10,Section 306 Accessibility for Existing Buildings,Stairways and Escalators in Existing Buildings,"Where an escalator or stairway is added where none existed previously and major structural modifications are necessary for installation, an accessible route complying with Section 1104.4 of the International Building Code is required between levels served by such escalator or stairway."
306.7.11,Section 306 Accessibility for Existing Buildings,Determination of Number of Units,"Where Chapter 11 of the International Building Code requires Accessible, Type A or Type B units and where such units are being altered or added within an existing building, the number of Accessible, Type A and Type B units shall be determined in accordance with Sections 306.7.11.1 through 306.7.11.3."
306.7.11.1,Section 306 Accessibility for Existing Buildings,Accessible Dwelling or Sleeping Units,"Where Group I-1, I-2, I-3, R-1, R-2 or R-4 dwelling or sleeping units are being altered or added within an existing building, the requirements of Section 1108 of the International Building Code for Accessible units apply only to the quantity of dwelling or sleeping units being altered or added."
306.7.11.2,Section 306 Accessibility for Existing Buildings,Type A Dwelling or Sleeping Units,"Where more than 20 Group R-2 dwelling or sleeping units are being altered or added within an existing building, the requirements of Section 1108 of the International Building Code for Type A units apply only to the quantity of the dwelling or sleeping units being altered or added."
306.7.11.3,Section 306 Accessibility for Existing Buildings,Type B Dwelling or Sleeping Units,"Where Group I-1, I-2, R-1, R-2, R-3 or R-4 dwelling or sleeping units are being altered or added within an existing building and where the work area is greater than 50 percent of the aggregate area of the building, the requirements of Section 1108 of the International Building Code for Type B units apply only to the quantity of the dwelling or sleeping units being altered or added."
