section,reference,display_title,depth,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
,13,Chapter 13 General Mechanical System Requirements,0,BuildingElementProxy|Covering|Plate,Assembly (A)|Business (B)|Educational (E)|Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer,"User notes:About this chapter: Chapter 13 contains general requirements that apply broadly and that would not be at home in other chapters that address specific subject matter. Coverage includes: Testing and certification of materials, installation requirements, listing and labeling, access to appliances, clearances to combustibles, and protection of mechanical systems and the building structure.Code development reminder: Code change proposals to this chapter will be considered by the IRC—Plumbing/Mechanical Code Development Committee during the 2024 (Group A) Code Development Cycle."
Chapter 13 General Mechanical System Requirements,M1301,Section M1301 General,1,,,,none,none,
Chapter 13 General Mechanical System Requirements,M1301.1,M1301.1 Scope,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer,"The provisions of this chapter shall govern the installation of mechanical systems not specifically covered in other chapters applicable to mechanical systems. Installations of mechanical appliances, equipment and systems not addressed by this code shall comply with the applicable provisions of the International Fuel Gas Code and the International Mechanical Code."
Chapter 13 General Mechanical System Requirements,M1301.1.1,M1301.1.1 Flood-Resistant Installation,3,BuildingElementProxy,Residential (R)|Assembly (A)|Business (B)|Educational (E)|Institutional (I),sd|dd|cd,mechanical_systems,mechanical_engineer,"In flood hazard areas as established by Table R301.2, mechanical appliances, equipment and systems shall be located or installed in accordance with Section R306.1.6."
Chapter 13 General Mechanical System Requirements,M1301.2,M1301.2 Identification,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,mechanical_systems,mechanical_engineer,Each length of pipe and tubing and each pipe fitting utilized in a mechanical system shall bear the identification of the manufacturer.
Chapter 13 General Mechanical System Requirements,M1301.3,M1301.3 Installation of Materials,2,BuildingElementProxy|Covering|Slab|Roof|Wall,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),cd|ca,mechanical_systems,mechanical_engineer,"Materials shall be installed in strict accordance with the standards under which the materials are accepted and approved. In the absence of such installation procedures, the manufacturer's instructions shall be followed. Where the requirements of referenced standards or manufacturer's instructions do not conform to minimum provisions of this code, the provisions of this code shall apply."
Chapter 13 General Mechanical System Requirements,M1301.4,"M1301.4 Plastic Pipe, Fittings and Components",2,PipeSegment,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),dd|cd,plumbing_systems,mechanical_engineer,"Plastic pipe, fittings and components shall be third-party certified as conforming to NSF 14."
Chapter 13 General Mechanical System Requirements,M1301.5,M1301.5 Third-Party Testing and Certification,2,BuildingElementProxy,Business (B)|Educational (E)|Residential (R)|Assembly (A)|Mercantile (M),cd,mechanical_systems,mechanical_engineer,"Piping, tubing and fittings shall comply with the applicable referenced standards, specifications and performance criteria of this code and shall be identified in accordance with Section M1301.2. Piping, tubing and fittings shall either be tested by an approved third-party testing agency or certified by an approved third-party certification agency."
Chapter 13 General Mechanical System Requirements,M1302,Section M1302 Approval,1,,,,none,none,
Chapter 13 General Mechanical System Requirements,M1302.1,M1302.1 Listed and Labeled,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer,"Appliances regulated by this code shall be listed and labeled for the application in which they are installed and used, unless otherwise approved in accordance with Section R104.2.2."
Chapter 13 General Mechanical System Requirements,M1303,Section M1303 Labeling of Appliances,1,,,,none,none,
