id,section,reference,displayTitle,depth,body
,,21,Chapter 21 Hydronic Piping,0,"User notes:About this chapter: Chapter 21 is specific to hydronic piping, which includes steam, hot water and ground-source heat-pump system loop piping. This chapter addresses piping materials, joining methods, support, protection of the structure, testing, protection of potable water and general installation requirements.Code development reminder: Code change proposals to this chapter will be considered by the IRC—Plumbing/Mechanical Code Development Committee during the 2024 (Group A) Code Development Cycle."
21,Chapter 21 Hydronic Piping,M2101,Section M2101 Hydronic Piping Systems Installation,1,
21,Chapter 21 Hydronic Piping,M2101.1,M2101.1 General,2,"Hydronic piping shall conform to Table M2101.1. Approved piping, valves, fittings and connections shall be installed in accordance with the manufacturer's instructions. Pipe and fittings shall be rated for use at the operating temperature and pressure of the hydronic system. Used pipe, fittings, valves or other materials shall be free of foreign materials.TABLE M2101.1HYDRONIC PIPING AND FITTING MATERIALS MATERIAL USE CODEa STANDARDb JOINTS NOTES Acrylonitrile butadiene styrene (ABS) plastic pipe 1, 5 ASTM D1527, ASTM F2806, ASTM F2969 Solvent cement joints — Chlorinated poly (vinyl chloride) (CPVC) pipe and tubing 1, 2, 3 ASTM D2846 Solvent cement joints, compression joints and threaded adapters — Copper and copper-alloy pipe 1 ASTM B42, ASTM B43, ASTM B302 Brazed, soldered and mechanical fittings threaded, welded and flanged — Copper and copper-alloy tubing (Type K, L or M) 1, 2 ASME B16.51, ASTM B75, ASTM B88, ASTM B135, ASTM B251, ASTM B306 Brazed, soldered, press-connected and flared mechanical fittings Joints embedded in concrete shall be brazed Cross-linked polyethylene (PEX) 1, 2, 3 ASTM F876; ASTM F3253 (See PEX fittings) Install in accordance with manufacturer's instructions Cross-linked polyethylene/aluminum/cross-linked polyethylene (PEX-AL-PEX) pressure pipe 1, 2 ASTM F1281 or CAN/CSA B137.10 Mechanical, crimp/insert Install in accordance with manufacturer's instructions PEX fittings — ASTM F877, ASTM F1807, ASTM F1960, ASTM F2098, ASTM F2159, ASTM F2735, ASTM F3253, ASTM F3347, ASTM F3348 Copper crimp/insert fittings, cold expansion fittings, stainless steel clamp, insert fittings Install in accordance with manufacturer's instructions Polybutylene (PB) pipe and tubing 1, 2, 3 ASTM D3309 Heat-fusion, crimp/insert and compression Joints in concrete shall be heat-fused Polyethylene/aluminum/polyethylene (PE-AL-PE) pressure pipe 1, 2, 3 ASTM F1282, CSA B137.9 Mechanical, crimp/insert — Polypropylene (PP) 1, 2, 3 ISO 15874, ASTM F2389 Heat-fusion joints, mechanical fittings, threaded adapters, compression joints — Raised temperature polyethylene (PE-RT) 1, 2, 3 ASTM F2623, ASTM F2769, CSA B137.18 Copper crimp/insert fitting, stainless steel clamp, insert fittings — Raised temperature polyethylene (PE-RT) fittings 1, 2, 3 ASTM D3261, ASTM F1807, ASTM F2098, ASTM F2159, ASTM F2735, ASTM F2769, ASTM F3347, ASTM F3348, CSA B137.18 Copper crimp/insert fitting, stainless steel clamp, insert fittings — Steel pipe 1, 2 ASTM A53, ASTM A106 Brazed, welded, threaded, flanged and mechanical fittings Joints in concrete shall be welded. Galvanized pipe shall not be welded or brazed. Steel tubing 1 ASTM A254 Mechanical fittings, welded — For SI: °C = [(°F) — 32]/1.8.Use code:Above ground.Embedded in radiant systems.Temperatures below 180°F only.Low-temperature (below 130°F) applications only.Temperatures below 160°F only.Standards as listed in Chapter 44."
21,Chapter 21 Hydronic Piping,M2101.2,M2101.2 System Drain Down,2,"Hydronic piping systems shall be installed to permit draining of the system. Where the system drains to the plumbing drainage system, the installation shall conform to the requirements of Chapters 25 through 32 of this code.Exception: The buried portions of systems embedded underground or under floors."
21,Chapter 21 Hydronic Piping,M2101.3,M2101.3 Protection of Potable Water,2,The potable water system shall be protected from backflow in accordance with the provisions listed in Section P2902.
21,Chapter 21 Hydronic Piping,M2101.4,M2101.4 Pipe Penetrations,2,Openings through concrete or masonry building elements shall be sleeved.
21,Chapter 21 Hydronic Piping,M2101.5,M2101.5 Contact With Building Material,2,A hydronic piping system shall not be in direct contact with any building material that causes the piping material to degrade or corrode.
21,Chapter 21 Hydronic Piping,M2101.6,M2101.6 Drilling and Notching,2,"Wood-framed structural members shall be drilled, notched or altered in accordance with the provisions of Sections R502.8, R602.6, R602.6.1 and R802.7. Holes in load-bearing members of cold-formed steel light-frame construction shall be permitted only in accordance with Sections R505.2.6, R603.2.6 and R804.2.6. In accordance with the provisions of Sections R505.3.5, R603.3.4 and R804.3.3, cutting and notching of flanges and lips of load-bearing members of cold-formed steel light-frame construction shall not be permitted. Structural insulated panels (SIPs) shall be drilled and notched or altered in accordance with the provisions of Section R610.7."
21,Chapter 21 Hydronic Piping,M2101.7,M2101.7 Prohibited Tee Applications,2,Fluid in the supply side of a hydronic system shall not enter a tee fitting through the branch opening.
21,Chapter 21 Hydronic Piping,M2101.8,"M2101.8 Expansion, Contraction and Settlement",2,"Piping shall be installed so that piping, connections and equipment shall not be subjected to excessive strains or stresses. Provisions shall be made to compensate for expansion, contraction, shrinkage and structural settlement."
21,Chapter 21 Hydronic Piping,M2101.9,M2101.9 Piping Support,2,"Hangers and supports shall be of material of sufficient strength to support the piping, and shall be fabricated from materials compatible with the piping material. Piping shall be supported at intervals not exceeding the spacing specified in Table M2101.9.TABLE M2101.9HANGER SPACING INTERVALS PIPING MATERIAL MAXIMUM HORIZONTAL SPACING (feet) MAXIMUM VERTICAL SPACING (feet) ABS 4 10a CPVC ≤ 1-inch pipe or tubing 3 5a CPVC ≥ 11/4 inches 4 10a Copper or copper-alloy pipe 12 10 Copper or copper-alloy tubing 6 10 PB pipe or tubing 2.67 4 PE pipe or tubing 2.67 4 PE-RT ≤ 1 inch 2.67 10a PE-RT ≥ 11/4 inches 4 10a PEX tubing ≤ 1 inch 2.67 4 PEX tubing ≥ 11/4 inches 4 10a PP &lt; 1-inch pipe or tubing 2.67 4 PP &gt; 11/4 inches 4 10a PVC 4 10a Steel pipe 12 15 Steel tubing 8 10 For SI: 1 inch = 25.4 mm, 1 foot = 304.8 mm.For sizes 2 inches and smaller, a guide shall be installed midway between required vertical supports. Such guides shall prevent pipe movement in a direction perpendicular to the axis of the pipe."
