id,section,title,body
11,,[RE] Energy Efficiency,"This chapter shall be deleted and replaced with Chapter 4 of the Residential Provisions of the 2015 International Energy Conservation Code, with the amendments adopted by the Alabama Energy and Residential Codes Board in §305-2-4-.10(4) of the Alabama Administrative Code."
N1101,Chapter 11 [RE] Energy Efficiency,General,
N1102,Chapter 11 [RE] Energy Efficiency,(R402) Building Thermal Envelope,
N1103,Chapter 11 [RE] Energy Efficiency,(R403) Systems,
N1104,Chapter 11 [RE] Energy Efficiency,(R404) Electrical Power and Lighting Systems (Mandatory),
N1105,Chapter 11 [RE] Energy Efficiency,(R405) Simulated Performance Alternative (Performance),
N1106,Chapter 11 [RE] Energy Efficiency,(R406) Energy Rating Index Compliance Alternative,
N1107,Chapter 11 [RE] Energy Efficiency,(R501) Existing Buildings — General,
N1108,Chapter 11 [RE] Energy Efficiency,(R502) Additions,
N1109,Chapter 11 [RE] Energy Efficiency,(R503) Alterations,
N1110,Chapter 11 [RE] Energy Efficiency,(R504) Repairs,
N1111,Chapter 11 [RE] Energy Efficiency,(R505) Change of Occupancy or Use,
