id,section,title,body
39,,Power and Lighting Distribution,
E3901,Chapter 39 Power and Lighting Distribution,Receptacle Outlets,
E3901.1,Chapter 39 Power and Lighting Distribution,General,"Outlets for receptacles rated at 125 volts, 15- and 20-amperes shall be provided in accordance with Sections E3901.2 through E3901.11. Receptacle outlets required by this section shall be in addition to any receptacle that is: Part of a luminaire or appliance; Located within cabinets or cupboards; Controlled by a wall switch in accordance with Section E3903.2, Exception 1; or Located over 5.5 feet (1676 mm) above the floor. Permanently installed electric baseboard heaters equipped with factory-installed receptacle outlets, or outlets provided as a separate assembly by the baseboard manufacturer shall be permitted as the required outlet or outlets for the wall space utilized by such permanently installed heaters. Such receptacle outlets shall not be connected to the heater circuits. (210.52)"
E3901.2,Chapter 39 Power and Lighting Distribution,General Purpose Receptacle Distribution,"In every kitchen, family room, dining room, living room, parlor, library, den, sun room, bedroom, recreation room, or similar room or area of dwelling units, receptacle outlets shall be installed in accordance with the general provisions specified in Sections E3901.2.1 through E3901.2.4 (see Figure E3901.2). For SI: 1 foot = 304.8 mm. FIGURE E3901.2GENERAL USE RECEPTACLE DISTRIBUTION"
E3901.2.1,Chapter 39 Power and Lighting Distribution,Spacing,"Receptacles shall be installed so that no point measured horizontally along the floor line of any wall space is more than 6 feet (1829 mm), from a receptacle outlet. [210.52(A)(1)]"
E3901.2.2,Chapter 39 Power and Lighting Distribution,Wall Space,"As used in this section, a wall space shall include the following: [210.52(A)(2)] Any space that is 2 feet (610 mm) or more in width, including space measured around corners, and that is unbroken along the floor line by doorways and similar openings, fireplaces, and fixed cabinets. The space occupied by fixed panels in exterior walls, excluding sliding panels. The space created by fixed room dividers such as railings and freestanding bar-type counters."
E3901.2.3,Chapter 39 Power and Lighting Distribution,Floor Receptacles,Receptacle outlets in floors shall not be counted as part of the required number of receptacle outlets except where located within 18 inches (457 mm) of the wall. [210.52(A)(3)]
E3901.2.4,Chapter 39 Power and Lighting Distribution,Countertop Receptacles,Receptacles installed for countertop surfaces as specified in Section E3901.4 shall not be considered as the receptacles required by Section E3901.2. [210.52(A)(4)]
E3901.3,Chapter 39 Power and Lighting Distribution,Small Appliance Receptacles,"In the kitchen, pantry, breakfast room, dining room, or similar area of a dwelling unit, the two or more 20-ampere small-appliance branch circuits required by Section E3703.2, shall serve all wall and floor receptacle outlets covered by Sections E3901.2 and E3901.4 and those receptacle outlets provided for refrigeration appliances. [210.52(B)(1)] Exceptions:In addition to the required receptacles specified by Sections E3901.1 and E3901.2, switched receptacles supplied from a general-purpose branch circuit as defined in Section E3903.2, Exception 1 shall be permitted. [210.52(B)(1) Exception No. 1] The receptacle outlet for refrigeration appliances shall be permitted to be supplied from an individual branch circuit rated at 15 amperes or greater. [210.52(B)(1) Exception No. 2]"
E3901.3.1,Chapter 39 Power and Lighting Distribution,Other Outlets Prohibited,"The two or more small-appliance branch circuits specified in Section E3901.3 shall serve no other outlets. [210.52(B)(2)] Exceptions:A receptacle installed solely for the electrical supply to and support of an electric clock in any of the rooms specified in Section E3901.3. [210.52(B)(2) Exception No.1] Receptacles installed to provide power for supplemental equipment and lighting on gas-fired ranges, ovens, and counter-mounted cooking units. [210.52(B)(2) Exception No.2]"
E3901.3.2,Chapter 39 Power and Lighting Distribution,Limitations,"Receptacles installed in a kitchen to serve countertop surfaces shall be supplied by not less than two small-appliance branch circuits, either or both of which shall also be permitted to supply receptacle outlets in the same kitchen and in other rooms specified in Section E3901.3. Additional small-appliance branch circuits shall be permitted to supply receptacle outlets in the kitchen and other rooms specified in Section E3901.3. A small-appliance branch circuit shall not serve more than one kitchen. [210.52(B)(3)]"
E3901.4,Chapter 39 Power and Lighting Distribution,Countertop Receptacles,"In kitchens pantries, breakfast rooms, dining rooms and similar areas of dwelling units, receptacle outlets for countertop spaces shall be installed in accordance with Sections E3901.4.1 through E3901.4.5 (see Figure E3901.4). [210.52(C)] For SI: 1 foot = 304.8 mm. FIGURE E3901.4COUNTERTOP RECEPTACLES"
E3901.4.1,Chapter 39 Power and Lighting Distribution,Wall Countertop Space,"A receptacle outlet shall be installed at each wall countertop space 12 inches (305 mm) or wider. Receptacle outlets shall be installed so that no point along the wall line is more than 24 inches (610 mm), measured horizontally from a receptacle outlet in that space. [210.52(C)(1)] Exception: Receptacle outlets shall not be required on a wall directly behind a range, counter-mounted cooking unit or sink in the installation described in Figure E3901.4.1. [210.52(C)(1) Exception] For SI: 1 inch = 25.4 mm. FIGURE E3901.4.1DETERMINATION OF AREA BEHIND SINK OR RANGE"
E3901.4.2,Chapter 39 Power and Lighting Distribution,Island Countertop Spaces,At least one receptacle outlet shall be installed at each island countertop space with a long dimension of 24 inches (610 mm) or greater and a short dimension of 12 inches (305 mm) or greater. [210.52(C)(2)]
E3901.4.3,Chapter 39 Power and Lighting Distribution,Peninsular Countertop Space,At least one receptacle outlet shall be installed at each peninsular countertop space with a long dimension of 24 inches (610 mm) or greater and a short dimension of 12 inches (305 mm) or greater. A peninsular countertop is measured from the connecting edge. [210.52(C)(3)]
E3901.4.4,Chapter 39 Power and Lighting Distribution,Separate Spaces,"Countertop spaces separated by range tops, refrigerators, or sinks shall be considered as separate countertop spaces in applying the requirements of Sections E3901.4.1, E3901.4.2 and E3901.4.3. Where a range, counter-mounted cooking unit, or sink is installed in an island or peninsular countertop and the depth of the countertop behind the range, counter-mounted cooking unit, or sink is less than 12 inches (305 mm), the range, counter-mounted cooking unit, or sink has divided the countertop space into two separate countertop spaces as defined in Section E3901.4.4. Each separate countertop space shall comply with the applicable requirements of this section. [210.52(C)(4)]"
E3901.4.5,Chapter 39 Power and Lighting Distribution,Receptacle Outlet Location,"Receptacle outlets shall be located not more than 20 inches (508 mm) above the countertop. Receptacle outlet assemblies installed in countertops shall be listed for the application. Receptacle outlets shall not be installed in a face-up position in the work surfaces or countertops. Receptacle outlets rendered not readily accessible by appliances fastened in place, appliance garages, sinks or rangetops as addressed in the exception to Section E3901.4.1, or appliances occupying dedicated space shall not be considered as these required outlets. [210.52(C)(5)] Exception: Receptacle outlets shall be permitted to be mounted not more than 12 inches (305 mm) below the countertop in construction designed for the physically impaired and for island and peninsular countertops where the countertop is flat across its entire surface and there are no means to mount a receptacle within 20 inches (508 mm) above the countertop, such as in an overhead cabinet. Receptacles mounted below the countertop in accordance with this exception shall not be located where the countertop extends more than 6 inches (152 mm) beyond its support base. [210.52(C)(5) Exception]"
E3901.5,Chapter 39 Power and Lighting Distribution,Appliance Receptacle Outlets,"Appliance receptacle outlets installed for specific appliances, such as laundry equipment, shall be installed within 6 feet (1829 mm) of the intended location of the appliance. (210.50(C)]"
E3901.6,Chapter 39 Power and Lighting Distribution,Bathroom,"At least one wall receptacle outlet shall be installed in bathrooms and such outlet shall be located within 36 inches (914 mm) of the outside edge of each lavatory basin. The receptacle outlet shall be located on a wall or partition that is adjacent to the lavatory basin location, located on the countertop, or installed on the side or face of the basin cabinet. The receptacle shall be located not more than 12 inches (305 mm) below the top of the basin. Receptacle outlets shall not be installed in a face-up position in the work surfaces or countertops in a bathroom basin location. Receptacle outlet assemblies installed in countertops shall be listed for the application. [210.52(D)]"
E3901.7,Chapter 39 Power and Lighting Distribution,Outdoor Outlets,"Not less than one receptacle outlet that is readily accessible from grade level and located not more than 6 feet, 6 inches (1981 mm) above grade, shall be installed outdoors at the front and back of each dwelling unit having direct access to grade level. Balconies, decks, and porches that are accessible from inside of the dwelling unit shall have at least one receptacle outlet installed within the perimeter of the balcony, deck, or porch. The receptacle shall be located not more than 6 feet, 6 inches (1981 mm) above the balcony, deck, or porch surface. [210.52(E)]"
E3901.8,Chapter 39 Power and Lighting Distribution,Laundry Areas,Not less than one receptacle outlet shall be installed in areas designated for the installation of laundry equipment.
E3901.9,Chapter 39 Power and Lighting Distribution,"Basements, Garages and Accessory Buildings","Not less than one receptacle outlet, in addition to any provided for specific equipment, shall be installed in each separate unfinished portion of a basement, in each attached garage, and in each detached garage or accessory building that is provided with electrical power. The branch circuit supplying the receptacle(s) in a garage shall not supply outlets outside of the garage and not less than one receptacle outlet shall be installed for each motor vehicle space. [210.52(G)(1), (2), and (3)]"
E3901.10,Chapter 39 Power and Lighting Distribution,Hallways,Hallways of 10 feet (3048 mm) or more in length shall have at least one receptacle outlet. The hall length shall be considered the length measured along the centerline of the hall without passing through a doorway. [210.52(H)]
E3901.11,Chapter 39 Power and Lighting Distribution,Foyers,"Foyers that are not part of a hallway in accordance with Section E3901.10 and that have an area that is greater than 60 ft2 (5.57 m2) shall have a receptacle(s) located in each wall space that is 3 feet (914 mm) or more in width. Doorways, door-side windows that extend to the floor, and similar openings shall not be considered as wall space. [210.52(H)]"
E3901.12,Chapter 39 Power and Lighting Distribution,HVAC Outlet,"A 125-volt, single-phase, 15- or 20-ampere-rated receptacle outlet shall be installed at an accessible location for the servicing of heating, air-conditioning and refrigeration equipment. The receptacle shall be located on the same level and within 25 feet (7620 mm) of the heating, air-conditioning and refrigeration equipment. The receptacle outlet shall not be connected to the load side of the HVAC equipment disconnecting means. (210.63) Exception: A receptacle outlet shall not be required for the servicing of evaporative coolers. (210.63 Exception)"
E3902,Chapter 39 Power and Lighting Distribution,Ground-Fault and Arc-Fault Circuit-Interrupter Protection,
E3902.1,Chapter 39 Power and Lighting Distribution,Bathroom Receptacles,"125-volt, single-phase, 15- and 20-ampere receptacles installed in bathrooms shall have ground-fault circuit-interrupter protection for personnel. [210.8(A)(1)]"
E3902.2,Chapter 39 Power and Lighting Distribution,Garage and Accessory Building Receptacles,"125-volt, single-phase, 15- or 20-ampere receptacles installed in garages and grade-level portions of unfinished accessory buildings used for storage or work areas shall have ground-fault circuit-interrupter protection for personnel. [210.8(A)(2)]"
E3902.3,Chapter 39 Power and Lighting Distribution,Outdoor Receptacles,"125-volt, single-phase, 15- and 20-ampere receptacles installed outdoors shall have ground-fault circuit-interrupter protection for personnel. [210.8(A)(3)] Exception: Receptacles as covered in Section E4101.7. [210.8(A)(3) Exception]"
E3902.4,Chapter 39 Power and Lighting Distribution,Crawl Space Receptacles,"Where a crawl space is at or below grade level, 125-volt, single-phase, 15- and 20-ampere receptacles installed in such spaces shall have ground-fault circuit-interrupter protection for personnel. [210.8(A)(4)]"
E3902.5,Chapter 39 Power and Lighting Distribution,Unfinished Basement Receptacles,"125-volt, single-phase, 15- and 20-ampere receptacles installed in unfinished basements shall have ground-fault circuit-interrupter protection for personnel. For purposes of this section, unfinished basements are defined as portions or areas of the basement not intended as habitable rooms and limited to storage areas, work areas, and similar areas. [210.8(A)(5)] Exception: A receptacle supplying only a permanently installed fire alarm or burglar alarm system. Receptacles installed in accordance with this exception shall not be considered as meeting the requirement of Section E3901.9. [210.8(A)(5) Exception]"
E3902.6,Chapter 39 Power and Lighting Distribution,Kitchen Receptacles,"125-volt, single-phase, 15- and 20-ampere receptacles that serve countertop surfaces shall have ground-fault circuit-interrupter protection for personnel. [210.8(A)(6)]"
E3902.7,Chapter 39 Power and Lighting Distribution,Sink Receptacles,"125-volt, single-phase, 15- and 20-ampere receptacles that are located within 6 feet (1829 mm) of the outside edge of a sink shall have ground-fault circuit-interrupter protection for personnel. Receptacle outlets shall not be installed in a face-up position in the work surfaces or countertops. [210.8(A)(7)]"
E3902.8,Chapter 39 Power and Lighting Distribution,Bathtub or Shower Stall Receptacles,"125-volt, single phase, 15- and 20-ampere receptacles that are located within 6 feet (1829 mm) of the outside edge of a bathtub or shower stall shall have ground-fault circuit interrupter protection for personnel. [210.8(A)(8)]"
E3902.9,Chapter 39 Power and Lighting Distribution,Laundry Areas,"125-volt, single-phase, 15- and 20-ampere receptacles installed in laundry areas shall have ground-fault circuit interrupter protection for personnel. [210.8(A)(9)]"
E3902.10,Chapter 39 Power and Lighting Distribution,Kitchen Dishwasher Branch Circuit,Ground-fault circuit-interrupter protection shall be provided for outlets that supply dishwashers in dwelling unit locations. [210.8(D)]
E3902.11,Chapter 39 Power and Lighting Distribution,Boathouse Receptacles,"125-volt, single-phase, 15- or 20-ampere receptacles installed in boathouses shall have ground-fault circuit-interrupter protection for personnel. [210.8(A)(8)]"
E3902.12,Chapter 39 Power and Lighting Distribution,Boat Hoists,Ground-fault circuit-interrupter protection for personnel shall be provided for 240-volt and less outlets that supply boat hoists. [210.8(C)]
E3902.13,Chapter 39 Power and Lighting Distribution,Electrically Heated Floors,"Ground-fault circuit-interrupter protection for personnel shall be provided for electrically heated floors in bathrooms, kitchens and in hydromassage bathtub, spa and hot tub locations. [424.44(G)]"
E3902.14,Chapter 39 Power and Lighting Distribution,Location of Ground-Fault Circuit Interrupters,Ground-fault circuit interrupters shall be installed in a readily accessible location. [210.8(A)]
E3902.15,Chapter 39 Power and Lighting Distribution,Location of Arc-Fault Circuit Interrupters,Arc-fault circuit interrupters shall be installed in readily accessible locations.
