id,section,title,body
1,,Scope and Administration,"User note: About this chapter: Chapter 1 establishes the limits of applicability of this code and describes how the code is to be applied and enforced. Chapter 1 is in two parts: Part 1—Scope and Application (Sections R101—R102) and Part 2—Administration and Enforcement (Sections R103—R114). Section R101 identifies which buildings and structures come under its purview and references other I-Codes as applicable. Standards and codes are scoped to the extent referenced (see Section R102.4). The one- and two-family dwelling code is intended to be adopted as a legally enforceable document, and it cannot be effective without adequate provisions for its administration and enforcement. The provisions of Chapter 1 establish the authority and duties of the building official appointed by the authority having jurisdiction and also establish the rights and privileges of the design professional, contractor and property owner."
divider_1,Chapter 1 Scope and Administration,— Scope and Application,
R101,Chapter 1 Scope and Administration,General,
R101.1,Chapter 1 Scope and Administration,Title,This code shall be known as the 2018 International Residential Code (IRC) with Alaska-Specific Amendments and shall be cited as such. It is referred to herein as 'the code'.
R101.2,Chapter 1 Scope and Administration,Scope,"The 2018 IRC with Alaska-Specific Amendments shall be the referenced code for residential structures containing four or fewer dwellings and townhouses not more than three stories above grade plane in height and their accessory structures for the Alaska Housing Finance Corporation, notwithstanding appropriate compliance of Authority Having Jurisdiction, as long as the code followed is equal to or exceeds this code. Certain Group R Division 2 occupancy designated dwelling units must comply with the relevant Code sections listed in the 2018 IBC, IMC as adopted &amp; approved by the Authority Having Jurisdiction. Exception: The following shall be permitted to be constructed in accordance with this code where provided with a residential fire sprinkler system complying with Section P2904: Live/work units located in townhouses and complying with the requirements of Section 419 of the International Building Code. Owner-occupied lodging houses with five or fewer guestrooms. A care facility with five or fewer persons receiving custodial care within a dwelling unit. A care facility with five or fewer persons receiving medical care within a dwelling unit. A care facility for five or fewer persons receiving care that are within a single-family dwelling."
R101.3,Chapter 1 Scope and Administration,Intent,"The purpose of this code is to establish minimum requirements to safeguard the public safety, health and general welfare through affordability, structural strength, means of egress facilities, stability, sanitation, light and ventilation, energy conservation and safety to life and property from fire and other hazards attributed to the built environment, and to provide safety to fire fighters and emergency responders during emergency operations."
R102,Chapter 1 Scope and Administration,Applicability,
R102.1,Chapter 1 Scope and Administration,General,"Where there is a conflict between a general requirement and a specific requirement, the specific requirement shall be applicable. Where, in any specific case, different sections of this code specify different materials, methods of construction or other requirements, the most restrictive shall govern."
R102.2,Chapter 1 Scope and Administration,Other Laws,"The provisions of this code shall not be deemed to nullify any provisions of local, state or federal law."
R102.3,Chapter 1 Scope and Administration,Application of References,"References to chapter or section numbers, or to provisions not specifically identified by number, shall be construed to refer to such chapter, section or provision of this code."
R102.4,Chapter 1 Scope and Administration,Referenced Codes and Standards,"The codes and standards referenced in this code shall be considered part of the requirements of this code to the prescribed extent of each such reference and as further regulated in Sections R102.4.1 and R102.4.2.Exception: Where enforcement of a code provision would violate the conditions of the listing of the equipment or appliance, the conditions of the listing and manufacturer's instructions shall apply."
R102.4.1,Chapter 1 Scope and Administration,Conflicts,"Where conflicts occur between provisions of this code and referenced codes and standards, the provisions of this code shall apply."
R102.4.2,Chapter 1 Scope and Administration,Provisions in Referenced Codes and Standards,"Where the extent of the reference to a referenced code or standard includes subject matter that is within the scope of this code, the provisions of this code, as applicable, shall take precedence over the provisions in the referenced code or standard."
R102.5,Chapter 1 Scope and Administration,Appendices,Provisions in the appendices shall not apply unless specifically referenced in the adopting ordinance.
R102.6,Chapter 1 Scope and Administration,Partial Invalidity,"In the event any part or provision of this code is held to be illegal or void, this shall not have the effect of making void or illegal any of the other parts or provisions."
R102.7,Chapter 1 Scope and Administration,Existing Structures,"The legal occupancy of any structure existing on the date of adoption of this code shall be permitted to continue without change, except as is specifically covered in this code, the International Property Maintenance Code or the International Fire Code, or as is deemed necessary by the building official for the general safety and welfare of the occupants and the public."
R102.7.1,Chapter 1 Scope and Administration,"Additions, Alterations or Repairs Advisory, Best Building Practices Reference","Additions, alterations or repairs to any structure shall conform to the requirements for a new structure without requiring the existing structure to comply with the requirements of this code, unless otherwise stated. Additions, alterations, repairs and relocations shall not cause an existing structure to become unsafe or adversely affect the performance of the building."
divider_2,Chapter 1 Scope and Administration,— Administration and Enforcement,
R103,Chapter 1 Scope and Administration,Department of Building Safety,
R104,Chapter 1 Scope and Administration,Duties and Powers of the Building Official,
R105,Chapter 1 Scope and Administration,Permits,
R106,Chapter 1 Scope and Administration,Construction Documents,
R107,Chapter 1 Scope and Administration,Temporary Structures and Uses,
R108,Chapter 1 Scope and Administration,Fees,
R109,Chapter 1 Scope and Administration,Inspections,
R110,Chapter 1 Scope and Administration,Certificate of Occupancy,
R111,Chapter 1 Scope and Administration,Service Utilities,
R112,Chapter 1 Scope and Administration,Board of Appeals,
R113,Chapter 1 Scope and Administration,Violations,
R114,Chapter 1 Scope and Administration,Stop Work Order,
