id,section,title,body
1,,Scope and Administration,"User note:About this chapter: Chapter 1 establishes the limits of applicability of this code and describes how the code is to be applied and enforced. Chapter 1 is in two parts: Part 1—Scope and Application (Sections R101—R102) and Part 2—Administration and Enforcement (Sections R103—R114). Section R101 identifies which buildings and structures come under its purview and references other I-Codes as applicable. Standards and codes are scoped to the extent referenced (see Section R102.4).The one- and two-family dwelling code is intended to be adopted as a legally enforceable document, and it cannot be effective without adequate provisions for its administration and enforcement. The provisions of Chapter 1 establish the authority and duties of the building official appointed by the authority having jurisdiction and also establish the rights and privileges of the design professional, contractor and property owner."
divider_1_1,Chapter 1 Scope and Administration,Scope and Application,
R101,Chapter 1 Scope and Administration,Scope and General Requirements,
R101.1,Chapter 1 Scope and Administration,Title,"These provisions shall be known as the Arkansas Fire Prevention Code, Volume III of Arkansas, and shall be cited as such and will be referred to herein as ""this code."""
R101.2,Chapter 1 Scope and Administration,Scope,"The provisions of this code shall apply to the construction, alteration, movement, enlargement, replacement, repair, equipment, use and occupancy, location, removal and demolition of detached one- and two-family dwellings and townhouses not more than three stories above grade plane in height with a separate means of egress and their accessory structures not more than three stories above grade plane in height. Exception: The following shall be permitted to be constructed in accordance with this code where provided with an automatic sprinkler system complying with Section P2904: Live/work units located in townhouses and complying with the requirements of Section 508.5 of the International Building Code. Owner-occupied lodging houses with five or fewer guestrooms. A care facility with five or fewer persons receiving custodial care within a dwelling unit. A care facility with five or fewer persons receiving medical care within a dwelling unit. A care facility for five or fewer persons receiving care that are within a single-family dwelling."
R101.3,Chapter 1 Scope and Administration,Purpose,"The purpose of this code is to establish minimum requirements to provide a reasonable level of safety, health and general welfare through affordability, structural strength, means of egress, stability, sanitation, light and ventilation, energy conservation and safety to life and property from fire and other hazards and to provide a reasonable level of safety to fire fighters and emergency responders during emergency operations."
R102,Chapter 1 Scope and Administration,Applicability,
R102.1,Chapter 1 Scope and Administration,General,"Where there is a conflict between a general requirement and a specific requirement, the specific requirement shall be applicable. Where, in any specific case, different sections of this code specify different materials, methods of construction or other requirements, the most restrictive shall govern."
R102.2,Chapter 1 Scope and Administration,Other Laws,"The provisions of this code shall not be deemed to nullify any provisions of local, state or federal law."
R102.3,Chapter 1 Scope and Administration,Application of References,"References to chapter or section numbers, or to provisions not specifically identified by number, shall be construed to refer to such chapter, section or provision of this code."
R102.4,Chapter 1 Scope and Administration,Referenced Codes and Standards,"The codes and standards referenced in this code shall be considered part of the requirements of this code to the prescribed extent of each such reference and as further regulated in Sections R102.4.1 and R102.4.2.Exception: Where enforcement of a code provision would violate the conditions of the listing of the equipment or appliance, the conditions of the listing and manufacturer's instructions shall apply."
R102.4.1,Chapter 1 Scope and Administration,Conflicts,"Where conflicts occur between provisions of this code and referenced codes and standards, the provisions of this code shall apply."
R102.4.2,Chapter 1 Scope and Administration,Provisions in Referenced Codes and Standards,"Where the extent of the reference to a referenced code or standard includes subject matter that is within the scope of this code, the provisions of this code, as applicable, shall take precedence over the provisions in the referenced code or standard."
R102.5,Chapter 1 Scope and Administration,Appendices,Provisions in the appendices shall not apply unless specifically referenced in the adopting ordinance. Appendices AA through AW are NOT adopted by the State of Arkansas and shall not apply unless adopted by local ordinance
R102.6,Chapter 1 Scope and Administration,Partial Invalidity,"In the event any part or provision of this code is held to be illegal or void, this shall not have the effect of making void or illegal any of the other parts or provisions."
R102.7,Chapter 1 Scope and Administration,Existing Structures,"The legal occupancy of any structure existing on the date of adoption of this code shall be permitted to continue without change, except as is specifically covered in this code, the International Property Maintenance Code or the International Fire Code, or as is deemed necessary by the building official for the general safety and welfare of the occupants and the public."
R102.7.1,Chapter 1 Scope and Administration,"Additions, Alterations or Repairs","Additions, alterations or repairs to any structure shall conform to the requirements for a new structure without requiring the existing structure to comply with the requirements of this code, unless otherwise stated. Additions, alterations, repairs and relocations shall not cause an existing structure to become less compliant with the provisions of this code than the existing building or structure was prior to the addition, alteration or repair. An existing building together with its additions shall comply with the height limits of this code. Where the alteration causes the use or occupancy to be changed to one not within the scope of this code, the provisions of the International Existing Building Code shall apply."
divider_1_2,Chapter 1 Scope and Administration,Administration and Enforcement,
R103,Chapter 1 Scope and Administration,Department of Building Safety,
R103.1,Chapter 1 Scope and Administration,Creation of Enforcement Agency,The department of building safety is hereby created and the official in charge thereof shall be known as the building official.
R103.2,Chapter 1 Scope and Administration,Appointment,The building official shall be appointed by the jurisdiction.
R103.3,Chapter 1 Scope and Administration,Deputies,"In accordance with the prescribed procedures of this jurisdiction and with the concurrence of the appointing authority, the building official shall have the authority to appoint a deputy building official, the related technical officers, inspectors, plan examiners and other employees. Such employees shall have powers as delegated by the building official."
R104,Chapter 1 Scope and Administration,Duties and Powers of the Building Official,
R104.1,Chapter 1 Scope and Administration,General,"The building official is hereby authorized and directed to enforce the provisions of this code. The building official shall have the authority to render interpretations of this code and to adopt policies and procedures in order to clarify the application of its provisions. Such interpretations, policies and procedures shall be in compliance with the intent and purpose of this code. Such policies and procedures shall not have the effect of waiving requirements specifically provided for in this code."
R104.2,Chapter 1 Scope and Administration,Applications and Permits,"The building official shall receive applications, review construction documents and issue permits for the erection and alteration of buildings and structures, inspect the premises for which such permits have been issued and enforce compliance with the provisions of this code."
R104.3,Chapter 1 Scope and Administration,Notices and Orders,The building official shall issue necessary notices or orders to ensure compliance with this code.
R104.4,Chapter 1 Scope and Administration,Inspections,"The building official shall make the required inspections, or the building official shall have the authority to accept reports of inspection by approved agencies or individuals. Reports of such inspections shall be in writing and be certified by a responsible officer of such approved agency or by the responsible individual. The building official is authorized to engage such expert opinion as deemed necessary to report on unusual technical issues that arise, subject to the approval of the appointing authority."
R104.5,Chapter 1 Scope and Administration,Identification,The building official shall carry proper identification when inspecting structures or premises in the performance of duties under this code.
R104.6,Chapter 1 Scope and Administration,Right of Entry,"Where it is necessary to make an inspection to enforce the provisions of this code, or where the building official has reasonable cause to believe that there exists in a structure or upon a premises a condition that is contrary to or in violation of this code that makes the structure or premises unsafe, dangerous or hazardous, the building official or designee is authorized to enter the structure or premises at reasonable times to inspect or to perform the duties imposed by this code, provided that if such structure or premises be occupied that credentials be presented to the occupant and entry requested. If such structure or premises is unoccupied, the building official shall first make a reasonable effort to locate the owner, the owner's authorized agent, or other person having charge or control of the structure or premises and request entry. If entry is refused, the building official shall have recourse to the remedies provided by law to secure entry."
R104.7,Chapter 1 Scope and Administration,Department Records,"The building official shall keep official records of applications received, permits and certificates issued, fees collected, reports of inspections, and notices and orders issued. Such records shall be retained in the official records for the period required for the retention of public records."
R104.8,Chapter 1 Scope and Administration,Liability,"The building official, member of the board of appeals or employee charged with the enforcement of this code, while acting for the jurisdiction in good faith and without malice in the discharge of the duties required by this code or other pertinent law or ordinance, shall not thereby be rendered civilly or criminally liable personally and is hereby relieved from personal liability for any damage accruing to persons or property as a result of any act or by reason of an act or omission in the discharge of official duties."
R104.8.1,Chapter 1 Scope and Administration,Legal Defense,"Any suit or criminal complaint instituted against an officer or employee because of an act performed by that officer or employee in the lawful discharge of duties and under the provisions of this code shall be defended by legal representatives of the jurisdiction until the final termination of the proceedings. The building official or any subordinate shall not be liable for cost in any action, suit or proceeding that is instituted in pursuance of the provisions of this code."
R104.9,Chapter 1 Scope and Administration,Approved Materials and Equipment,"Materials, equipment and devices approved by the building official shall be constructed and installed in accordance with such approval."
R104.9.1,Chapter 1 Scope and Administration,Used Materials and Equipment,"Used materials, equipment and devices shall not be reused unless approved by the building official."
R104.10,Chapter 1 Scope and Administration,Modifications,"Where there are practical difficulties involved in carrying out the provisions of this code, the building official shall have the authority to grant modifications for individual cases, provided the building official shall first find that special individual reason makes the strict letter of this code impractical and the modification is in compliance with the intent and purpose of this code and that such modification does not lessen health, life and fire safety or structural requirements. The details of action granting modifications shall be recorded and entered in the files of the department of building safety."
R104.10.1,Chapter 1 Scope and Administration,Flood Hazard Areas,"The building official shall not grant modifications to any provisions required in flood hazard areas as established by Table R301.2 unless a determination has been made that:There is good and sufficient cause showing that the unique characteristics of the size, configuration or topography of the site render the elevation standards of Section R322 inappropriate.Failure to grant the modification would result in exceptional hardship by rendering the lot undevelopable.The granting of modification will not result in increased flood heights, additional threats to public safety, extraordinary public expense, cause fraud on or victimization of the public, or conflict with existing laws or ordinances.The modification is the minimum necessary to afford relief, considering the flood hazard.Written notice specifying the difference between the design flood elevation and the elevation to which the building is to be built, stating that the cost of flood insurance will be commensurate with the increased risk resulting from the reduced floor elevation and stating that construction below the design flood elevation increases risks to life and property, has been submitted to the applicant."
R104.11,Chapter 1 Scope and Administration,"Alternative Materials, Design and Methods of Construction and Equipment","The provisions of this code are not intended to prevent the installation of any material or to prohibit any design or method of construction not specifically prescribed by this code. The building official shall have the authority to approve an alternative material, design or method of construction upon application of the owner or the owner's authorized agent. The building official shall first find that the proposed design is satisfactory and complies with the intent of the provisions of this code, and that the material, method or work offered is, for the purpose intended, not less than the equivalent of that prescribed in this code in quality, strength, effectiveness, fire resistance, durability and safety. Compliance with the specific performance-based provisions of the International Codes shall be an alternative to the specific requirements of this code. Where the alternative material, design or method of construction is not approved, the building official shall respond in writing, stating the reasons why the alternative was not approved."
R104.11.1,Chapter 1 Scope and Administration,Tests,"Where there is insufficient evidence of compliance with the provisions of this code, or evidence that a material or method does not conform to the requirements of this code, or in order to substantiate claims for alternative materials or methods, the building official shall have the authority to require tests as evidence of compliance to be made at no expense to the jurisdiction. Test methods shall be as specified in this code or by other recognized test standards. In the absence of recognized and accepted test methods, the building official shall approve the testing procedures. Tests shall be performed by an approved agency. Reports of such tests shall be retained by the building official for the period required for retention of public records."
R105,Chapter 1 Scope and Administration,Permits,
