id,section,title,body
24,,Fuel Gas,Refer to Arkansas Fuel Gas Code
G2401,Chapter 24 Fuel Gas,(101) General,
G2402,Chapter 24 Fuel Gas,(201) General,
G2403,Chapter 24 Fuel Gas,(202) General Definitions,
G2404,Chapter 24 Fuel Gas,(301) General,
G2405,Chapter 24 Fuel Gas,(302) Structural Safety,
G2406,Chapter 24 Fuel Gas,(303) Appliance Location,
G2407,Chapter 24 Fuel Gas,"(304) Combustion, Ventilation and Dilution Air",
G2408,Chapter 24 Fuel Gas,(305) Installation,
G2409,Chapter 24 Fuel Gas,(308) Clearance Reduction,
G2410,Chapter 24 Fuel Gas,(309) Electrical,
G2411,Chapter 24 Fuel Gas,(310) Electrical Bonding,
G2412,Chapter 24 Fuel Gas,(401) General,
G2413,Chapter 24 Fuel Gas,(402) Pipe Sizing,
G2414,Chapter 24 Fuel Gas,(403) Piping Materials,
G2415,Chapter 24 Fuel Gas,(404) Piping System Installation,
G2416,Chapter 24 Fuel Gas,(405) Piping Bends and Changes in Direction,
G2417,Chapter 24 Fuel Gas,"(406) Inspection, Testing and Purging",
G2418,Chapter 24 Fuel Gas,(407) Piping Support,
G2419,Chapter 24 Fuel Gas,(408) Drips and Sloped Piping,
G2420,Chapter 24 Fuel Gas,(409) Shutoff Valves,
G2421,Chapter 24 Fuel Gas,(410) Flow Controls,
G2422,Chapter 24 Fuel Gas,(411) Appliance Connections,
G2423,Chapter 24 Fuel Gas,(413) Compressed Natural Gas Motor Vehicle Fuel-Dispensing Facilities,
G2424,Chapter 24 Fuel Gas,(415) Piping Support Intervals,
G2425,Chapter 24 Fuel Gas,(501) General,
G2426,Chapter 24 Fuel Gas,(502) Vents,
G2427,Chapter 24 Fuel Gas,(503) Venting of Appliances,
G2428,Chapter 24 Fuel Gas,(504) Sizing of Category I Appliance Venting Systems,
G2429,Chapter 24 Fuel Gas,"(505) Direct-Vent, Integral Vent, Mechanical Vent and Ventilation/Exhaust Hood Venting",
G2430,Chapter 24 Fuel Gas,(506) Factory-Built Chimneys,
G2431,Chapter 24 Fuel Gas,(601) General,
G2432,Chapter 24 Fuel Gas,(602) Decorative Appliances for Installation in Fireplaces,
G2433,Chapter 24 Fuel Gas,(603) Log Lighters,
G2434,Chapter 24 Fuel Gas,(604) Vented Gas Fireplaces (Decorative Appliances),
G2435,Chapter 24 Fuel Gas,(605) Vented Gas Fireplace Heaters,
G2436,Chapter 24 Fuel Gas,(608) Vented Wall Furnaces,
G2437,Chapter 24 Fuel Gas,(609) Floor Furnaces,
G2438,Chapter 24 Fuel Gas,(613) Clothes Dryers,
G2439,Chapter 24 Fuel Gas,(614) Clothes Dryer Exhaust,
G2440,Chapter 24 Fuel Gas,(615) Sauna Heaters,
G2441,Chapter 24 Fuel Gas,(617) Pool and Spa Heaters,
G2442,Chapter 24 Fuel Gas,(618) Forced-Air Warm-Air Furnaces,
G2443,Chapter 24 Fuel Gas,(619) Conversion Burners,
G2444,Chapter 24 Fuel Gas,(620) Unit Heaters,
G2445,Chapter 24 Fuel Gas,(621) Unvented Room Heaters,
G2446,Chapter 24 Fuel Gas,(622) Vented Room Heaters,
G2447,Chapter 24 Fuel Gas,(623) Cooking Appliances,
G2448,Chapter 24 Fuel Gas,(624) Water Heaters,
G2449,Chapter 24 Fuel Gas,(627) Air-Conditioning Appliances,
G2450,Chapter 24 Fuel Gas,(628) Illuminating Appliances,
G2451,Chapter 24 Fuel Gas,(630) Infrared Radiant Heaters,
G2452,Chapter 24 Fuel Gas,(631) Boilers,
G2453,Chapter 24 Fuel Gas,(635) Outdoor Decorative Appliances,
