id,section,title,body
20,,Aluminum,"CALIFORNIA BUILDING CODE — MATRIX ADOPTION TABLE CHAPTER 20 — ALUMINUM(Matrix Adoption Tables are nonregulatory, intended only as an aid to the code user. See Chapter 1 for state agency authority and building applications.)Adopting agencyBSCBSC-CGSFMHCDDSAOSHPDBSCCDPHAGRDWRCECCASLSLC121/ACACSSSS/CC11R23456Adopt entire chapterXXXXXAdopt entire chapter as amended (amended sections listed below)XXXXXXXAdopt only those sections that are listed belowChapter / Section2001.1.1XXXXXXX2001.1.2XXXXXXX2001.1.3XXXXXXX2001.1.4XX2002.1XXXXXXX2003XXXXXXXThe state agency does not adopt sections identified with the following symbol: †The Office of the State Fire Marshal's adoption of this chapter or individual sections is applicable to structures regulated by other state agencies pursuant to Section 1.11.User notes:About this chapter: Chapter 20 contains standards for the use of aluminum in building construction. The use of aluminum in heating, ventilating or air-conditioning systems is addressed in the California Mechanical Code. This chapter references national standards from the Aluminum Association for use of aluminum in building construction, AA ASM 35, Aluminum Sheet Metal Work in Building Construction, and AA ADM, Aluminum Design Manual.ICC code development note: Code change proposals to this chapter will be considered by the IBC—Structural Code Development Committee during the 2025 (Group B) Code Development Cycle."
2001,Chapter 20 Aluminum,General,
2001.1,Section 2001 General,Scope,"This chapter shall govern the quality, design, fabrication and erection of aluminum."
2001.1.1,Section 2001 General,Application,"[DSA-SS, DSA-SS/CC, OSHPD] The scope of application of Chapter 20 is as follows:Applications listed in Sections 1.10.1, 1.10.2, 1.10.4 and 1.10.5 regulated by the Department of Health Care Access and Information/Office of Statewide Hospital Planning and Development (OSHPD). These applications include hospitals, hospital buildings removed from general acute care service, skilled nursing facility buildings, intermediate care facility buildings, correctional treatment centers and acute psychiatric hospital buildings.Structures regulated by the Division of the State Architect—Structural Safety, which include those applications listed in Section 1.9.2.1 [DSA-SS] and 1.9.2.2 [DSA-SS/CC]. These applications include public elementary and secondary schools, community colleges and state-owned or state-leased essential services buildings."
2001.1.2,Section 2001 General,Amendments in This Chapter,"[DSA-SS, DSA-SS/CC, OSHPD] DSA-SS, DSA-SS/CC and OSHPD adopt this chapter as amended."
2001.1.3,Section 2001 General,"Identification of Amendments. [DSA-SS, DSA-SS/CC, OSHPD]","[OSHPD 1, 1R, 2, 4 &amp; 5] Office of Statewide Hospital Planning and Development (OSHPD) amendments appear in this chapter preceded with the appropriate acronym, as follows:[OSHPD 1] - For applications listed in Section 1.10.1.[OSHPD 1R] - For applications listed in Section 1.10.1.[OSHPD 2] - For applications listed in Section 1.10.2.[OSHPD 4] - For applications listed in Section 1.10.4.[OSHPD 5] - For applications listed in Section 1.10.5.[DSA-SS, DSA-SS/CC] Division of the State Architect - Structural Safety amendments appear in this chapter preceded by the appropriate acronym, as follows:[DSA-SS] - For applications listed in Section 1.9.2.1.[DSA-SS/CC] - For applications listed in Section 1.9.2.2."
2001.1.4.1,Section 2001 General,[OSHPD 1 &amp; 4],"Where reference within this chapter is made to sections in Chapters 16, 17, 18, 19, 21 and 22, the provisions in Chapters 16A, 17A, 18A, 19A, 21A and 22A, respectively, shall apply instead."
2002,Chapter 20 Aluminum,Materials,
2002.1,Section 2002 Materials,General,Aluminum used for structural purposes in buildings and structures shall comply with AA ASM 35 and AA ADM. The nominal loads shall be the minimum design loads required by Chapter 16. Exception: [DSA-SS] The reference to Chapter 16 shall be to Chapter 16A.
2003,Chapter 20 Aluminum,Testing and Inspection,
2003.1,Section 2003 Testing and Inspection,Testing and Inspection,"[DSA-SS, DSA-SS/CC] Testing and inspection of aluminum shall be required in accordance with the requirements for steel in Chapter 17A, except references to AWS D1.1 shall be to AWS D1.2.[OSHPD 1, 1R, 2, 4 &amp; 5] Testing and inspection of aluminum shall be required in accordance with the requirements for steel in Chapter 17, except references to AWS D1.1 shall be to AWS D1.2."
