id,section,title,body
21,,Masonry,"CALIFORNIA BUILDING CODE — MATRIX ADOPTION TABLECHAPTER 21 — MASONRY (Matrix Adoption Tables are nonregulatory, intended only as an aid to the code user. See Chapter 1 for state agency authority and building applications.) Adopting agency BSC BSC- CG SFM HCD DSA OSHPD BSCC DPH AGR DWR CEC CA SL SLC 1 2 1/AC AC SS SS/CC 1 1R 2 3 4 5 6 Adopt entire chapter X X X X X Adopt entire chapter as amended (amended sections listed below) X X X X Adopt only those sections that are listed below X X Chapter / Section 2101.1.1 X X X X 2101.1.2 X X X X 2101.1.3 X X X X 2101.1.4 X 2101.1.5 X 2101.2 X X X 2101.2.2 X X X 2103.1 X X X 2103.4 X X X 2103.5 X X X 2103.6 X X X 2104.2 X X X 2104.3 X X X 2105.2 X X X 2105.3 X X X 2105.4 X X X 2106.1.1 X X X 2106.1.2 X X X 2106.1.3 X X X 2107.1 X X X 2107.5 X X X 2109 X X X 2109.2.4.8.2 X 2110.1 X X X 2113.9.2 X 2115 X The state agency does not adopt sections identified with the following symbol: † The Office of the State Fire Marshal's adoption of this chapter or individual sections is applicable to structures regulated by other state agencies pursuant to Section 1.11. User notes: About this chapter: Chapter 21 establishes minimum requirements for masonry construction. The provisions address: material specifications and test methods; types of wall construction; criteria for engineered and empirical designs; and required details of construction, including the execution of construction. The provisions provide a framework for applying applicable standards to the design and construction of masonry structures. Masonry design methodologies including allowable stress design, strength design and empirical design are covered by the provisions of this chapter. Also addressed are masonry fireplaces and chimneys, masonry heaters and glass unit masonry. ICC code development note: Code change proposals to this chapter will be considered by the IBC— Structural Code Development Committee during the 2025 (Group B) Code Development Cycle."
2101,Chapter 21 Masonry,General,
2101.1,Section 2101 General,Scope,"This chapter shall govern the materials, design, construction and quality of masonry."
2101.1.1,Section 2101 General,Application,"[DSA-SS/CC, OSHPD] The scope of application of Chapter 21 is as follows:Structures regulated by the Division of the State Architect—Structural Safety/Community Colleges (DSA-SS/CC) which include those applications listed in Section 1.9.2.2.Structures regulated by the Department of Health Care Access and Information/Office of Statewide Hospital planning and development (OSHPD), which include hospital buildings removed from general acute care service, skilled nursing facility buildings, intermediate care facility buildings and acute psychiatric hospital buildings listed in Sections 1.10.1, 1.10.2 and 1.10.5."
2101.1.2,Section 2101 General,Amendments in This Chapter,"[DSA-SS/CC, OSHPD] DSA-SS/CC, OSHPD adopt this chapter as amended."
2101.1.3,Section 2101 General,Identification of Amendments,"[DSA-SS/CC, OSHPD] [DSA-SS/CC] Division of the State Architect - Structural Safety/Community Colleges amendments appear in this chapter preceded by the appropriate acronym, as follows: [DSA-SS/CC] - For applications listed in Section 1.9.2.2. [OSHPD 1R, 2 &amp; 5] Office of Statewide Hospital Planning and Development (OSHPD) amendments appear in this chapter preceded by the appropriate acronym, as follows: [OSHPD 1R] - For applications listed in Section 1.10.1.[OSHPD 2] - For applications listed in Section 1.10.2.[OSHPD 5] - For applications listed in Section 1.10.5."
2101.1.4,Section 2101 General,Reference to Other Chapters,"[DSA-SS/CC] Where reference within this chapter is made to sections in Chapters 17 and 18, the provisions in Chapters 17A and 18A respectively shall apply instead."
2101.1.5,Section 2101 General,Additional Amendments,[DSA-SS/CC] See Section 2115 for additional requirements.
2101.2,Section 2101 General,Design Methods,"Masonry shall comply with the provisions of TMS 402, TMS 403 or TMS 404 as well as applicable requirements of this chapter. [OSHPD 1R, 2 &amp; 5] TMS 403 Not permitted by OSHPD."
2101.2.1,Section 2101 General,Masonry Veneer,Masonry veneer shall comply with the provisions of Chapter 14.
2101.2.2,Section 2101 General,Prohibition,"[OSHPD 1R, 2 &amp; 5] The following design methods, systems and materials in TMS402/602 are not permitted by OSHPD:Unreinforced masonry.Autoclaved Aerated Concrete (AAC) Masonry.Empirical design of masonry.Adobe construction.Ordinary reinforced masonry shear walls.Intermediate reinforced masonry shear walls.Prestressed masonry shear walls.Direct design of masonry.Design of masonry infill.Prescriptive design of masonry partition walls.Limit design method.Glass fiber reinforced polymer (GFRP) reinforced masonry."
2101.3,Section 2101 General,Special Inspection,"The special inspection of masonry shall be as defined in Chapter 17, or an itemized testing and inspection program shall be provided that meets or exceeds the requirements of Chapter 17."
2102,Chapter 21 Masonry,Notations,
2102.1,Section 2102 Notations,General,"The following notations are used in the chapter: NOTATIONS. db = Diameter of reinforcement, inches (mm). Fs = Allowable tensile or compressive stress in reinforcement, psi (MPa). fr = Modulus of rupture, psi (MPa). fs = Computed stress in reinforcement due to design loads, psi (MPa). Ls = Distance between supports, inches (mm). ld = Required development length or lap length of reinforcement, inches (mm). P = The applied load at failure, pounds (N). St = Thickness of the test specimen measured parallel to the direction of load, inches (mm). Sw = Width of the test specimen measured parallel to the loading cylinder, inches (mm)."
2103,Chapter 21 Masonry,Masonry Construction Materials,
2103.1,Section 2103 Masonry Construction Materials,Masonry Units,"Concrete masonry units, clay or shale masonry units, stone masonry units, glass unit masonry and AAC masonry units shall comply with Article 2.3 of TMS 602. Architectural cast stone shall conform to TMS 504. [OSHPD 1R, 2 &amp; 5] Architectural cast stone construction shall be considered as an alternative system.Exception: Structural clay tile for nonstructural use in fireproofing of structural members and in wall furring shall not be required to meet the compressive strength specifications. The fire-resistance rating shall be determined in accordance with ASTM E119 or UL 263 and shall comply with the requirements of Table 705.5."
2103.1.1,Section 2103 Masonry Construction Materials,Second-Hand Units,"Second-hand masonry units shall not be reused unless they conform to the requirements of new units. The units shall be of whole, sound materials and free from cracks and other defects that will interfere with proper laying or use. Old mortar shall be cleaned from the unit before reuse."
2103.2,Section 2103 Masonry Construction Materials,Mortar,"Mortar for masonry construction shall comply with Section 2103.2.1, 2103.2.2, 2103.2.3 or 2103.2.4."
2103.2.1,Section 2103 Masonry Construction Materials,Masonry Mortar,Mortar for use in masonry construction shall conform to Articles 2.1 and 2.6 A of TMS 602.
2103.2.2,Section 2103 Masonry Construction Materials,Surface-Bonding Mortar,Surface-bonding mortar shall comply with ASTM C887. Surface bonding of concrete masonry units shall comply with ASTM C946.
