id,section,title,body
24,,Glass and Glazing,"CALIFORNIA BUILDING CODE — MATRIX ADOPTION TABLE CHAPTER 24 — GLASS AND GLAZING (Matrix Adoption Tables are nonregulatory, intended only as an aid to the code user. See Chapter 1 for state agency authority and building applications.) Adopting agency BSC BSC- CG SFM HCD DSA OSHPD BSCC DPH AGR DWR CEC CA SL SLC 1 2 1/AC AC SS SS/CC 1 1R 2 3 4 5 6 Adopt entire chapter X X X X X X Adopt entire chapter as amended (amended sections listed below) X X X X X X X Adopt only those sections that are listed below Chapter / Section 2401.1.1 X X X X X X X 2401.1.2 X X X X X X X 2403.2.1 X X X X X X X Table 2403.2.1 X X X X X X X 2410 X X X X X X X 2410.1, Exception X 2410.1.2, Exception X X 2411 X X X X X The state agency does not adopt sections identified with the following symbol: † The Office of the State Fire Marshal's adoption of this chapter or individual sections is applicable to structures regulated by other state agencies pursuant to Section 1.11. User notes: About this chapter: Chapter 24 establishes regulations for glass and glazing used in buildings and structures. Engineering and design requirements are included in the chapter for glazing that is subjected to wind and snow loads. Another concern of this chapter is glass and glazing used in areas where it is likely to be impacted by the occupants. Section 2406 identifies hazardous locations where glazing must either be safety glazing or protected to prevent impacts by occupants. Safety glazing must meet stringent standards and be appropriately marked or identified. Additional requirements are provided for glass and glazing in guards, handrails, elevator hoistways and elevator cars, as well as in athletic facilities. ICC code development note: Code change proposals to this chapter will be considered by the IBC—Structural Code Development Committee during the 2025 (Group B) Code Development Cycle."
2401,Chapter 24 Glass and Glazing,General,
2401.1,Section 2401 General,Scope,"The provisions of this chapter shall govern the materials, design, construction and quality of glass, light-transmitting ceramic and light-transmitting plastic panels for exterior and interior use in both vertical and sloped applications in buildings and structures. Light-transmitting plastic glazing shall also meet the applicable requirements of Chapter 26."
2401.1.1,Section 2401 General,Application,"[DSA-SS, DSA-SS/CC, OSHPD] The scope of application of Chapter 24 is as follows:Applications listed in Sections 1.10.1, 1.10.2, 1.10.4 and 1.10.5 regulated by the Department of Health Care Access and Information/Office of Statewide Hospital Planning and Development (OSHPD). These applications include hospitals, hospital buildings removed from general acute care service, skilled nursing facility buildings, intermediate care facility buildings, correctional treatment centers and acute psychiatric hospital buildings.Applications listed in Sections 1.9.2.1 and 1.9.2.2, regulated by the Division of the State Architect-Structural Safety (DSA-SS and DSA-SS/CC). These applications include public elementary and secondary schools, community colleges and state-owned or state-leased essential services buildings."
2401.1.2,Section 2401 General,Amendments in This Chapter,"[DSA-SS, DSA-SS/CC, OSHPD] DSA-SS, DSA-SS/CC, OSHPD adopt this chapter and all amendments as amended.OSHPD amendments appear in this chapter preceded with the appropriate acronym, as follows:[OSHPD 1] - For applications listed in Section 1.10.1.[OSHPD 1R] - For applications listed in Section 1.10.1.[OSHPD 2] - For applications listed in Section 1.10.2.[OSHPD 4] - For applications listed in Section 1.10.4.[OSHPD 5] - For applications listed in Section 1.10.5.Division of the State Architect - Structural Safety amendments appear in this chapter preceded by the appropriate acronym, as follows:[DSA-SS] - For applications listed in Section 1.9.2.1.[DSA-SS/CC] - For applications listed in Section 1.9.2.2."
2402,Chapter 24 Glass and Glazing,Glazing Replacement,
2402.1,Section 2402 Glazing Replacement,General,The installation of replacement glass shall be as required for new installations.
2403,Chapter 24 Glass and Glazing,General Requirements for Glass,
2403.1,Section 2403 General Requirements for Glass,Identification,"Each pane shall bear the manufacturer's mark designating the type and thickness of the glass or glazing material. The identification shall not be omitted unless approved and an affidavit is furnished by the glazing contractor certifying that each light is glazed in accordance with approved construction documents that comply with the provisions of this chapter. Safety glazing shall be identified in accordance with Section 2406.3.Each pane of tempered glass, except tempered spandrel glass, shall be permanently identified by the manufacturer. The identification mark shall be acid etched, sand blasted, ceramic fired, laser etched, embossed or of a type that, once applied, cannot be removed without being destroyed.Tempered spandrel glass shall be provided with a removable paper marking by the manufacturer."
2403.2,Section 2403 General Requirements for Glass,Glass Supports,"Where one or more sides of any pane of glass are not firmly supported, or are subjected to unusual load conditions, detailed construction documents, detailed shop drawings and analysis or test data ensuring safe performance for the specific installation shall be prepared by a registered design professional."
