id,section,title,body
1,,Administration,"CALIFORNIA EXISTING BUILDING CODE — MATRIX ADOPTION TABLECHAPTER 1 — ADMINISTRATION (Matrix Adoption Tables are nonregulatory, intended only as an aid to the code user.See Chapter 1 for state agency authority and building applications.) Adopting Agency BSC BSC- CG SFM HCD DSA OSHPD BSCC DPH AGR DWR CEC CA SL SLC 1 2 1/AC AC SS SS/CC 1 1R 2 3 4 5 6 Adopt Entire Chapter Adopt Entire Chapter as amended (amended sections listed below) Adopt only those sections that are listed below X X X X X X X X X X X X X X Chapter / Section Division I — California Administration 1.1 X X X X X X X 1.2 X 1.8 X X 1.9.1 X 1.9.1.1 X 1.9.2 X X 1.9.2.1 X 1.9.2.2 X 1.10.1 X X 1.10.2 X 1.10.3 X 1.10.4 X 1.10.5 X 1.10.6 X 1.11 X Division II — Scope and Administration 101.2 X X 101.2.2 X 101.5 — 101.6 X 101.7 X X X X X 102 X X X X X 104 X X X X 105.1 X 105.2 Building: 1-6 X X 105.2.1 — 105.2.2 X 105.3 — 105.3.1 X 105.5.1 X X 105.6 — 105.7 X 106.1 X X 106.2.1 X X 106.2.3— 106.2.6 X X 106.2.5 X X X 106.4— 106.5 X 107 X 107.1 X X X X X 109.3 — 109.3.11 X X 109.3.6 X X X X 109.3.7 X 110 X 111 X 113 X 114 X 115 X 116.1 X The state agency does not adopt sections identified with the following symbol : † The Office of the State Fire Marshal's adoption of this chapter or individual sections is applicable to structures regulated by other state agencies pursuant to Section 1.11."
divider_1_I,Chapter 1 Administration,California Administration,
1.1,Chapter 1 Administration,General,
1.1.1,Chapter 1 Administration,Title,"These regulations shall be known as the California Existing Building Code, may be cited as such and will be referred to herein as ""this code."" The California Existing Building Code is Part 10 of thirteen parts of the official compilation and publication of the adoption, amendment and repeal of building regulations to the California Code of Regulations, Title 24, also referred to as the California Building Standards Code. This part incorporates by adoption the 2024 International Existing Building Code of the International Code Council with necessary California amendments."
1.1.2,Chapter 1 Administration,Purpose,"The purpose of this code is to establish the minimum requirements to safeguard the public health, safety and general welfare through structural strength, means of egress facilities, stability, access to persons with disabilities, sanitation, adequate lighting and ventilation and energy conservation; safety to life and property from fire and other hazards attributed to the built environment; and to provide safety to firefighters and emergency responders during emergency operations."
1.1.3,Chapter 1 Administration,Scope,"The provisions of this code shall apply to the construction, alteration, movement, enlargement, replacement, repair, equipment, use and occupancy, location, maintenance, removal and demolition of every building or structure or any appurtenances connected or attached to such buildings or structures throughout the State of California. [HCD 1 &amp; 2] The provisions of this code shall apply to repair, alteration, change of occupancy, addition to and relocation of every existing building or structure or any appurtenances connected or attached to such buildings or structures throughout the State of California."
1.1.3.1,Chapter 1 Administration,"Nonstate-Regulated Buildings, Structures and Applications","Except as modified by local ordinance pursuant to Section 1.1.8, the following standards in the California Code of Regulations, Title 24, Parts 2, 2.5, 3, 4, 5, 6, 7, 9, 10 and 11 shall apply to all occupancies and applications not regulated by a state agency."
1.1.3.2,Chapter 1 Administration,"State-Regulated Buildings, Structures and Applications","The model code, state amendments to the model code and/or state amendments where there are no relevant model code provisions shall apply to the following buildings, structures and applications regulated by state agencies as specified in Sections 1.2 through 1.14, except where modified by local ordinance pursuant to Section 1.1.8. When adopted by a state agency, the provisions of this code shall be enforced by the appropriate enforcing agency, but only to the extent of authority granted to such agency by the state legislature. Note: See ""How to Distinguish Between Model Code Language and California Amendments"" in the front of the code. State-owned buildings, including buildings constructed by the Trustees of the California State University, and to the extent permitted by California laws, buildings designed and constructed by the Regents of the University of California, and regulated by the Building Standards Commission. See Section 1.2 for additional scope provisions. Section 1.3 is reserved for the Board of State Community Corrections. Section 1.4 is reserved for the Department of Consumer Affairs. Section 1.5 is reserved for the California Energy Commission. Section 1.6 is reserved for the Department of Food and Agriculture. Section 1.7 is reserved for the Department of Public Health. Hotels, motels, lodging houses, apartments, dwellings, dormitories, condominiums, shelters for homeless persons, congregate residences, employee housing, factory-built housing and other types of dwellings containing sleeping accommodations with or without common toilets or cooking facilities. See Section 1.8.2.1.1 for additional scope provisions. Accommodations for persons with disabilities in buildings containing newly constructed covered multifamily dwellings, new common use areas serving existing covered multifamily dwellings, additions to existing buildings where the addition alone meets the definition of covered multifamily dwelling, and new common-use areas serving new covered multifamily dwellings, which are regulated by the Department of Housing and Community Development. See Section 1.8.2.1.2 for additional scope provisions. Permanent buildings and permanent accessory buildings or structures constructed within mobilehome parks and special occupancy parks regulated by the Department of Housing and Community Development. See Section 1.8.2.1.3 for additional scope provisions. Accommodations for persons with disabilities regulated by the Division of the State Architect. See Section 1.9.1 for additional scope provisions. Public elementary and secondary schools, community college buildings and state-owned or state-leased essential service buildings regulated by the Division of the State Architect. See Section 1.9.2 for additional scope provisions. Qualified historical buildings and structures and their associated sites regulated by the State Historical Building Safety Board with the Division of the State Architect. General acute care hospitals, acute psychiatric hospitals, skilled nursing and/or intermediate care facilities, clinics licensed by the Department of Public Health and correctional treatment centers regulated by the Office of Statewide Health Planning and Development. See Section 1.10 for additional scope provisions. Applications regulated by the Office of the State Fire Marshal include, but are not limited to, the following in accordance with Section 1.11: Buildings or structures used or intended for use as an: Asylum, jail, prison Mental hospital, hospital, home for the elderly, children's nursery, children's home or institution, school or any similar occupancy of any capacity Theater, dancehall, skating rink, auditorium, assembly hall, meeting hall, nightclub, fair building or similar place of assemblage where 50 or more persons may gather together in a building, room or structure for the purpose of amusement, entertainment, instruction, deliberation, worship, drinking or dining, awaiting transportation, or education Small family day-care homes, large family day-care homes, residential facilities and residential facilities for the elderly, residential care facilities State institutions or other state-owned or state-occupied buildings High-rise structures Motion picture production studios Organized camps Residential structures Tents, awnings or other fabric enclosures used in connection with any occupancy Fire alarm devices, equipment and systems in connection with any occupancy Hazardous materials, flammable and combustible liquids Public school automatic fire detection, alarm and sprinkler systems Wildland-urban interface fire areas Section 1.12 is reserved for the State Librarian. Section 1.13 is reserved for the Department of Water Resources. For applications listed in Section 1.9.1 regulated by the Division of the State Architect-Access Compliance, outdoor environments and uses shall be classified according to accessibility uses described in Chapter 11B contained in the California Building Code. Section 1.14 is reserved for the California State Lands Commission."
1.1.4,Chapter 1 Administration,Appendices,"Provisions contained in the appendices of this code shall not apply unless specifically adopted by a state agency or adopted by a local enforcing agency in compliance with Health and Safety Code Section 18901 et seq. for Building Standards Law, Health and Safety Code Section 17950 for State Housing Law and Health and Safety Code Section 13869.7 for Fire Protection Districts. See Section 1.1.8 of this code."
1.1.5,Chapter 1 Administration,Referenced Codes,"The codes, standards and publications adopted and set forth in this code, including other codes, standards and publications referred to therein are, by title and date of publication, hereby adopted as standard reference documents of this code. When this code does not specifically cover any subject related to building design and construction, recognized architectural or engineering practices shall be employed. The National Fire Codes, standards and the Fire Protection Handbook of the National Fire Protection Association are permitted to be used as authoritative guides in determining recognized fire prevention engineering practices."
