id,section,title,body
11,,Additions,"CALIFORNIA EXISTING BUILDING CODE — MATRIX ADOPTION TABLECHAPTER 11 — ADDITIONS (Matrix Adoption Tables are nonregulatory, intended only as an aid to the code user.See Chapter 1 for state agency authority and building applications.) Adopting Agency BSC BSC- CG SFM HCD DSA OSHPD BSCC DPH AGR DWR CEC CA SL SLC 1 2 1/AC AC SS SS/CC 1 1R 2 3 4 5 6 Adopt Entire Chapter X X Adopt Entire Chapter as amended (amended sections listed below) X Adopt only those sections that are listed below Chapter / Section 1101.1 X 1101.5 X † † 1101.6 † † 1102.2 X 1102.3 Exception † † 1102.4 X The state agency does not adopt sections identified with the following symbol: † The Office of the State Fire Marshal's adoption of this chapter or individual sections is applicable to structures regulated by other state agencies pursuant to Section 1.11. User notes: About this chapter: Chapter 11 provides the requirements for additions, which correlate to the code requirements for new construction. There are, however, some exceptions that are specifically stated within this chapter. An ""Addition"" is defined in Chapter 2 as ""an extension or increase in the floor area, number of stories or height of a building or structure."" Chapter 11 contains the minimum requirements for an addition that is not separated from the existing building by a fire wall."
1101,Chapter 11 Additions,General,
1101.1,Section 1101 General,Scope,"An addition to a building or structure shall comply with the California Building Standards Codes as adopted for new construction without requiring the existing building or structure to comply with any requirements of those codes or of these provisions, except as required by this chapter. Where an addition or alteration impacts the existing building or structure, the result of the addition or alteration shall not put the existing building or structure out of compliance with the California Building or Residential Code as applicable. The provisions of height and area of the California Building or Residential Code shall apply to the entire existing building with the additions."
1101.2,Section 1101 General,Creation or Extension of Nonconformity,"An addition shall not create or extend any nonconformity in the existing building to which the addition is being made with regard to accessibility, structural strength, supports and attachments for nonstructural components, fire safety, means of egress or the capacity of mechanical, plumbing or electrical systems. Exception: Nonconforming supports and attachments for nonstructural components that serve the addition from within the existing building need not be altered to comply with California Building Code Section 1613 unless the components are part of the addition's life safety system or are required to serve an addition assigned to Risk Category IV."
1101.3,Section 1101 General,Risk Category Assignment,"Where the addition and the existing building have different occupancies, the risk category of each existing and added occupancy shall be determined in accordance with Section 1604.5.1 of the California Building Code. Where application of that section results in a higher risk category for the existing building compared with the risk category for the existing building before the addition, such a change shall be considered a change of occupancy and shall comply with Chapter 10 of this code. Where application of that section results in a higher risk category for the addition compared with the risk category for the addition by itself, the addition and any systems in the existing building required to serve the addition shall comply with the requirements of the California Building Code for new construction for the higher risk category."
1101.4,Section 1101 General,Other Work,Any repair or alteration work within an existing building to which an addition is being made shall comply with the applicable requirements for the work as classified in Chapter 6.
1101.5,Section 1101 General,Smoke Barriers in Group R-2.1,"Where an addition to an existing Group R-2.1 building adds sleeping areas that result in more than 50 care recipients on a story, smoke barriers shall be provided to subdivide such story into not fewer than two smoke compartments in accordance with Section 420.6 of the California Building Code. Exception: Where the existing building is divided into smoke compartments and the addition does not result in any individual smoke compartment exceeding the size and travel distance requirements in Section 420.6 of the California Building Code, additional smoke barriers are not required."
1101.6,Section 1101 General,Enhanced Classroom Acoustics,"In Group E occupancies, enhanced classroom acoustics shall be provided in all classrooms in the addition with a volume of 20,000 cubic feet (565 m3) or less. Enhanced classroom acoustics shall comply with the reverberation time in Section 808 of ICC A117.1."
1101.7,Section 1101 General,Occupiable Roofs,"Where a new occupiable roof is added to a building or structure, the occupiable roof shall comply with the provisions of the California Building Code."
1102,Chapter 11 Additions,Heights and Areas,
