id,section,title,body
2,,Definitions,"CALIFORNIA EXISTING BUILDING CODE — MATRIX ADOPTION TABLECHAPTER 2 — DEFINITIONS (Matrix Adoption Tables are nonregulatory, intended only as an aid to the code user. See Chapter 1 for state agency authority and building applications.) Adopting Agency BSC BSC- CG SFM HCD DSA OSHPD BSCC DPH AGR DWR CEC CA SL SLC 1 2 1/AC AC SS SS/CC 1 1R 2 3 4 5 6 Adopt Entire Chapter X X Adopt Entire Chapter as amended (amended sections listed below) X X X X X X X X Adopt only those sections that are listed below X X X X Chapter / Section 201 X X 201.3 X X X X X ACCESSORY DWELLING UNIT X X ADDITION X ALTERATION X APPROVED X X X BUILDING X X X BUILDING OFFICIAL X X X X X X X X X X CHANGE IN FUNCTION X X X X X CHANGE OF OCCUPANCY X CODE OFFICIAL X X X X X X X X CRITICAL CARE AREA X DANGEROUS X ENFORCEMENT AGENCY X X X EQUIPMENT OR FIXTURE X EXISTING BUILDING X EXISTING STRUCTURE X EXISTING STRUCTURE X X X X X EXTERIOR ELEVATED ELEMENT X X FACILITY X GENERAL ACUTE CARE HOSPITAL X INCIDENTAL STRUCTURAL ALTERATIONS, ADDITIONS OR REPAIRS X X X X X MAJOR STRUCTURAL ALTERATIONS X X X X X MINOR STRUCTURAL ALTERATIONS, ADDITIONS OR REPAIRS X X X X X NONCOMBUSTIBLE MATERIAL X NONSTRUCTURAL ALTERATION X X X X X PRIMARY FUNCTION X REGISTERED DESIGN PROFESSIONAL IN RESPONSIBLE CHARGE X REPAIR X X X REPAIR X REROOFING X ROOF COATING X ROOF RECOVER X ROOF REPAIR X ROOF REPLACEMENT X SPC SEISMIC SEPARATION X X SUBSTANDARD BUILDING X X SUBSTANTIAL STRUCTURAL DAMAGE X X UNREINFORCED CONCRETE X X X X X UNREINFORCED MASONRY X X X X X UNSAFE X X X VOLUNTARY STRUCTURAL IMPROVEMENTS X X X X X WORK AREA X The state agency does not adopt sections identified with the following symbol: † The Office of the State Fire Marshal's adoption of this chapter or individual sections is applicable to structures regulated by other state agencies pursuant to Section 1.11. User notes: About this chapter: Codes, by their very nature, are technical documents. Every word, term and punctuation mark can add to or change the meaning of a technical requirement. It is necessary to maintain a consensus on the specific meaning of each term contained in the code. Chapter 2 performs this function by stating clearly what specific terms mean for the purpose of the code."
201,Chapter 2 Definitions,General,
201.1,Section 201 General,Scope,"Unless otherwise expressly stated, the following words and terms shall, for the purposes of this code, have the meanings shown in this chapter."
201.2,Section 201 General,Interchangeability,"Words used in the present tense include the future; words stated in the masculine gender include the feminine and neuter; the singular number includes the plural and the plural, the singular."
201.3,Section 201 General,Terms Defined in Other Codes,"Where terms are not defined in this code and are defined in the other California Codes, such terms shall have the meanings ascribed to them in those codes. [OSHPD 1, 1R, 2, 4 &amp; 5] For terms not defined in this chapter, refer to Chapters 6 and 7 of the California Administrative Code, and Chapter 2 of the California Building Code. [DSA-SS &amp; DSA-SS/CC] Definitions of terms given in Section 4-207 or 4-314 of the California Administrative Code govern over those in Section 202."
201.4,Section 201 General,Terms Not Defined,"Where terms are not defined through the methods authorized by this chapter, such terms shall have ordinarily accepted meanings such as the context implies."
202,Chapter 2 Definitions,General Definitions,
accessory_dwelling_unit_hcd_1_hcd_2_,Section 202 General Definitions,Accessory Dwelling Unit,"[HCD 1 &amp; HCD 2] An attached or detached residential dwelling unit that provides complete independent living facilities for one or more persons and is located on a lot with a proposed or existing primary residence. Accessory dwelling units shall include permanent provisions for living, sleeping, eating, cooking and sanitation on the same parcel as the single-family or multifamily dwelling is or will be situated. (See Government Code Section 65852.2.)"
addition_,Section 202 General Definitions,Addition,"An extension or increase in floor area, number of stories, or height of a building or structure."
alteration_,Section 202 General Definitions,Alteration,Any construction or renovation to an existing structure other than a repair or addition.
ambulatory_care_facility_,Section 202 General Definitions,Ambulatory Care Facility,"Buildings or portions thereof used to provide medical, surgical, psychiatric, nursing or similar care on a less than 24-hour basis to persons who are rendered incapable of self-preservation by the services provided or staff has accepted responsibility for care recipients already incapable."
approved_,Section 202 General Definitions,Approved,"Acceptable to the code official. Exception: [HCD 1 &amp; HCD 2] ""Approved"" means meeting the approval of the Enforcing Agency, except as otherwise provided by law, when used in connection with any system, material, type of construction, fixture or appliance as the result of investigations and tests conducted by the agency, or by reason of accepted principles or tests by national authorities, or technical, health, or scientific organizations or agencies.Notes:See Health and Safety Code Section 17920 for ""Approved"" as applied to residential construction and buildings or structures accessory thereto as referenced in Section 1.8.2.See Health and Safety Code Section 17921.1 for ""Approved"" as applied to the use of hotplates in residential construction as referenced in Section 1.8.2.See Health and Safety Code Section 19966 for ""Approved"" as applied to Factory-Built Housing as referenced in Section 1.8.3.2.5.See Health and Safety Code Section 18201 for ""Approved"" as applied to Mobilehome Parks as referenced in Section 1.8.2.See Health and Safety Code Section 18862.1 for ""Approved"" as applied to Special Occupancy Parks as referenced in Section 1.8.2."
approved_agency_,Section 202 General Definitions,Approved Agency,"An established and recognized organization that is regularly engaged in conducting tests, furnishing inspection services or furnishing product evaluation or certification where such organization has been approved by the code official."
building_,Section 202 General Definitions,Building,"Any structure utilized or intended for supporting or sheltering any use or occupancy. Exception: [HCD 1, HCD 2 &amp; HCD 1-AC] For applications listed in Section 1.8.2 regulated by the Department of Housing and Community Development, ""Building"" shall not include the following: Any mobilehome as defined in Health and Safety Code Section 18008. Any manufactured home as defined in Health and Safety Code Section 18007. Any commercial modular as defined in Health and Safety Code Section 18001.8 or any special purpose commercial modular as defined in Section 18012.5. Any recreational vehicle as defined in Health and Safety Code, Section 18010. Any multifamily manufactured home as defined in Health and Safety Code Section 18008.7. For additional information, see Health and Safety Code Section 18908.Note: Building shall have the same meaning as defined in Health and Safety Code Sections 17920 and 18908 for the applications specified in Section 1.11."
building_official_,Section 202 General Definitions,Building Official,"[BSC, DSA-SS, DSA-SS/CC] The individual within the agency or organization charged with responsibility for compliance with the requirements of this code. For some agencies this person is termed the ""enforcement agent."""
building_official_1_,Section 202 General Definitions,Building Official,"[HCD 1, HCD 2] [OSHPD 1, 1R, 2, 4 &amp; 5] The officer or other designated authority charged with the administration and enforcement of this code, or a duly authorized representative."
change_in_function_oshpd_1_1r_2_4_5_,Section 202 General Definitions,Change in Function,"[OSHPD 1, 1R, 2, 4 &amp; 5] See California Building Code Section 1224.3."
change_of_occupancy_,Section 202 General Definitions,Change of Occupancy,"Any of the following shall be considered as a change of occupancy where the current California Building Code requires a greater degree of safety, accessibility, structural strength, fire protection, means of egress, ventilation or sanitation than is existing in the current building or structure:Any change in the occupancy classification of a building or structure.Any change in the purpose of, or a change in the level of activity within, a building or structure.A change of use."
change_of_use_,Section 202 General Definitions,Change of Use,"A change in the use of a building or a portion of a building, within the same group classification, for which there is a change in application of the code requirements."
code_official_,Section 202 General Definitions,Code Official,"The officer or other designated authority charged with the administration and enforcement of this code.[HCD 1 &amp; HCD 2] [OSHPD 1, 1R, 2, 4 &amp; 5] ""Code Official"" shall mean ""Building Official"" as defined in this code."
critical_care_area_oshpd_1_,Section 202 General Definitions,Critical Care Area,[OSHPD 1] See California Administrative Code Chapter 6.
dangerous_,Section 202 General Definitions,Dangerous,"Any building, structure or portion thereof that meets any of the conditions described below shall be deemed dangerous:The building or structure has collapsed, has partially collapsed, has moved off its foundation or lacks the necessary support of the ground.There exists a significant risk of collapse, detachment or dislodgement of any portion, member, appurtenance or ornamentation of the building or structure under permanent, routine or frequent loads; under actual loads already in effect; or under snow, wind, rain, flood, earthquake aftershock or other environmental loads when such loads are imminent."
deferred_submittal_,Section 202 General Definitions,Deferred Submittal,Those portions of the design that are not submitted at the time of the application and that are to be submitted to the code official within a specified period.
disproportionate_earthquake_damage_,Section 202 General Definitions,Disproportionate Earthquake Damage,"A condition of earthquake-related damage where both of the following occur: The 0.3-second spectral acceleration at the building site for the earthquake in question, as estimated by one of the following, is less than 30 percent of the mapped acceleration parameter SS: The United States Geological Survey's algorithm for the data point closest to the site. As determined from peer-reviewed seismograph records from the site or from locations closer to the site than the algorithm-provided data points. The vertical elements of the lateral force-resisting system have suffered damage such that the lateral load-carrying capacity of any story in any horizontal direction has been reduced by more than 10 percent from its pre-earthquake condition."
emergency_escape_and_rescue_opening_,Section 202 General Definitions,Emergency Escape and Rescue Opening,"An operable exterior window, door or other similar device that provides for a means of escape and access for rescue in the event of an emergency."
enforcement_agency_bsc_dsa_ss_dsa_ss_cc_,Section 202 General Definitions,Enforcement Agency,"[BSC, DSA-SS, DSA-SS/CC] The agency or organization charged with responsibility for agency or organization compliance with the requirements of this code, also known as the Authority Having Jurisdiction in ASCE 41."
equipment_or_fixture_,Section 202 General Definitions,Equipment or Fixture,"Any plumbing, heating, electrical, ventilating, air conditioning, refrigerating and fire protection equipment; and elevators, dumbwaiters, escalators, boilers, pressure vessels and other mechanical facilities; or installations that are related to building services. Equipment or fixture shall not include manufacturing, production or process equipment, but shall include connections from building service to process equipment."
existing_building_,Section 202 General Definitions,Existing Building,"A building erected prior to the date of adoption of the appropriate code, or one for which a legal building permit has been issued."
existing_structure_,Section 202 General Definitions,Existing Structure,"A structure erected prior to the date of adoption of the appropriate code, or one for which a legal building permit has been issued."
existing_structure_oshpd_1_1r_2_4_5_,Section 202 General Definitions,Existing Structure,"[OSHPD 1, 1R, 2, 4 &amp; 5] A structure that has a valid certificate of occupancy issued by the building official."
exterior_elevated_element_,Section 202 General Definitions,Exterior Elevated Element,See Government Code Section 17973(b)(2).
exterior_wall_covering_,Section 202 General Definitions,Exterior Wall Covering,"A material or assembly of materials applied on the exterior side of exterior walls for the purpose of providing a weather-resisting barrier, insulation or for aesthetics, including but not limited to, veneers, siding, exterior insulation and finish systems, architectural trim and embellishments, such as cornices, soffits, facias, gutters and leaders."
exterior_wall_envelope_,Section 202 General Definitions,Exterior Wall Envelope,"A system or assembly of exterior wall components, including exterior wall finish materials, that provides protection of the building structural members, including framing and sheathing materials, and conditioned interior space from the detrimental effects of the exterior environment."
facility_,Section 202 General Definitions,Facility,"All or any portion of buildings, structures, site improvements, elements and pedestrian or vehicular routes located on a site."
