id,section,title,body
3,,Provisions for All Compliance Methods,"CALIFORNIA EXISTING BUILDING CODE — MATRIX ADOPTION TABLECHAPTER 3 — PROVISIONS FOR ALL COMPLIANCE METHODS (Matrix Adoption Tables are nonregulatory, intended only as an aid to the code user.See Chapter 1 for state agency authority and building applications.) Adopting Agency BSC BSC-CG SFM HCD DSA OSHPD BSCC DPH AGR DWR CEC CA SL SLC 1 2 1/AC AC SS SS/CC 1 1R 2 3 4 5 6 Adopt Entire Chapter X X Adopt Entire Chapter as amended (amended sections listed below) Adopt only those sections that are listed below X X X X X X X X X X X Chapter / Section 301.1 — 301.3.1 X X X X X 301.1 X X 301.1 Exception 1 X 301.1 Exception 2 X 301.1 Exception 3 X 301.1 Exception 4 X X 301.1 Exception 5 X X X X 301.1.1 X X X 301.3 X X X X X X X 301.3.1 Exception X X X X 301.3.2 X X X 301.3.3 X X 301.4 X X 302 X X X X X 302.1.1 X 302.2 X X 302.4 X 302.5 X 304 X X X X X X 304.1 X X X 304.2 X X X 305 X X X X X X X 307 — 308 X 308.2 X X 309.2.1 X 310 — 311 X X X 312 X 313 — 316 X 317 — 322 X X X 323 X X The state agency does not adopt sections identified with the following symbol: † The Office of the State Fire Marshal's adoption of this chapter or individual sections is applicable to structures regulated by other state agencies pursuant to Section 1.11. User notes: About this chapter: Chapter 3 explains the three compliance options for alterations and additions available in the code. In addition, this chapter also lays out the methods to be used for seismic design and evaluation throughout this code. Finally, this chapter clarifies that provisions in other I-Codes related to repairs, alterations, additions, relocation and changes of occupancy must also be addressed unless they conflict with this code. In that case, this code takes precedence."
301,Chapter 3 Provisions for All Compliance Methods,Administration,
301.1,Section 301 Administration,Applicability,"The repair, alteration, change of occupancy, addition or relocation of all existing buildings shall comply with Section 301.2, 301.3 or 301.4. The provisions of Sections 302 through 309 shall apply to all alterations, repairs, additions, relocation of structures and changes of occupancy regardless of compliance method. [OSHPD 1R, 2, 4 and 5] Section 301.4 not permitted by OSHPD. Exceptions: Existing state-owned structures. [BSC] The repair, alteration, change of occupancy, addition or relocation of all existing buildings shall comply with the provisions of Sections 317 through 322 as the minimum standards for earthquake evaluation and design for retrofit of existing state-owned structures, including buildings owned by the University of California, the California State University or the Judicial Council. The provisions of Sections 317 through 322 may be adopted by a local jurisdiction for earthquake evaluation and design for retrofit of existing buildings. Public school buildings [DSA-SS] The provisions of Sections 317 through 323 establish minimum standards for earthquake evaluation and design for the rehabilitation of existing buildings for use as public school buildings under the jurisdiction of the Division of the State Architect—Structural Safety (DSA-SS, refer to Section 1.9.2.1) where required by Sections 4-307 and 4-309(c) of the California Administrative Code. The provisions of Sections 317 through 323 also establish minimum standards for earthquake evaluation and design for rehabilitation of existing public school buildings currently under the jurisdiction of DSA-SS. Community college buildings. [DSA-SS/CC] The provisions of Sections 317 through 323 establish minimum standards for earthquake evaluation and design for the rehabilitation of existing buildings for use as community college buildings under the jurisdiction of the Division of the State Architect—Structural Safety/Community Colleges (DSA-SS/CC, refer to Section 1.9.2.2) where required by Sections 4-307 and 4-309(c) of the California Administrative Code. The provisions of Sections 317 through 323 also establish minimum standards for earthquake evaluation and design for rehabilitation of existing community college buildings currently under the jurisdiction of DSA-SS/CC. [HCD 1] In addition to the requirements in this chapter, maintenance, alteration, repair, addition or change of occupancy to existing buildings and accessory structures under the authority of the Department of Housing and Community Development, as provided in Section 1.8.2.1.1, shall comply with California Code of Regulations, Title 25, Division 1, Chapter 1, Subchapter 1. Exceptions: [HCD 2] For moved buildings and maintenance, alteration, repair, addition or change of occupancy to existing buildings and accessory structures in mobilehome parks or special occupancy parks as provided in Section 1.8.2.1.3, see California Code of Regulations, Title 25, Division 1, Chapters 2 and 2.2. [HCD 1] Limited-density owner-built rural dwellings, as defined in Chapter 2 of the California Residential Code. Hospital buildings removed from acute care service, skilled nursing facilities, intermediate-care facilities, correctional treatment centers and acute-psychiatric hospitals [OSHPD 1R, 2, 4 and 5]. The provisions of adopted sections in Chapters 3 through 5 shall control the alteration, repair and change of occupancy or function of existing structures for applications listed in Section 1.10.1, 1.10.2, 1.10.4 and 1.10.5 regulated by the Department of Health Care Access and Information/Office of Statewide Hospital Planning and Development (OSHPD). Functional service spaces shall comply with the requirements in the California Building Code, Sections 1224, 1225, 1226, 1227 and 1228."
301.1.1,Section 301 Administration,"Bleachers, Folding and Telescopic Seating and Grandstands","Existing bleachers, folding and telescopic seating and grandstands shall comply with ICC 300."
301.2,Section 301 Administration,Repairs,Repairs shall comply with the requirements of Chapter 4.
301.3,Section 301 Administration,"Alteration, Addition or Change of Occupancy","The alteration, addition or change of occupancy of all existing buildings shall comply with one of the methods listed in Section 301.3.1, 301.3.2 or 301.3.3 as selected by the applicant. Sections 301.3.1 through 301.3.3 shall not be applied in combination with each other. [OSHPD 1R, 2, 4 and 5] Sections 301.3.2 and 301.3.3, not adopted by OSHPD.Exception: Subject to the approval of the code official, alterations complying with the laws in existence at the time the building or the affected portion of the building was built shall be considered in compliance with the provisions of this code. New structural members added as part of the alteration shall comply with the California Building Code. This exception shall not apply to the following:Alterations for accessibility required by the California Building Code, Chapter 11A.Alterations that constitute substantial improvement in flood hazard areas, which shall comply with Sections 503.2, 701.3 or 1303.1.3.Structural provisions of Section 304, Chapter 5 or to the structural provisions of Sections 706, 805 and 906."
301.3.1,Section 301 Administration,Prescriptive Compliance,"Alterations, additions and changes of occupancy complying with Chapter 5 of this code in buildings complying with the California Fire Code shall be considered in compliance with the provisions of this code.Exception: Hospital buildings removed from acute care service, skilled nursing facilities, intermediate-care facilities, correctional treatment centers and acute psychiatric hospitals [OSHPD 1R, 2, 4 and 5]. The provisions of adopted sections in Chapters 3 through 5 shall control the alteration, repair and change of occupancy or function of existing structures for applications listed in Section 1.10.1, 1.10.2, 1.10.4 and 1.10.5 regulated by the Department of Health Care Access and Information/Office of Statewide Hospital Planning and Development (OSHPD). Refer to Chapter 3A for services, systems and utilities that serve OSHPD 1 buildings."
301.3.2,Section 301 Administration,Work Area Compliance Method,"Alterations, additions and changes of occupancy complying with the applicable requirements of Chapters 6 through 12 of this code shall be considered in compliance with the provisions of this code."
301.3.3,Section 301 Administration,Performance Compliance Method,"Alterations, additions and changes of occupancy complying with Chapter 13 of this code shall be considered in compliance with the provisions of this code.Note: [HCD 1 &amp; HCD 2] The provisions contained in Chapter 13 are not adopted by HCD, but may be available for adoption by a local ordinance. (See Section 1.1.11.)"
301.4,Section 301 Administration,Relocated or Moved Buildings,Relocated or moved buildings shall comply with the requirements of Chapter 14.
