id,section,title,body
4,,Repairs,"CALIFORNIA EXISTING BUILDING CODE — MATRIX ADOPTION TABLECHAPTER 4 — REPAIRS (Matrix Adoption Tables are nonregulatory, intended only as an aid to the code user. See Chapter 1 for state agency authority and building applications.) Adopting Agency BSC BSC- CG SFM HCD DSA OSHPD BSCC DPH AGR DWR CEC CA SL SLC 1 2 1/AC AC SS SS/CC 1 1R 2 3 4 5 6 Adopt Entire Chapter X X Adopt Entire Chapter as amended (amended sections listed below) X X X X X X Adopt only those sections that are listed below X X X Chapter / Section 401.1 X X X X X 401.1.1 X X 401.1.2 X 401.2 X 401.3 X 402 X 402.2 X X 402.3 X X 403 X 404 X 405.2.1 — 405.2.5 † † 405.2.3.1 X 405.2.6 X 406 X † † † † 406.1 X 407.1 X X X X 408 X 408.1 X X X X 408.2 X X X X 408.3 † † The state agency does not adopt sections identified with the following symbol: † The Office of the State Fire Marshal's adoption of this chapter or individual sections is applicable to structures regulated by other state agencies pursuant to Section 1.11. User notes: About this chapter: Chapter 4 provides requirements for repairs of existing buildings. The provisions define conditions under which repairs may be made using materials and methods like those of the original construction or the extent to which repairs must comply with requirements for new buildings."
401,Chapter 4 Repairs,General,
401.1,Section 401 General,Scope,"Repairs shall comply with the requirements of this chapter. Repairs to historic buildings and structures shall comply with Part 8, Title 24, C.C.R. [OSHPD 1R, 2, 4 &amp; 5] Repairs to historic buildings not adopted by OSHPD. Repairs shall comply with the requirements in the California Building Code, Sections 1224.2, 1225.2, 1226.2, 1227.2 and 1228.2 for functional requirements as applicable."
401.1.1,Section 401 General,"Bleachers, Folding and Telescopic Seating and Grandstands","Repairs to existing bleachers, folding and telescopic seating and grandstands shall comply with ICC 300."
401.1.2,Section 401 General,Scope,"[BSC] For state-owned buildings, including those owned by the University of California and the California State University and the Judicial Council, the requirements of Sections 405.2.1 and 405.2.3 are replaced by the requirements of Sections 317 through 322."
401.2,Section 401 General,Compliance,The work shall not make the building less complying than it was before the repair was undertaken. Work on nondamaged components that is necessary for the required repair of damaged components shall be considered part of the repair and shall not be subject to requirements for alterations.
401.3,Section 401 General,Flood Hazard Areas,"In flood hazard areas, repairs that constitute substantial improvement shall require that the building comply with Section 1612 of the California Building Code, or Section R306 of the California Residential Code, as applicable."
402,Chapter 4 Repairs,Building Elements and Materials,
402.1,Section 402 Building Elements and Materials,Glazing in Hazardous Locations,"Replacement glazing in hazardous locations shall comply with the safety glazing requirements of the California Building Code or California Residential Code as applicable.Exception: Glass block walls, louvered windows and jalousies repaired with like materials."
402.2,Section 402 Building Elements and Materials,Existing Materials,[HCD] Existing materials shall comply with Section 302.3.
402.3,Section 402 Building Elements and Materials,New and Replacement Materials,[HCD &amp; HCD 2] New and replacement materials used for repairs shall comply with Section 302.4.
403,Chapter 4 Repairs,Fire Protection,
403.1,Section 403 Fire Protection,General,Repairs shall be done in a manner that maintains the level of fire protection provided.
404,Chapter 4 Repairs,Means of Egress,
404.1,Section 404 Means of Egress,General,Repairs shall be done in a manner that maintains the level of protection provided for the means of egress.
405,Chapter 4 Repairs,Structural,
405.1,Section 405 Structural,General,Structural damage shall be repaired in compliance with this section and Section 401.2.
405.1.1,Section 405 Structural,Structural Concrete,"Repair of structural concrete shall be permitted to comply with ACI 562 Section 1.7, except where Section 405.2.2, 405.2.3 or 405.2.4.1 requires compliance with Section 304.3."
405.2,Section 405 Structural,Repairs to Damaged Buildings,Repairs to damaged buildings shall comply with this section.
405.2.1,Section 405 Structural,Repairs for Less Than Substantial Structural Damage,"Unless otherwise required by this section, for damage less than substantial structural damage, the damaged elements shall be permitted to be restored to their predamage condition."
405.2.1.1,Section 405 Structural,Snow Damage,"Structural components whose damage was caused by or related to snow load effects shall be repaired, replaced or altered to satisfy the requirements of Section 1608 of the California Building Code."
405.2.2,Section 405 Structural,Disproportionate Earthquake Damage,"A building assigned to Seismic Design Category D, E or F that has sustained disproportionate earthquake damage shall be subject to the requirements for buildings with substantial structural damage to vertical elements of the lateral force-resisting system."
405.2.3,Section 405 Structural,Substantial Structural Damage to Vertical Elements of the Lateral Force-Resisting System,"A building that has sustained substantial structural damage to the vertical elements of its lateral force-resisting system shall be evaluated in accordance with Section 405.2.3.1, and either repaired in accordance with Section 405.2.3.2 or repaired and retrofitted in accordance with Section 405.2.3.3, depending on the results of the evaluation.Exceptions:Buildings assigned to Seismic Design Category A, B or C whose substantial structural damage was not caused by earthquake need not be evaluated or retrofitted for load combinations that include earthquake effects.One- and two-family dwellings need not be evaluated or retrofitted for load combinations that include earthquake effects."
405.2.3.1,Section 405 Structural,Evaluation,"The building shall be evaluated by a registered design professional, and the evaluation findings shall be submitted to the code official. The evaluation shall establish whether the lateral force-resisting system of the damaged building, including its foundation, if repaired to its predamage state, would comply with the provisions of the California Building Code for load combinations that include wind effects, and with Section 304.3.2 of this code."
405.2.3.2,Section 405 Structural,Extent of Repair for Compliant Buildings,"If the evaluation establishes that the building in its predamage condition complies with the provisions of Section 405.2.3.1, then the damaged elements shall be permitted to be restored to their predamage condition."
405.2.3.3,Section 405 Structural,Extent of Repair for Noncompliant Buildings,"If the evaluation does not establish that the lateral force-resisting system of the building in its predamage condition complies with the provisions of Section 405.2.3.1, then the lateral force-resisting system, and its foundation, shall be retrofitted to comply with the provisions of this section. The wind loads for the repair and retrofit shall be those required by the building code in effect at the time of original construction, unless the damage was caused by wind, in which case the wind loads shall be in accordance with the California Building Code. The seismic retrofit shall comply with Section 304.3.2 of this code, but the earthquake loads shall not be less than those required by the building code in effect at the time of original construction."
405.2.4,Section 405 Structural,Substantial Structural Damage to Gravity Load-Carrying Components,"Gravity load-carrying components that have sustained substantial structural damage shall be retrofitted to comply with the applicable provisions for dead, live and snow loads in the California Building Code. Undamaged gravity load-carrying components, including undamaged foundation components, that receive dead, live or snow loads from retrofitted components shall also be retrofitted if required to comply with these design loads."
405.2.4.1,Section 405 Structural,Lateral Force-Resisting Elements,"Regardless of the level of damage to vertical elements of the lateral force-resisting system, if substantial structural damage to gravity load-carrying components was caused primarily by wind or seismic effects, then the building shall be evaluated in accordance with Section 405.2.3.1 and, if noncompliant, retrofitted in accordance with Section 405.2.3.3.Exceptions:Buildings assigned to Seismic Design Category A, B or C whose substantial structural damage was not caused by earthquake need not be evaluated or retrofitted for load combinations that include earthquake effects.One- and two-family dwellings need not be evaluated or retrofitted for load combinations that include earthquake effects."
