id,section,title,body
9,,Alterations—Level 3,"CALIFORNIA EXISTING BUILDING CODE — MATRIX ADOPTION TABLE CHAPTER 9 — ALTERATIONS—LEVEL 3 (Matrix Adoption Tables are nonregulatory, intended only as an aid to the code user. See Chapter 1 for state agency authority and building applications.) Adopting Agency BSC BSC- CG SFM HCD DSA OSHPD BSCC DPH AGR DWR CEC CA SL SLC 1 2 1/AC AC SS SS/CC 1 1R 2 3 4 5 6 Adopt Entire Chapter X X Adopt Entire Chapter as amended (amended sections listed below) X Adopt only those sections that are listed below Chapter / Section 901.2 Exception † † 902.1 Reserved X 902.2 — 902.2.1 X 902.2 — 902.3 † † 903.4 † † 904.1 X 904.2 X 904.2.1 X 908 † † The state agency does not adopt sections identified with the following symbol: † The Office of the State Fire Marshal's adoption of this chapter or individual sections is applicable to structures regulated by other state agencies pursuant to Section 1.11. User notes: About this chapter: Chapter 9 provides the technical requirements for those existing buildings that undergo Level 3 alterations. The purpose of this chapter is to provide detailed requirements and provisions to identify the required improvements in the existing building elements, building spaces and building structural system. This chapter is distinguished from Chapters 7 and 8 by involving alterations that cover 50 percent or more of the aggregate area of the building. In contrast, Level 1 alterations do not involve space reconfiguration, and Level 2 alterations involve extensive space reconfiguration that does not exceed 50 percent of the building area. Depending on the nature of alteration work, its location within the building, and whether it encompasses one or more tenants, improvements and upgrades could be required for the open floor penetrations, sprinkler system or the installation of additional means of egress such as stairs or fire escapes. At times and under certain situations, this chapter also is intended to improve the safety of certain building features beyond the work area and in other parts of the building where no alteration work might be taking place."
901,Chapter 9 Alterations—Level 3,General,
901.1,Section 901 General,Scope,Level 3 alterations as described in Section 604 shall comply with the requirements of this chapter.
901.2,Section 901 General,Compliance,"In addition to the provisions of this chapter, work shall comply with all of the requirements of Chapters 7 and 8. The requirements of Sections 802, 803, 804 and 805 shall apply within all work areas whether or not they include exits and corridors shared by more than one tenant and regardless of the occupant load. Exception: Buildings in which the reconfiguration of space affecting exits or shared egress access is exclusively the result of compliance with the accessibility requirements of Section 306.7.1 shall not be required to comply with this chapter."
902,Chapter 9 Alterations—Level 3,Special Use and Occupancy,
902.2,Section 902 Special Use and Occupancy,Group R-2.1 Occupancies,Group R-2.1 occupancies shall be classified in accordance with Section 308.2 of the California Building Code.
902.2.1,Section 902 Special Use and Occupancy,Smoke Barriers in Group R-2.1,"In Group R-2.1 occupancies where the work area is on a story used for sleeping rooms for more than 30 care recipients, the story shall be divided into not fewer than two compartments by smoke barrier walls in accordance with Section 420.6 of the California Building Code."
902.3,Section 902 Special Use and Occupancy,Ambulatory Care Facilities,"Where a Level 3 work area includes an existing ambulatory care facility, the following shall be provided:A smoke compartment in accordance with Section 422.3 of the California Building Code, where the alteration results in an ambulatory care facility greater than 10,000 square feet on one story.Separation from adjacent spaces in accordance with Section 422.2 of the California Building Code, where any such facility has the potential for four or more care recipients incapable of self-preservation at any time."
903,Chapter 9 Alterations—Level 3,Building Elements and Materials,
903.1,Section 903 Building Elements and Materials,Existing Shafts and Vertical Openings,"Existing stairways that are part of the means of egress shall be enclosed in accordance with Section 802.2.1 from the highest work area floor to, and including, the level of exit discharge and all floors below."
