id,section,title,body
14,,Exterior Walls,User note: Code change proposals to sections preceded by the designation [BS] will be considered by the IBC — Structural Code Development Committee during the 2016 (Group B) Code Development Cycle. See explanation on page iv.
1401,Chapter 14 Exterior Walls,General,
1401.1,Section 1401 General,Scope,The provisions of this chapter shall establish the minimum requirements for exterior walls; exterior wall coverings; exterior wall openings; exterior windows and doors; architectural trim; balconies and similar projections; and bay and oriel windows.
1402,Chapter 14 Exterior Walls,Definitions,
1402.1,Section 1402 Definitions,Definitions,The following terms are defined in Chapter 2: ADHERED MASONRY VENEER. ANCHORED MASONRY VENEER. BACKING. EXTERIOR INSULATION AND FINISH SYSTEMS (EIFS). EXTERIOR INSULATION AND FINISH SYSTEMS (EIFS) WITH DRAINAGE. EXTERIOR WALL. EXTERIOR WALL COVERING. EXTERIOR WALL ENVELOPE. FENESTRATION. FIBER-CEMENT SIDING. HIGH-PRESSURE DECORATIVE EXTERIOR-GRADE COMPACT LAMINATE (HPL). HIGH-PRESSURE DECORATIVE EXTERIOR-GRADE COMPACT LAMINATE (HPL) SYSTEM. METAL COMPOSITE MATERIAL (MCM). METAL COMPOSITE MATERIAL (MCM) SYSTEM. POLYPROPYLENE SIDING. PORCELAIN TILE. VENEER. VINYL SIDING. WATER-RESISTIVE BARRIER.
1403,Chapter 14 Exterior Walls,Performance Requirements,
1403.1,Section 1403 Performance Requirements,General,"The provisions of this section shall apply to exterior walls, wall coverings and components thereof."
1403.2,Section 1403 Performance Requirements,Weather Protection,"Exterior walls shall provide the building with a weather-resistant exterior wall envelope. The exterior wall envelope shall include flashing, as described in Section 1405.4. The exterior wall envelope shall be designed and constructed in such a manner as to prevent the accumulation of water within the wall assembly by providing a water-resistive barrier behind the exterior veneer, as described in Section 1404.2, and a means for draining water that enters the assembly to the exterior. Protection against condensation in the exterior wall assembly shall be provided in accordance with Section 1405.3. Exceptions: A weather-resistant exterior wall envelope shall not be required over concrete or masonry walls designed in accordance with Chapters 19 and 21, respectively. Compliance with the requirements for a means of drainage, and the requirements of Sections 1404.2 and 1405.4, shall not be required for an exterior wall envelope that has been demonstrated through testing to resist wind-driven rain, including joints, penetrations and intersections with dissimilar materials, in accordance with ASTM E331 under the following conditions: Exterior wall envelope test assemblies shall include at least one opening, one control joint, one wall/eave interface and one wall sill. Tested openings and penetrations shall be representative of the intended enduse configuration. Exterior wall envelope test assemblies shall be at least 4 feet by 8 feet (1219 mm by 2438 mm) in size. Exterior wall envelope assemblies shall be tested at a minimum differential pressure of 6.24 pounds per square foot (psf) (0.297 kN/m2). Exterior wall envelope assemblies shall be subjected to a minimum test exposure duration of 2 hours. The exterior wall envelope design shall be considered to resist wind-driven rain where the results of testing indicate that water did not penetrate control joints in the exterior wall envelope, joints at the perimeter of openings or intersections of terminations with dissimilar materials. Exterior insulation and finish systems (EIFS) complying with Section 1408.4.1."
1403.3,Section 1403 Performance Requirements,Structural,"Exterior walls, and the associated openings, shall be designed and constructed to resist safely the superimposed loads required by Chapter 16."
1403.4,Section 1403 Performance Requirements,Fire Resistance,Exterior walls shall be fire-resistance rated as required by other sections of this code with opening protection as required by Chapter 7.
